time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.04	0	0	0.1
-0.035	0	0	0.1
-0.03	0	0	0.1
-0.025	0	0	0.1
-0.02	0	0	0.1
-0.015	0	0	0.1
-0.01	0	0	0.1
-0.005	0	0	0.1
0	0	0	0.1
0.005	1.008	0.22778	0.36302
0.01	2.0771	0.21102	0.34367
0.015	3.2554	0.19107	0.32063
0.02	4.3665	0.19132	0.32092
0.025	5.2493	0.11501	0.2328
0.03	6	5.1279e-016	0.1
0.035	6.6256	0.15934	0.28399
0.04	7.0126	0.20853	0.34079
0.045	7.3865	0.19388	0.32388
0.05	7.7769	0.17242	0.29909
0.055	8.1552	0.16874	0.29484
0.06	8.4495	0.17947	0.30723
0.065	8.7198	0.16848	0.29454
0.07	8.983	0.14591	0.26849
0.075	9.1932	0.10595	0.22234
0.08	9.3654	0.11105	0.22822
0.085	9.3453	0.25931	0.39943
0.09	9.2666	0.6049	0.79848
0.095	9.1605	0.66389	0.86659
0.1	9.1485	0.59933	0.79205
0.105	9.1546	0.48904	0.66469
0.11	9.1546	0.39781	0.55936
0.115	9.1782	0.17021	0.29654
0.12	9.2382	0.2248	0.35958
0.125	9.3401	0.23961	0.37668
0.13	9.4235	0.15117	0.27456
0.135	9.5175	0.26107	0.40146
0.14	9.6554	0.32125	0.47095
0.145	9.7875	0.49934	0.67659
0.15	9.9592	0.44394	0.61262
0.155	10.139	0.30948	0.45736
0.16	10.213	0.24531	0.38325
0.165	10.153	0.28175	0.42534
0.17	9.9864	0.46813	0.64055
0.175	9.7562	0.58842	0.77945
0.18	9.6405	0.62751	0.82458
0.185	9.7693	0.517	0.69698
0.19	9.9194	0.41935	0.58422
0.195	10.07	0.3607	0.5165
0.2	10.22	0.36061	0.5164
0.205	10.23	0.40584	0.56862
0.21	10.2	0.65027	0.85087
0.215	10.217	0.79702	1.0203
0.22	10.363	0.56555	0.75305
0.225	10.478	0.34276	0.49578
0.23	10.521	0.25301	0.39215
0.235	10.521	0.52767	0.7093
0.24	10.378	0.60011	0.79295
0.245	10.318	0.40035	0.56228
0.25	10.326	0.3767	0.53497
0.255	10.266	0.64742	0.84758
0.26	10.271	0.7353	0.94905
0.265	10.424	0.58604	0.7767
0.27	10.507	0.52855	0.71031
0.275	10.435	0.69295	0.90015
0.28	10.386	0.89492	1.1334
0.285	10.234	0.57023	0.75844
0.29	9.964	0.19887	0.32964
0.295	9.8525	0.12279	0.24179
0.3	10.003	0.23144	0.36724
0.305	10.137	0.25073	0.38951
0.31	10.181	0.32701	0.4776
0.315	10.169	0.48855	0.66413
0.32	10.227	0.57429	0.76313
0.325	10.305	0.76345	0.98155
0.33	10.305	0.60275	0.79599
0.335	10.245	0.58625	0.77694
0.34	10.382	0.69386	0.90121
0.345	10.622	0.76334	0.98143
0.35	10.722	0.69543	0.90301
0.355	10.562	0.4311	0.59779
0.36	10.306	0.27008	0.41186
0.365	9.9825	0.14978	0.27296
0.37	9.7362	0.31515	0.4639
0.375	9.753	0.29007	0.43494
0.38	9.723	0.064103	0.17402
0.385	9.7286	0.20736	0.33944
0.39	9.8788	0.26497	0.40596
0.395	9.962	0.31011	0.45809
0.4	10.035	0.28306	0.42685
0.405	10.131	0.3086	0.45634
0.41	10.075	0.27907	0.42224
0.415	9.9665	0.31138	0.45955
0.42	10.092	0.3643	0.52066
0.425	10.362	0.38391	0.5433
0.43	10.475	0.32242	0.47229
0.435	10.505	0.51129	0.69039
0.44	10.547	0.63385	0.8319
0.445	10.403	0.60286	0.79612
0.45	10.255	0.67691	0.88162
0.455	10.269	0.72822	0.94088
0.46	10.311	0.69533	0.9029
0.465	10.305	0.58951	0.7807
0.47	10.335	0.54342	0.72749
0.475	10.295	0.37743	0.53582
0.48	10.205	0.15853	0.28306
