time ASI [ms]	maximum vapor penetration [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.1	0	0	0
-0.095	0	0	0
-0.09	0	0	0
-0.085	0	0	0
-0.08	0	0	0
-0.075	0	0	0
-0.07	0	0	0
-0.065	0	0	0
-0.06	0	0	0
-0.055	0	0	0
-0.05	0	0	0
-0.045	0	0	0
-0.04	0	0	0
-0.035	0	0	0
-0.03	0	0	0
-0.025	0	0	0
-0.02	0	0	0
-0.015	0	0	0
-0.01	0	0	0
-0.005	0	0	0
0	0	0	0
0.005	1.1817	0.92906	1.0728
0.01	2.06	1.1855	1.3689
0.015	3.1866	0.97892	1.1304
0.02	4.2233	0.67051	0.77424
0.025	5.1497	0.31248	0.36082
0.03	6.0207	0.041472	0.047888
0.035	6.6813	0.14546	0.16796
0.04	7.3162	0.32853	0.37935
0.045	7.7556	0.27336	0.31565
0.05	8.1313	0.21082	0.24343
0.055	8.4958	0.2042	0.23579
0.06	8.8336	0.24458	0.28241
0.065	9.1764	0.29304	0.33837
0.07	9.5531	0.31941	0.36882
0.075	9.908	0.32455	0.37475
0.08	10.252	0.28703	0.33144
0.085	10.627	0.20705	0.23908
0.09	10.984	0.13684	0.15801
0.095	11.339	0.075578	0.08727
0.1	11.69	0.056979	0.065793
0.105	11.998	0.06851	0.079108
0.11	12.276	0.12035	0.13897
0.115	12.542	0.18738	0.21637
0.12	12.806	0.25901	0.29908
0.125	13.041	0.34354	0.39669
0.13	13.224	0.371	0.42839
0.135	13.4	0.39759	0.45909
0.14	13.594	0.44472	0.51352
0.145	13.807	0.49977	0.57708
0.15	14.053	0.56092	0.64769
0.155	14.32	0.62265	0.71898
0.16	14.575	0.67239	0.77641
0.165	14.819	0.70825	0.81782
0.17	15.042	0.72583	0.83811
0.175	15.222	0.73847	0.85271
0.18	15.394	0.74885	0.86469
0.185	15.55	0.73845	0.85268
0.19	15.707	0.73438	0.84799
0.195	15.907	0.74517	0.86045
0.2	16.107	0.75838	0.8757
0.205	16.305	0.77138	0.89071
0.21	16.505	0.78492	0.90635
0.215	16.686	0.78445	0.9058
0.22	16.863	0.78159	0.9025
0.225	17.058	0.80256	0.92672
0.23	17.26	0.83537	0.9646
0.235	17.454	0.87453	1.0098
0.24	17.633	0.92655	1.0699
0.245	17.79	0.94655	1.093
0.25	17.93	0.92456	1.0676
0.255	18.075	0.8797	1.0158
0.26	18.23	0.80615	0.93087
0.265	18.399	0.75467	0.87142
0.27	18.6	0.76287	0.88089
0.275	18.799	0.78298	0.90411
0.28	19.021	0.81113	0.93661
0.285	19.24	0.8372	0.96671
0.29	19.437	0.82397	0.95144
0.295	19.637	0.81182	0.9374
0.3	19.868	0.7829	0.90401
0.305	20.113	0.7399	0.85436
0.31	20.344	0.67392	0.77817
0.315	20.547	0.60487	0.69845
0.32	20.689	0.55194	0.63733
0.325	20.799	0.5215	0.60218
0.33	20.92	0.51177	0.59095
0.335	21.047	0.53045	0.61251
0.34	21.176	0.57107	0.65941
0.345	21.309	0.64588	0.7458
0.35	21.441	0.73102	0.84411
0.355	21.578	0.81565	0.94183
0.36	21.773	0.82768	0.95572
0.365	21.949	0.8314	0.96002
0.37	22.124	0.83772	0.96732
0.375	22.277	0.81986	0.9467
0.38	22.402	0.82897	0.95721
0.385	22.518	0.79493	0.91791
0.39	22.652	0.73119	0.8443
0.395	22.786	0.67454	0.7789
0.4	22.932	0.61234	0.70707
0.405	23.088	0.56847	0.65641
0.41	23.222	0.56499	0.65239
0.415	23.356	0.56648	0.65411
0.42	23.483	0.57916	0.66876
0.425	23.594	0.60959	0.70389
0.43	23.704	0.63875	0.73756
0.435	23.827	0.67883	0.78385
0.44	23.984	0.74452	0.85969
0.445	24.158	0.79315	0.91585
0.45	24.347	0.77909	0.89962
0.455	24.543	0.75289	0.86936
0.46	24.697	0.67636	0.78099
0.465	24.837	0.62081	0.71685
0.47	24.947	0.60135	0.69438
0.475	25.035	0.59999	0.69281
0.48	25.125	0.59957	0.69232
0.485	25.215	0.59957	0.69232
0.49	25.319	0.61405	0.70905
0.495	25.43	0.63853	0.73731
0.5	25.542	0.66523	0.76815
0.505	25.666	0.67671	0.7814
0.51	25.811	0.63636	0.73481
0.515	25.945	0.58683	0.67761
0.52	26.072	0.54222	0.62611
0.525	26.18	0.50225	0.57994
0.53	26.244	0.48697	0.56231
0.535	26.288	0.44372	0.51237
0.54	26.335	0.40333	0.46573
0.545	26.422	0.38139	0.44039
0.55	26.494	0.37454	0.43249
0.555	26.617	0.44545	0.51437
0.56	26.75	0.53876	0.62211
0.565	26.853	0.6166	0.71198
0.57	26.965	0.67831	0.78325
0.575	27.055	0.65374	0.75487
0.58	27.121	0.59583	0.68801
0.585	27.21	0.54609	0.63058
0.59	27.315	0.50898	0.58772
0.595	27.413	0.50096	0.57846
0.6	27.546	0.47872	0.55278
0.605	27.673	0.45355	0.52372
0.61	27.786	0.41676	0.48124
0.615	27.916	0.36566	0.42223
0.62	28.026	0.28766	0.33216
0.625	28.137	0.2141	0.24722
0.63	28.246	0.15056	0.17385
0.635	28.341	0.11019	0.12723
0.64	28.456	0.088346	0.10201
0.645	28.568	0.097787	0.11291
0.65	28.68	0.1249	0.14422
0.655	28.792	0.16045	0.18527
0.66	28.874	0.14918	0.17226
0.665	28.941	0.11731	0.13545
0.67	29.018	0.11131	0.12854
0.675	29.12	0.15228	0.17584
0.68	29.273	0.21433	0.24749
0.685	29.451	0.2704	0.31223
0.69	29.628	0.33324	0.38479
0.695	29.802	0.39481	0.45588
0.7	29.931	0.40529	0.46799
0.705	30.037	0.41399	0.47803
0.71	30.144	0.42508	0.49084
0.715	30.211	0.39756	0.45906
0.72	30.262	0.37073	0.42808
0.725	30.314	0.32356	0.37361
0.73	30.359	0.27792	0.32091
0.735	30.404	0.23488	0.27121
0.74	30.46	0.20568	0.2375
0.745	30.534	0.1986	0.22933
0.75	30.622	0.21761	0.25128
0.755	30.732	0.24207	0.27952
0.76	30.858	0.26004	0.30027
0.765	30.958	0.30611	0.35347
0.77	31.027	0.36056	0.41633
0.775	31.094	0.42419	0.48982
0.78	31.165	0.49267	0.56889
0.785	31.279	0.5387	0.62204
0.79	31.457	0.48056	0.5549
0.795	31.631	0.42159	0.48681
0.8	31.763	0.30755	0.35512
0.805	31.882	0.20413	0.2357
0.81	31.937	0.19911	0.22991
0.815	31.982	0.21979	0.2538
0.82	32.042	0.25559	0.29513
0.825	32.109	0.29655	0.34243
0.83	32.191	0.31038	0.35839
0.835	32.28	0.3091	0.35692
0.84	32.369	0.30784	0.35546
0.845	32.458	0.30658	0.35401
0.85	32.536	0.32473	0.37496
0.855	32.582	0.34536	0.39879
0.86	32.627	0.37079	0.42815
0.865	32.672	0.4013	0.46338
0.87	32.717	0.43269	0.49963
0.875	32.817	0.43635	0.50386
0.88	32.928	0.44794	0.51724
0.885	33.038	0.46306	0.53469
0.89	33.134	0.47831	0.5523
0.895	33.199	0.47307	0.54626
