time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.04	0	0	0.1
-0.035	0	0	0.1
-0.03	0	0	0.1
-0.025	0	0	0.1
-0.02	0	0	0.1
-0.015	0	0	0.1
-0.01	0	0	0.1
-0.005	0	0	0.1
0	0	0	0.1
0.005	2.6806	0.3705	0.4705
0.01	4.1827	0.25704	0.35704
0.015	5.1321	0.10731	0.20731
0.02	6	4.4716e-006	0.1
0.025	6.7015	0.09632	0.19632
0.03	7.3084	0.15481	0.25481
0.035	7.7691	0.14978	0.24978
0.04	8.1267	0.17004	0.27004
0.045	8.3021	0.16862	0.26862
0.05	8.3848	0.25446	0.35446
0.055	8.4154	0.40896	0.50896
0.06	8.324	0.45074	0.55074
0.065	8.3732	0.27101	0.37101
0.07	8.512	0.17903	0.27903
0.075	8.5995	0.18844	0.28844
0.08	8.5382	0.2283	0.3283
0.085	8.4648	0.51125	0.61125
0.09	8.5669	0.59399	0.69399
0.095	8.7858	0.5022	0.6022
0.1	9.0693	0.41457	0.51457
0.105	9.2883	0.61826	0.71826
0.11	9.3892	0.85748	0.95748
0.115	9.3015	0.66137	0.76137
0.12	9.1814	0.36949	0.46949
0.125	9.173	0.23841	0.33841
0.13	9.2564	0.224	0.324
0.135	9.3681	0.2799	0.3799
0.14	9.4669	0.29665	0.39665
0.145	9.6387	0.21795	0.31795
0.15	9.7578	0.18521	0.28521
0.155	9.6911	0.23388	0.33388
0.16	9.6935	0.29204	0.39204
0.165	9.8259	0.48652	0.58652
0.17	10.076	0.45667	0.55667
0.175	10.304	0.43156	0.53156
0.18	10.355	0.38395	0.48395
0.185	10.088	0.30515	0.40515
0.19	9.7343	0.32808	0.42808
0.195	9.8013	0.35163	0.45163
0.2	9.9971	0.455	0.555
0.205	10.048	0.50269	0.60269
0.21	10.017	0.62678	0.72678
0.215	9.9326	0.55442	0.65442
0.22	9.8506	0.46571	0.56571
0.225	9.9238	0.39054	0.49054
0.23	10.068	0.35654	0.45654
0.235	10.129	0.32743	0.42743
0.24	10.198	0.38819	0.48819
0.245	10.228	0.54908	0.64908
0.25	10.033	0.35049	0.45049
0.255	9.8168	0.32526	0.42526
0.26	9.8239	0.33987	0.43987
0.265	9.9087	0.496	0.596
0.27	9.9052	0.54486	0.64486
0.275	9.8224	0.42115	0.52115
0.28	9.7815	0.30729	0.40729
0.285	9.8763	0.21558	0.31558
0.29	9.9837	0.24175	0.34175
0.295	10.222	0.34396	0.44396
0.3	10.415	0.52596	0.62596
0.305	10.348	0.49483	0.59483
0.31	10.228	0.47128	0.57128
0.315	10.084	0.47357	0.57357
0.32	9.936	0.49292	0.59292
0.325	9.9191	0.37877	0.47877
0.33	10.034	0.22548	0.32548
0.335	10.073	0.32022	0.42022
0.34	10.087	0.41753	0.51753
0.345	10.143	0.41751	0.51751
0.35	10.249	0.31587	0.41587
0.355	10.269	0.32992	0.42992
0.36	10.097	0.47936	0.57936
0.365	9.8897	0.55782	0.65782
0.37	9.8728	0.54186	0.64186
0.375	9.9406	0.46509	0.56509
0.38	9.9846	0.49121	0.59121
0.385	9.9929	0.30626	0.40626
0.39	10.041	0.2272	0.3272
0.395	10.217	0.18786	0.28786
0.4	10.349	0.26168	0.36168
0.405	10.26	0.26993	0.36993
0.41	10.092	0.17239	0.27239
0.415	10.041	0.13533	0.23533
0.42	10.184	0.1441	0.2441
0.425	10.235	0.30598	0.40598
0.43	10.144	0.45381	0.55381
0.435	10.113	0.53262	0.63262
0.44	10.163	0.55602	0.65602
0.445	10.221	0.59001	0.69001
0.45	10.283	0.59086	0.69086
0.455	10.307	0.48867	0.58867
0.46	10.256	0.47783	0.57783
0.465	10.14	0.48789	0.58789
0.47	10.118	0.44081	0.54081
0.475	10.227	0.33624	0.43624
0.48	10.271	0.51707	0.61707
