time ASI [ms]	maximum vapor penetration [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.1	0	0	0
-0.095	0	0	0
-0.09	0	0	0
-0.085	0	0	0
-0.08	0	0	0
-0.075	0	0	0
-0.07	0	0	0
-0.065	0	0	0
-0.06	0	0	0
-0.055	0	0	0
-0.05	0	0	0
-0.045	0	0	0
-0.04	0	0	0
-0.035	0	0	0
-0.03	0	0	0
-0.025	0	0	0
-0.02	0	0	0
-0.015	0	0	0
-0.01	0	0	0
-0.005	0	0	0
0	0	0	0
0.005	3.03	1.2269	1.4167
0.01	4.049	0.811	0.93646
0.015	5.0679	0.40747	0.4705
0.02	6	2.4808e-006	2.8646e-006
0.025	6.7486	0.072861	0.084133
0.03	7.4046	0.14804	0.17094
0.035	8.056	0.2741	0.31651
0.04	8.692	0.37939	0.43808
0.045	9.3115	0.47128	0.54419
0.05	9.8887	0.52522	0.60647
0.055	10.473	0.59056	0.68192
0.06	11.002	0.56218	0.64915
0.065	11.479	0.42525	0.49103
0.07	11.905	0.32225	0.3721
0.075	12.294	0.272	0.31408
0.08	12.689	0.29914	0.34542
0.085	13.096	0.38654	0.44633
0.09	13.403	0.40269	0.46498
0.095	13.668	0.45332	0.52345
0.1	13.934	0.50772	0.58627
0.105	14.163	0.53038	0.61243
0.11	14.379	0.51884	0.5991
0.115	14.603	0.47521	0.54872
0.12	14.828	0.43339	0.50044
0.125	15.068	0.40369	0.46614
0.13	15.327	0.39293	0.45372
0.135	15.581	0.39082	0.45128
0.14	15.828	0.39216	0.45283
0.145	16.075	0.39859	0.46025
0.15	16.335	0.42611	0.49203
0.155	16.66	0.45725	0.52799
0.16	17.006	0.4807	0.55506
0.165	17.357	0.51268	0.59199
0.17	17.722	0.55064	0.63582
0.175	18.027	0.48675	0.56205
0.18	18.292	0.45019	0.51983
0.185	18.557	0.43372	0.50082
0.19	18.807	0.42327	0.48875
0.195	19.071	0.46982	0.5425
0.2	19.318	0.54647	0.63101
0.205	19.565	0.62556	0.72233
0.21	19.782	0.687	0.79328
0.215	19.951	0.68966	0.79635
0.22	20.124	0.61057	0.70503
0.225	20.304	0.52681	0.60831
0.23	20.505	0.4495	0.51904
0.235	20.737	0.38752	0.44747
0.24	20.957	0.35411	0.40889
0.245	21.175	0.3291	0.38001
0.25	21.391	0.31056	0.3586
0.255	21.606	0.29773	0.34378
0.26	21.833	0.28525	0.32938
0.265	22.055	0.2945	0.34006
0.27	22.276	0.31115	0.35928
0.275	22.461	0.28345	0.3273
0.28	22.657	0.2777	0.32066
0.285	22.899	0.22486	0.25965
0.29	23.146	0.2108	0.24342
0.295	23.424	0.20479	0.23647
0.3	23.695	0.16956	0.19579
0.305	23.866	0.13897	0.16047
0.31	24.023	0.1892	0.21846
0.315	24.169	0.27451	0.31697
0.32	24.297	0.35394	0.40869
0.325	24.436	0.33571	0.38765
0.33	24.567	0.31117	0.35931
0.335	24.697	0.29317	0.33852
0.34	24.826	0.28134	0.32486
0.345	25.003	0.29326	0.33863
0.35	25.225	0.30377	0.35076
0.355	25.448	0.32319	0.37319
0.36	25.652	0.34204	0.39495
0.365	25.829	0.32374	0.37382
0.37	25.969	0.24524	0.28318
0.375	26.104	0.17124	0.19773
0.38	26.269	0.083827	0.096795
0.385	26.443	0.045048	0.052017
0.39	26.577	0.12673	0.14634
0.395	26.712	0.21503	0.2483
0.4	26.825	0.26077	0.30111
0.405	26.922	0.25791	0.29781
0.41	27.021	0.26539	0.30645
0.415	27.129	0.28806	0.33262
0.42	27.243	0.33804	0.39033
0.425	27.372	0.41614	0.48052
0.43	27.506	0.4423	0.51072
0.435	27.661	0.43327	0.5003
0.44	27.816	0.42854	0.49483
0.445	27.973	0.43097	0.49764
0.45	28.147	0.43252	0.49943
0.455	28.347	0.44276	0.51125
0.46	28.549	0.45809	0.52895
0.465	28.736	0.45936	0.53042
0.47	28.9	0.47347	0.54671
0.475	29.035	0.53516	0.61795
0.48	29.17	0.60396	0.69739
0.485	29.305	0.6777	0.78254
0.49	29.446	0.75087	0.86703
0.495	29.567	0.76105	0.87878
0.5	29.654	0.71489	0.82548
0.505	29.746	0.67409	0.77838
0.51	29.854	0.64344	0.74298
0.515	29.959	0.60625	0.70004
0.52	30.114	0.60989	0.70424
0.525	30.269	0.61662	0.71201
0.53	30.426	0.62747	0.72454
0.535	30.576	0.6528	0.75379
0.54	30.69	0.67247	0.77651
0.545	30.803	0.69127	0.79821
0.55	30.915	0.71241	0.82262
0.555	31.042	0.7223	0.83404
0.56	31.2	0.6972	0.80506
0.565	31.357	0.67417	0.77846
0.57	31.503	0.63914	0.73802
0.575	31.63	0.59468	0.68668
0.58	31.73	0.60412	0.69758
0.585	31.838	0.62686	0.72383
0.59	31.958	0.66492	0.76779
0.595	32.108	0.7383	0.85251
0.6	32.27	0.79232	0.91489
0.605	32.424	0.81814	0.94471
0.61	32.578	0.85087	0.9825
0.615	32.695	0.83078	0.9593
0.62	32.824	0.78738	0.90919
0.625	32.999	0.76579	0.88425
0.63	33.179	0.75376	0.87037
0.635	33.358	0.74877	0.8646
0.64	33.523	0.76781	0.88659
0.645	33.642	0.80641	0.93117
0.65	33.754	0.83762	0.9672
0.655	33.889	0.88825	1.0257
0.66	34.038	0.96865	1.1185
0.665	34.181	1.0341	1.1941
0.67	34.312	1.0925	1.2615
0.675	34.431	1.1429	1.3198
0.68	34.517	1.1576	1.3367
0.685	34.643	1.1086	1.2801
0.69	34.755	1.0359	1.1962
0.695	34.866	0.96547	1.1148
0.7	34.978	0.89909	1.0382
0.705	35.09	0.83647	0.96587
0.71	35.243	0.80076	0.92464
0.715	35.4	0.76902	0.88799
0.72	35.557	0.73866	0.85293
0.725	35.688	0.75161	0.86788
0.73	35.746	0.7832	0.90437
0.735	35.791	0.80561	0.93023
0.74	35.836	0.83065	0.95915
0.745	35.888	0.84539	0.97617
0.75	35.965	0.85531	0.98763
0.755	36.074	0.89254	1.0306
0.76	36.182	0.94034	1.0858
0.765	36.289	0.99675	1.1509
0.77	36.415	1.0363	1.1966
0.775	36.504	0.99633	1.1505
0.78	36.592	0.96029	1.1088
0.785	36.682	0.92964	1.0735
0.79	36.781	0.87593	1.0114
0.795	36.891	0.83385	0.96285
0.8	37.003	0.79431	0.91718
0.805	37.115	0.75536	0.87222
0.81	37.204	0.75754	0.87474
0.815	37.271	0.79652	0.91975
0.82	37.339	0.8361	0.96544
0.825	37.417	0.88886	1.0264
0.83	37.514	0.94333	1.0893
0.835	37.634	0.98113	1.1329
0.84	37.765	1.0274	1.1863
0.845	37.889	1.0657	1.2305
0.85	37.996	1.0839	1.2515
0.855	38.124	1.0642	1.2288
0.86	38.235	1.0251	1.1837
0.865	38.346	0.98668	1.1393
0.87	38.459	0.94996	1.0969
0.875	38.571	0.91412	1.0555
0.88	38.663	0.86019	0.99326
0.885	38.753	0.80677	0.93158
0.89	38.843	0.75671	0.87378
0.895	38.93	0.72004	0.83143
0.9	39.081	0.67996	0.78514
