time ASI [ms]	maximum liquid length [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.1	0	0	0.1
-0.095	0	0	0.1
-0.09	0	0	0.1
-0.085	0	0	0.1
-0.08	0	0	0.1
-0.075	0	0	0.1
-0.07	0	0	0.1
-0.065	0	0	0.1
-0.06	0	0	0.1
-0.055	0	0	0.1
-0.05	0	0	0.1
-0.045	0	0	0.1
-0.04	0	0	0.1
-0.035	0	0	0.1
-0.03	0	0	0.1
-0.025	0	0	0.1
-0.02	0	0	0.1
-0.015	0	0	0.1
-0.01	0	0	0.1
-0.005	0	0	0.1
0	0	0	0.1
0.005	0.4015	0.36027	0.27476
0.01	1.2601	0.54486	0.3643
0.015	2.5065	0.39905	0.29357
0.02	3.9064	0.21491	0.20425
0.025	5.2688	0.099619	0.14832
0.03	6.446	0.062599	0.13037
0.035	7.3674	0.16786	0.18142
0.04	7.9888	0.13612	0.16603
0.045	8.3862	0.31251	0.25159
0.05	8.4008	0.40654	0.2972
0.055	8.2553	0.41312	0.30039
0.06	8.1878	0.41469	0.30115
0.065	8.2749	0.39904	0.29357
0.07	8.4219	0.31939	0.25493
0.075	8.6119	0.3194	0.25493
0.08	8.7456	0.3511	0.27031
0.085	8.814	0.34306	0.26641
0.09	8.794	0.34687	0.26826
0.095	8.7869	0.41734	0.30244
0.1	8.8541	0.39418	0.29121
0.105	8.9097	0.40153	0.29477
0.11	8.9779	0.43749	0.31221
0.115	9.0705	0.47276	0.32932
0.12	9.1479	0.51149	0.34811
0.125	9.1839	0.48789	0.33666
0.13	9.2399	0.45542	0.32091
0.135	9.3084	0.46341	0.32478
0.14	9.3191	0.5125	0.3486
0.145	9.2709	0.42993	0.30855
0.15	9.2781	0.39922	0.29365
0.155	9.3978	0.45983	0.32305
0.16	9.5083	0.58913	0.38577
0.165	9.5395	0.60124	0.39165
0.17	9.5253	0.42643	0.30685
0.175	9.55	0.49355	0.33941
0.18	9.6419	0.67632	0.42806
0.185	9.7009	0.82115	0.49831
