time ASI [ms]	maximum vapor penetration [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.1	0	0	0
-0.095	0	0	0
-0.09	0	0	0
-0.085	0	0	0
-0.08	0	0	0
-0.075	0	0	0
-0.07	0	0	0
-0.065	0	0	0
-0.06	0	0	0
-0.055	0	0	0
-0.05	0	0	0
-0.045	0	0	0
-0.04	0	0	0
-0.035	0	0	0
-0.03	0	0	0
-0.025	0	0	0
-0.02	0	0	0
-0.015	0	0	0
-0.01	0	0	0
-0.005	0	0	0
0	0	0	0
0.005	2.1532	1.562	0.6817
0.01	3.0645	1.6299	0.71137
0.015	4.0655	1.5766	0.68808
0.02	5.0966	1.4288	0.62356
0.025	6.0924	1.1218	0.4896
0.03	6.992	0.82549	0.36027
0.035	7.8054	0.58025	0.25324
0.04	8.5291	0.409	0.1785
0.045	9.17	0.23239	0.10142
0.05	9.7814	0.064988	0.028363
0.055	10.323	0.097245	0.042441
0.06	10.844	0.25716	0.11224
0.065	11.333	0.39365	0.1718
0.07	11.79	0.48802	0.21299
0.075	12.211	0.53559	0.23375
0.08	12.604	0.57077	0.2491
0.085	12.984	0.60543	0.26423
0.09	13.34	0.6199	0.27055
0.095	13.688	0.62757	0.27389
0.1	14.035	0.63791	0.27841
0.105	14.368	0.62445	0.27253
0.11	14.695	0.61696	0.26926
0.115	15.02	0.61806	0.26974
0.12	15.341	0.62959	0.27477
0.125	15.663	0.65472	0.28575
0.13	15.977	0.65987	0.28799
0.135	16.295	0.65265	0.28484
0.14	16.608	0.64652	0.28216
0.145	16.918	0.6387	0.27875
0.15	17.222	0.6352	0.27722
0.155	17.529	0.64163	0.28003
0.16	17.811	0.65611	0.28635
0.165	18.081	0.67602	0.29504
0.17	18.353	0.71876	0.31369
0.175	18.623	0.76212	0.33262
0.18	18.895	0.80886	0.35302
0.185	19.176	0.85027	0.37109
0.19	19.457	0.86578	0.37786
0.195	19.733	0.84709	0.3697
0.2	20.024	0.82426	0.35973
0.205	20.315	0.80519	0.35142
0.21	20.595	0.79789	0.34823
0.215	20.866	0.80247	0.35023
0.22	21.123	0.81923	0.35754
0.225	21.367	0.84614	0.36928
0.23	21.603	0.87477	0.38178
0.235	21.831	0.88487	0.38619
0.24	22.058	0.89423	0.39028
0.245	22.3	0.90427	0.39466
0.25	22.541	0.90676	0.39574
0.255	22.786	0.90222	0.39376
0.26	23.045	0.89458	0.39043
0.265	23.297	0.87809	0.38323
0.27	23.543	0.86382	0.377
0.275	23.792	0.85568	0.37345
0.28	24.015	0.84008	0.36664
0.285	24.236	0.8305	0.36246
0.29	24.451	0.82754	0.36117
0.295	24.654	0.82243	0.35894
0.3	24.857	0.82239	0.35892
0.305	25.068	0.82918	0.36188
0.31	25.303	0.84333	0.36806
0.315	25.525	0.85652	0.37381
0.32	25.756	0.87237	0.38073
0.325	25.983	0.88365	0.38566
0.33	26.194	0.87856	0.38344
0.335	26.391	0.87925	0.38374
0.34	26.585	0.87164	0.38041
0.345	26.78	0.86161	0.37604
0.35	26.974	0.85125	0.37151
0.355	27.157	0.8472	0.36975
0.36	27.341	0.84117	0.36711
0.365	27.515	0.82627	0.36062
0.37	27.686	0.81662	0.3564
0.375	27.854	0.81667	0.35642
0.38	28.028	0.81852	0.35723
0.385	28.225	0.82362	0.35946
0.39	28.418	0.81917	0.35752
0.395	28.606	0.82465	0.35991
0.4	28.797	0.83576	0.36476
0.405	29.001	0.83781	0.36565
0.41	29.192	0.83261	0.36338
0.415	29.377	0.82031	0.35801
0.42	29.551	0.81679	0.35648
0.425	29.709	0.81005	0.35354
0.43	29.864	0.80968	0.35337
0.435	30.027	0.81131	0.35408
0.44	30.191	0.82155	0.35855
0.445	30.37	0.81548	0.35591
0.45	30.564	0.78619	0.34312
0.455	30.753	0.76572	0.33419
0.46	30.921	0.75073	0.32765
0.465	31.091	0.74124	0.3235
0.47	31.26	0.7517	0.32807
0.475	31.413	0.79672	0.34772
0.48	31.574	0.8472	0.36975
0.485	31.742	0.88113	0.38456
0.49	31.912	0.91407	0.39893
0.495	32.084	0.94796	0.41373
0.5	32.253	0.93283	0.40712
0.505	32.412	0.92733	0.40472
0.51	32.557	0.91792	0.40061
0.515	32.697	0.90568	0.39527
0.52	32.833	0.89353	0.38997
0.525	32.977	0.88694	0.38709
0.53	33.13	0.89663	0.39132
0.535	33.292	0.90257	0.39391
0.54	33.458	0.90568	0.39527
0.545	33.637	0.90368	0.3944
0.55	33.817	0.88715	0.38719
0.555	33.99	0.87793	0.38316
0.56	34.159	0.88375	0.3857
0.565	34.321	0.89747	0.39169
0.57	34.477	0.91873	0.40097
0.575	34.621	0.9285	0.40523
0.58	34.765	0.94043	0.41044
0.585	34.926	0.93144	0.40651
0.59	35.084	0.92899	0.40545
0.595	35.247	0.93344	0.40739
0.6	35.396	0.94088	0.41063
0.605	35.538	0.95686	0.41761
0.61	35.67	0.98567	0.43018
0.615	35.794	0.99076	0.4324
0.62	35.942	0.98144	0.42834
0.625	36.104	0.97121	0.42387
0.63	36.268	0.96427	0.42084
0.635	36.44	0.9615	0.41963
0.64	36.608	0.96925	0.42302
0.645	36.762	0.98368	0.42931
0.65	36.899	0.99313	0.43344
0.655	37.042	0.99841	0.43574
0.66	37.174	0.99976	0.43633
0.665	37.3	1.0028	0.43765
0.67	37.434	1.0065	0.43925
0.675	37.572	1.0123	0.44182
0.68	37.699	1.013	0.44211
0.685	37.835	1.0067	0.43935
0.69	37.973	1.0077	0.43981
0.695	38.115	1.011	0.44123
0.7	38.26	1.0186	0.44456
0.705	38.409	1.0324	0.45056
0.71	38.549	1.0536	0.45982
0.715	38.685	1.0729	0.46827
0.72	38.818	1.0907	0.47601
0.725	38.945	1.1185	0.48814
0.73	39.073	1.15	0.5019
0.735	39.205	1.176	0.51325
0.74	39.343	1.1934	0.52084
0.745	39.476	1.1997	0.52359
0.75	39.616	1.2019	0.52455
0.755	39.749	1.202	0.52459
0.76	39.878	1.2064	0.52651
0.765	39.995	1.2069	0.52674
0.77	40.114	1.2088	0.52755
0.775	40.227	1.2131	0.52946
0.78	40.336	1.2169	0.53112
0.785	40.451	1.2288	0.5363
0.79	40.567	1.2402	0.54128
0.795	40.683	1.2544	0.54747
0.8	40.805	1.2627	0.55107
0.805	40.93	1.2678	0.55332
0.81	41.044	1.2683	0.55352
0.815	41.152	1.2726	0.55542
0.82	41.26	1.2772	0.55741
0.825	41.374	1.2905	0.56321
0.83	41.494	1.3094	0.57145
0.835	41.617	1.3224	0.57713
0.84	41.736	1.3388	0.58431
0.845	41.856	1.3617	0.59431
0.85	41.966	1.3623	0.59457
0.855	42.076	1.3681	0.59708
0.86	42.185	1.376	0.60053
0.865	42.297	1.3842	0.60413
0.87	42.422	1.4011	0.61151
0.875	42.553	1.4228	0.62098
0.88	42.685	1.442	0.62934
0.885	42.829	1.4627	0.63836
0.89	42.969	1.4784	0.64524
0.895	43.106	1.482	0.64681
0.9	43.239	1.4848	0.64802
