time ASI [ms]	maximum vapor penetration [mm]	standard deviation [mm]	error &plusmn;2sigma/sqrt(N) [mm]
-0.25	0	0	0
-0.245	0	0	0
-0.24	0	0	0
-0.235	0	0	0
-0.23	0	0	0
-0.225	0	0	0
-0.22	0	0	0
-0.215	0	0	0
-0.21	0	0	0
-0.205	0	0	0
-0.2	0	0	0
-0.195	0	0	0
-0.19	0	0	0
-0.185	0	0	0
-0.18	0	0	0
-0.175	0	0	0
-0.17	0	0	0
-0.165	0	0	0
-0.16	0	0	0
-0.155	0	0	0
-0.15	0	0	0
-0.145	0	0	0
-0.14	0	0	0
-0.135	0	0	0
-0.13	0	0	0
-0.125	0	0	0
-0.12	0	0	0
-0.115	0	0	0
-0.11	0	0	0
-0.105	0	0	0
-0.1	0	0	0
-0.095	0	0	0
-0.09	0	0	0
-0.085	0	0	0
-0.08	0	0	0
-0.075	0	0	0
-0.07	0	0	0
-0.065	0	0	0
-0.06	0	0	0
-0.055	0	0	0
-0.05	0	0	0
-0.045	0	0	0
-0.04	0	0	0
-0.035	0	0	0
-0.03	0	0	0
-0.025	2.088e-006	5.1146e-006	4.5746e-006
-0.02	0.034279	0.083967	0.075102
-0.015	0.068556	0.16793	0.1502
-0.01	0.12857	0.24712	0.22103
-0.005	0.41713	0.46018	0.4116
0	0.84279	0.72507	0.64853
0.005	1.4806	0.99211	0.88737
0.01	2.1486	1.3667	1.2224
0.015	2.8166	1.8008	1.6107
0.02	3.673	1.9356	1.7312
0.025	4.6331	1.9294	1.7257
0.03	5.4935	1.7533	1.5682
0.035	6.3461	1.5741	1.4079
0.04	7.1393	1.3761	1.2308
0.045	7.9253	1.1953	1.0691
0.05	8.6722	1.0415	0.93154
0.055	9.3115	0.74028	0.66213
0.06	9.9507	0.51975	0.46488
0.065	10.47	0.36018	0.32216
0.07	10.881	0.20986	0.1877
0.075	11.292	0.097592	0.087289
0.08	11.73	0.092909	0.0831
0.085	12.118	0.11066	0.098975
0.09	12.501	0.17029	0.15231
0.095	12.858	0.19738	0.17655
0.1	13.198	0.21132	0.18901
0.105	13.532	0.23799	0.21286
0.11	13.831	0.21864	0.19556
0.115	14.121	0.22324	0.19967
0.12	14.409	0.24242	0.21683
0.125	14.7	0.2656	0.23756
0.13	15.003	0.27602	0.24688
0.135	15.302	0.29421	0.26315
0.14	15.607	0.32001	0.28623
0.145	15.918	0.35249	0.31527
0.15	16.229	0.39228	0.35087
0.155	16.551	0.42624	0.38124
0.16	16.872	0.44805	0.40075
0.165	17.193	0.47234	0.42247
0.17	17.515	0.50005	0.44726
0.175	17.793	0.47779	0.42735
0.18	18.068	0.4539	0.40598
0.185	18.334	0.42946	0.38413
0.19	18.597	0.40626	0.36337
0.195	18.859	0.38578	0.34506
0.2	19.118	0.37008	0.33101
0.205	19.375	0.35762	0.31987
0.21	19.637	0.34759	0.31089
0.215	19.901	0.33972	0.30386
0.22	20.174	0.33987	0.30399
0.225	20.452	0.3426	0.30643
0.23	20.724	0.33903	0.30323
0.235	20.99	0.32536	0.29101
0.24	21.258	0.3119	0.27897
0.245	21.518	0.30005	0.26837
0.25	21.773	0.29838	0.26688
0.255	22.026	0.30023	0.26854
0.26	22.28	0.30342	0.27139
0.265	22.539	0.30753	0.27506
0.27	22.8	0.31818	0.28458
0.275	23.057	0.33104	0.29609
0.28	23.31	0.34703	0.31039
0.285	23.562	0.3693	0.33031
0.29	23.805	0.38619	0.34542
0.295	24.039	0.41582	0.37192
0.3	24.268	0.45535	0.40728
0.305	24.497	0.49645	0.44404
0.31	24.725	0.515	0.46063
0.315	24.939	0.51907	0.46427
0.32	25.148	0.52841	0.47262
0.325	25.354	0.54528	0.48772
0.33	25.561	0.56749	0.50758
0.335	25.763	0.59392	0.53122
0.34	25.961	0.62787	0.56159
0.345	26.164	0.66728	0.59683
0.35	26.367	0.70885	0.63402
0.355	26.549	0.71994	0.64393
0.36	26.727	0.72573	0.64912
0.365	26.907	0.72981	0.65276
0.37	27.093	0.73036	0.65326
0.375	27.279	0.73269	0.65534
0.38	27.464	0.73677	0.65899
0.385	27.662	0.71833	0.64249
0.39	27.869	0.68555	0.61317
0.395	28.076	0.65485	0.58572
0.4	28.285	0.62651	0.56037
0.405	28.493	0.59752	0.53443
0.41	28.702	0.56898	0.50891
0.415	28.915	0.53663	0.47997
0.42	29.139	0.51797	0.46329
0.425	29.367	0.51358	0.45936
0.43	29.583	0.5289	0.47306
0.435	29.794	0.5594	0.50034
0.44	30.004	0.59685	0.53384
0.445	30.212	0.61701	0.55187
0.45	30.381	0.55877	0.49978
0.455	30.547	0.50703	0.4535
0.46	30.695	0.47773	0.4273
0.465	30.843	0.45538	0.4073
0.47	30.998	0.4389	0.39256
0.475	31.17	0.45018	0.40265
0.48	31.337	0.46978	0.42019
0.485	31.504	0.49292	0.44088
0.49	31.674	0.5177	0.46304
0.495	31.84	0.5419	0.48469
0.5	32.013	0.57292	0.51243
0.505	32.191	0.60126	0.53779
0.51	32.369	0.63252	0.56574
0.515	32.542	0.66291	0.59292
0.52	32.711	0.68756	0.61497
0.525	32.885	0.71004	0.63508
0.53	33.058	0.73476	0.65719
0.535	33.212	0.73079	0.65364
0.54	33.356	0.71119	0.63611
0.545	33.5	0.69509	0.62171
0.55	33.649	0.67874	0.60708
0.555	33.805	0.67364	0.60252
0.56	33.959	0.6747	0.60347
0.565	34.107	0.68164	0.60968
0.57	34.25	0.69527	0.62186
0.575	34.393	0.71469	0.63923
0.58	34.533	0.714	0.63862
0.585	34.679	0.70883	0.63399
0.59	34.825	0.70381	0.62951
0.595	34.984	0.66986	0.59914
0.6	35.144	0.63625	0.56908
0.605	35.302	0.59705	0.53402
0.61	35.464	0.55997	0.50085
0.615	35.619	0.52603	0.4705
0.62	35.775	0.49612	0.44375
0.625	35.924	0.47203	0.4222
0.63	36.076	0.46057	0.41194
0.635	36.235	0.46521	0.4161
0.64	36.386	0.49007	0.43833
0.645	36.537	0.51954	0.46469
0.65	36.696	0.56444	0.50485
0.655	36.862	0.62179	0.55614
0.66	37.007	0.65011	0.58148
0.665	37.151	0.69445	0.62114
0.67	37.305	0.74415	0.66558
0.675	37.475	0.7995	0.71509
0.68	37.645	0.86385	0.77265
0.685	37.844	0.92551	0.8278
0.69	38.043	0.98738	0.88314
0.695	38.234	1.0296	0.92093
0.7	38.391	0.99283	0.88802
0.705	38.549	0.95634	0.85538
0.71	38.695	0.92306	0.82561
0.715	38.83	0.89544	0.80091
0.72	38.947	0.87418	0.78189
0.725	39.064	0.8543	0.76411
0.73	39.164	0.84027	0.75156
0.735	39.277	0.82139	0.73467
0.74	39.397	0.7993	0.71492
0.745	39.514	0.77194	0.69044
0.75	39.635	0.74653	0.66772
0.755	39.755	0.72572	0.64911
0.76	39.877	0.7074	0.63272
0.765	40	0.68778	0.61517
0.77	40.124	0.67167	0.60076
0.775	40.261	0.64427	0.57625
0.78	40.403	0.61583	0.55082
0.785	40.547	0.59653	0.53355
0.79	40.681	0.58692	0.52496
0.795	40.808	0.58	0.51877
0.8	40.935	0.5766	0.51573
0.805	41.065	0.57146	0.51113
0.81	41.214	0.56002	0.5009
0.815	41.386	0.55012	0.49204
0.82	41.557	0.54539	0.48781
0.825	41.726	0.54447	0.48699
0.83	41.895	0.54455	0.48706
0.835	42.06	0.54006	0.48304
0.84	42.228	0.53249	0.47627
0.845	42.393	0.52515	0.46971
0.85	42.548	0.53453	0.4781
0.855	42.675	0.56265	0.50325
0.86	42.801	0.59455	0.53178
0.865	42.927	0.62363	0.55779
0.87	43.037	0.64483	0.57676
0.875	43.147	0.67103	0.60019
0.88	43.257	0.70232	0.62818
0.885	43.35	0.72993	0.65287
0.89	43.443	0.76009	0.67984
0.895	43.556	0.78231	0.69972
0.9	43.697	0.76618	0.68529
0.905	43.839	0.75163	0.67228
0.91	43.977	0.73959	0.66151
0.915	44.113	0.72953	0.65251
0.92	44.256	0.72195	0.64573
0.925	44.405	0.72291	0.64659
0.93	44.557	0.72422	0.64776
0.935	44.71	0.72694	0.65019
0.94	44.866	0.72643	0.64974
0.945	45.012	0.69621	0.62271
0.95	45.15	0.66541	0.59516
0.955	45.291	0.63761	0.5703
