xc,cf
-2.025045238095238176e+00,2.845779778418893683e-03
-2.021295238095238034e+00,2.633137011844225925e-03
-2.015297619047619282e+00,2.241798919659781630e-03
-2.009300000000000086e+00,2.054012018951298455e-03
-2.003302380952380890e+00,1.963196358699279432e-03
-1.997304761904761916e+00,1.923960790566886210e-03
-1.991307142857142942e+00,1.908963862101315532e-03
-1.985307142857142937e+00,1.905627504266928359e-03
-1.979309523809523963e+00,1.908046363696859352e-03
-1.973311904761904989e+00,1.913284445496847216e-03
-1.967314285714285793e+00,1.919907115798105907e-03
-1.961316666666666597e+00,1.927130330509553959e-03
-1.955319047619047845e+00,1.934503681323549839e-03
-1.949321428571428649e+00,1.941793623191685790e-03
-1.943323809523809675e+00,1.948850020011414635e-03
-1.937323809523809448e+00,1.955622826415220721e-03
-1.931326190476190696e+00,1.962095360613932016e-03
-1.925328571428571500e+00,1.968250940818376277e-03
-1.919330952380952526e+00,1.974106248817725315e-03
-1.913333333333333330e+00,1.979627921033636374e-03
-1.907335714285714356e+00,1.984849321044452209e-03
-1.901338095238095383e+00,1.989803812428517314e-03
-1.895340476190476187e+00,1.994474713396659441e-03
-1.889340476190476181e+00,1.998912069316394462e-03
-1.883342857142857207e+00,2.003099198398550131e-03
-1.877345238095238233e+00,2.007069464221470940e-03
-1.871347619047619260e+00,2.010839548574328700e-03
-1.865350000000000064e+00,2.014426133246294791e-03
-1.859352380952380868e+00,2.017829218237369646e-03
-1.853354761904762116e+00,2.021082167125896889e-03
-1.847357142857142920e+00,2.024168298122705142e-03
-1.841357142857142914e+00,2.027137656595309843e-03
-1.835359523809523719e+00,2.029956878965366932e-03
-1.829361904761904967e+00,2.032659328811220901e-03
-1.823364285714285771e+00,2.035261687922042696e-03
-1.817366666666666797e+00,2.037747274508661371e-03
-1.811369047619047601e+00,2.040132770360247871e-03
-1.805371428571428627e+00,2.042434857265975311e-03
-1.799373809523809653e+00,2.044636853436670575e-03
-1.793376190476190679e+00,2.046772122450678591e-03
-1.787376190476190452e+00,2.048823982518826678e-03
-1.781378571428571478e+00,2.050825797219458894e-03
-1.775380952380952504e+00,2.052744202974231182e-03
-1.769383333333333530e+00,2.054595881572316655e-03
-1.763385714285714334e+00,2.056397514802885389e-03
-1.757388095238095138e+00,2.058149102665938687e-03
-1.751390476190476386e+00,2.059850645161476115e-03
-1.745392857142857190e+00,2.061502142289498105e-03
-1.739392857142857185e+00,2.063103594050003792e-03
-1.733395238095237989e+00,2.064655000442994041e-03
-1.727397619047619237e+00,2.066189725046812045e-03
-1.721400000000000041e+00,2.067674404283114178e-03
-1.715402380952381067e+00,2.069125719941072687e-03
-1.709404761904761871e+00,2.070543672020687138e-03
-1.703407142857143119e+00,2.071928260521957964e-03
-1.697409523809523924e+00,2.073279485444884732e-03
-1.691409523809523918e+00,2.074614028578639687e-03
-1.685411904761904722e+00,2.075915208134050585e-03
-1.679414285714285970e+00,2.077199705900289670e-03
-1.673416666666666774e+00,2.078450840088184697e-03
-1.667419047619047801e+00,2.079685292486907911e-03
-1.661421428571428605e+00,2.080903063096459314e-03
-1.655423809523809409e+00,2.082087470127666658e-03
-1.649426190476190657e+00,2.083255195369702623e-03
-1.643426190476190651e+00,2.084422920611737721e-03
-1.637428571428571455e+00,2.085557282275429629e-03
-1.631430952380952260e+00,2.086674962149949290e-03
-1.625433333333333508e+00,2.087775960235297140e-03
-1.619435714285714312e+00,2.088876958320644555e-03
-1.613438095238095338e+00,2.089944592827648780e-03
-1.607440476190476142e+00,2.091012227334652571e-03
-1.601442857142857390e+00,2.092079861841656362e-03
-1.595442857142857163e+00,2.093114132770316094e-03
-1.589445238095238189e+00,2.094148403698976261e-03
-1.583447619047618993e+00,2.095165992838464615e-03
-1.577450000000000241e+00,2.096183581977952536e-03
-1.571452380952381045e+00,2.097184489328268644e-03
-1.565454761904762071e+00,2.098168714889412940e-03
-1.559457142857142875e+00,2.099152940450557236e-03
