xc,cf
-2.025045238095238176e+00,3.447692095320685404e-03
-2.021295238095238034e+00,4.501947807408692055e-03
-2.015297619047619282e+00,5.011342921562927759e-03
-2.009300000000000086e+00,4.951538707381538014e-03
-2.003302380952380890e+00,4.846443435598341010e-03
-1.997304761904761916e+00,4.778365053987670800e-03
-1.991307142857142942e+00,4.735275992556560107e-03
-1.985307142857142937e+00,4.706433179078282902e-03
-1.979309523809523963e+00,4.685530897245847315e-03
-1.973311904761904989e+00,4.668181836507033326e-03
-1.967314285714285793e+00,4.653251635198150764e-03
-1.961316666666666597e+00,4.639939567438945700e-03
-1.955319047619047845e+00,4.627544998084197683e-03
-1.949321428571428649e+00,4.615600837037091633e-03
-1.943323809523809675e+00,4.604257220400175162e-03
-1.937323809523809448e+00,4.593547511751791892e-03
-1.931326190476190696e+00,4.583471711091943561e-03
-1.925328571428571500e+00,4.573846318739736329e-03
-1.919330952380952526e+00,4.564637971116827439e-03
-1.913333333333333330e+00,4.555930077169077254e-03
-1.907335714285714356e+00,4.547739318685657152e-03
-1.901338095238095383e+00,4.540049013877394020e-03
-1.895340476190476187e+00,4.532792435587602344e-03
-1.889340476190476181e+00,4.525969583816280388e-03
-1.883342857142857207e+00,4.519530413195913150e-03
-1.877345238095238233e+00,4.513424878358983892e-03
-1.871347619047619260e+00,4.507619615727149857e-03
-1.865350000000000064e+00,4.502114625300411913e-03
-1.859352380952380868e+00,4.496926588867939702e-03
-1.853354761904762116e+00,4.492022142851390468e-03
-1.847357142857142920e+00,4.487384605461591965e-03
-1.841357142857142914e+00,4.482980613120200568e-03
-1.835359523809523719e+00,4.478793484038044899e-03
-1.829361904761904967e+00,4.474823218215124090e-03
-1.823364285714285771e+00,4.471036452073095385e-03
-1.817366666666666797e+00,4.467399822033612557e-03
-1.811369047619047601e+00,4.463896646307506828e-03
-1.805371428571428627e+00,4.460543606683947844e-03
-1.799373809523809653e+00,4.457324021373763358e-03
-1.793376190476190679e+00,4.454237890376955104e-03
-1.787376190476190452e+00,4.451268531904350838e-03
-1.781378571428571478e+00,4.448415945955949691e-03
-1.775380952380952504e+00,4.445680132531752531e-03
-1.769383333333333530e+00,4.443027728053414865e-03
-1.763385714285714334e+00,4.440475414310108074e-03
-1.757388095238095138e+00,4.437989827723490266e-03
-1.751390476190476386e+00,4.435604331871903332e-03
-1.745392857142857190e+00,4.433268881387832268e-03
-1.739392857142857185e+00,4.431000158060448453e-03
-1.733395238095237989e+00,4.428781480100581376e-03
-1.727397619047619237e+00,4.426612847508230170e-03
-1.721400000000000041e+00,4.424510942072565345e-03
-1.715402380952381067e+00,4.422459082004417258e-03
-1.709404761904761871e+00,4.420457267303785041e-03
-1.703407142857143119e+00,4.418488816181497317e-03
-1.697409523809523924e+00,4.416587092215895974e-03
-1.691409523809523918e+00,4.414718731828639123e-03
-1.685411904761904722e+00,4.412883735019725896e-03
-1.679414285714285970e+00,4.411082101789157162e-03
-1.673416666666666774e+00,4.409330513926104297e-03
-1.667419047619047801e+00,4.407595607852222812e-03
-1.661421428571428605e+00,4.405894065356684951e-03
-1.655423809523809409e+00,4.404225886439491582e-03
-1.649426190476190657e+00,4.402574389311469591e-03
-1.643426190476190651e+00,4.400956255761792092e-03
-1.637428571428571455e+00,4.399354804001286839e-03
-1.631430952380952260e+00,4.397770034029952965e-03
-1.625433333333333508e+00,4.396218627636961848e-03
-1.619435714285714312e+00,4.394683903033143844e-03
-1.613438095238095338e+00,4.393165860218498087e-03
-1.607440476190476142e+00,4.391664499193023707e-03
-1.601442857142857390e+00,4.390179819956721574e-03
-1.595442857142857163e+00,4.388728504298763065e-03
-1.589445238095238189e+00,4.387277188640805424e-03
-1.583447619047618993e+00,4.385842554772018294e-03
-1.577450000000000241e+00,4.384424602692404277e-03
-1.571452380952381045e+00,4.383023332401960771e-03
-1.565454761904762071e+00,4.381638743900690379e-03
-1.559457142857142875e+00,4.380270837188591365e-03
-1.553459523809523679e+00,4.378902930476493219e-03
-1.547461904761904927e+00,4.377551705553566451e-03
-1.541461904761904922e+00,4.376217162419811062e-03
-1.535464285714285726e+00,4.374882619286056540e-03
-1.529466666666666530e+00,4.373564757941473397e-03
-1.523469047619047778e+00,4.372263578386062499e-03
-1.517471428571428582e+00,4.370962398830651602e-03
-1.511473809523809608e+00,4.369677901064412083e-03
-1.505476190476190412e+00,4.368393403298173432e-03
-1.499478571428571660e+00,4.367108905531933913e-03
-1.493478571428571433e+00,4.365857771344038886e-03
-1.487480952380952459e+00,4.364589955366971613e-03
-1.481483333333333263e+00,4.363338821179076586e-03
-1.475485714285714511e+00,4.362104368780352938e-03
-1.469488095238095315e+00,4.360869916381630157e-03
-1.463490476190476342e+00,4.359635463982906509e-03
-1.457492857142857146e+00,4.358417693373355974e-03
-1.451495238095237950e+00,4.357199922763804571e-03
-1.445495238095238166e+00,4.355998833943424547e-03
-1.439497619047619192e+00,4.354797745123045391e-03
-1.433499999999999996e+00,4.353596656302666235e-03
-1.427502380952380800e+00,4.352395567482287078e-03
-1.421504761904762049e+00,4.351211160451079300e-03
-1.415507142857142853e+00,4.350026753419871522e-03
-1.409509523809523879e+00,4.348842346388663745e-03
-1.403511904761904683e+00,4.347674621146629080e-03
-1.397511904761904900e+00,4.346506895904593548e-03
-1.391514285714285704e+00,4.345339170662557149e-03
-1.385516666666666730e+00,4.344171445420522484e-03
-1.379519047619047534e+00,4.343003720178486952e-03
-1.373521428571428782e+00,4.341852676725622799e-03
-1.367523809523809586e+00,4.340684951483588135e-03
-1.361526190476190612e+00,4.339533908030723981e-03
-1.355528571428571416e+00,4.338382864577860695e-03
-1.349528571428571633e+00,4.337248502914168788e-03
-1.343530952380952437e+00,4.336097459461305502e-03
-1.337533333333333463e+00,4.334963097797613595e-03
-1.331535714285714267e+00,4.333812054344749441e-03
-1.325538095238095515e+00,4.332677692681058401e-03
-1.319540476190476319e+00,4.331543331017366494e-03
-1.313542857142857123e+00,4.330408969353674586e-03
-1.307545238095238149e+00,4.329274607689983546e-03
-1.301547619047618953e+00,4.328140246026291639e-03
-1.295547619047619170e+00,4.327022566151771978e-03
-1.289549999999999974e+00,4.325888204488080070e-03
-1.283552380952381000e+00,4.324753842824388163e-03
-1.277554761904761804e+00,4.323636162949868501e-03
-1.271557142857143052e+00,4.322501801286177461e-03
-1.265559523809523856e+00,4.321367439622485554e-03
-1.259561904761904882e+00,4.320249759747965893e-03
-1.253564285714285687e+00,4.319115398084273985e-03
-1.247564285714285903e+00,4.317981036420582945e-03
-1.241566666666666707e+00,4.316846674756891038e-03
-1.235569047619047733e+00,4.315712313093199130e-03
-1.229571428571428537e+00,4.314577951429507223e-03
-1.223573809523809786e+00,4.313443589765816183e-03
-1.217576190476190590e+00,4.312309228102124276e-03
-1.211578571428571394e+00,4.311174866438433236e-03
-1.205580952380952420e+00,4.310023822985569950e-03
-1.199580952380952636e+00,4.308889461321878042e-03
-1.193583333333333441e+00,4.307738417869013889e-03
-1.187585714285714245e+00,4.306587374416150603e-03
-1.181588095238095271e+00,4.305436330963286450e-03
-1.175590476190476297e+00,4.304285287510423164e-03
-1.169592857142857323e+00,4.303134244057559878e-03
