xc,cp
-2.025045238095238176e+00,5.305155424604581296e-03
-2.021295238095238034e+00,8.602644690221157575e-03
-2.015297619047619282e+00,5.505170076776095232e-03
-2.009300000000000086e+00,3.895210603792559866e-03
-2.003302380952380890e+00,2.743166243578658986e-03
-1.997304761904761916e+00,1.892394995809930109e-03
-1.991307142857142942e+00,1.284677416276304137e-03
-1.985307142857142937e+00,8.040750702328300923e-04
-1.979309523809523963e+00,4.002089543802602465e-04
-1.973311904761904989e+00,4.805638496069568089e-05
-1.967314285714285793e+00,-2.677298840640562525e-04
-1.961316666666666597e+00,-5.548234757130681913e-04
-1.955319047619047845e+00,-8.200639235468535748e-04
-1.949321428571428649e+00,-1.067621674858380701e-03
-1.943323809523809675e+00,-1.299665362240007933e-03
-1.937323809523809448e+00,-1.517529528825493045e-03
-1.931326190476190696e+00,-1.722715535640303910e-03
-1.925328571428571500e+00,-1.917058379493357875e-03
-1.919330952380952526e+00,-2.101892603518409897e-03
-1.913333333333333330e+00,-2.277551843498894484e-03
-1.907335714285714356e+00,-2.444870188893410057e-03
-1.901338095238095383e+00,-2.604514911268838214e-03
-1.895340476190476187e+00,-2.757320100083770868e-03
-1.889340476190476181e+00,-2.903619391121648602e-03
-1.883342857142857207e+00,-3.044246873841069834e-03
-1.877345238095238233e+00,-3.179536184025469076e-03
-1.871347619047619260e+00,-3.309987775350008935e-03
-1.865350000000000064e+00,-3.435935283598125223e-03
-1.859352380952380868e+00,-3.557545526661536062e-03
-1.853354761904762116e+00,-3.675318958215404927e-03
-1.847357142857142920e+00,-3.789255578259728349e-03
-1.841357142857142914e+00,-3.899855840469663732e-03
-1.835359523809523719e+00,-4.007286562736929632e-03
-1.829361904761904967e+00,-4.111714562953248074e-03
-1.823364285714285771e+00,-4.213306659010338483e-03
-1.817366666666666797e+00,-4.312396486691637970e-03
-1.811369047619047601e+00,-4.408984045997146536e-03
-1.805371428571428627e+00,-4.503402972710303029e-03
-1.799373809523809653e+00,-4.595653266831110050e-03
-1.793376190476190679e+00,-4.685734928359564996e-03
-1.787376190476190452e+00,-4.773814775187385992e-03
-1.781378571428571478e+00,-4.860059625206294628e-03
-1.775380952380952504e+00,-4.944636296308009028e-03
-1.769383333333333530e+00,-5.027377970600810202e-03
-1.763385714285714334e+00,-5.108618283868138731e-03
-1.757388095238095138e+00,-5.188357236109993748e-03
-1.751390476190476386e+00,-5.266594827326374385e-03
-1.745392857142857190e+00,-5.343331057517278909e-03
-1.739392857142857185e+00,-5.418899562466147034e-03
-1.733395238095237989e+00,-5.493300342172982229e-03
-1.727397619047619237e+00,-5.566366578746060299e-03
-1.721400000000000041e+00,-5.638265090077105440e-03
-1.715402380952381067e+00,-5.708995876166115049e-03
-1.709404761904761871e+00,-5.778725754904804647e-03
-1.703407142857143119e+00,-5.847287908401462182e-03
-1.697409523809523924e+00,-5.914849154547802308e-03
-1.691409523809523918e+00,-5.981576311235547484e-03
-1.685411904761904722e+00,-6.047135742681253659e-03
-1.679414285714285970e+00,-6.112027902560087343e-03
-1.673416666666666774e+00,-6.175752337196882026e-03
-1.667419047619047801e+00,-6.238809500266798147e-03
-1.661421428571428605e+00,-6.301032573878119318e-03
-1.655423809523809409e+00,-6.362421558030842937e-03
-1.649426190476190657e+00,-6.422976452724971606e-03
-1.643426190476190651e+00,-6.482864075852220846e-03
-1.637428571428571455e+00,-6.541917609520876004e-03
-1.631430952380952260e+00,-6.600470689514370722e-03
-1.625433333333333508e+00,-6.658022862157548898e-03
-1.619435714285714312e+00,-6.715074581125570104e-03
-1.613438095238095338e+00,-6.771459028526712748e-03
-1.607440476190476142e+00,-6.827176204360979432e-03
-1.601442857142857390e+00,-6.882226108628366687e-03
-1.595442857142857163e+00,-6.936608741328878849e-03
-1.589445238095238189e+00,-6.990324102462511582e-03
-1.583447619047618993e+00,-7.043539009920987345e-03
-1.577450000000000241e+00,-7.096253463704307006e-03
-1.571452380952381045e+00,-7.148300645920747237e-03
-1.565454761904762071e+00,-7.199847374462027029e-03
-1.559457142857142875e+00,-7.250726831436431728e-03
