xc,cf
-2.025045238095238176e+00,2.906484809215568229e-03
-2.021295238095238034e+00,2.844828916436093012e-03
-2.015297619047619282e+00,2.793065324635576191e-03
-2.009300000000000086e+00,2.735329652311505912e-03
-2.003302380952380890e+00,2.688236961479130785e-03
-1.997304761904761916e+00,2.653688976104051286e-03
-1.991307142857142942e+00,2.629834017588182811e-03
-1.985307142857142937e+00,2.614086408609875376e-03
-1.979309523809523963e+00,2.603610245009899647e-03
-1.973311904761904989e+00,2.596437075665967032e-03
-1.967314285714285793e+00,2.591382493546870620e-03
-1.961316666666666597e+00,2.587695818139872789e-03
-1.955319047619047845e+00,2.584909959348159324e-03
-1.949321428571428649e+00,2.582657917809948189e-03
-1.943323809523809675e+00,2.580722830266003222e-03
-1.937323809523809448e+00,2.578971242402950358e-03
-1.931326190476190696e+00,2.577319745274928801e-03
-1.925328571428571500e+00,2.575718293514422681e-03
-1.919330952380952526e+00,2.574150205332261052e-03
-1.913333333333333330e+00,2.572598798939270803e-03
-1.907335714285714356e+00,2.571047392546280987e-03
-1.901338095238095383e+00,2.569529349731634361e-03
-1.895340476190476187e+00,2.568027988706160416e-03
-1.889340476190476181e+00,2.566559991259030095e-03
-1.883342857142857207e+00,2.565108675601071586e-03
-1.877345238095238233e+00,2.563724087099800760e-03
-1.871347619047619260e+00,2.562356180387702180e-03
-1.865350000000000064e+00,2.561055000832290849e-03
-1.859352380952380868e+00,2.559787184855224010e-03
-1.853354761904762116e+00,2.558569414245672607e-03
-1.847357142857142920e+00,2.557401689003637076e-03
-1.841357142857142914e+00,2.556284009129117414e-03
-1.835359523809523719e+00,2.555216374622113623e-03
-1.829361904761904967e+00,2.554198785482625703e-03
-1.823364285714285771e+00,2.553231241710653219e-03
-1.817366666666666797e+00,2.552297061517024793e-03
-1.811369047619047601e+00,2.551412926690912238e-03
-1.805371428571428627e+00,2.550578837232315554e-03
-1.799373809523809653e+00,2.549761429562890681e-03
-1.793376190476190679e+00,2.549010749050153492e-03
-1.787376190476190452e+00,2.548276750326588114e-03
-1.781378571428571478e+00,2.547576115181367229e-03
-1.775380952380952504e+00,2.546908843614489101e-03
-1.769383333333333530e+00,2.546274935625955898e-03
-1.763385714285714334e+00,2.545674391215765886e-03
-1.757388095238095138e+00,2.545090528594748554e-03
-1.751390476190476386e+00,2.544540029552074412e-03
-1.745392857142857190e+00,2.544006212298572517e-03
-1.739392857142857185e+00,2.543489076834242434e-03
-1.733395238095237989e+00,2.543005304948256842e-03
-1.727397619047619237e+00,2.542521533062270384e-03
-1.721400000000000041e+00,2.542071124754627983e-03
-1.715402380952381067e+00,2.541620716446985583e-03
-1.709404761904761871e+00,2.541186989928515428e-03
-1.703407142857143119e+00,2.540769945199217086e-03
-1.697409523809523924e+00,2.540369582259090556e-03
-1.691409523809523918e+00,2.539969219318964026e-03
