xc,cp
-2.025045238095238176e+00,5.288897096234866516e-04
-2.021295238095238034e+00,1.149785902602928987e-03
-2.015297619047619282e+00,3.108587251462765870e-04
-2.009300000000000086e+00,1.163490634014947411e-04
-2.003302380952380890e+00,-2.566429103204656198e-07
-1.997304761904761916e+00,-1.051850968018195882e-04
-1.991307142857142942e+00,-1.475568412985210772e-04
-1.985307142857142937e+00,-1.558977358845051620e-04
-1.979309523809523963e+00,-1.515604706998000656e-04
-1.973311904761904989e+00,-1.407173077380373383e-04
-1.967314285714285793e+00,-1.273718764004723057e-04
-1.961316666666666597e+00,-1.141932629546558482e-04
-1.955319047619047845e+00,-1.021823747508662761e-04
-1.949321428571428649e+00,-9.234011913942923868e-05
-1.943323809523809675e+00,-8.466649612032103249e-05
-1.937323809523809448e+00,-7.916150569358907784e-05
-1.931326190476190696e+00,-7.565832996748477249e-05
-1.925328571428571500e+00,-7.399015105028321757e-05
-1.919330952380952526e+00,-7.382333315855831870e-05
-1.913333333333333330e+00,-7.482424050888399503e-05
-1.907335714285714356e+00,-7.665923731778674546e-05
-1.901338095238095383e+00,-7.932832358531397671e-05
-1.895340476190476187e+00,-8.249786352796848431e-05
-1.889340476190476181e+00,-8.583422136237160770e-05
-1.883342857142857207e+00,-8.933739708847591304e-05
-1.877345238095238233e+00,-9.284057281458021839e-05
-1.871347619047619260e+00,-9.634374854068452373e-05
-1.865350000000000064e+00,-9.951328848333903132e-05
-1.859352380952380868e+00,-1.025160105342923570e-04
-1.853354761904762116e+00,-1.050182789100946893e-04
-1.847357142857142920e+00,-1.070200936107223386e-04
-1.841357142857142914e+00,-1.086882725279238936e-04
-1.835359523809523719e+00,-1.096891798782258665e-04
-1.829361904761904967e+00,-1.101896335534005632e-04
-1.823364285714285771e+00,-1.100228156616756643e-04
-1.817366666666666797e+00,-1.091887262030748868e-04
-1.811369047619047601e+00,-1.075205472858733319e-04
-1.805371428571428627e+00,-1.053519146935207837e-04
-1.799373809523809653e+00,-1.021823747508662761e-04
-1.793376190476190679e+00,-9.834556324131217303e-05
-1.787376190476190452e+00,-9.367466227318099585e-05
-1.781378571428571478e+00,-8.816967184642533783e-05
-1.775380952380952504e+00,-8.183059196109260572e-05
-1.769383333333333530e+00,-7.465742261715909616e-05
-1.763385714285714334e+00,-6.648334592292361362e-05
-1.757388095238095138e+00,-5.747517977006365026e-05
-1.751390476190476386e+00,-4.746610626690171393e-05
-1.745392857142857190e+00,-3.645612541343781142e-05
-1.739392857142857185e+00,-2.444523720964822917e-05
-1.733395238095237989e+00,-1.160025954725787117e-05
-1.727397619047619237e+00,2.412443357183062054e-06
-1.721400000000000041e+00,1.742605361192596316e-05
-1.715402380952381067e+00,3.344057121697083723e-05
-1.709404761904761871e+00,5.062281406406628312e-05
-1.703407142857143119e+00,6.880596426148740535e-05
-1.697409523809523924e+00,8.799002180921050055e-05
-1.691409523809523918e+00,1.085086224906853529e-04
-1.685411904761904722e+00,1.300281305224858816e-04
-1.679414285714285970e+00,1.528821816880381675e-04
-1.673416666666666774e+00,1.769039580956173387e-04
-1.667419047619047801e+00,2.019266418535221863e-04
-1.661421428571428605e+00,2.282838687452024809e-04
-1.655423809523809409e+00,2.559756387706108700e-04
-1.649426190476190657e+00,2.848351340380460631e-04
-1.643426190476190651e+00,3.150291724392567574e-04
-1.637428571428571455e+00,3.465577539742192631e-04
-1.631430952380952260e+00,3.794208786429334717e-04
-1.625433333333333508e+00,4.136185464453994917e-04
-1.619435714285714312e+00,4.491507573816172147e-04
-1.613438095238095338e+00,4.860175114516104389e-04
-1.607440476190476142e+00,5.243856265470566835e-04
-1.601442857142857390e+00,5.642551026679795299e-04
-1.595442857142857163e+00,6.056259398143790324e-04
-1.589445238095238189e+00,6.483313200945302378e-04
-1.583447619047618993e+00,6.927048792918830524e-04
-1.577450000000000241e+00,7.385797995147125230e-04
-1.571452380952381045e+00,7.859560807630187581e-04
-1.565454761904762071e+00,8.350005409285027498e-04
-1.559457142857142875e+00,8.855463621194633976e-04
-1.553459523809523679e+00,9.379271801193504992e-04
-1.547461904761904927e+00,9.918093591446905128e-04
-1.541461904761904922e+00,1.047526534978956980e-03
-1.535464285714285726e+00,1.104911889730425057e-03
-1.529466666666666530e+00,1.164132241290795951e-03
-1.523469047619047778e+00,1.225187589660093300e-03
-1.517471428571428582e+00,1.287911116946568405e-03
-1.511473809523809608e+00,1.352636458933671173e-03
-1.505476190476190412e+00,1.419196797729700395e-03
-1.499478571428571660e+00,1.487758951226357280e-03
-1.493478571428571433e+00,1.558156101531916983e-03
-1.487480952380952459e+00,1.630721884429852829e-03
-1.481483333333333263e+00,1.705122664136667857e-03
-1.475485714285714511e+00,1.781692076435859029e-03
-1.469488095238095315e+00,1.860263303435677864e-03
-1.463490476190476342e+00,1.941169980919574050e-03
-1.457492857142857146e+00,2.023744837320648211e-03
-1.451495238095237950e+00,2.108821962097524785e-03
-1.445495238095238166e+00,2.197235444708780291e-03
-1.439497619047619192e+00,2.287317106237237840e-03
-1.433499999999999996e+00,2.379066946682896998e-03
-1.427502380952380800e+00,2.472484966045733479e-03
-1.421504761904762049e+00,2.569239343242949759e-03
-1.415507142857142853e+00,2.669330078274569258e-03
-1.409509523809523879e+00,2.771088992223389932e-03
-1.403511904761904683e+00,2.876184264006590406e-03
-1.397511904761904900e+00,2.982947714706968637e-03
-1.391514285714285704e+00,3.093047523241750085e-03
-1.385516666666666730e+00,3.204815510693708857e-03
-1.379519047619047534e+00,3.319919855980071281e-03
-1.373521428571428782e+00,3.438360559100813070e-03
-1.367523809523809586e+00,3.558469441138756035e-03
-1.361526190476190612e+00,3.681914681011078799e-03
-1.355528571428571416e+00,3.808696278717804782e-03
-1.349528571428571633e+00,3.938814234258909697e-03
-1.343530952380952437e+00,4.070600368717192802e-03
-1.337533333333333463e+00,4.207391039927056882e-03
-1.331535714285714267e+00,4.345849890054145556e-03
