xc,cf
-2.025045238095238176e+00,3.314237781945198087e-03
-2.021295238095238034e+00,3.347751496391617419e-03
-2.015297619047619282e+00,3.184837143338491074e-03
-2.009300000000000086e+00,3.271999491761856324e-03
-2.003302380952380890e+00,3.454765173929586711e-03
-1.997304761904761916e+00,3.521742557454909505e-03
-1.991307142857142942e+00,3.508480535063220312e-03
-1.985307142857142937e+00,3.488162115851802490e-03
-1.979309523809523963e+00,3.479737812319974415e-03
-1.973311904761904989e+00,3.479554312639083612e-03
-1.967314285714285793e+00,3.481772990598950689e-03
-1.961316666666666597e+00,3.483791487088754718e-03
-1.955319047619047845e+00,3.484475440444804225e-03
-1.949321428571428649e+00,3.483758123510411527e-03
-1.943323809523809675e+00,3.482323489641624397e-03
-1.937323809523809448e+00,3.480321674940992181e-03
-1.931326190476190696e+00,3.478036269824436987e-03
-1.925328571428571500e+00,3.475066911351832287e-03
-1.919330952380952526e+00,3.471513690258210254e-03
-1.913333333333333330e+00,3.467776969483696552e-03
-1.907335714285714356e+00,3.464040248709182850e-03
-1.901338095238095383e+00,3.460353573302184585e-03
-1.895340476190476187e+00,3.456716943262703057e-03
-1.889340476190476181e+00,3.453030267855704792e-03
-1.883342857142857207e+00,3.449310228870363336e-03
-1.877345238095238233e+00,3.445656917041709129e-03
-1.871347619047619260e+00,3.442170423104774779e-03
-1.865350000000000064e+00,3.438884110637903044e-03
-1.859352380952380868e+00,3.435731252484407541e-03
-1.853354761904762116e+00,3.432711848644287404e-03
-1.847357142857142920e+00,3.429825899117541765e-03
-1.841357142857142914e+00,3.427056722115000981e-03
-1.835359523809523719e+00,3.424370954058319257e-03
-1.829361904761904967e+00,3.421768594947497463e-03
-1.823364285714285771e+00,3.419283008360878787e-03
-1.817366666666666797e+00,3.416930876087635478e-03
-1.811369047619047601e+00,3.414695516338596155e-03
-1.805371428571428627e+00,3.412576929113760385e-03
-1.799373809523809653e+00,3.410541750834784544e-03
-1.793376190476190679e+00,3.408606663290839577e-03
-1.787376190476190452e+00,3.406721621114411347e-03
-1.781378571428571478e+00,3.404903306094669933e-03
-1.775380952380952504e+00,3.403135036442444389e-03
-1.769383333333333530e+00,3.401433493946907829e-03
-1.763385714285714334e+00,3.399781996818885405e-03
-1.757388095238095138e+00,3.398180545058379718e-03
-1.751390476190476386e+00,3.396645820454561714e-03
-1.745392857142857190e+00,3.395161141218259581e-03
-1.739392857142857185e+00,3.393709825560301072e-03
-1.733395238095237989e+00,3.392325237059030246e-03
-1.727397619047619237e+00,3.390974012136103478e-03
-1.721400000000000041e+00,3.389656150791520769e-03
-1.715402380952381067e+00,3.388388334814453496e-03
-1.709404761904761871e+00,3.387120518837386223e-03
-1.703407142857143119e+00,3.385869384649490763e-03
-1.697409523809523924e+00,3.384634932250767548e-03
-1.691409523809523918e+00,3.383417161641216579e-03
-1.685411904761904722e+00,3.382232754610008801e-03
-1.679414285714285970e+00,3.381065029367973703e-03
-1.673416666666666774e+00,3.379930667704282229e-03
-1.667419047619047801e+00,3.378812987829762568e-03
-1.661421428571428605e+00,3.377728671533586097e-03
-1.655423809523809409e+00,3.376644355237410494e-03
-1.649426190476190657e+00,3.375593402519578515e-03
-1.643426190476190651e+00,3.374542449801746537e-03
-1.637428571428571455e+00,3.373508178873086370e-03
-1.631430952380952260e+00,3.372490589733598016e-03
-1.625433333333333508e+00,3.371489682383281908e-03
-1.619435714285714312e+00,3.370488775032966233e-03
-1.613438095238095338e+00,3.369487867682650125e-03
-1.607440476190476142e+00,3.368486960332334017e-03
-1.601442857142857390e+00,3.367502734771189721e-03
-1.595442857142857163e+00,3.366518509210044991e-03
-1.589445238095238189e+00,3.365550965438073375e-03
-1.583447619047618993e+00,3.364583421666100457e-03
-1.577450000000000241e+00,3.363632559683300653e-03
-1.571452380952381045e+00,3.362681697700499982e-03
-1.565454761904762071e+00,3.361747517506871556e-03
-1.559457142857142875e+00,3.360813337313243564e-03
