xc,cf
-2.025045238095238176e+00,5.161128706537740363e-02
-2.021295238095238034e+00,-6.620935395184681521e-03
-2.015297619047619282e+00,-1.020158135020569623e-01
-2.009300000000000086e+00,-1.020126439621142911e-01
-2.003302380952380890e+00,-2.657509105824424830e-02
-1.997304761904761916e+00,5.010558877471846945e-02
-1.991307142857142942e+00,-3.529532952998203771e-02
-1.985307142857142937e+00,7.374251630610963171e-02
-1.979309523809523963e+00,1.016683318336055464e-01
-1.973311904761904989e+00,5.790482566627366823e-02
-1.967314285714285793e+00,1.014434613155678344e-01
-1.961316666666666597e+00,5.435877774199525392e-02
-1.955319047619047845e+00,5.318387933061580197e-02
-1.949321428571428649e+00,1.012973288424216800e-01
-1.943323809523809675e+00,5.824563461905632455e-02
-1.937323809523809448e+00,1.014256118011538643e-01
-1.931326190476190696e+00,5.033880018734213091e-02
-1.925328571428571500e+00,-1.018218042939873502e-01
-1.919330952380952526e+00,-3.515820522298872264e-02
-1.913333333333333330e+00,1.016553200380514305e-01
-1.907335714285714356e+00,4.364273001372705185e-02
-1.901338095238095383e+00,1.020053039748786416e-01
-1.895340476190476187e+00,6.770520998689430470e-02
-1.889340476190476181e+00,4.442660728691631700e-02
-1.883342857142857207e+00,1.015749138142426899e-01
-1.877345238095238233e+00,-2.852002085780025627e-03
-1.871347619047619260e+00,2.877108178483789303e-02
-1.865350000000000064e+00,1.013301919670903939e-01
-1.859352380952380868e+00,-7.090761305423085026e-02
-1.853354761904762116e+00,1.015223661783510867e-01
-1.847357142857142920e+00,1.020520129845600560e-01
-1.841357142857142914e+00,-3.415029152122035089e-02
-1.835359523809523719e+00,-9.252137319484962652e-02
-1.829361904761904967e+00,-1.014264458906124627e-01
-1.823364285714285771e+00,-2.602325747243660475e-02
-1.817366666666666797e+00,6.851077358600710099e-02
-1.811369047619047601e+00,3.322478585796134060e-02
-1.805371428571428627e+00,-5.133904026609140830e-02
-1.799373809523809653e+00,-1.017629175782104184e-01
-1.793376190476190679e+00,8.751099781705867775e-02
-1.787376190476190452e+00,-1.019854526457640437e-01
-1.781378571428571478e+00,-6.371592692431754523e-02
-1.775380952380952504e+00,-3.551019097451656864e-02
-1.769383333333333530e+00,-1.011960703821480345e-01
-1.763385714285714334e+00,-2.216375872961750745e-02
-1.757388095238095138e+00,-1.014519690280455272e-01
-1.751390476190476386e+00,-1.852562732911000251e-02
-1.745392857142857190e+00,1.869194476715420675e-02
-1.739392857142857185e+00,-1.016209555523572422e-01
-1.733395238095237989e+00,2.520067844836844720e-02
-1.727397619047619237e+00,-3.108618048611915680e-02
-1.721400000000000041e+00,-2.072445395986288047e-02
-1.715402380952381067e+00,1.017123717570194430e-01
-1.709404761904761871e+00,2.400142462479797414e-02
-1.703407142857143119e+00,1.016881831627201443e-01
-1.697409523809523924e+00,1.603823910926098148e-02
-1.691409523809523918e+00,1.016317987153189939e-01
-1.685411904761904722e+00,5.247206738664929315e-02
-1.679414285714285970e+00,1.017188776547965079e-01
-1.673416666666666774e+00,3.820313220054218084e-02
-1.667419047619047801e+00,3.252264935171456095e-02
-1.661421428571428605e+00,1.768086152544317072e-02
-1.655423809523809409e+00,1.016546527664845545e-01
-1.649426190476190657e+00,4.768906479527182385e-02
-1.643426190476190651e+00,1.016182864660897384e-01
-1.637428571428571455e+00,4.301566155875398423e-02
-1.631430952380952260e+00,1.010497710911101577e-01
-1.625433333333333508e+00,2.633854328778619663e-02
-1.619435714285714312e+00,-4.655486994947190260e-02
-1.613438095238095338e+00,1.015894269708222802e-01
-1.607440476190476142e+00,3.907859249628537618e-02
-1.601442857142857390e+00,-1.013370315006508898e-01
-1.595442857142857163e+00,1.829975590372199395e-02
-1.589445238095238189e+00,-1.012272653278995516e-01
-1.583447619047618993e+00,-1.008580973335246184e-01
-1.577450000000000241e+00,3.834826376633802825e-02
-1.571452380952381045e+00,1.016251259996502343e-01
-1.565454761904762071e+00,3.301442849650323280e-02
-1.559457142857142875e+00,1.017178767474461870e-01
-1.553459523809523679e+00,2.825761631412570390e-02
-1.547461904761904927e+00,1.015428847790325745e-01
-1.541461904761904922e+00,3.670077026771763340e-02
-1.535464285714285726e+00,1.017130390285863190e-01
-1.529466666666666530e+00,3.141297673599738327e-02
-1.523469047619047778e+00,2.951592367136483125e-02
-1.517471428571428582e+00,1.019399113613246588e-01
-1.511473809523809608e+00,-9.338832577811513602e-02
-1.505476190476190412e+00,1.020653584158976168e-01
-1.499478571428571660e+00,3.631792320622170833e-02
-1.493478571428571433e+00,1.019295686520380606e-01
-1.487480952380952459e+00,3.125766927880666013e-02
-1.481483333333333263e+00,1.129393826876240459e-02
-1.475485714285714511e+00,1.017051985876755160e-01
