xc,cf
-2.025045238095238176e+00,3.039972486169399604e-03
-2.021295238095238034e+00,3.127301652484483843e-03
-2.015297619047619282e+00,3.284761060478387680e-03
-2.009300000000000086e+00,3.262957962030667292e-03
-2.003302380952380890e+00,3.216899542126952331e-03
-1.997304761904761916e+00,3.191009405332107581e-03
-1.991307142857142942e+00,3.178197791248060788e-03
-1.985307142857142937e+00,3.172709482610493788e-03
-1.979309523809523963e+00,3.171158076217503972e-03
-1.973311904761904989e+00,3.171191439795847597e-03
-1.967314285714285793e+00,3.171208121585019409e-03
-1.961316666666666597e+00,3.171091349060815856e-03
-1.955319047619047845e+00,3.171024621904128173e-03
-1.949321428571428649e+00,3.171057985482472232e-03
-1.943323809523809675e+00,3.171191439795847597e-03
-1.937323809523809448e+00,3.171374939476738833e-03
-1.931326190476190696e+00,3.171575120946801881e-03
-1.925328571428571500e+00,3.171808665995208987e-03
-1.919330952380952526e+00,3.172058892832788340e-03
-1.913333333333333330e+00,3.172359165037883129e-03
-1.907335714285714356e+00,3.172676119032150164e-03
-1.901338095238095383e+00,3.173026436604760823e-03
-1.895340476190476187e+00,3.173426799544887354e-03
-1.889340476190476181e+00,3.173860526063357508e-03
-1.883342857142857207e+00,3.174344297949343533e-03
-1.877345238095238233e+00,3.174844751624501804e-03
-1.871347619047619260e+00,3.175395250667175512e-03
-1.865350000000000064e+00,3.175962431499021466e-03
-1.859352380952380868e+00,3.176562975909211044e-03
-1.853354761904762116e+00,3.177196883897744680e-03
-1.847357142857142920e+00,3.177847473675449695e-03
-1.841357142857142914e+00,3.178498063453155578e-03
-1.835359523809523719e+00,3.179182016809205084e-03
-1.829361904761904967e+00,3.179882651954425970e-03
-1.823364285714285771e+00,3.180583287099647723e-03
-1.817366666666666797e+00,3.181300604034040854e-03
-1.811369047619047601e+00,3.182017920968433985e-03
-1.805371428571428627e+00,3.182735237902827117e-03
-1.799373809523809653e+00,3.183452554837220248e-03
-1.793376190476190679e+00,3.184186553560785626e-03
-1.787376190476190452e+00,3.184903870495179191e-03
-1.781378571428571478e+00,3.185604505640400076e-03
-1.775380952380952504e+00,3.186321822574793641e-03
-1.769383333333333530e+00,3.187022457720014960e-03
-1.763385714285714334e+00,3.187706411076064034e-03
-1.757388095238095138e+00,3.188390364432113541e-03
-1.751390476190476386e+00,3.189057635998990801e-03
-1.745392857142857190e+00,3.189724907565868496e-03
-1.739392857142857185e+00,3.190375497343573945e-03
-1.733395238095237989e+00,3.191009405332107581e-03
-1.727397619047619237e+00,3.191626631531469405e-03
-1.721400000000000041e+00,3.192243857730830796e-03
-1.715402380952381067e+00,3.192827720351848562e-03
-1.709404761904761871e+00,3.193411582972866328e-03
-1.703407142857143119e+00,3.193978763804711848e-03
-1.697409523809523924e+00,3.194529262847385989e-03
-1.691409523809523918e+00,3.195063080100887885e-03
-1.685411904761904722e+00,3.195580215565217968e-03
-1.679414285714285970e+00,3.196080669240376239e-03
-1.673416666666666774e+00,3.196564441126361830e-03
-1.667419047619047801e+00,3.197031531223176477e-03
-1.661421428571428605e+00,3.197481939530818443e-03
-1.655423809523809409e+00,3.197915666049289032e-03
-1.649426190476190657e+00,3.198349392567759186e-03
-1.643426190476190651e+00,3.198749755507885716e-03
-1.637428571428571455e+00,3.199133436658840434e-03
-1.631430952380952260e+00,3.199500436020622906e-03
-1.625433333333333508e+00,3.199867435382405378e-03
-1.619435714285714312e+00,3.200201071165844225e-03
-1.613438095238095338e+00,3.200534706949283072e-03
-1.607440476190476142e+00,3.200834979154377861e-03
-1.601442857142857390e+00,3.201135251359472651e-03
-1.595442857142857163e+00,3.201418841775395627e-03
-1.589445238095238189e+00,3.201669068612974546e-03
-1.583447619047618993e+00,3.201919295450553898e-03
-1.577450000000000241e+00,3.202152840498961005e-03
-1.571452380952381045e+00,3.202369703758195865e-03
-1.565454761904762071e+00,3.202569885228258913e-03
-1.559457142857142875e+00,3.202770066698322395e-03
-1.553459523809523679e+00,3.202936884590041819e-03
-1.547461904761904927e+00,3.203103702481761243e-03
-1.541461904761904922e+00,3.203237156795136608e-03
-1.535464285714285726e+00,3.203370611108511973e-03
-1.529466666666666530e+00,3.203487383632715527e-03
-1.523469047619047778e+00,3.203604156156919080e-03
-1.517471428571428582e+00,3.203687565102778575e-03
-1.511473809523809608e+00,3.203770974048638503e-03
-1.505476190476190412e+00,3.203837701205326186e-03
