xc,cf
-2.025045238095238176e+00,2.530160327285865991e-03
-2.021295238095238034e+00,2.650969844469025938e-03
-2.015297619047619282e+00,2.272376639211939886e-03
-2.009300000000000086e+00,2.130231113677873763e-03
-2.003302380952380890e+00,2.040399678986999036e-03
-1.997304761904761916e+00,1.970035892259773200e-03
-1.991307142857142942e+00,1.924144290247777446e-03
-1.985307142857142937e+00,1.891197756633204068e-03
-1.979309523809523963e+00,1.865741346356829906e-03
-1.973311904761904989e+00,1.845990107977257605e-03
-1.967314285714285793e+00,1.830392635101497564e-03
-1.961316666666666597e+00,1.817781202487514037e-03
-1.955319047619047845e+00,1.807405129622570049e-03
-1.949321428571428649e+00,1.798630508518131747e-03
-1.943323809523809675e+00,1.791090339812416443e-03
-1.937323809523809448e+00,1.784501033089502028e-03
-1.931326190476190696e+00,1.778712452246840022e-03
-1.925328571428571500e+00,1.773524415814368028e-03
-1.919330952380952526e+00,1.768836833057054088e-03
-1.913333333333333330e+00,1.764566295029038273e-03
-1.907335714285714356e+00,1.760612710995289494e-03
-1.901338095238095383e+00,1.756942717377463692e-03
-1.895340476190476187e+00,1.753506268808044995e-03
-1.889340476190476181e+00,1.750303365287033406e-03
-1.883342857142857207e+00,1.747317325025256459e-03
-1.877345238095238233e+00,1.744531466233543429e-03
-1.871347619047619260e+00,1.741895743544377359e-03
-1.865350000000000064e+00,1.739426838746930930e-03
-1.859352380952380868e+00,1.737074706473687837e-03
-1.853354761904762116e+00,1.734839346724648514e-03
-1.847357142857142920e+00,1.732704077710640932e-03
-1.841357142857142914e+00,1.730685581220836253e-03
-1.835359523809523719e+00,1.728767175466063748e-03
-1.829361904761904967e+00,1.726932178657150955e-03
-1.823364285714285771e+00,1.725197272583269686e-03
-1.817366666666666797e+00,1.723412321141872330e-03
-1.811369047619047601e+00,1.721660733278819249e-03
-1.805371428571428627e+00,1.719992554361625663e-03
-1.799373809523809653e+00,1.718407784390291789e-03
-1.793376190476190679e+00,1.716923105153989439e-03
-1.787376190476190452e+00,1.715488471285202743e-03
-1.781378571428571478e+00,1.714120564573103946e-03
-1.775380952380952504e+00,1.712819385017693048e-03
-1.769383333333333530e+00,1.711584932618969834e-03
-1.763385714285714334e+00,1.710383843798590677e-03
-1.757388095238095138e+00,1.709266163924070799e-03
-1.751390476190476386e+00,1.708165165838723167e-03
-1.745392857142857190e+00,1.707130894910063000e-03
-1.739392857142857185e+00,1.706129987559746892e-03
-1.733395238095237989e+00,1.705179125576946654e-03
-1.727397619047619237e+00,1.704261627172490041e-03
-1.721400000000000041e+00,1.703377492346377269e-03
-1.715402380952381067e+00,1.702526721098608772e-03
-1.709404761904761871e+00,1.701709313429183900e-03
-1.703407142857143119e+00,1.700925269338102869e-03
-1.697409523809523924e+00,1.700141225247022055e-03
-1.691409523809523918e+00,1.699407226523456894e-03
-1.685411904761904722e+00,1.698673227799891517e-03
-1.679414285714285970e+00,1.697972592654670198e-03
-1.673416666666666774e+00,1.697305321087792720e-03
-1.667419047619047801e+00,1.696671413099259083e-03
-1.661421428571428605e+00,1.696054186899897476e-03
-1.655423809523809409e+00,1.695470324278879710e-03
-1.649426190476190657e+00,1.694903143447033756e-03
-1.643426190476190651e+00,1.694352644404360049e-03
-1.637428571428571455e+00,1.693835508940029965e-03
-1.631430952380952260e+00,1.693335055264871911e-03
-1.625433333333333508e+00,1.692851283378885886e-03
-1.619435714285714312e+00,1.692384193282071674e-03
-1.613438095238095338e+00,1.691933784974429490e-03
-1.607440476190476142e+00,1.691483376666787089e-03
-1.601442857142857390e+00,1.691049650148316935e-03
-1.595442857142857163e+00,1.690632605419018376e-03
-1.589445238095238189e+00,1.690215560689719817e-03
-1.583447619047618993e+00,1.689815197749593503e-03
-1.577450000000000241e+00,1.689414834809466973e-03
-1.571452380952381045e+00,1.689031153658512472e-03
-1.565454761904762071e+00,1.688664154296730001e-03
-1.559457142857142875e+00,1.688297154934947312e-03
-1.553459523809523679e+00,1.687946837362336652e-03
-1.547461904761904927e+00,1.687596519789726210e-03
-1.541461904761904922e+00,1.687246202217115550e-03
-1.535464285714285726e+00,1.686929248222848515e-03
-1.529466666666666530e+00,1.686595612439409884e-03
-1.523469047619047778e+00,1.686261976655971037e-03
-1.517471428571428582e+00,1.685928340872532407e-03
-1.511473809523809608e+00,1.685578023299921747e-03
-1.505476190476190412e+00,1.685227705727310871e-03
-1.499478571428571660e+00,1.684860706365528616e-03
-1.493478571428571433e+00,1.684493707003745710e-03
-1.487480952380952459e+00,1.684126707641963455e-03
-1.481483333333333263e+00,1.683743026491008954e-03
-1.475485714285714511e+00,1.683359345340054453e-03
-1.469488095238095315e+00,1.682975664189099736e-03
-1.463490476190476342e+00,1.682575301248973206e-03
-1.457492857142857146e+00,1.682191620098018705e-03
-1.451495238095237950e+00,1.681791257157892175e-03
-1.445495238095238166e+00,1.681407576006937890e-03
-1.439497619047619192e+00,1.681007213066811360e-03
-1.433499999999999996e+00,1.680623531915856859e-03
-1.427502380952380800e+00,1.680239850764902359e-03
-1.421504761904762049e+00,1.679856169613947641e-03
-1.415507142857142853e+00,1.679472488462993140e-03
-1.409509523809523879e+00,1.679088807312038639e-03
-1.403511904761904683e+00,1.678688444371912109e-03
-1.397511904761904900e+00,1.678288081431785796e-03
-1.391514285714285704e+00,1.677887718491659266e-03
-1.385516666666666730e+00,1.677470673762361140e-03
-1.379519047619047534e+00,1.677070310822234610e-03
-1.373521428571428782e+00,1.676653266092936051e-03
-1.367523809523809586e+00,1.676252903152809521e-03
-1.361526190476190612e+00,1.675835858423511395e-03
-1.355528571428571416e+00,1.675418813694212836e-03
-1.349528571428571633e+00,1.675018450754086306e-03
-1.343530952380952437e+00,1.674601406024787747e-03
-1.337533333333333463e+00,1.674201043084661217e-03
-1.331535714285714267e+00,1.673800680144535121e-03
-1.325538095238095515e+00,1.673383635415236562e-03
-1.319540476190476319e+00,1.672983272475110248e-03
-1.313542857142857123e+00,1.672566227745811689e-03
-1.307545238095238149e+00,1.672165864805685159e-03
-1.301547619047618953e+00,1.671748820076387034e-03
-1.295547619047619170e+00,1.671331775347088475e-03
-1.289549999999999974e+00,1.670931412406961945e-03
-1.283552380952381000e+00,1.670514367677663819e-03
-1.277554761904761804e+00,1.670114004737537289e-03
-1.271557142857143052e+00,1.669696960008238730e-03
-1.265559523809523856e+00,1.669279915278940605e-03
-1.259561904761904882e+00,1.668862870549642045e-03
-1.253564285714285687e+00,1.668445825820343486e-03
-1.247564285714285903e+00,1.668017103838624919e-03
-1.241566666666666707e+00,1.667595054572574989e-03
-1.235569047619047733e+00,1.667171337127607575e-03
-1.229571428571428537e+00,1.666747619682640378e-03
-1.223573809523809786e+00,1.666320565879839078e-03
-1.217576190476190590e+00,1.665885171182451439e-03
-1.211578571428571394e+00,1.665438099232643574e-03
-1.205580952380952420e+00,1.664982686388249587e-03
-1.199580952380952636e+00,1.664522269007104229e-03
-1.193583333333333441e+00,1.664055178910290016e-03
-1.187585714285714245e+00,1.663589756992393072e-03
-1.181588095238095271e+00,1.663122666895578859e-03
-1.175590476190476297e+00,1.662653908619847378e-03
-1.169592857142857323e+00,1.662183482165198846e-03
-1.163595238095238127e+00,1.661711387531633046e-03
-1.157597619047619153e+00,1.661234288361315660e-03
-1.151597619047619148e+00,1.660753852833163954e-03
-1.145600000000000174e+00,1.660268412768260661e-03
-1.139602380952380978e+00,1.659777968166605564e-03
-1.133604761904762004e+00,1.659284187207116365e-03
-1.127607142857142808e+00,1.658785401710875362e-03
-1.121609523809523834e+00,1.658284948035717308e-03
-1.115611904761904860e+00,1.657782826181642202e-03
-1.109614285714285664e+00,1.657277367969732561e-03
-1.103614285714285659e+00,1.656766905221071333e-03
-1.097616666666666685e+00,1.656254774293492837e-03
-1.091619047619047711e+00,1.655735970650245702e-03
-1.085621428571428515e+00,1.655212162470246764e-03
-1.079623809523809541e+00,1.654681681574579405e-03
-1.073626190476190567e+00,1.654146196142160241e-03
-1.067628571428571593e+00,1.653604037994072223e-03
-1.061630952380952397e+00,1.653055207130315566e-03
-1.055630952380952392e+00,1.652498035371973003e-03
-1.049633333333333418e+00,1.651935859076878637e-03
-1.043635714285714444e+00,1.651368678245032683e-03
-1.037638095238095248e+00,1.650794824697518091e-03
-1.031640476190476274e+00,1.650212630255417810e-03
-1.025642857142857078e+00,1.649623763097648240e-03
-1.019645238095238104e+00,1.649024886866375713e-03
-1.013647619047619131e+00,1.648417669740517280e-03
-1.007650000000000157e+00,1.647800443541155672e-03
-1.001649999999999929e+00,1.647173208268290891e-03
-9.956523809523809554e-01,1.646537632100840204e-03
-9.896547619047619815e-01,1.645888710502051806e-03
-9.836571428571428966e-01,1.645231448008677502e-03
-9.776595238095239226e-01,1.644562508262882973e-03
-9.716619047619048377e-01,1.643881891264667786e-03
-9.656642857142857528e-01,1.643189597014032589e-03
-9.596666666666666679e-01,1.642488961868811270e-03
-9.536666666666667735e-01,1.641774981292252458e-03
-9.476690476190476886e-01,1.641049323463273204e-03
-9.416714285714286037e-01,1.640311988381873724e-03
-9.356738095238096298e-01,1.639559639690219483e-03
-9.296761904761904338e-01,1.638793945567227316e-03
-9.236785714285714599e-01,1.638011569655063769e-03
-9.176809523809523750e-01,1.637207507416976390e-03
-9.116833333333334011e-01,1.636378422495131076e-03
-9.056833333333332847e-01,1.635529319426279630e-03
-8.996857142857143108e-01,1.634658530031504568e-03
-8.936880952380952259e-01,1.633769390668640426e-03
-8.876904761904762520e-01,1.632863569516604255e-03
-8.816928571428571670e-01,1.631937730217561736e-03
-8.756952380952381931e-01,1.630991872771513085e-03
-8.696976190476191082e-01,1.630027665357375354e-03
-8.637000000000001343e-01,1.629041771617313790e-03
-8.577000000000000179e-01,1.628035859730246095e-03
-8.517023809523810440e-01,1.627008261517254783e-03
-8.457047619047619591e-01,1.625955640620505753e-03
-8.397071428571429852e-01,1.624859647071909491e-03
-8.337095238095239003e-01,1.623726953587135069e-03
-8.277119047619047043e-01,1.622562564702933856e-03
-8.217142857142857304e-01,1.621371484956057657e-03
-8.157166666666666455e-01,1.620152046167589203e-03
-8.097166666666667512e-01,1.618904248337528278e-03
-8.037190476190475552e-01,1.617626423286958048e-03
-7.977214285714285813e-01,1.616320239194795347e-03
-7.917238095238094964e-01,1.614980691524289021e-03
-7.857261904761905225e-01,1.613611116633272956e-03
-7.797285714285714375e-01,1.612206509984995999e-03
-7.737309523809524636e-01,1.610768539758375200e-03
-7.677333333333333787e-01,1.609293869595576024e-03
-7.617357142857144048e-01,1.607784167675515739e-03
-7.557357142857142884e-01,1.606236097640360025e-03
-7.497380952380953145e-01,1.604647991311191832e-03
-7.437404761904762296e-01,1.603011507793424819e-03
-7.377428571428572557e-01,1.601324978908142153e-03
-7.317452380952381708e-01,1.599593409192095203e-03
-7.257476190476189748e-01,1.597816798645284187e-03
-7.197500000000000009e-01,1.595995147267708671e-03
-7.137523809523809160e-01,1.594128455059369088e-03
-7.077523809523810217e-01,1.592213385662430902e-03
-7.017547619047620477e-01,1.590248270897976846e-03
-6.957571428571428518e-01,1.588233110766006919e-03
-6.897595238095237669e-01,1.586164568908686803e-03
-6.837619047619047929e-01,1.584039308968182179e-03
-6.777642857142857080e-01,1.581858999123410096e-03
-6.717666666666667341e-01,1.579616966658701918e-03
-6.657690476190476492e-01,1.577314879752974913e-03
-6.597690476190476438e-01,1.574949402048394327e-03
-6.537714285714285589e-01,1.572520533544960377e-03
-6.477738095238095850e-01,1.570019933348087374e-03
-6.417761904761905001e-01,1.567464283246946697e-03
-6.357785714285715262e-01,1.564810210589691547e-03
-6.297809523809524412e-01,1.562149465216767976e-03
-6.237833333333334673e-01,1.559276861121360698e-03
-6.177857142857142714e-01,1.556649479326780534e-03
-6.117857142857143771e-01,1.553299776061055869e-03
-6.057880952380952921e-01,1.551096111711443119e-03
-5.997904761904763182e-01,1.549084287937307729e-03
-5.937928571428571223e-01,1.543861219747574409e-03
-5.877976190476190688e-01,1.539752495074526648e-03
-5.818023809523809042e-01,1.537200181331220506e-03
-5.758095238095238821e-01,1.533860487138999015e-03
-5.698166666666667490e-01,1.530302261508624962e-03
-5.638238095238095049e-01,1.526693990510735255e-03
-5.578333333333334032e-01,1.522965610630807459e-03
-5.518452380952381109e-01,1.519122126405593595e-03
-5.458571428571428186e-01,1.515163537835093228e-03
-5.398690476190476373e-01,1.511093181277140896e-03
-5.338857142857142968e-01,1.506896043121481619e-03
-5.279000000000000359e-01,1.502585468799453542e-03
-5.219166666666666954e-01,1.498128094732712173e-03
-5.159357142857142753e-01,1.493573966288773598e-03
-5.099547619047619662e-01,1.488903065320631687e-03
-5.039761904761904665e-01,1.484023641987840389e-03
-4.979976190476190778e-01,1.478987409836833057e-03
-4.920214285714286095e-01,1.473826064267035833e-03
-4.860452380952380858e-01,1.468506241700105524e-03
-4.800714285714285934e-01,1.463034614851710553e-03
-4.740976190476190455e-01,1.457392833753761840e-03
-4.681261904761905290e-01,1.451577562048424848e-03
-4.621547619047619015e-01,1.445592136093534329e-03
-4.561857142857143055e-01,1.439423210457752575e-03
-4.502166666666667094e-01,1.433065780604327781e-03
-4.442500000000000338e-01,1.426513173817591310e-03
-4.382857142857142785e-01,1.419753712845122718e-03
-4.323214285714285787e-01,1.412790734044756759e-03
-4.263571428571428790e-01,1.405604219269486650e-03
-4.203952380952380996e-01,1.398190832161478291e-03
-4.144357142857142962e-01,1.390545568183980093e-03
-4.084761904761904927e-01,1.382658418263488882e-03
-4.025190476190476652e-01,1.374517705147584217e-03
-3.965619047619047821e-01,1.366116756120597242e-03
-3.906071428571428750e-01,1.357440557572273197e-03
-3.846547619047619437e-01,1.348479100429109340e-03
-3.787023809523809570e-01,1.339227380154353652e-03
-3.727500000000000258e-01,1.329685396748006348e-03
-3.668000000000000149e-01,1.319793095769048385e-03
-3.608523809523809800e-01,1.309597186227161097e-03
-3.549047619047618896e-01,1.299074313617504034e-03
-3.489595238095238305e-01,1.288156082604471810e-03
-3.430142857142857160e-01,1.276895874913415050e-03
-3.370714285714285774e-01,1.265248649713569470e-03
-3.311309523809524147e-01,1.253204397931431896e-03
-3.251904761904761965e-01,1.240724751451906466e-03
-3.192523809523810097e-01,1.227859755642509484e-03
-3.133142857142857118e-01,1.214480960726616954e-03
-3.073785714285714454e-01,1.200690125618177452e-03
-3.014428571428571235e-01,1.186383823224325135e-03
-2.955095238095238330e-01,1.171585408049900887e-03
-2.895785714285714074e-01,1.156306557347324716e-03
-2.836476190476190373e-01,1.140393798656215126e-03
-2.777190476190476431e-01,1.123908854596507995e-03
-2.717928571428571694e-01,1.106843384273617416e-03
-2.658666666666666956e-01,1.089155683214613644e-03
-2.599404761904761663e-01,1.070817392377904640e-03
-2.540166666666666684e-01,1.051805157258649303e-03
-2.480952380952381187e-01,1.032083946099586740e-03
-2.421761904761904893e-01,1.011623731680207213e-03
-2.362561904761904807e-01,9.903878140643327787e-04
-2.303385714285714481e-01,9.683411614947023266e-04
-2.244226190476190375e-01,9.454504103929717990e-04
-2.185078571428571426e-01,9.216771926440459842e-04
-2.125947619047619253e-01,8.969798037749947012e-04
-2.066830952380952491e-01,8.713132029550539918e-04
-2.007728571428571418e-01,8.446306811745425214e-04
-1.948640476190476034e-01,8.168838612448615791e-04
-1.889566666666666617e-01,7.880310386930812006e-04
-1.830509523809523975e-01,7.580221681516857322e-04
-1.771466666666666745e-01,7.268055360742420356e-04
-1.712438095238095204e-01,6.943227561986483340e-04
-1.653423809523809629e-01,6.605171104417202274e-04
-1.594426190476190275e-01,6.253352170781073093e-04
-1.535442857142857165e-01,5.887236943824596070e-04
-1.476476190476190553e-01,5.506274924505094462e-04
-1.417523809523809630e-01,5.109982340936585496e-04
-1.358585714285714396e-01,4.697975511968111636e-04
-1.299664285714285661e-01,4.269937483605407689e-04
-1.240757142857142892e-01,3.825584665432550028e-04
-1.181864285714285812e-01,3.364783603136163722e-04
-1.122988095238095230e-01,2.887801205342999718e-04
-1.064128571428571562e-01,2.395054516782356847e-04
-1.005280952380952358e-01,1.887677899117925552e-04
-9.464523809523810172e-02,1.366865768454417055e-04
-8.876380952380953648e-02,8.356325240952002876e-05
-8.288404761904763496e-02,2.953560818258771720e-05
-7.700571428571428845e-02,-2.468170798722952116e-05
-7.112880952380952471e-02,-7.876823892993877006e-05
-6.525380952380951949e-02,-1.307788880280923182e-04
-5.938023809523809704e-02,-1.693068146638121126e-04
-5.350809523809524348e-02,-2.221914226966833746e-04
-4.763785714285714151e-02,-2.040199497516935771e-04
-4.176904761904762231e-02,-2.739700281074552816e-04
-3.590166666666667200e-02,-1.880754956611571964e-04
-3.003619047619047674e-02,-2.507790048006299649e-04
-2.417214285714285732e-02,-3.329184665043252679e-04
-1.830976190476190507e-02,-2.664165139704027557e-04
-1.244897619047619086e-02,-1.960026818756611575e-04
-6.589809523809523825e-03,-5.739152701345320899e-05
-7.366142857142857995e-04,-1.038743316337023401e-04
5.090809523809524360e-03,-3.020721701464985248e-04
1.087054761904761996e-02,-3.771468941358790223e-04
1.658602380952381092e-02,-4.087638891534491948e-04
2.221792857142856903e-02,-3.143416260824574075e-04
2.775309523809523990e-02,-3.665222626122730041e-04
3.318642857142857505e-02,-2.027704837427155471e-04
3.851833333333333498e-02,-2.043752718610557966e-04
4.375428571428571084e-02,-1.007848642790598083e-04
4.890523809523809884e-02,1.197141909061306790e-04
5.398357142857143631e-02,4.001343996148067008e-04
5.900119047619047791e-02,7.104306918230696025e-04
6.397333333333334038e-02,1.050665791058206242e-03
6.891714285714285737e-02,1.401155186097331404e-03
7.384785714285714564e-02,1.755724946767912506e-03
7.877714285714286502e-02,2.125810439547310988e-03
8.371809523809524423e-02,2.496029386640084835e-03
8.868523809523809476e-02,2.828330626945048387e-03
9.368523809523809920e-02,3.156594874270403448e-03
9.872404761904761405e-02,3.553321184357383436e-03
1.038245238095238110e-01,3.795490717766377906e-03
1.090059523809523839e-01,3.667241122612534179e-03
1.142473809523809614e-01,3.661352451034841082e-03
1.195259523809523855e-01,3.832240699312152669e-03
1.248409523809523858e-01,3.896115270051495397e-03
1.301909523809523794e-01,3.912663604910056325e-03
1.355711904761904840e-01,3.974736542418829885e-03
1.409807142857142925e-01,3.973602180755137978e-03
1.464171428571428568e-01,3.871843266806328579e-03
1.518676190476190568e-01,4.006999122677353323e-03
1.573254761904762100e-01,4.308155462598312231e-03
1.627983333333333504e-01,4.507319343522055502e-03
1.682957142857142985e-01,4.528471852192070442e-03
1.738219047619047886e-01,4.419089360591686028e-03
1.793730952380952481e-01,4.340067725284226310e-03
1.849440476190476190e-01,4.355264835219859604e-03
1.905323809523809531e-01,4.384908374578389868e-03
1.961385714285714399e-01,4.368009722147218714e-03
2.017619047619047534e-01,4.325804795542220575e-03
2.074011904761904890e-01,4.291807309209815652e-03
2.130547619047618857e-01,4.269887438237892144e-03
2.187214285714285666e-01,4.244581164064064292e-03
2.244009523809523676e-01,4.206696820854598055e-03
2.300916666666666666e-01,4.167427889143861426e-03
2.357926190476190287e-01,4.141304207300610003e-03
2.415023809523809406e-01,4.126674278196821796e-03
2.472214285714285642e-01,4.114363117787933274e-03
2.529476190476190323e-01,4.102185411692420118e-03
2.586809523809524003e-01,4.090291296012829939e-03
2.644238095238095609e-01,4.077896726658081054e-03
2.701690476190476420e-01,4.065952565610975004e-03
2.759238095238095712e-01,4.056377218626283643e-03
2.816833333333333411e-01,4.048903777077256239e-03
2.874476190476190629e-01,4.040496155334600409e-03
2.932166666666666810e-01,4.029886537421249748e-03
2.989904761904761954e-01,4.020794962322543978e-03
3.047690476190476616e-01,4.017041559758858897e-03
3.105523809523809686e-01,4.018876556567771256e-03
3.163380952380952515e-01,4.028868948281760960e-03
3.221285714285714308e-01,4.044583193681725204e-03
3.279214285714285304e-01,4.051489454398906655e-03
3.337190476190476374e-01,4.041563789841605067e-03
3.395190476190476647e-01,4.030203491415516349e-03
3.453238095238095329e-01,4.033723348930794324e-03
3.511309523809523769e-01,4.042464606456889001e-03
3.569428571428571173e-01,4.037560160440339767e-03
3.627571428571428336e-01,4.020111008966494905e-03
3.685738095238095258e-01,4.009217800637221267e-03
3.743928571428571384e-01,4.013922065183707019e-03
