xc,cf
-2.025045238095238176e+00,2.861944432126499460e-03
-2.021295238095238034e+00,2.834352752836117716e-03
-2.015297619047619282e+00,2.752295031899364749e-03
-2.009300000000000086e+00,2.669786902654969381e-03
-2.003302380952380890e+00,2.610466460359565227e-03
-1.997304761904761916e+00,2.569546031520806607e-03
-1.991307142857142942e+00,2.540853354145077014e-03
-1.985307142857142937e+00,2.520635025668690500e-03
-1.979309523809523963e+00,2.506205278034965775e-03
-1.973311904761904989e+00,2.495762478013334104e-03
-1.967314285714285793e+00,2.488122218572587276e-03
-1.961316666666666597e+00,2.482433728464957228e-03
-1.955319047619047845e+00,2.478029736123566265e-03
-1.949321428571428649e+00,2.474409787873256116e-03
-1.943323809523809675e+00,2.471273611508931992e-03
-1.937323809523809448e+00,2.468421025560531279e-03
-1.931326190476190696e+00,2.465735257503849122e-03
-1.925328571428571500e+00,2.463149580182199139e-03
-1.919330952380952526e+00,2.460630630017236840e-03
-1.913333333333333330e+00,2.458195088798134035e-03
-1.907335714285714356e+00,2.455809592946547534e-03
-1.901338095238095383e+00,2.453507506040820095e-03
-1.895340476190476187e+00,2.451272146291780772e-03
-1.889340476190476181e+00,2.449120195488600944e-03
-1.883342857142857207e+00,2.447051653631281045e-03
-1.877345238095238233e+00,2.445049838930648829e-03
-1.871347619047619260e+00,2.443148114965048353e-03
-1.865350000000000064e+00,2.441313118156135126e-03
-1.859352380952380868e+00,2.439578212082253641e-03
-1.853354761904762116e+00,2.437910033165059838e-03
-1.847357142857142920e+00,2.436325263193725964e-03
-1.841357142857142914e+00,2.434823902168252018e-03
-1.835359523809523719e+00,2.433389268299465322e-03
-1.829361904761904967e+00,2.432021361587366742e-03
-1.823364285714285771e+00,2.430736863821127657e-03
-1.817366666666666797e+00,2.429502411422404442e-03
-1.811369047619047601e+00,2.428334686180368910e-03
-1.805371428571428627e+00,2.427217006305849249e-03
-1.799373809523809653e+00,2.426166053588017270e-03
-1.793376190476190679e+00,2.425165146237701162e-03
-1.787376190476190452e+00,2.424214284254900490e-03
-1.781378571428571478e+00,2.423296785850444311e-03
-1.775380952380952504e+00,2.422446014602675814e-03
-1.769383333333333530e+00,2.421628606933250508e-03
-1.763385714285714334e+00,2.420844562842169694e-03
-1.757388095238095138e+00,2.420093882329432504e-03
-1.751390476190476386e+00,2.419393247184211185e-03
-1.745392857142857190e+00,2.418709293828162112e-03
-1.739392857142857185e+00,2.418075385839628475e-03
-1.733395238095237989e+00,2.417458159640266651e-03
-1.727397619047619237e+00,2.416874297019248885e-03
-1.721400000000000041e+00,2.416307116187402931e-03
-1.715402380952381067e+00,2.415773298933901036e-03
-1.709404761904761871e+00,2.415256163469571386e-03
-1.703407142857143119e+00,2.414755709794413115e-03
-1.697409523809523924e+00,2.414288619697598903e-03
-1.691409523809523918e+00,2.413838211389956502e-03
-1.685411904761904722e+00,2.413404484871486348e-03
-1.679414285714285970e+00,2.412987440142188005e-03
-1.673416666666666774e+00,2.412587077202061475e-03
-1.667419047619047801e+00,2.412203396051106757e-03
-1.661421428571428605e+00,2.411836396689324286e-03
-1.655423809523809409e+00,2.411469397327541814e-03
-1.649426190476190657e+00,2.411119079754931154e-03
-1.643426190476190651e+00,2.410785443971492307e-03
-1.637428571428571455e+00,2.410468489977225705e-03
-1.631430952380952260e+00,2.410151535982958670e-03
-1.625433333333333508e+00,2.409851263777863881e-03
-1.619435714285714312e+00,2.409550991572769092e-03
-1.613438095238095338e+00,2.409267401156846115e-03
-1.607440476190476142e+00,2.409000492530095384e-03
-1.601442857142857390e+00,2.408716902114172408e-03
-1.595442857142857163e+00,2.408466675276593055e-03
-1.589445238095238189e+00,2.408199766649842324e-03
