xc,cf
-2.025045238095238176e+00,2.641094225279239788e-03
-2.021295238095238034e+00,2.635922870635939389e-03
-2.015297619047619282e+00,2.397173104007192888e-03
-2.009300000000000086e+00,2.241932373973156561e-03
-2.003302380952380890e+00,2.147746992308406742e-03
-1.997304761904761916e+00,2.086257917420650948e-03
-1.991307142857142942e+00,2.044086354393996868e-03
-1.985307142857142937e+00,2.013291771582602883e-03
-1.979309523809523963e+00,1.989987312109408549e-03
-1.973311904761904989e+00,1.972071070538749474e-03
-1.967314285714285793e+00,1.958025004055979467e-03
-1.961316666666666597e+00,1.946881568889126260e-03
-1.955319047619047845e+00,1.937840039157937011e-03
-1.949321428571428649e+00,1.930316552241393953e-03
-1.943323809523809675e+00,1.923910745199370340e-03
-1.937323809523809448e+00,1.918372391194287686e-03
-1.931326190476190696e+00,1.913551354123598164e-03
-1.925328571428571500e+00,1.909230770728066913e-03
-1.919330952380952526e+00,1.905360595640177629e-03
-1.913333333333333330e+00,1.901807374546555379e-03
-1.907335714285714356e+00,1.898504380290511832e-03
-1.901338095238095383e+00,1.895418249293703795e-03
-1.895340476190476187e+00,1.892498936188615182e-03
-1.889340476190476181e+00,1.889779804553589617e-03
-1.883342857142857207e+00,1.887210809021111230e-03
-1.877345238095238233e+00,1.884791949591180672e-03
-1.871347619047619260e+00,1.882506544474625261e-03
-1.865350000000000064e+00,1.880337911882273838e-03
-1.859352380952380868e+00,1.878252688235781910e-03
-1.853354761904762116e+00,1.876267555324321505e-03
-1.847357142857142920e+00,1.874349149569548784e-03
-1.841357142857142914e+00,1.872514152760635774e-03
-1.835359523809523719e+00,1.870779246686754506e-03
-1.829361904761904967e+00,1.869111067769560703e-03
-1.823364285714285771e+00,1.867526297798226828e-03
-1.817366666666666797e+00,1.866008254983580637e-03
-1.811369047619047601e+00,1.864573621114794157e-03
-1.805371428571428627e+00,1.863189032613523548e-03
-1.799373809523809653e+00,1.861854489479768809e-03
-1.793376190476190679e+00,1.860586673502701537e-03
-1.787376190476190452e+00,1.859352221103978322e-03
-1.781378571428571478e+00,1.858167814072770978e-03
-1.775380952380952504e+00,1.857033452409079287e-03
-1.769383333333333530e+00,1.855949136112903467e-03
-1.763385714285714334e+00,1.854898183395071488e-03
-1.757388095238095138e+00,1.853897276044755163e-03
-1.751390476190476386e+00,1.852946414061954926e-03
-1.745392857142857190e+00,1.852012233868326717e-03
-1.739392857142857185e+00,1.851128099042213728e-03
-1.733395238095237989e+00,1.850277327794445014e-03
-1.727397619047619237e+00,1.849459920125020359e-03
-1.721400000000000041e+00,1.848659194244767516e-03
-1.715402380952381067e+00,1.847891831942858514e-03
-1.709404761904761871e+00,1.847124469640949295e-03
-1.703407142857143119e+00,1.846357107339040293e-03
-1.697409523809523924e+00,1.845606426826303104e-03
-1.691409523809523918e+00,1.844872428102737943e-03
