xc,cp
-2.025045238095238176e+00,1.645658501811479366e-02
-2.021295238095238034e+00,6.583134460921075647e-03
-2.015297619047619282e+00,3.383567297743766359e-03
-2.009300000000000086e+00,1.851011326518011042e-03
-2.003302380952380890e+00,8.197431199089352674e-04
-1.997304761904761916e+00,2.055196425982516912e-04
-1.991307142857142942e+00,-2.196991633943938115e-04
-1.985307142857142937e+00,-5.349849787439829541e-04
-1.979309523809523963e+00,-7.737013817943868069e-04
-1.973311904761904989e+00,-9.602037847366284027e-04
-1.967314285714285793e+00,-1.110173069392332481e-03
-1.961316666666666597e+00,-1.233284673481223120e-03
-1.955319047619047845e+00,-1.336378130563784005e-03
-1.949321428571428649e+00,-1.425959338417084367e-03
-1.943323809523809675e+00,-1.504864201200341181e-03
-1.937323809523809448e+00,-1.575094533614187749e-03
-1.931326190476190696e+00,-1.638652150359263659e-03
-1.925328571428571500e+00,-1.697205230352758594e-03
-1.919330952380952526e+00,-1.751087409378110533e-03
-1.913333333333333330e+00,-1.801299594785639273e-03
-1.907335714285714356e+00,-1.849176329709096298e-03
-1.901338095238095383e+00,-1.894717614148482042e-03
-1.895340476190476187e+00,-1.938090265995515062e-03
-1.889340476190476181e+00,-1.979294285250195792e-03
-1.883342857142857207e+00,-2.018830125587686621e-03
-1.877345238095238233e+00,-2.056864604899700470e-03
-1.871347619047619260e+00,-2.093564541077957194e-03
-1.865350000000000064e+00,-2.129096752014180555e-03
-1.859352380952380868e+00,-2.163294419816646792e-03
-1.853354761904762116e+00,-2.196824816052242706e-03
-1.847357142857142920e+00,-2.229687940720957023e-03
-1.841357142857142914e+00,-2.261550158039351329e-03
-1.835359523809523719e+00,-2.292578285899151119e-03
-1.829361904761904967e+00,-2.322605506408636968e-03
-1.823364285714285771e+00,-2.351965455351246858e-03
-1.817366666666666797e+00,-2.380824950618694140e-03
-1.811369047619047601e+00,-2.409017174319265028e-03
-1.805371428571428627e+00,-2.436542126452960390e-03
-1.799373809523809653e+00,-2.463399807019774155e-03
-1.793376190476190679e+00,-2.489923851803155577e-03
-1.787376190476190452e+00,-2.515947442911373958e-03
-1.781378571428571478e+00,-2.541637398236154793e-03
-1.775380952380952504e+00,-2.566660081994059667e-03
-1.769383333333333530e+00,-2.591349129968526562e-03
-1.763385714285714334e+00,-2.615537724267830849e-03
-1.757388095238095138e+00,-2.639225864891983804e-03
-1.751390476190476386e+00,-2.662580369732693141e-03
-1.745392857142857190e+00,-2.685434420898245075e-03
-1.739392857142857185e+00,-2.707788018388640472e-03
-1.733395238095237989e+00,-2.729974797987311241e-03
-1.727397619047619237e+00,-2.751661123910830679e-03
-1.721400000000000041e+00,-2.772846996159187075e-03
-1.715402380952381067e+00,-2.793866050515824914e-03
-1.709404761904761871e+00,-2.814551469089030845e-03
-1.703407142857143119e+00,-2.834903251878792291e-03
-1.697409523809523924e+00,-2.854754580993391563e-03
-1.691409523809523918e+00,-2.874272274324558493e-03
-1.685411904761904722e+00,-2.893122696088843392e-03
-1.679414285714285970e+00,-2.911639482069696815e-03
-1.673416666666666774e+00,-2.929488996483668208e-03
-1.667419047619047801e+00,-2.947004875114201186e-03
-1.661421428571428605e+00,-2.964353935853009971e-03
-1.655423809523809409e+00,-2.981369360808386413e-03
-1.649426190476190657e+00,-2.998217967872043865e-03
-1.643426190476190651e+00,-3.014732939152257700e-03
-1.637428571428571455e+00,-3.031247910432477172e-03
-1.631430952380952260e+00,-3.047262428037533603e-03
-1.625433333333333508e+00,-3.063276945642590468e-03
-1.619435714285714312e+00,-3.079291463247652971e-03
-1.613438095238095338e+00,-3.095472798744428825e-03
