xc,cf
-2.025421428571428706e+00,1.424075964419571280e-02
-2.024669047619047646e+00,6.448295559044316637e-03
-2.022795238095238091e+00,7.192053129275080559e-03
-2.019797619047619008e+00,7.030773591560803525e-03
-2.016797619047619339e+00,4.274708475308581015e-03
-2.013797619047619225e+00,3.399998860078120699e-03
-2.010797619047619111e+00,3.192393993833377974e-03
-2.007800000000000029e+00,2.910088075676706566e-03
-2.004799999999999915e+00,2.689287914196962330e-03
-2.001802380952380833e+00,2.547092343295380770e-03
-1.998804761904761973e+00,2.444649475990522298e-03
-1.995804761904762081e+00,2.374569279679219439e-03
-1.992807142857142999e+00,2.332431080230909417e-03
-1.989807142857142885e+00,2.307308305737973669e-03
-1.986807142857142772e+00,2.288257702503623120e-03
-1.983809523809523911e+00,2.270441551667995352e-03
-1.980809523809524020e+00,2.252024856422178006e-03
-1.977811904761904938e+00,2.234542341369989086e-03
-1.974811904761904824e+00,2.218828095970025709e-03
-1.971811904761904932e+00,2.204081394342034383e-03
-1.968814285714285850e+00,2.193772048633777644e-03
-1.965816666666666768e+00,2.185681380885388849e-03
-1.962816666666666654e+00,2.178991983427442693e-03
-1.959816666666666762e+00,2.173970764886689905e-03
-1.956816666666666871e+00,2.170367498425551569e-03
-1.953819047619047788e+00,2.167798502893073832e-03
-1.950821428571428706e+00,2.166113642186707784e-03
-1.947821428571428592e+00,2.163778191702637153e-03
-1.944823809523809732e+00,2.161159150802643113e-03
-1.941823809523809619e+00,2.159874653036404028e-03
-1.938823809523809505e+00,2.158156428751694788e-03
-1.935826190476190423e+00,2.155270479224949583e-03
-1.932826190476190531e+00,2.151500394872092256e-03
-1.929828571428571671e+00,2.147746992308406742e-03
-1.926828571428571557e+00,2.145444905402679302e-03
-1.923830952380952475e+00,2.142058502200776694e-03
-1.920830952380952583e+00,2.138905644047280757e-03
-1.917833333333333501e+00,2.135569286212893585e-03
-1.914833333333333387e+00,2.132216246589334167e-03
-1.911833333333333274e+00,2.128779798019915688e-03
-1.908835714285714191e+00,2.125576894498903881e-03
-1.905835714285714522e+00,2.122640899604642806e-03
-1.902838095238095439e+00,2.119871722602101587e-03
-1.899838095238095326e+00,2.117469544961342841e-03
-1.896840476190476243e+00,2.113782869554345009e-03
-1.893840476190476352e+00,2.110746783925053060e-03
-1.890840476190476238e+00,2.108494742386841057e-03
-1.887840476190476124e+00,2.106542973053724711e-03
-1.884842857142857042e+00,2.105175066341626131e-03
-1.881842857142857373e+00,2.103473523846088704e-03
-1.878845238095238290e+00,2.101505072723800112e-03
-1.875847619047619208e+00,2.099636712336543261e-03
-1.872847619047619094e+00,2.097584852268395174e-03
-1.869850000000000012e+00,2.095216038205980486e-03
-1.866850000000000120e+00,2.093197541716176023e-03
-1.863850000000000007e+00,2.091245772383059677e-03
-1.860852380952380924e+00,2.089127185158223907e-03
-1.857852380952381033e+00,2.087075325090075387e-03
-1.854854761904761951e+00,2.085040146811099546e-03
-1.851854761904762059e+00,2.083004968532123271e-03
-1.848857142857142977e+00,2.081136608144866420e-03
-1.845857142857142863e+00,2.079268247757609569e-03
-1.842857142857142971e+00,2.077550023472900329e-03
-1.839857142857142858e+00,2.075981935290738267e-03
-1.836859523809523775e+00,2.074196983849340911e-03
-1.833859523809523884e+00,2.072795713558898707e-03
-1.830861904761904801e+00,2.070944034960813668e-03
-1.827864285714285941e+00,2.069409310356995664e-03
-1.824864285714285828e+00,2.067574313548082438e-03
-1.821866666666666745e+00,2.065755998528341457e-03
-1.818866666666666854e+00,2.064054456032804030e-03
-1.815866666666666740e+00,2.062069323121344059e-03
-1.812869047619047658e+00,2.060634689252557362e-03
-1.809869047619047544e+00,2.058649556341096958e-03
-1.806871428571428462e+00,2.057465149309889614e-03
-1.803871428571428792e+00,2.055746925025179941e-03
-1.800873809523809710e+00,2.054746017674863832e-03
-1.797873809523809596e+00,2.053044475179326405e-03
-1.794876190476190514e+00,2.051776659202259566e-03
-1.791876190476190622e+00,2.049874935236658657e-03
-1.788876190476190509e+00,2.048240119897808912e-03
-1.785876190476190395e+00,2.046505213823927426e-03
-1.782878571428571313e+00,2.044603489858326517e-03
-1.779878571428571643e+00,2.042835220206101841e-03
-1.776880952380952561e+00,2.040883450872985061e-03
-1.773883333333333479e+00,2.039148544799103575e-03
-1.770883333333333365e+00,2.037163411887643171e-03
-1.767883333333333473e+00,2.035478551181277990e-03
-1.764885714285714391e+00,2.033560145426505268e-03
-1.761885714285714277e+00,2.031891966509311465e-03
-1.758888095238095195e+00,2.029973560754538744e-03
-1.755888095238095303e+00,2.028088518578110514e-03
-1.752890476190476443e+00,2.026286885347540912e-03
-1.749890476190476329e+00,2.024435206749456307e-03
-1.746892857142857247e+00,2.022683618886403009e-03
-1.743892857142857133e+00,2.020865303866662029e-03
-1.740892857142857242e+00,2.019147079581952789e-03
-1.737895238095238160e+00,2.017428855297243116e-03
-1.734895238095238046e+00,2.016010903217628665e-03
-1.731897619047618964e+00,2.014743087240561826e-03
-1.728897619047619294e+00,2.013325135160946942e-03
-1.725897619047619180e+00,2.011873819502988433e-03
-1.722900000000000098e+00,2.010072186272419265e-03
-1.719899999999999984e+00,2.008437370933569520e-03
-1.716902380952381124e+00,2.006769192016376151e-03
-1.713902380952381010e+00,2.005101013099182348e-03
-1.710904761904761928e+00,2.003399470603644920e-03
-1.707904761904761815e+00,2.001597837373075752e-03
-1.704907142857142732e+00,1.999879613088366512e-03
-1.701907142857143063e+00,1.998144707014485027e-03
-1.698909523809523980e+00,1.996359755573088104e-03
-1.695909523809523867e+00,1.994741622023410172e-03
-1.692909523809523975e+00,1.993056761317044557e-03
-1.689911904761904893e+00,1.991588763869914236e-03
-1.686911904761904779e+00,1.989787130639345501e-03
-1.683914285714285697e+00,1.988252406035527064e-03
-1.680914285714285583e+00,1.986634272485849565e-03
-1.677916666666666945e+00,1.985032820725343445e-03
-1.674916666666666831e+00,1.983598186856557182e-03
-1.671916666666666718e+00,1.982096825831082803e-03
-1.668919047619047635e+00,1.980812328064844152e-03
-1.665919047619047744e+00,1.979361012406885209e-03
-1.662919047619047630e+00,1.977959742116442571e-03
-1.659921428571428548e+00,1.976525108247656308e-03
-1.656921428571428656e+00,1.975090474378870045e-03
-1.653923809523809796e+00,1.973555749775051608e-03
-1.650926190476190714e+00,1.972171161273780782e-03
-1.647926190476190600e+00,1.970686482037478648e-03
-1.644926190476190486e+00,1.969351938903723693e-03
-1.641928571428571404e+00,1.967917305034937430e-03
-1.638928571428571512e+00,1.966666170847042403e-03
-1.635930952380952430e+00,1.965214855189083894e-03
-1.632930952380952316e+00,1.963813584898640822e-03
-1.629930952380952647e+00,1.962395632819026372e-03
-1.626933333333333564e+00,1.960844226426036556e-03
-1.623933333333333451e+00,1.959342865400562177e-03
-1.620935714285714369e+00,1.957924913320947726e-03
-1.617935714285714477e+00,1.956540324819676900e-03
-1.614938095238095395e+00,1.955322554210125498e-03
-1.611938095238095281e+00,1.954004692865542788e-03
-1.608940476190476199e+00,1.952803604045163415e-03
-1.605940476190476085e+00,1.951619197013955854e-03
-1.602940476190476415e+00,1.950351381036888581e-03
-1.599942857142857333e+00,1.949283746529884790e-03
-1.596942857142857219e+00,1.947982566974473893e-03
-1.593942857142857328e+00,1.946848205310782202e-03
-1.590945238095238246e+00,1.945513662177027463e-03
-1.587945238095238132e+00,1.944362618724163744e-03
-1.584947619047619050e+00,1.943078120957924659e-03
-1.581949999999999967e+00,1.941843668559201444e-03
-1.578950000000000298e+00,1.940475761847102647e-03
-1.575952380952381215e+00,1.939274673026723274e-03
-1.572952380952381102e+00,1.938040220628000059e-03
-1.569952380952380988e+00,1.936839131807620469e-03
-1.566952380952381096e+00,1.935771497300616678e-03
-1.563954761904762014e+00,1.934737226371956945e-03
-1.560957142857142932e+00,1.933753000810812649e-03
-1.557957142857142818e+00,1.932802138828012195e-03
