xc,cp
-2.025421428571428706e+00,-1.750124998464348824e-01
-2.024669047619047646e+00,3.778957781482437245e-02
-2.022795238095238091e+00,1.256842567828375667e-01
-2.019797619047619008e+00,-1.605506718489181986e-02
-2.016797619047619339e+00,-1.005379353028786928e-02
-2.013797619047619225e+00,3.212566126585899347e-03
-2.010797619047619111e+00,2.006690915928641789e-04
-2.007800000000000029e+00,-8.886517413345495879e-04
-2.004799999999999915e+00,-4.634329353419041394e-04
-2.001802380952380833e+00,-3.162995548454284201e-04
-1.998804761904761973e+00,-2.117047367373909607e-04
-1.995804761904762081e+00,7.722385172054155008e-05
-1.992807142857142999e+00,3.816665041083679112e-04
-1.989807142857142885e+00,6.772678082350770158e-04
-1.986807142857142772e+00,8.310739044003233929e-04
-1.983809523809523911e+00,9.510159685465417300e-04
-1.980809523809524020e+00,9.661963966930036448e-04
-1.977811904761904938e+00,1.013405860049584927e-03
-1.974811904761904824e+00,9.935545309349800170e-04
-1.971811904761904932e+00,1.021579936743832132e-03
-1.968814285714285850e+00,1.061449412864760942e-03
-1.965816666666666768e+00,1.061949866539917912e-03
-1.962816666666666654e+00,1.103821157361474384e-03
-1.959816666666666762e+00,1.129177476902817022e-03
-1.956816666666666871e+00,1.175219215017359519e-03
-1.953819047619047788e+00,1.198073266182911887e-03
-1.950821428571428706e+00,1.222428678373940801e-03
-1.947821428571428592e+00,1.203244620826211852e-03
-1.944823809523809732e+00,1.220426863673307284e-03
-1.941823809523809619e+00,1.185061470628802479e-03
-1.938823809523809505e+00,1.146026083966474474e-03
-1.935826190476190423e+00,1.100151163743650967e-03
-1.932826190476190531e+00,1.073793936851994389e-03
-1.929828571428571671e+00,1.064452134915708399e-03
-1.926828571428571557e+00,1.027251745062289067e-03
-1.923830952380952475e+00,1.005899054922213464e-03
-1.920830952380952583e+00,9.808763711643085897e-04
-1.917833333333333501e+00,9.373369014255564713e-04
-1.914833333333333387e+00,9.104792208587370690e-04
-1.911833333333333274e+00,8.522597766486801141e-04
-1.908835714285714191e+00,8.290720896996898754e-04
-1.905835714285714522e+00,7.650140192794569957e-04
-1.902838095238095439e+00,7.388236102795194080e-04
-1.899838095238095326e+00,7.099641150120663798e-04
-1.896840476190476243e+00,6.752659935344434983e-04
-1.893840476190476352e+00,6.348960637383578272e-04
-1.890840476190476238e+00,6.028670285282383516e-04
-1.887840476190476124e+00,5.943593160505531662e-04
-1.884842857142857042e+00,5.536557504710295152e-04
-1.881842857142857373e+00,5.091153733819577107e-04
-1.878845238095238290e+00,4.805895138979485713e-04
-1.875847619047619208e+00,4.483936607961161230e-04
-1.872847619047619094e+00,4.225368875796105522e-04
-1.869850000000000012e+00,3.890064913440204378e-04
-1.866850000000000120e+00,3.633165360192397116e-04
-1.863850000000000007e+00,3.257825103823824538e-04
-1.860852380952380924e+00,2.972566508983733144e-04
-1.857852380952381033e+00,2.747362355162589272e-04
-1.854854761904761951e+00,2.513817306755497527e-04
-1.851854761904762059e+00,2.153490660641691509e-04
-1.848857142857142977e+00,1.908268359814212190e-04
-1.845857142857142863e+00,1.651368806566404928e-04
-1.842857142857142971e+00,1.432837368414079473e-04
-1.839857142857142858e+00,1.212637751344505029e-04
-1.836859523809523775e+00,9.891017764405511919e-05
-1.833859523809523884e+00,7.739066961226052650e-05
-1.830861904761904801e+00,5.603797947217896067e-05
-1.827864285714285941e+00,4.019027975884120795e-05
-1.824864285714285828e+00,1.983849696907939261e-05
-1.821866666666666745e+00,7.493972981845945235e-06
-1.818866666666666854e+00,-1.252417402447792403e-05
-1.815866666666666740e+00,-2.536915168686828374e-05
-1.812869047619047658e+00,-4.371911977599652054e-05
-1.809869047619047544e+00,-5.105910701164900653e-05
-1.806871428571428462e+00,-6.807453196702548278e-05
-1.803871428571428792e+00,-7.541451920267203276e-05
-1.800873809523809710e+00,-9.309721572492439437e-05
-1.797873809523809596e+00,-1.022721997694914757e-04
-1.794876190476190514e+00,-1.209558036420576552e-04
-1.791876190476190622e+00,-1.289630624445860197e-04
-1.788876190476190509e+00,-1.481471199923150238e-04
-1.785876190476190395e+00,-1.591571008457907780e-04
-1.782878571428571313e+00,-1.786747941769577621e-04
-1.779878571428571643e+00,-1.910193181641912095e-04
-1.776880952380952561e+00,-2.102033757119142776e-04
-1.773883333333333479e+00,-2.272188006672907741e-04
-1.770883333333333365e+00,-2.449014971895431222e-04
-1.767883333333333473e+00,-2.595814716608480671e-04
-1.764885714285714391e+00,-2.780982576416953108e-04
-1.761885714285714277e+00,-2.974491330811433049e-04
-1.758888095238095195e+00,-3.166331906288663458e-04
-1.755888095238095303e+00,-3.389867881192617431e-04
-1.752890476190476443e+00,-3.580040277752718114e-04
-1.749890476190476329e+00,-3.790230821319094884e-04
-1.746892857142857247e+00,-3.983739575713515736e-04
-1.743892857142857133e+00,-4.285679959725563048e-04
-1.740892857142857242e+00,-4.485861429788802045e-04
-1.737895238095238160e+00,-4.776124561380521685e-04
-1.734895238095238046e+00,-4.974637852526511694e-04
-1.731897619047618964e+00,-5.221528332271180642e-04
-1.728897619047619294e+00,-5.413368907748471225e-04
-1.725897619047619180e+00,-5.573514083799037703e-04
-1.722900000000000098e+00,-5.750341049021561726e-04
-1.719899999999999984e+00,-5.845427247301611525e-04
-1.716902380952381124e+00,-6.027258749275704163e-04
-1.713902380952381010e+00,-6.212426609084176600e-04
-1.710904761904761928e+00,-6.399262647809837853e-04
-1.707904761904761815e+00,-6.669507632395222860e-04
-1.704907142857142732e+00,-6.851339134369315497e-04
-1.701907142857143063e+00,-7.089888719528036030e-04
-1.698909523809523980e+00,-7.260042969081740823e-04
-1.695909523809523867e+00,-7.466897154813738335e-04
-1.692909523809523975e+00,-7.650396835705080504e-04
-1.689911904761904893e+00,-7.955673577551507615e-04
-1.686911904761904779e+00,-8.145845974111548668e-04
-1.683914285714285697e+00,-8.437777284620457665e-04
-1.680914285714285583e+00,-8.611267892008543342e-04
-1.677916666666666945e+00,-8.808113004237402540e-04
-1.674916666666666831e+00,-8.974930895956787164e-04
-1.671916666666666718e+00,-9.076689809905596562e-04
-1.668919047619047635e+00,-9.233498628121784325e-04
-1.665919047619047744e+00,-9.295221248057922289e-04
-1.662919047619047630e+00,-9.452030066274110052e-04
-1.659921428571428548e+00,-9.522093580796254977e-04
-1.656921428571428656e+00,-9.667225146592115610e-04
