xc,cp
-2.025045238095238176e+00,7.517519968877831360e+00
-2.021295238095238034e+00,3.220291078187136335e+00
-2.015297619047619282e+00,1.031640338829143078e+00
-2.009300000000000086e+00,1.844043471502422538e+00
-2.003302380952380890e+00,3.628994912899566661e+00
-1.997304761904761916e+00,5.108669612450283282e+00
-1.991307142857142942e+00,3.503881494110047345e+00
-1.985307142857142937e+00,2.065911267489170200e+00
-1.979309523809523963e+00,1.166762831121823885e+00
-1.973311904761904989e+00,-2.062831552564971194e+00
-1.967314285714285793e+00,2.199365580864657943e+00
-1.961316666666666597e+00,-3.827764846955792333e+00
-1.955319047619047845e+00,-6.115158946065457624e-01
-1.949321428571428649e+00,5.227110315571028565e+00
-1.943323809523809675e+00,5.360564628946515420e+00
-1.937323809523809448e+00,5.200419452895930661e+00
-1.931326190476190696e+00,-6.865839458802573958e-01
-1.925328571428571500e+00,5.829322904677915140e+00
-1.919330952380952526e+00,-3.329300154352157759e-01
-1.913333333333333330e+00,-4.785299545424914314e+00
-1.907335714285714356e+00,2.109283919336203628e+00
-1.901338095238095383e+00,-1.211527770757355960e+01
-1.895340476190476187e+00,-1.295437170292193763e+01
-1.889340476190476181e+00,1.905766091438585441e+00
-1.883342857142857207e+00,-1.491114557279002106e+01
-1.877345238095238233e+00,-4.631827085043103587e+00
-1.871347619047619260e+00,-8.900696934141507199e+00
-1.865350000000000064e+00,-4.319877627527902497e+00
-1.859352380952380868e+00,-1.196680978394333117e+01
-1.853354761904762116e+00,-9.289382621847614985e+00
-1.847357142857142920e+00,-1.523977681947715901e+01
-1.841357142857142914e+00,-2.247967332009735131e+01
-1.835359523809523719e+00,-2.931253416492230812e+01
-1.829361904761904967e+00,-1.659132254604121837e+00
-1.823364285714285771e+00,-1.270581304426009162e+01
-1.817366666666666797e+00,-1.461921426228114385e+01
-1.811369047619047601e+00,-2.131862079373060936e+01
-1.805371428571428627e+00,-1.728162781412211757e+01
-1.799373809523809653e+00,-1.196013706827455714e+01
-1.793376190476190679e+00,-2.734908757938544710e+01
-1.787376190476190452e+00,-2.197755146602208143e+01
-1.781378571428571478e+00,-3.626049935503362320e+01
-1.775380952380952504e+00,-2.320699932799375631e+01
-1.769383333333333530e+00,-3.138941691682833124e+01
-1.763385714285714334e+00,-1.748180928418534918e+01
-1.757388095238095138e+00,-3.006321467765942401e+01
-1.751390476190476386e+00,-4.785100647169470278e+01
-1.745392857142857190e+00,-3.044856400753114301e+01
-1.739392857142857185e+00,-2.492689179162035273e+01
-1.733395238095237989e+00,-4.724045298800184867e+01
-1.727397619047619237e+00,-4.987283931933333747e+01
-1.721400000000000041e+00,-4.499341598654207530e+01
-1.715402380952381067e+00,-5.402660482314538370e+01
-1.709404761904761871e+00,-4.093140032317568000e+01
-1.703407142857143119e+00,-4.186724869572128682e+01
-1.697409523809523924e+00,-4.206075745011574440e+01
-1.691409523809523918e+00,-5.204814462735377845e+01
-1.685411904761904722e+00,-5.274377523582350591e+01
-1.679414285714285970e+00,-4.270801086998685747e+01
-1.673416666666666774e+00,-4.902206807156460400e+01
-1.667419047619047801e+00,-4.938072653876122331e+01
-1.661421428571428605e+00,-6.694164600005817078e+01
-1.655423809523809409e+00,-4.233433879253549037e+01
-1.649426190476190657e+00,-4.995458008627581847e+01
-1.643426190476190651e+00,-5.924300029720974692e+01
-1.637428571428571455e+00,-6.575557078993352889e+01
-1.631430952380952260e+00,-5.013807976716712034e+01
-1.625433333333333508e+00,-6.145500554140844685e+01
-1.619435714285714312e+00,-5.787676176402819550e+01
-1.613438095238095338e+00,-5.153100916302376788e+01
-1.607440476190476142e+00,-7.143405182406051779e+01
-1.601442857142857390e+00,-6.318657525745539516e+01
-1.595442857142857163e+00,-7.743782774704025940e+01
-1.589445238095238189e+00,-5.256361191276660350e+01
-1.583447619047618993e+00,-5.837054272351749518e+01
-1.577450000000000241e+00,-7.061831233355285065e+01
-1.571452380952381045e+00,-6.365533353318679843e+01
-1.565454761904762071e+00,-5.279382060333932003e+01
-1.559457142857142875e+00,-6.314153442669117311e+01
-1.553459523809523679e+00,-5.572481096084845831e+01
-1.547461904761904927e+00,-7.843373056060482895e+01
-1.541461904761904922e+00,-7.536428135296861797e+01
-1.535464285714285726e+00,-4.609441407188985096e+01
-1.529466666666666530e+00,-8.264254596868427427e+01
-1.523469047619047778e+00,-6.227074503191611399e+01
-1.517471428571428582e+00,-5.976013576153975748e+01
-1.511473809523809608e+00,-9.208944317675158686e+01
-1.505476190476190412e+00,-5.404662297015170225e+01
-1.499478571428571660e+00,-7.351260275488372997e+01
-1.493478571428571433e+00,-7.512739994672713806e+01
-1.487480952380952459e+00,-8.667787076937557345e+01
-1.481483333333333263e+00,-7.584304870220319117e+01
-1.475485714285714511e+00,-5.874755115880324752e+01
-1.469488095238095315e+00,-9.279508285872447004e+01
-1.463490476190476342e+00,-8.759870553166643958e+01
-1.457492857142857146e+00,-6.744710421196784011e+01
-1.451495238095237950e+00,-9.508382433311408022e+01
-1.445495238095238166e+00,-9.115359480420598004e+01
-1.439497619047619192e+00,-8.192856539212540667e+01
-1.433499999999999996e+00,-6.579894344178056542e+01
-1.427502380952380800e+00,-8.194191082346296184e+01
-1.421504761904762049e+00,-9.107852675293226241e+01
-1.415507142857142853e+00,-9.601133181107371684e+01
-1.409509523809523879e+00,-9.028614176726530616e+01
-1.403511904761904683e+00,-7.140235642463383670e+01
-1.397511904761904900e+00,-9.523229225674431575e+01
-1.391514285714285704e+00,-1.109615512669627009e+02
-1.385516666666666730e+00,-8.045222705040907840e+01
-1.379519047619047534e+00,-8.848951307344781014e+01
-1.373521428571428782e+00,-1.104877884544797126e+02
-1.367523809523809586e+00,-9.990319322488636544e+01
-1.361526190476190612e+00,-1.027257519527779266e+02
-1.355528571428571416e+00,-1.085610418051211212e+02
-1.349528571428571633e+00,-1.188086648934413603e+02
-1.343530952380952437e+00,-1.026173203231603424e+02
-1.337533333333333463e+00,-1.084109057025737002e+02
-1.331535714285714267e+00,-1.101174527348627379e+02
-1.325538095238095515e+00,-1.120658857101448547e+02
-1.319540476190476319e+00,-8.825930438287510071e+01
-1.313542857142857123e+00,-9.535740567553382618e+01
-1.307545238095238149e+00,-1.220115684144530519e+02
-1.301547619047618953e+00,-1.204951937787240865e+02
-1.295547619047619170e+00,-1.053731518943641561e+02
-1.289549999999999974e+00,-1.193908593355419185e+02
-1.283552380952381000e+00,-1.140860503788663038e+02
-1.277554761904761804e+00,-9.386772190247995695e+01
-1.271557142857143052e+00,-1.247073455446379029e+02
-1.265559523809523856e+00,-1.325044138036007553e+02
-1.259561904761904882e+00,-1.261169567296664837e+02
-1.253564285714285687e+00,-1.394106745207822371e+02
-1.247564285714285903e+00,-1.332600988530894597e+02
-1.241566666666666707e+00,-1.296001143087667060e+02
-1.235569047619047733e+00,-1.325577955289509475e+02
-1.229571428571428537e+00,-1.277784629311912994e+02
-1.223573809523809786e+00,-1.267808919387095301e+02
-1.217576190476190590e+00,-1.326295272223902657e+02
-1.211578571428571394e+00,-1.283673300889606423e+02
-1.205580952380952420e+00,-1.265139833119585688e+02
-1.199580952380952636e+00,-1.368233290202149703e+02
-1.193583333333333441e+00,-1.301539497092749684e+02
-1.187585714285714245e+00,-1.386566576502107182e+02
-1.181588095238095271e+00,-1.337255207709864635e+02
-1.175590476190476297e+00,-1.378492590542890355e+02
-1.169592857142857323e+00,-1.441916752974590565e+02
-1.163595238095238127e+00,-1.490994576718426003e+02
-1.157597619047619153e+00,-1.437479397054855781e+02
-1.151597619047619148e+00,-1.470075613096818472e+02
-1.145600000000000174e+00,-1.388835299829490566e+02
-1.139602380952380978e+00,-1.347364371948057737e+02
-1.133604761904762004e+00,-1.411255624476572450e+02
-1.127607142857142808e+00,-1.556837598580057147e+02
-1.121609523809523834e+00,-1.490811077037534744e+02
-1.115611904761904860e+00,-1.332667715687582302e+02
-1.109614285714285664e+00,-1.414508573365099835e+02
-1.103614285714285659e+00,-1.422315650697565843e+02
-1.097616666666666685e+00,-1.596640347544296219e+02
-1.091619047619047711e+00,-1.515450079644484163e+02
-1.085621428571428515e+00,-1.509127681548320368e+02
-1.079623809523809541e+00,-1.572651934715052562e+02
-1.073626190476190567e+00,-1.391454340729484329e+02
-1.067628571428571593e+00,-1.530296872007507147e+02
-1.061630952380952397e+00,-1.584028914930312908e+02
-1.055630952380952392e+00,-1.484788951146466047e+02
-1.049633333333333418e+00,-1.602512337332817651e+02
-1.043635714285714444e+00,-1.667204315741585390e+02
-1.037638095238095248e+00,-1.539788810046338767e+02
-1.031640476190476274e+00,-1.620745532897743715e+02
-1.025642857142857078e+00,-1.656060880574732153e+02
-1.019645238095238104e+00,-1.559356548745019495e+02
-1.013647619047619131e+00,-1.867335740437300728e+02
-1.007650000000000157e+00,-1.605565104751282206e+02
-1.001649999999999929e+00,-1.536602588314499087e+02
-9.956523809523809554e-01,-1.870822234374235222e+02
-9.896547619047619815e-01,-1.719768633422355322e+02
-9.836571428571428966e-01,-1.692560635282927990e+02
-9.776595238095239226e-01,-1.703320389298826569e+02
-9.716619047619048377e-01,-1.884334483603503259e+02
-9.656642857142857528e-01,-1.629720335472245267e+02
-9.596666666666666679e-01,-1.783593158794182330e+02
-9.536666666666667735e-01,-1.775752717883372327e+02
-9.476690476190476886e-01,-1.764342374089768271e+02
-9.416714285714286037e-01,-1.808415661082023007e+02
-9.356738095238096298e-01,-1.855324852233506761e+02
-9.296761904761904338e-01,-1.837074974879408842e+02
-9.236785714285714599e-01,-1.914361704112988036e+02
-9.176809523809523750e-01,-1.810600975463546547e+02
-9.116833333333334011e-01,-1.809316477697307448e+02
-9.056833333333332847e-01,-1.883350258042358973e+02
-8.996857142857143108e-01,-1.903101496421931245e+02
-8.936880952380952259e-01,-1.952512955949205491e+02
-8.876904761904762520e-01,-1.862881702728393805e+02
-8.816928571428571670e-01,-1.833788662412537462e+02
-8.756952380952381931e-01,-2.110806453401705483e+02
-8.696976190476191082e-01,-2.077943328732991688e+02
-8.637000000000001343e-01,-1.683585832708426437e+02
-8.577000000000000179e-01,-2.045614021317779816e+02
-8.517023809523810440e-01,-1.852055221555807236e+02
-8.457047619047619591e-01,-2.075908150454015413e+02
-8.397071428571429852e-01,-2.117278987600416542e+02
-8.337095238095239003e-01,-2.014819438506386007e+02
-8.277119047619047043e-01,-2.136062682208016383e+02
