x_over_h,Cf
4.003804444947849789e-02,1.086941487202036996e-02
1.200911292074204884e-01,1.296639694487392025e-02
1.998009178366939864e-01,7.476377418672647095e-03
2.779731237322530246e-01,-2.396276908834340386e-03
3.525640978667060055e-01,-5.652402413261420691e-03
4.224864140707520477e-01,-3.919052133691358457e-03
4.884467905615770267e-01,-2.310854113576886817e-03
5.516888131733219680e-01,-1.641352675415521040e-03
6.132976997420149790e-01,-1.154540750840721535e-03
6.742012354981260502e-01,-8.638843689609529202e-04
7.352163083152689627e-01,-6.415681522315702526e-04
7.967970783176214766e-01,-5.374407731789352955e-04
8.589664663696578994e-01,-4.835502211406288837e-04
9.216164776211515086e-01,-4.872721497792245247e-04
9.846349610324639512e-01,-5.489932417513078899e-04
1.047906139746145104e+00,-6.624167191918827868e-04
1.111369850606485077e+00,-8.028404447894444025e-04
1.175181853817464983e+00,-9.411114707080478524e-04
1.239692460670299923e+00,-1.067455698811369588e-03
1.305295092424894943e+00,-1.162489466271323258e-03
1.372401347482040013e+00,-1.205939951578499430e-03
1.441431704955534965e+00,-1.203825756259104983e-03
1.512665097138439885e+00,-1.179556749599135809e-03
1.586129688411269889e+00,-1.125372178672723669e-03
1.661684256842190122e+00,-1.036703352137611969e-03
1.739064288537874869e+00,-9.325837840059490952e-04
1.817869532175385050e+00,-7.533472788976196483e-04
1.897567369191590192e+00,-8.533863325155594979e-04
1.977603199682909985e+00,-1.494528833218657657e-03
2.057679288581854671e+00,-2.149509559538202198e-03
2.137755377480810015e+00,-2.660475242110555815e-03
2.217831466379769800e+00,-3.106883863279240147e-03
2.297907555278730030e+00,-3.481963306674946534e-03
2.377983644177325218e+00,-3.805725956670120112e-03
2.458059733076495057e+00,-4.085145555796683078e-03
2.538135821975879836e+00,-4.328913490840740654e-03
2.618211910874619797e+00,-4.541830587624653102e-03
2.698287999773509860e+00,-4.728095030914313511e-03
2.778364088672470089e+00,-4.890428859597569823e-03
2.858440177571424989e+00,-5.031000404513889281e-03
2.938516266470379890e+00,-5.151355015891473724e-03
3.018592355369029701e+00,-5.252701457122068741e-03
3.098668444268109390e+00,-5.335971367730439965e-03
3.178744533167519926e+00,-5.401950660762577447e-03
3.258820622066354922e+00,-5.451351138570255210e-03
3.338896710965169934e+00,-5.484811414352006725e-03
3.418972799864125278e+00,-5.502788389000617085e-03
3.499048888763080178e+00,-5.505645707635648846e-03
3.579124977662039520e+00,-5.494120914240432398e-03
3.659201066560995308e+00,-5.468832267989274729e-03
3.739277155459640234e+00,-5.430471539805517209e-03
3.819353244358724808e+00,-5.379760795334490898e-03
3.899429333258134900e+00,-5.317436833221257653e-03
3.979505422156965011e+00,-5.244253686598880984e-03
4.059581511055775138e+00,-5.160981532101351077e-03
4.139657599954730038e+00,-5.068402629062538668e-03
4.219733688853690268e+00,-4.967307000956249635e-03
4.299809777752649609e+00,-4.858486366757600386e-03
4.379885866651374471e+00,-4.742728608761188035e-03
4.459961955550330259e+00,-4.620811817518055697e-03
4.540038044449749677e+00,-4.493499191164776474e-03
4.620114133348705465e+00,-4.361533742555980149e-03
4.700190222247430327e+00,-4.225633773485648267e-03
4.780266311146389668e+00,-4.086487523798071515e-03
4.860342400045345457e+00,-3.944748969568982050e-03
4.940418488944299469e+00,-3.801033095610779813e-03
5.020494577843120254e+00,-3.655914567091694042e-03
5.100570666741949921e+00,-3.509932754274355977e-03
5.180646755641355128e+00,-3.363599361316084359e-03
5.260722844540440590e+00,-3.217420373447415268e-03
5.340798933439089957e+00,-3.071898299529247749e-03
5.420875022338044857e+00,-2.927510161447882328e-03
5.500951111237000646e+00,-2.784697374732407471e-03
5.581027200135959987e+00,-2.643849691370991906e-03
5.661103289034913999e+00,-2.505307386444598997e-03
5.741179377933725014e+00,-2.369373528874289987e-03
5.821255466832559122e+00,-2.236323482676462297e-03
5.901331555731969658e+00,-2.106456937821246048e-03
5.981407644631049791e+00,-1.980075172906986883e-03
6.061483733529700046e+00,-1.857501819716076601e-03
6.141559822428659388e+00,-1.739047082537866591e-03
6.221635911327619617e+00,-1.625066481272449941e-03
6.301712000226574517e+00,-1.515908777100088761e-03
6.381788089125465468e+00,-1.412091788623252289e-03
6.461864178024205430e+00,-1.314180507170247068e-03
6.541940266923584879e+00,-1.223140635612276301e-03
6.622016355822760048e+00,-1.140093340880613459e-03
6.702092444721355236e+00,-1.066801747543634450e-03
6.782168533620309248e+00,-1.005800560988275418e-03
6.862244622519270365e+00,-9.595352611481018082e-04
6.942320711418229706e+00,-9.341405862960147459e-04
7.022396800317175725e+00,-9.227183544786188730e-04
7.102432630808490188e+00,-9.661050663421681759e-04
7.182130467824700659e+00,-9.767895239243904598e-04
7.260935711462215281e+00,-9.516094123882910122e-04
7.338315743157900251e+00,-9.069930473108835448e-04
7.413870311588814488e+00,-8.069037137734027783e-04
7.487334902861634944e+00,-6.585011660184105289e-04
7.558568295044535645e+00,-4.383352095355054121e-04
7.627598652518029709e+00,-1.105520753924529360e-04
7.694704907575180108e+00,3.441410734516007152e-04
7.760307539329774684e+00,9.346944671070293994e-04
7.824818146182605183e+00,1.656170708464571942e-03
7.888630149393584645e+00,2.504078237256454793e-03
7.952093860253924618e+00,3.396294901678110004e-03
8.015365038968429445e+00,4.285576581692553642e-03
8.078383522380164550e+00,5.239716308620100994e-03
8.141033533630654517e+00,6.316663508288233690e-03
8.203202921681445048e+00,7.618799976166743676e-03
8.264783691684559841e+00,9.316625302478820023e-03
8.325798764502419402e+00,1.185003686688688301e-02
8.386702300256819953e+00,1.543184097067851375e-02
8.448311186826231278e+00,2.001580012023889202e-02
8.511553209438986300e+00,2.625312914861967564e-02
8.577513585928805639e+00,3.379168986049560508e-02
8.647435902132521335e+00,4.135165293347028981e-02
8.722026876267655382e+00,3.897505700256558708e-02
8.800199082163629782e+00,2.684623193988618789e-02
8.879908870792579734e+00,1.391477747687364964e-02
8.959961955550520329e+00,8.926400050332987043e-03
