x_over_h,Cf
4.003804444947849789e-02,1.087846942560374321e-02
1.200911292074204884e-01,1.297147350046851978e-02
1.998009178366939864e-01,7.481120208082677782e-03
2.779731237322530246e-01,-2.395163949862260961e-03
3.525640978667060055e-01,-5.654103647473457395e-03
4.224864140707520477e-01,-3.920157132231134531e-03
4.884467905615770267e-01,-2.311371251746381118e-03
5.516888131733219680e-01,-1.641634119696257785e-03
6.132976997420149790e-01,-1.154712399001689774e-03
6.742012354981260502e-01,-8.639988546073804586e-04
7.352163083152689627e-01,-6.416273456611536457e-04
7.967970783176214766e-01,-5.374733084830903181e-04
8.589664663696578994e-01,-4.835623687427932334e-04
9.216164776211515086e-01,-4.872627082876157577e-04
9.846349610324639512e-01,-5.489714437228433936e-04
1.047906139746145104e+00,-6.623845349014622274e-04
1.111369850606485077e+00,-8.028047480938078819e-04
1.175181853817464983e+00,-9.410773870190663332e-04
1.239692460670299923e+00,-1.067427598582665988e-03
1.305295092424894943e+00,-1.162471034801246077e-03
1.372401347482040013e+00,-1.205935560453047896e-03
1.441431704955534965e+00,-1.203839365896979116e-03
1.512665097138439885e+00,-1.179594063905490013e-03
1.586129688411269889e+00,-1.125442615533321731e-03
1.661684256842190122e+00,-1.036820873875501621e-03
1.739064288537874869e+00,-9.327557507278974461e-04
1.817869532175385050e+00,-7.535624336810687511e-04
1.897567369191590192e+00,-8.536222991065626044e-04
1.977603199682909985e+00,-1.494717337689548640e-03
2.057679288581854671e+00,-2.149535282257573378e-03
2.137755377480810015e+00,-2.660248193624552629e-03
2.217831466379769800e+00,-3.106336947759421197e-03
2.297907555278730030e+00,-3.481069983245088911e-03
2.377983644177325218e+00,-3.804474050432793322e-03
2.458059733076495057e+00,-4.083537569032099149e-03
2.538135821975879836e+00,-4.326958896413888971e-03
2.618211910874619797e+00,-4.539545117261342862e-03
2.698287999773509860e+00,-4.725498448247223045e-03
2.778364088672470089e+00,-4.887544539189390795e-03
2.858440177571424989e+00,-5.027854762933912230e-03
2.938516266470379890e+00,-5.147976986787075951e-03
3.018592355369029701e+00,-5.249121943656250185e-03
3.098668444268109390e+00,-5.332222722941435192e-03
3.178744533167519926e+00,-5.398066143794984575e-03
3.258820622066354922e+00,-5.447364337922338227e-03
3.338896710965169934e+00,-5.480755401513002015e-03
3.418972799864125278e+00,-5.498694813152276567e-03
3.499048888763080178e+00,-5.501546276185185352e-03
3.579124977662039520e+00,-5.490047281488850961e-03
3.659201066560995308e+00,-5.464812629163387503e-03
3.739277155459640234e+00,-5.426531393464544863e-03
3.819353244358724808e+00,-5.375922808333990013e-03
3.899429333258134900e+00,-5.313720650573263739e-03
3.979505422156965011e+00,-5.240675929892515614e-03
4.059581511055775138e+00,-5.157555778014313863e-03
4.139657599954730038e+00,-5.065139497923380231e-03
4.219733688853690268e+00,-4.964214259615934433e-03
4.299809777752649609e+00,-4.855569100303781457e-03
4.379885866651374471e+00,-4.739989414098379726e-03
4.459961955550330259e+00,-4.618251037842593075e-03
