REPRO === primal ===
REPRO === primal done t=3.2s OBJ.val=3.279385450974948e-02 ===
REPRO === adjoint done t=14.1s, warper captured 1 rev call(s) ===
REPRO seed=real objective=stock ||w||=5.96728230e+01 nRanks=4 h=1.0e-04 useRotations=on cornerAngle=None
REPRO_ANFINGERPRINT useRotations=on ||dXs||=1.634919241446518e+01 sum(dXs)=-4.307183371648531e-01 max|dXs|=7.232889565848707e+00
REPRO_XVFINGERPRINT useRotations=on ||Xv0||=5.180082220691975e+01
REPRO idx  FD(warp)         AN(warpDeriv)    rel_err    sign   framework_dOBJ/dDV
REPRO 0    1.15808962e-02   1.27749051e-02   0.1031     ok     1.27749051e-02
REPRO 1    -1.42728022e-02  -1.39877948e-02  0.0200     ok     -1.39877948e-02
REPRO 2    -1.04166347e-02  -1.04708718e-02  0.0052     ok     -1.04708718e-02
REPRO 3    2.58992308e-02   3.76745886e-02   0.4547     ok     3.76745886e-02
REPRO 4    -2.04174264e-02  -1.66748367e-02  0.1833     ok     -1.66748367e-02
REPRO 5    -1.48143980e-02  -1.59300528e-02  0.0753     ok     -1.59300528e-02
REPRO 6    2.26257221e-02   1.92040857e-02   0.1512     ok     1.92040857e-02
REPRO 7    1.02166289e-02   7.22159632e-03   0.2932     ok     7.22159632e-03
REPRO 8    3.01455842e-02   1.57713137e-02   0.4768     ok     1.57713137e-02
REPRO 9    1.37973135e-01   8.61655441e-02   0.3755     ok     8.61655441e-02
REPRO 10   7.97885778e-02   5.80556527e-02   0.2724     ok     5.80556527e-02
REPRO 11   1.14688576e-01   7.52976852e-02   0.3435     ok     7.52976852e-02
REPRO 12   -1.01274691e-01  -4.79974181e-02  0.5261     ok     -4.79974181e-02
REPRO 13   -1.62414143e-02  -7.17551784e-03  0.5582     ok     -7.17551784e-03
REPRO 14   7.16305550e-02   3.51892681e-02   0.5087     ok     3.51892681e-02
REPRO 15   -2.59824439e-01  -1.56393335e-01  0.3981     ok     -1.56393335e-01
REPRO 16   -6.35449895e-02  -5.00192984e-02  0.2129     ok     -5.00192984e-02
REPRO 17   4.73834770e-02   1.53530191e-02   0.6760     ok     1.53530191e-02
REPRO 18   -7.71914878e-02  -4.08920227e-02  0.4703     ok     -4.08920227e-02
REPRO 19   -1.53938289e-02  -2.08533443e-02  0.3547     ok     -2.08533443e-02
REPRO 20   5.37168962e-02   2.78170052e-02   0.4822     ok     2.78170052e-02
REPRO 21   -1.35428608e-02  -2.60189995e-03  0.8079     ok     -2.60189995e-03
REPRO 22   -2.04729885e-02  -2.20023214e-02  0.0747     ok     -2.20023214e-02
REPRO 23   -2.88782999e-02  -3.62429218e-02  0.2550     ok     -3.62429218e-02
REPRO 24   -5.10069275e-03  -4.38278493e-03  0.1407     ok     -4.38278493e-03
REPRO 25   4.28234607e-03   4.11694343e-03   0.0386     ok     4.11694343e-03
REPRO 26   -2.73690620e-02  -2.78350181e-02  0.0170     ok     -2.78350181e-02
REPRO_SUMMARY seed=real objective=stock h=1.0e-04 nRanks=4 n=27 sign_flips=0 worst_idx=21 worst_rel_err=0.8079 t=15.1s
REPRO_SUMMARY2 useRotations=on cornerAngle=None evalMode=None reordering=natural
