REPRO === primal ===
REPRO === primal done t=3.2s OBJ.val=5.234521633934580e+01 ===
REPRO === adjoint done t=11.6s, warper captured 1 rev call(s) ===
REPRO seed=real objective=pressure-loss ||w||=5.81218089e+03 nRanks=4 h=1.0e-04 useRotations=off cornerAngle=None
REPRO_ANFINGERPRINT useRotations=off ||dXs||=1.495166062889025e+03 sum(dXs)=-1.242751813546030e+02 max|dXs|=6.321028170336726e+02
REPRO_XVFINGERPRINT useRotations=off ||Xv0||=5.180082220691975e+01
REPRO idx  FD(warp)         AN(warpDeriv)    rel_err    sign   framework_dOBJ/dDV
REPRO 0    2.37116838e-01   2.37116838e-01   0.0000     ok     2.37116838e-01
REPRO 1    -4.35563554e-01  -4.35563554e-01  0.0000     ok     -4.35563554e-01
REPRO 2    -4.17698538e-01  -4.17698538e-01  0.0000     ok     -4.17698538e-01
REPRO 3    1.96885396e+00   1.96885396e+00   0.0000     ok     1.96885396e+00
REPRO 4    -1.05060487e-01  -1.05060486e-01  0.0000     ok     -1.05060486e-01
REPRO 5    -1.39540780e+00  -1.39540780e+00  0.0000     ok     -1.39540780e+00
REPRO 6    1.61077448e+00   1.61077448e+00   0.0000     ok     1.61077448e+00
REPRO 7    9.05749564e-01   9.05749564e-01   0.0000     ok     9.05749564e-01
REPRO 8    -8.43419459e-01  -8.43419458e-01  0.0000     ok     -8.43419458e-01
REPRO 9    7.81921784e+00   7.81921785e+00   0.0000     ok     7.81921785e+00
REPRO 10   4.80035438e+00   4.80035438e+00   0.0000     ok     4.80035438e+00
REPRO 11   3.90890752e+00   3.90890752e+00   0.0000     ok     3.90890752e+00
REPRO 12   -4.43509324e+00  -4.43509324e+00  0.0000     ok     -4.43509324e+00
REPRO 13   -9.12074674e-01  -9.12074674e-01  0.0000     ok     -9.12074674e-01
REPRO 14   5.56767279e-01   5.56767278e-01   0.0000     ok     5.56767278e-01
REPRO 15   -1.38603314e+01  -1.38603314e+01  0.0000     ok     -1.38603314e+01
REPRO 16   -3.77482724e+00  -3.77482724e+00  0.0000     ok     -3.77482724e+00
REPRO 17   -6.28250275e-01  -6.28250275e-01  0.0000     ok     -6.28250275e-01
REPRO 18   -4.33828530e+00  -4.33828530e+00  0.0000     ok     -4.33828530e+00
REPRO 19   -9.48640623e-01  -9.48640623e-01  0.0000     ok     -9.48640623e-01
REPRO 20   1.90942445e+00   1.90942445e+00   0.0000     ok     1.90942445e+00
REPRO 21   -1.78264881e+00  -1.78264881e+00  0.0000     ok     -1.78264881e+00
REPRO 22   -1.17260277e+00  -1.17260277e+00  0.0000     ok     -1.17260277e+00
REPRO 23   -2.25145944e+00  -2.25145944e+00  0.0000     ok     -2.25145944e+00
REPRO 24   -9.69082941e-01  -9.69082940e-01  0.0000     ok     -9.69082940e-01
REPRO 25   7.46913475e-01   7.46913476e-01   0.0000     ok     7.46913476e-01
REPRO 26   -1.95653893e+00  -1.95653893e+00  0.0000     ok     -1.95653893e+00
REPRO_SUMMARY seed=real objective=pressure-loss h=1.0e-04 nRanks=4 n=27 sign_flips=0 worst_idx=4 worst_rel_err=0.0000 t=12.5s
REPRO_SUMMARY2 useRotations=off cornerAngle=None evalMode=None reordering=rcm
