# y+ ()           
# Time            	patch             	min               	max               	average           
50                	airfoil	2.2766365494e-04	3.7715960077e+02	1.1721113159e+01
100               	airfoil	9.5650977298e-04	3.3768322110e+02	5.1172131158e+01
150               	airfoil	3.5238947937e-03	3.0478339391e+02	8.0111825215e+01
200               	airfoil	1.9039136281e-03	2.7906746341e+02	1.0546586218e+02
250               	airfoil	1.4405076900e-03	2.5999892420e+02	1.2419308437e+02
300               	airfoil	1.9105232124e-03	2.4461286941e+02	1.2896907605e+02
350               	airfoil	8.5606599385e-03	2.3179114052e+02	1.2704309201e+02
400               	airfoil	2.2262319879e-02	2.2077710609e+02	1.2576236678e+02
450               	airfoil	3.5724655078e-02	2.1105926077e+02	1.2460708491e+02
500               	airfoil	4.7366026266e-02	2.0468792845e+02	1.2379924416e+02
550               	airfoil	5.1513169007e-01	2.0011946001e+02	1.2309529936e+02
600               	airfoil	9.8824006965e-02	1.9591706909e+02	1.2215934182e+02
650               	airfoil	1.1058548259e-01	1.9200145871e+02	1.2130775875e+02
700               	airfoil	9.7285119080e-02	1.8831716863e+02	1.2050839041e+02
750               	airfoil	9.0677124433e-02	1.8482332825e+02	1.1973720286e+02
800               	airfoil	7.9371656108e-02	1.8148619596e+02	1.1893326722e+02
850               	airfoil	5.5899266401e-02	1.7828138422e+02	1.1810386362e+02
900               	airfoil	4.2433352306e-02	1.7538187610e+02	1.1717124899e+02
950               	airfoil	1.3729682215e-01	1.7265083011e+02	1.1617701124e+02
1000              	airfoil	2.5771736535e-01	1.6997917860e+02	1.1514493161e+02
1050              	airfoil	3.3630578645e-01	1.6735796325e+02	1.1407716008e+02
1100              	airfoil	4.3283355516e-01	1.6477148441e+02	1.1300432099e+02
1150              	airfoil	5.0964073965e-01	1.6221921576e+02	1.1189039100e+02
1200              	airfoil	5.6537888157e-01	1.5971138133e+02	1.1073785951e+02
