# Force and moment coefficients
# dragDir       : (9.99762027e-01 2.18148899e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-2.18148899e-02 9.99762027e-01 0.00000000e+00)
# rollAxis      : (9.99762027e-01 2.18148899e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-2.18148899e-02 9.99762027e-01 0.00000000e+00)
# magUInf       : 2.77775160e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	7.74596561e-01	1.17118441e-01	6.57478120e-01	5.40359679e-01	2.01129377e-01	3.39230302e-01	-6.90504622e-02	-2.70179839e-01	3.87298281e-01	1.54034889e-20	3.87298281e-01	-3.87298281e-01
2               	7.45810631e-01	7.98408497e-02	6.65969782e-01	5.86128932e-01	2.28067646e-01	3.58061286e-01	-6.49968199e-02	-2.93064466e-01	3.72905316e-01	1.29632244e-20	3.72905316e-01	-3.72905316e-01
3               	6.97200067e-01	2.64377212e-02	6.70762346e-01	6.44324625e-01	2.39503416e-01	4.04821209e-01	-8.26588964e-02	-3.22162312e-01	3.48600034e-01	1.77817183e-20	3.48600034e-01	-3.48600034e-01
4               	5.92823678e-01	-5.96369086e-02	6.52460587e-01	7.12097496e-01	1.78898352e-01	5.33199143e-01	-1.77150395e-01	-3.56048748e-01	2.96411839e-01	2.28255128e-20	2.96411839e-01	-2.96411839e-01
5               	4.24553719e-01	-6.15779303e-02	4.86131650e-01	5.47709580e-01	8.11032141e-02	4.66606366e-01	-1.92751576e-01	-2.73854790e-01	2.12276860e-01	1.70292653e-20	2.12276860e-01	-2.12276860e-01
6               	2.47889000e-01	5.14135132e-03	2.42747648e-01	2.37606297e-01	-1.33873792e-02	2.50993676e-01	-1.32190528e-01	-1.18803148e-01	1.23944500e-01	5.73543802e-21	1.23944500e-01	-1.23944500e-01
7               	1.10689065e-01	9.59256281e-02	1.47634371e-02	-8.11621910e-02	-7.36448380e-02	-7.51735301e-03	-3.30637425e-02	4.05810955e-02	5.53445326e-02	-5.87379762e-21	5.53445326e-02	-5.53445326e-02
8               	3.62539771e-02	1.64463804e-01	-1.28209827e-01	-2.92673631e-01	-8.59290821e-02	-2.06744549e-01	6.04077337e-02	1.46336816e-01	1.81269885e-02	-1.34451586e-20	1.81269885e-02	-1.81269885e-02
9               	2.66348598e-02	1.84809659e-01	-1.58174800e-01	-3.42984459e-01	-5.62233715e-02	-2.86761087e-01	1.15268858e-01	1.71492229e-01	1.33174299e-02	-1.49678103e-20	1.33174299e-02	-1.33174299e-02
10              	6.33828095e-02	1.53841923e-01	-9.04591134e-02	-2.44301036e-01	-3.36622916e-03	-2.40934807e-01	1.18784289e-01	1.22150518e-01	3.16914047e-02	-1.10443497e-20	3.16914047e-02	-3.16914047e-02
11              	1.18211550e-01	8.88707934e-02	2.93407567e-02	-5.95300368e-02	4.96504522e-02	-1.09180489e-01	7.94154706e-02	2.97650184e-02	5.91057751e-02	-4.18793307e-21	5.91057751e-02	-5.91057751e-02
12              	1.64742466e-01	1.76904776e-02	1.47051988e-01	1.29361511e-01	8.44019725e-02	4.49595382e-02	1.97212172e-02	-6.46807553e-02	8.23712329e-02	2.55232124e-21	8.23712329e-02	-8.23712329e-02
13              	1.85971775e-01	-3.43833253e-02	2.20355100e-01	2.54738425e-01	9.25192115e-02	1.62219214e-01	-3.48500012e-02	-1.27369213e-01	9.29858875e-02	6.74282847e-21	9.29858875e-02	-9.29858875e-02
14              	1.77945469e-01	-5.38822535e-02	2.31827722e-01	2.85709976e-01	7.67311125e-02	2.08978863e-01	-6.61238753e-02	-1.42854988e-01	8.89727344e-02	7.40597825e-21	8.89727344e-02	-8.89727344e-02
