# p  FACE_DATA 64
# x y z  p
9.3244053e-05 0.0012000687 0.5 152635.86
0.00057588454 0.003912102 0.5 147650.35
0.0018524682 0.0072452044 0.5 138679.71
0.0043490027 0.0111465 0.5 127145.76
0.00850456 0.01550302 0.5 115962.17
0.014762613 0.020206638 0.5 106352.35
0.023634517 0.0251894 0.5 99174.186
0.035780534 0.03040493 0.5 93408.062
0.052076548 0.035800254 0.5 88520.929
0.073678661 0.041284442 0.5 83995.462
0.10210322 0.046687594 0.5 79527.403
0.13932333 0.051722125 0.5 74786.05
0.18789584 0.055925997 0.5 70006.909
0.25112396 0.058605258 0.5 65657.854
0.33326968 0.058779025 0.5 62461.342
0.43983609 0.055143665 0.5 61319.853
0.52867606 0.05018321 0.5 67549.222
0.58347686 0.046081116 0.5 79830.913
0.63340387 0.041882695 0.5 90737.544
0.67889381 0.037715721 0.5 94869.275
0.72034348 0.033656814 0.5 97862.854
0.75811347 0.02975108 0.5 99914.75
0.79253163 0.026023747 0.5 101192.67
0.82389626 0.0224879 0.5 102856.34
0.85247887 0.019148791 0.5 104573.96
0.87852665 0.016006468 0.5 105638
0.90226476 0.013057815 0.5 106753.62
0.92389829 0.010297727 0.5 107329.72
0.94361411 0.0077196348 0.5 108676.87
0.96158246 0.0053161124 0.5 108550.1
0.97795845 0.0030792296 0.5 110510.85
0.99288343 0.0010007136 0.5 108998.68
0.99288343 -0.0010007136 0.5 106276.07
0.97795845 -0.0030792296 0.5 107467.02
0.96158246 -0.0053161124 0.5 104966.16
0.94361411 -0.0077196348 0.5 104578.9
0.92389829 -0.010297727 0.5 102911.88
0.90226476 -0.013057815 0.5 102085.37
0.87852665 -0.016006468 0.5 100891.98
0.85247887 -0.019148791 0.5 99719.904
0.82389626 -0.0224879 0.5 97909.646
0.79253163 -0.026023747 0.5 95912.27
0.75811347 -0.02975108 0.5 94677.589
0.72034348 -0.033656814 0.5 94974.074
0.67889381 -0.037715721 0.5 95524.046
0.63340387 -0.041882695 0.5 92385.085
0.58347686 -0.046081116 0.5 84630.301
0.52867606 -0.05018321 0.5 76365.283
0.43983609 -0.055143665 0.5 71486.137
0.33326968 -0.058779025 0.5 72782.578
0.25112396 -0.058605258 0.5 76169.76
0.18789584 -0.055925997 0.5 80545.859
0.13932333 -0.051722125 0.5 85446.04
0.10210322 -0.046687594 0.5 90795.435
0.073678661 -0.041284442 0.5 96148.353
0.052076548 -0.035800254 0.5 101240.29
0.035780534 -0.03040493 0.5 106525.04
0.023634517 -0.0251894 0.5 112732.87
0.014762613 -0.020206638 0.5 120480.6
0.00850456 -0.01550302 0.5 129402.71
0.0043490027 -0.0111465 0.5 139333.96
0.0018524682 -0.0072452044 0.5 148116.7
0.00057588454 -0.003912102 0.5 153256.13
9.3244053e-05 -0.0012000687 0.5 154396.25
