# Force and moment coefficients
# dragDir       : (9.98814648e-01 4.86754399e-02 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-4.86754399e-02 9.98814648e-01 0.00000000e+00)
# rollAxis      : (9.98814648e-01 4.86754399e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-4.86754399e-02 9.98814648e-01 0.00000000e+00)
# magUInf       : 2.54858710e+02
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	8.58866198e-01	-2.88931149e-01	1.14779735e+00	1.43672849e+00	4.79950947e-01	9.56777547e-01	-2.38413300e-01	-7.18364247e-01	4.29433099e-01	4.51589114e-20	4.29433099e-01	-4.29433099e-01
2               	8.33988548e-01	-3.64152711e-01	1.19814126e+00	1.56229397e+00	5.55980535e-01	1.00631344e+00	-2.25166451e-01	-7.81146986e-01	4.16994274e-01	3.41912293e-20	4.16994274e-01	-4.16994274e-01
3               	7.74193088e-01	-4.58666863e-01	1.23285995e+00	1.69152681e+00	5.57868986e-01	1.13365783e+00	-2.87894421e-01	-8.45763407e-01	3.87096544e-01	5.19497003e-20	3.87096544e-01	-3.87096544e-01
4               	6.49088358e-01	-4.93614903e-01	1.14270326e+00	1.63631817e+00	3.95455354e-01	1.24086281e+00	-4.22703729e-01	-8.18159083e-01	3.24544179e-01	5.95574443e-20	3.24544179e-01	-3.24544179e-01
5               	4.47694526e-01	-3.23046002e-01	7.70740529e-01	1.09378653e+00	1.61543555e-01	9.32242976e-01	-3.85349710e-01	-5.46893265e-01	2.23847263e-01	4.25926902e-20	2.23847263e-01	-2.23847263e-01
6               	2.39554145e-01	-4.47455133e-02	2.84299658e-01	3.29045171e-01	-4.90850235e-02	3.78130195e-01	-2.13607609e-01	-1.64522586e-01	1.19777072e-01	1.45502784e-20	1.19777072e-01	-1.19777072e-01
7               	7.74763949e-02	2.12978435e-01	-1.35502040e-01	-3.48480475e-01	-1.71710241e-01	-1.76770234e-01	2.52999641e-03	1.74240237e-01	3.87381975e-02	-1.18668649e-20	3.87381975e-02	-3.87381975e-02
8               	-8.20146514e-03	3.58051266e-01	-3.66252732e-01	-7.24303998e-01	-1.85623364e-01	-5.38680634e-01	1.76528635e-01	3.62151999e-01	-4.10073257e-03	-2.73927268e-20	-4.10073257e-03	4.10073257e-03
9               	-1.74064120e-02	3.58883783e-01	-3.76290195e-01	-7.35173978e-01	-1.12294659e-01	-6.22879319e-01	2.55292330e-01	3.67586989e-01	-8.70320602e-03	-2.88062584e-20	-8.70320602e-03	8.70320602e-03
10              	2.78890794e-02	2.41670810e-01	-2.13781731e-01	-4.55452541e-01	2.74411039e-03	-4.58196651e-01	2.30470381e-01	2.27726270e-01	1.39445397e-02	-1.87685884e-20	1.39445397e-02	-1.39445397e-02
