t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0050      0.0655     1.0055
  0.0100      0.1310     1.0213
  0.0150      0.1965     1.0468
  0.0200      0.2620     1.0813
  0.0250      0.3275     1.1260
  0.0300      0.3930     1.1781
  0.0350      0.4586     1.2357
  0.0400      0.5241     1.3002
  0.0450      0.5896     1.3699
  0.0500      0.6551     1.4414
  0.0550      0.7206     1.5194
  0.0600      0.7861     1.5968
  0.0650      0.8516     1.6785
  0.0700      0.9171     1.7625
  0.0750      0.9826     1.8456
  0.0800      1.0481     1.9322
  0.0850      1.1136     2.0216
  0.0900      1.1791     2.1125
  0.0950      1.2447     2.2049
  0.1000      1.3102     2.2991
  0.1050      1.3757     2.3959
  0.1100      1.4412     2.4951
  0.1150      1.5067     2.5962
  0.1200      1.5722     2.6989
  0.1250      1.6377     2.8030
  0.1300      1.7032     2.9077
  0.1350      1.7687     3.0126
  0.1400      1.8342     3.1183
  0.1450      1.8997     3.2240
  0.1500      1.9652     3.3296
  0.1550      2.0308     3.4360
  0.1600      2.0963     3.5434
  0.1650      2.1618     3.6520
  0.1700      2.2273     3.7766
  0.1750      2.2928     3.8686
  0.1800      2.3583     3.9764
  0.1850      2.4238     4.0845
  0.1900      2.4893     4.1939
  0.1950      2.5548     4.3055
  0.2000      2.6203     4.4165
  0.2050      2.6858     4.5270
  0.2100      2.7513     4.6379
  0.2150      2.8169     4.7511
  0.2200      2.8824     4.8645
  0.2250      2.9479     4.9763
  0.2300      3.0134     5.0883
  0.2350      3.0789     5.2028
  0.2400      3.1444     5.3165
  0.2450      3.2099     5.4287
  0.2500      3.2754     5.5416
  0.2550      3.3409     5.6567
  0.2600      3.4064     5.7701
  0.2650      3.4719     5.8822
  0.2700      3.5374     5.9961
  0.2750      3.6030     6.1110
  0.2800      3.6685     6.2235
  0.2850      3.7340     6.3359
  0.2900      3.7995     6.4505
  0.2950      3.8650     6.5643
  0.3000      3.9305     6.6763
  0.3050      3.9960     6.7887
  0.3100      4.0615     6.9036
  0.3150      4.1270     7.0165
  0.3200      4.1925     7.1279
  0.3250      4.2580     7.2404
  0.3300      4.3235     7.3551
  0.3350      4.3891     7.4862
  0.3400      4.4546     7.5793
  0.3450      4.5201     7.6935
  0.3500      4.5856     7.8085
  0.3550      4.6511     7.9213
  0.3600      4.7166     8.0341
  0.3650      4.7821     8.1495
  0.3700      4.8476     8.2633
  0.3750      4.9131     8.3756
  0.3800      4.9786     8.4886
  0.3850      5.0441     8.6041
  0.3900      5.1096     8.7166
  0.3950      5.1752     8.8286
  0.4000      5.2407     8.9419
  0.4050      5.3062     9.0568
  0.4100      5.3717     9.1684
  0.4150      5.4372     9.2799
  0.4200      5.5027     9.3932
  0.4250      5.5682     9.5074
  0.4300      5.6337     9.6185
  0.4350      5.6992     9.7294
  0.4400      5.7647     9.8422
  0.4450      5.8302     9.9562
  0.4500      5.8957    10.0669
  0.4550      5.9613    10.1772
  0.4600      6.0268    10.2890
  0.4650      6.0923    10.4034
  0.4700      6.1578    10.5135
  0.4750      6.2233    10.6232
  0.4800      6.2888    10.7337
  0.4850      6.3543    10.8474
  0.4900      6.4198    10.9581
  0.4950      6.4853    11.0683
  0.5000      6.5508    11.1770
  0.5050      6.6163    11.2884
  0.5100      6.6818    11.4008
  0.5150      6.7474    11.5096
  0.5200      6.8129    11.6180
  0.5250      6.8784    11.7266
  0.5300      6.9439    11.8366
  0.5350      7.0094    11.9503
  0.5400      7.0749    12.0589
  0.5450      7.1404    12.1669
  0.5500      7.2059    12.2754
  0.5550      7.2714    12.3845
  0.5600      7.3369    12.4973
  0.5650      7.4024    12.6065
  0.5700      7.4679    12.7142
  0.5750      7.5335    12.8217
  0.5800      7.5990    12.9302
  0.5850      7.6645    13.0412
  0.5900      7.7300    13.1527
  0.5950      7.7955    13.2600
  0.6000      7.8610    13.3673
  0.6050      7.9265    13.4744
  0.6100      7.9920    13.5833
  0.6150      8.0575    13.6946
  0.6200      8.1230    13.8046
  0.6250      8.1885    13.9112
  0.6300      8.2540    14.0177
  0.6350      8.3196    14.1246
  0.6400      8.3851    14.2328
  0.6450      8.4506    14.3436
  0.6500      8.5161    14.4536
  0.6550      8.5816    14.5589
  0.6600      8.6471    14.6641
  0.6650      8.7126    14.7684
  0.6700      8.7781    14.8671
  0.6750      8.8436    14.9236
  0.6800      8.9091    14.9482
  0.6850      8.9746    14.9827
  0.7000      9.1712    14.3664
  0.7050      9.2367    14.4577
  0.7100      9.3022    14.5350
  0.7150      9.3677    14.6540
  0.7200      9.4332    14.7031
  0.7250      9.4987    14.3666
  0.7300      9.5642    14.4759
  0.7350      9.6297    14.5824
  0.7400      9.6952    14.6908
  0.7450      9.7607    14.2328
  0.7500      9.8262    14.3321
  0.7550      9.8918    14.4248
  0.7600      9.9573    14.5297
  0.7650     10.0228    14.6249
  0.7700     10.0883    14.6674
