t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0100      0.1310     1.0178
  0.0200      0.2620     1.0675
  0.0300      0.3930     1.1515
  0.0400      0.5241     1.2602
  0.0500      0.6551     1.3931
  0.0600      0.7861     1.5446
  0.0700      0.9171     1.7069
  0.0800      1.0481     1.8860
  0.0900      1.1791     2.0695
  0.1000      1.3102     2.2607
  0.1100      1.4412     2.4524
  0.1200      1.5722     2.6524
  0.1300      1.7032     2.8467
  0.1400      1.8342     3.0515
  0.1500      1.9652     3.2549
  0.1600      2.0963     3.4559
  0.1700      2.2273     3.6666
  0.1800      2.3583     3.8768
  0.1900      2.4893     4.0803
  0.2000      2.6203     4.2955
  0.2100      2.7513     4.5137
  0.2200      2.8824     4.7197
  0.2300      3.0134     4.9301
  0.2400      3.1444     5.1481
  0.2500      3.2754     5.1861
  0.2600      3.4064     5.3045
  0.2700      3.5374     5.5025
  0.2800      3.6685     5.7247
  0.2900      3.7995     5.9591
  0.3000      3.9305     6.2010
  0.3100      4.0615     6.4366
  0.3200      4.1925     6.4007
  0.3300      4.3235     6.4876
  0.3400      4.4546     6.6716
  0.3500      4.5856     6.8824
  0.3600      4.7166     7.0441
  0.3700      4.8476     6.7918
  0.3800      4.9786     6.4446
  0.3900      5.1096     6.6459
  0.4000      5.2407     6.8456
  0.4100      5.3717     7.0544
  0.4200      5.5027     7.2634
  0.4300      5.6337     7.4681
  0.4400      5.7647     7.6805
  0.4500      5.8957     7.8985
  0.4600      6.0268     8.1094
  0.4700      6.1578     8.3094
  0.4800      6.2888     8.5307
  0.4900      6.4198     8.7575
  0.5000      6.5508     8.8911
  0.5100      6.6818     8.0624
  0.5200      6.8129     8.2078
  0.5300      6.9439     8.3560
  0.5400      7.0749     8.1693
  0.5500      7.2059     8.3082
  0.5600      7.3369     8.4594
  0.5700      7.4679     8.6218
  0.5800      7.5990     8.7921
  0.5900      7.7300     8.9547
  0.6000      7.8610     9.1308
  0.6100      7.9920     9.2900
  0.6200      8.1230     9.4412
  0.6300      8.2540     9.6063
  0.6400      8.3851     9.7646
  0.6500      8.5161     9.8864
  0.6600      8.6471     9.8359
  0.6700      8.7781     9.9317
  0.6800      8.9091    10.0545
  0.6900      9.0401    10.1817
  0.7000      9.1712    10.3052
  0.7100      9.3022    10.1638
  0.7200      9.4332    10.1764
  0.7300      9.5642    10.2851
  0.7400      9.6952     9.3412
  0.7500      9.8262     9.4746
  0.7600      9.9573     9.6096
  0.7700     10.0883     9.7490
  0.7800     10.2193     9.8778
  0.7900     10.3503     9.0083
  0.8000     10.4813     9.0928
