t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0100      0.1310     1.0175
  0.0200      0.2620     1.0664
  0.0300      0.3930     1.1518
  0.0400      0.5241     1.2619
  0.0500      0.6551     1.3975
  0.0600      0.7861     1.5515
  0.0700      0.9171     1.7137
  0.0800      1.0481     1.8932
  0.0900      1.1791     2.0743
  0.1000      1.3102     2.2662
  0.1100      1.4412     2.4550
  0.1200      1.5722     2.6539
  0.1300      1.7032     2.8449
  0.1400      1.8342     3.0467
  0.1500      1.9652     3.2439
  0.1600      2.0963     3.4421
  0.1700      2.2273     3.6478
  0.1800      2.3583     3.8437
  0.1900      2.4893     4.0500
  0.2000      2.6203     4.2595
  0.2100      2.7513     4.4560
  0.2200      2.8824     4.6666
  0.2300      3.0134     4.8823
  0.2400      3.1444     5.0799
  0.2500      3.2754     5.2921
  0.2600      3.4064     5.5149
  0.2700      3.5374     5.3614
  0.2800      3.6685     5.5197
  0.2900      3.7995     5.7116
  0.3000      3.9305     5.9214
  0.3100      4.0615     6.1369
  0.3200      4.1925     6.3482
  0.3300      4.3235     6.5651
  0.3400      4.4546     6.7893
  0.3500      4.5856     7.0178
  0.3600      4.7166     7.2393
  0.3700      4.8476     7.0486
  0.3800      4.9786     7.1848
  0.3900      5.1096     7.3627
  0.4000      5.2407     7.5477
  0.4100      5.3717     7.7547
  0.4200      5.5027     7.9046
  0.4300      5.6337     7.7343
  0.4400      5.7647     7.1931
  0.4500      5.8957     7.3589
  0.4600      6.0268     7.5609
  0.4700      6.1578     7.7470
  0.4800      6.2888     7.9445
  0.4900      6.4198     8.1436
  0.5000      6.5508     8.3347
  0.5100      6.6818     8.5363
  0.5200      6.8129     8.7389
  0.5300      6.9439     8.9245
  0.5400      7.0749     9.1343
  0.5500      7.2059     9.2637
  0.5600      7.3369     8.4975
  0.5700      7.4679     8.6682
  0.5800      7.5990     8.8282
  0.5900      7.7300     9.0014
  0.6000      7.8610     9.1590
  0.6100      7.9920     9.3030
  0.6200      8.1230     9.4464
  0.6300      8.2540     9.0277
  0.6400      8.3851     9.1760
  0.6500      8.5161     9.3243
  0.6600      8.6471     9.4732
  0.6700      8.7781     9.6332
  0.6800      8.9091     9.7775
  0.6900      9.0401     9.9123
  0.7000      9.1712    10.0289
  0.7100      9.3022     9.9426
  0.7200      9.4332     9.9913
  0.7300      9.5642    10.0763
  0.7400      9.6952    10.1060
  0.7500      9.8262     9.7980
  0.7600      9.9573     9.9205
  0.7700     10.0883    10.0492
  0.7800     10.2193    10.1665
  0.7900     10.3503     8.8501
  0.8000     10.4813     8.9028
