t(s)      T=t*sqrt(g/a)   Z=x_front/a
  0.0000      0.0000     1.0000
  0.0500      0.6551     0.8878
  0.1000      1.3102     0.7076
  0.1500      1.9652     0.5446
  0.2000      2.6203     0.4127
  0.2500      3.2754     0.3151
  0.3000      3.9305     0.2466
  0.3500      4.5856     0.2002
  0.4000      5.2407     0.1672
  0.4500      5.8957     0.1420
  0.5000      6.5508     0.1243
  0.5500      7.2059     0.1108
  0.6000      7.8610     0.0987
  0.6500      8.5161     0.0892
  0.7000      9.1712     0.0822
  0.7500      9.8262     0.0766
  0.8000     10.4813     0.0719
