# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 4.00000000e+01
# lRef          : 1.04400000e+00
# Aref          : 4.01696000e-01
# CofR          : (5.22000000e-01 0.00000000e+00 1.44000000e-01)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	4.87372486e-04	2.43679842e-04	2.43692644e-04	8.87676803e-06	-5.85644934e-07	9.46241296e-06	-5.02402895e-06	-6.40131767e-09	1.10929647e-07	-1.95008272e-06	-8.64111712e-07	-1.08597100e-06
2               	2.98198790e-03	1.49060021e-03	1.49138769e-03	-2.35214478e-04	-1.65727064e-04	-6.94874139e-05	-4.81198250e-05	-3.93738381e-07	3.13554028e-05	-2.21767713e-04	-7.95284536e-05	-1.42239259e-04
3               	4.89859797e-03	2.44715795e-03	2.45144002e-03	-5.42892820e-04	-3.22457496e-04	-2.20435324e-04	-5.10110859e-05	-2.14103679e-06	3.09615310e-05	-6.65232601e-04	-3.01654770e-04	-3.63577832e-04
4               	4.63949952e-03	2.31964427e-03	2.31985525e-03	3.31842842e-04	1.91974105e-04	1.39868737e-04	2.60526839e-05	-1.05490872e-07	3.94750585e-07	-2.59111515e-04	-1.29161007e-04	-1.29950508e-04
5               	5.22652656e-03	2.61591528e-03	2.61061128e-03	1.82914900e-03	1.00200524e-03	8.27143765e-04	8.74307366e-05	2.65199738e-06	1.05187697e-05	7.17792356e-04	3.69414948e-04	3.48377408e-04
6               	1.05629164e-02	5.28425524e-03	5.27866115e-03	2.19296878e-03	1.17567864e-03	1.01729014e-03	7.91942505e-05	2.79704278e-06	2.76356292e-05	1.05143895e-03	5.53355102e-04	4.98083844e-04
7               	2.24750287e-02	1.12379120e-02	1.12371167e-02	1.12048939e-03	5.54453855e-04	5.66035537e-04	-5.79084115e-06	3.97663307e-07	7.66875234e-05	6.33226258e-04	3.93300653e-04	2.39925606e-04
8               	3.94477319e-02	1.97271916e-02	1.97205403e-02	-6.47941685e-04	-4.45752092e-04	-2.02189594e-04	-1.21781249e-04	3.32566214e-06	1.98310394e-04	-2.50817536e-04	7.29016259e-05	-3.23719162e-04
9               	5.80493258e-02	2.90304495e-02	2.90188763e-02	-1.92323056e-03	-1.10673220e-03	-8.16498359e-04	-1.45116919e-04	5.78664290e-06	1.80775684e-04	-1.55678375e-03	-5.97616193e-04	-9.59167560e-04
10              	7.40340947e-02	3.70208597e-02	3.70132350e-02	-1.67583443e-03	-9.66519444e-04	-7.09314985e-04	-1.28602229e-04	3.81235140e-06	-3.60002645e-05	-2.31582256e-03	-1.19391154e-03	-1.12191101e-03
11              	8.41893861e-02	4.20968985e-02	4.20924875e-02	4.30308090e-04	-2.21867806e-06	4.32526768e-04	-2.17372723e-04	2.20549502e-06	-3.54377249e-04	-1.73071052e-03	-1.21973251e-03	-5.10978011e-04
12              	8.77245160e-02	4.38614951e-02	4.38630209e-02	3.43133441e-03	1.27274754e-03	2.15858687e-03	-4.42919667e-04	-7.62922134e-07	-6.36407030e-04	1.30590558e-04	-5.71111751e-04	7.01702309e-04
13              	8.57474839e-02	4.28753570e-02	4.28721269e-02	6.04203636e-03	2.27913591e-03	3.76290045e-03	-7.41882267e-04	1.61502571e-06	-8.14011131e-04	2.30607616e-03	3.39026948e-04	1.96704921e-03
14              	8.04697201e-02	4.02440626e-02	4.02256575e-02	7.63346742e-03	2.77716338e-03	4.85630404e-03	-1.03957033e-03	9.20255965e-06	-8.70662280e-04	4.01884313e-03	1.13875929e-03	2.88008385e-03
15              	7.36683144e-02	3.68448775e-02	3.68234369e-02	8.05197469e-03	2.78663952e-03	5.26533517e-03	-1.23934782e-03	1.07202815e-05	-8.19622232e-04	4.95094541e-03	1.65585047e-03	3.29509494e-03
16              	6.65958470e-02	3.33053855e-02	3.32904615e-02	7.63307174e-03	2.51219913e-03	5.12087261e-03	-1.30433674e-03	7.46202486e-06	-6.98793327e-04	5.03897401e-03	1.82069368e-03	3.21828033e-03
17              	6.00879154e-02	3.00476068e-02	3.00403086e-02	7.00466170e-03	2.22385529e-03	4.78080641e-03	-1.27847556e-03	3.64905964e-06	-6.32164091e-04	4.60071616e-03	1.66819399e-03	2.93252217e-03
18              	5.46023899e-02	2.72998866e-02	2.73025033e-02	6.68918163e-03	2.06384318e-03	4.62533845e-03	-1.28074763e-03	-1.30831220e-06	-5.97512600e-04	3.73569244e-03	1.27033362e-03	2.46535882e-03
19              	5.02100348e-02	2.50945127e-02	2.51155221e-02	6.93040264e-03	2.10670577e-03	4.82369687e-03	-1.35849555e-03	-1.05047187e-05	-6.08287347e-04	2.67122915e-03	7.27327229e-04	1.94390192e-03
20              	4.67341032e-02	2.33442609e-02	2.33898423e-02	7.51608281e-03	2.33135913e-03	5.18472368e-03	-1.42668227e-03	-2.27907229e-05	-6.31266579e-04	1.54156095e-03	1.39513896e-04	1.40204705e-03
21              	4.41031022e-02	2.20131880e-02	2.20899141e-02	7.55788312e-03	2.41912707e-03	5.13875605e-03	-1.35981449e-03	-3.83630399e-05	-6.75390777e-04	5.32459113e-04	-4.09161220e-04	9.41620333e-04
22              	4.22039001e-02	2.10502518e-02	2.11536482e-02	6.84658990e-03	2.31008947e-03	4.53650043e-03	-1.11320548e-03	-5.16981933e-05	-6.74093448e-04	-2.14023690e-04	-7.81105293e-04	5.67081603e-04
23              	4.09034853e-02	2.03942633e-02	2.05092220e-02	5.16117884e-03	1.93083848e-03	3.23034036e-03	-6.49750938e-04	-5.74793503e-05	-6.35916762e-04	-6.64492729e-04	-9.68163127e-04	3.03670398e-04
24              	4.01604057e-02	2.00258118e-02	2.01345938e-02	2.84066737e-03	1.30279088e-03	1.53787650e-03	-1.17542809e-04	-5.43910122e-05	-5.51489554e-04	-8.26942582e-04	-9.64960846e-04	1.38018263e-04
25              	3.97017834e-02	1.98028054e-02	1.98989780e-02	3.60583924e-04	5.63591789e-04	-2.03007865e-04	3.83299827e-04	-4.80863006e-05	-4.56841307e-04	-7.72457051e-04	-8.43069832e-04	7.06127811e-05
26              	3.92897260e-02	1.95969829e-02	1.96927431e-02	-1.47957738e-03	-7.51605163e-05	-1.40441686e-03	6.64628173e-04	-4.78801057e-05	-3.64497641e-04	-5.72252864e-04	-6.50624073e-04	7.83712095e-05
27              	3.88116133e-02	1.93507233e-02	1.94608900e-02	-1.97490827e-03	-3.73387664e-04	-1.60152060e-03	6.14066469e-04	-5.50833394e-05	-2.85437334e-04	-3.27906303e-04	-4.49390486e-04	1.21484182e-04
28              	3.79459473e-02	1.89093801e-02	1.90365672e-02	-4.80271571e-04	-9.53753773e-05	-3.84896193e-04	1.44760408e-04	-6.35935883e-05	-2.30313629e-04	-1.23858012e-04	-2.92242635e-04	1.68384623e-04
29              	3.68298038e-02	1.83472815e-02	1.84825223e-02	2.80220198e-03	7.46471643e-04	2.05573034e-03	-6.54629348e-04	-6.76203757e-05	-2.04191801e-04	-5.80549446e-05	-2.33219273e-04	1.75164328e-04
