# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# liftDir       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# yawAxis       : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 4.00000000e+01
# lRef          : 1.04400000e+00
# Aref          : 4.01696000e-01
# CofR          : (5.22000000e-01 0.00000000e+00 1.44000000e-01)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1               	6.36116019e-04	3.18063215e-04	3.18052804e-04	1.32658008e-05	3.05167975e-07	1.29606328e-05	-6.32773241e-06	5.20529603e-09	7.04350721e-08	-8.89822101e-07	-3.74475979e-07	-5.15346123e-07
2               	2.76504673e-03	1.38230890e-03	1.38273783e-03	-1.77405437e-04	-1.30922996e-04	-4.64824413e-05	-4.22202773e-05	-2.14466156e-07	2.58403623e-05	-1.65858575e-04	-5.70889250e-05	-1.08769650e-04
3               	4.82439190e-03	2.40994436e-03	2.41444754e-03	-6.69649419e-04	-4.12302196e-04	-2.57347223e-04	-7.74774862e-05	-2.25159027e-06	4.37369190e-05	-6.76993472e-04	-2.94759817e-04	-3.82233655e-04
4               	4.33251005e-03	2.16368598e-03	2.16882408e-03	-2.53026999e-04	-1.36495666e-04	-1.16531333e-04	-9.98216697e-06	-2.56905051e-06	-3.61701407e-05	-5.78865111e-04	-3.25602696e-04	-2.53262415e-04
5               	2.32347669e-03	1.16226586e-03	1.16121084e-03	1.10704518e-03	6.62460526e-04	4.44584655e-04	1.08937936e-04	5.27507726e-07	-1.12350381e-04	5.41841449e-04	1.58570344e-04	3.83271105e-04
6               	2.10762896e-03	1.05788662e-03	1.04974234e-03	2.37125053e-03	1.34404291e-03	1.02720762e-03	1.58417645e-04	4.07213859e-06	-5.39611367e-05	1.46775932e-03	6.79918521e-04	7.87840794e-04
7               	6.83789572e-03	3.42455588e-03	3.41333985e-03	2.33557552e-03	1.31041050e-03	1.02516502e-03	1.42622742e-04	5.60801380e-06	4.60569319e-05	1.95689286e-03	1.02450336e-03	9.32389496e-04
8               	1.79761562e-02	8.99088112e-03	8.98527508e-03	8.75097793e-04	4.84028891e-04	3.91068902e-04	4.64799943e-05	2.80302031e-06	2.78622331e-04	1.67563563e-03	1.11644014e-03	5.59195482e-04
9               	3.41242099e-02	1.70742005e-02	1.70500094e-02	-1.61182221e-03	-7.90815497e-04	-8.21006712e-04	1.50956075e-05	1.20955441e-05	5.68460638e-04	1.97656710e-05	5.78343474e-04	-5.58577803e-04
10              	5.14409928e-02	2.57390713e-02	2.57019215e-02	-3.65724145e-03	-1.75811495e-03	-1.89912649e-03	7.05057702e-05	1.85748715e-05	6.05259307e-04	-2.78475779e-03	-7.87119588e-04	-1.99763820e-03
11              	6.65481528e-02	3.32792698e-02	3.32688829e-02	-4.17146046e-03	-2.02905287e-03	-2.14240759e-03	5.66773593e-05	5.19345697e-06	2.57585186e-04	-5.61634860e-03	-2.55058912e-03	-3.06575949e-03
12              	7.73230856e-02	3.86408911e-02	3.86821945e-02	-2.77180848e-03	-1.45951812e-03	-1.31229037e-03	-7.36138754e-05	-2.06517131e-05	-3.55401445e-04	-7.24390803e-03	-3.97735546e-03	-3.26655257e-03
13              	8.28048717e-02	4.13765395e-02	4.14283322e-02	-1.72880247e-04	-3.86762107e-04	2.13881859e-04	-3.00321983e-04	-2.58963714e-05	-8.97093678e-04	-6.69123220e-03	-4.24270978e-03	-2.44852242e-03
14              	8.34686766e-02	4.17102906e-02	4.17583860e-02	2.94422744e-03	8.25119046e-04	2.11910839e-03	-6.46994672e-04	-2.40477332e-05	-1.14158800e-03	-3.99970426e-03	-3.14144013e-03	-8.58264127e-04
15              	8.08915398e-02	4.04320388e-02	4.04595010e-02	5.19252070e-03	1.67400380e-03	3.51851690e-03	-9.22256550e-04	-1.37310824e-05	-1.10634602e-03	-2.89548585e-04	-1.25112031e-03	9.61571729e-04
16              	7.61408478e-02	3.80839209e-02	3.80569269e-02	6.32763570e-03	2.06086999e-03	4.26676572e-03	-1.10294786e-03	1.34970100e-05	-1.01666087e-03	3.21245910e-03	5.89568681e-04	2.62289042e-03
