xc,cf
-2.025045238095238176e+00,2.845579596948830201e-03
-2.021295238095238034e+00,2.635572553063328730e-03
-2.015297619047619282e+00,2.238912970133036424e-03
-2.009300000000000086e+00,2.055113017036646738e-03
-2.003302380952380890e+00,1.963563358061062337e-03
-1.997304761904761916e+00,1.924494607820388323e-03
-1.991307142857142942e+00,1.909597770089849385e-03
-1.985307142857142937e+00,1.906361502990493520e-03
-1.979309523809523963e+00,1.908863771366284007e-03
-1.973311904761904989e+00,1.914185262112131801e-03
-1.967314285714285793e+00,1.920924704937593827e-03
-1.961316666666666597e+00,1.928264692173245649e-03
-1.955319047619047845e+00,1.935788179089788707e-03
-1.949321428571428649e+00,1.943261620638816111e-03
-1.943323809523809675e+00,1.950501517139436409e-03
-1.937323809523809448e+00,1.957441141434961701e-03
-1.931326190476190696e+00,1.964047129947048363e-03
-1.925328571428571500e+00,1.970336164464867989e-03
-1.919330952380952526e+00,1.976274881410077389e-03
-1.913333333333333330e+00,1.981896644361019321e-03
-1.907335714285714356e+00,1.987184771528523273e-03
-1.901338095238095383e+00,1.992189308280103814e-03
-1.895340476190476187e+00,1.996910254615761812e-03
-1.889340476190476181e+00,2.001380974113840892e-03
-1.883342857142857207e+00,2.005601466774340619e-03
-1.877345238095238233e+00,2.009605096175605052e-03
-1.871347619047619260e+00,2.013391862317634624e-03
-1.865350000000000064e+00,2.016995128778772961e-03
-1.859352380952380868e+00,2.020414895559019628e-03
-1.853354761904762116e+00,2.023684526236719117e-03
-1.847357142857142920e+00,2.026787339022699617e-03
-1.841357142857142914e+00,2.029740015706131637e-03
-1.835359523809523719e+00,2.032575919865360972e-03
-1.829361904761904967e+00,2.035278369711214508e-03
-1.823364285714285771e+00,2.037864047032864924e-03
-1.817366666666666797e+00,2.040349633619483165e-03
-1.811369047619047601e+00,2.042751811260241912e-03
-1.805371428571428627e+00,2.045037216376797105e-03
-1.799373809523809653e+00,2.047255894336664616e-03
-1.793376190476190679e+00,2.049374481561500386e-03
-1.787376190476190452e+00,2.051443023418820285e-03
-1.781378571428571478e+00,2.053428156330280689e-03
-1.775380952380952504e+00,2.055346562085053411e-03
-1.769383333333333530e+00,2.057214922472310262e-03
-1.763385714285714334e+00,2.059016555702879430e-03
-1.757388095238095138e+00,2.060751461776760916e-03
-1.751390476190476386e+00,2.062453004272298343e-03
-1.745392857142857190e+00,2.064104501400319900e-03
-1.739392857142857185e+00,2.065705953160825586e-03
-1.733395238095237989e+00,2.067274041342987648e-03
-1.727397619047619237e+00,2.068808765946805652e-03
-1.721400000000000041e+00,2.070293445183108219e-03
-1.715402380952381067e+00,2.071744760841066294e-03
-1.709404761904761871e+00,2.073162712920681178e-03
-1.703407142857143119e+00,2.074547301421952004e-03
-1.697409523809523924e+00,2.075915208134050585e-03
-1.691409523809523918e+00,2.077233069478633294e-03
-1.685411904761904722e+00,2.078550930823216437e-03
-1.679414285714285970e+00,2.079818746800283710e-03
-1.673416666666666774e+00,2.081086562777350549e-03
-1.667419047619047801e+00,2.082321015176073764e-03
-1.661421428571428605e+00,2.083538785785625166e-03
-1.655423809523809409e+00,2.084723192816832944e-03
-1.649426190476190657e+00,2.085890918058868043e-03
-1.643426190476190651e+00,2.087058643300904008e-03
-1.637428571428571455e+00,2.088193004964595048e-03
-1.631430952380952260e+00,2.089310684839115143e-03
-1.625433333333333508e+00,2.090428364713634805e-03
-1.619435714285714312e+00,2.091512681009810842e-03
-1.613438095238095338e+00,2.092596997305986445e-03
-1.607440476190476142e+00,2.093664631812990670e-03
-1.601442857142857390e+00,2.094715584530822215e-03
-1.595442857142857163e+00,2.095749855459482381e-03
-1.589445238095238189e+00,2.096784126388142547e-03
-1.583447619047618993e+00,2.097818397316802280e-03
-1.577450000000000241e+00,2.098819304667118822e-03
-1.571452380952381045e+00,2.099820212017434930e-03
-1.565454761904762071e+00,2.100821119367750605e-03
-1.559457142857142875e+00,2.101788663139723089e-03
-1.553459523809523679e+00,2.102772888700867385e-03
-1.547461904761904927e+00,2.103740432472839868e-03
-1.541461904761904922e+00,2.104691294455640106e-03
-1.535464285714285726e+00,2.105642156438440344e-03
-1.529466666666666530e+00,2.106593018421240582e-03
-1.523469047619047778e+00,2.107527198614869441e-03
-1.517471428571428582e+00,2.108444697019325621e-03
-1.511473809523809608e+00,2.109362195423782234e-03
-1.505476190476190412e+00,2.110279693828238413e-03
-1.499478571428571660e+00,2.111197192232695027e-03
-1.493478571428571433e+00,2.112098008847979828e-03
-1.487480952380952459e+00,2.112982143674091949e-03
-1.481483333333333263e+00,2.113882960289376750e-03
-1.475485714285714511e+00,2.114767095115489305e-03
-1.469488095238095315e+00,2.115651229941601860e-03
-1.463490476190476342e+00,2.116518682978542603e-03
-1.457492857142857146e+00,2.117386136015483346e-03
-1.451495238095237950e+00,2.118253589052424089e-03
-1.445495238095238166e+00,2.119104360300192585e-03
-1.439497619047619192e+00,2.119955131547961516e-03
-1.433499999999999996e+00,2.120805902795730013e-03
-1.427502380952380800e+00,2.121656674043498943e-03
-1.421504761904762049e+00,2.122490763502095628e-03
-1.415507142857142853e+00,2.123324852960692313e-03
-1.409509523809523879e+00,2.124158942419288997e-03
-1.403511904761904683e+00,2.124976350088714303e-03
-1.397511904761904900e+00,2.125793757758138742e-03
-1.391514285714285704e+00,2.126611165427563614e-03
-1.385516666666666730e+00,2.127428573096988920e-03
-1.379519047619047534e+00,2.128229298977241547e-03
-1.373521428571428782e+00,2.129030024857494607e-03
-1.367523809523809586e+00,2.129830750737747233e-03
-1.361526190476190612e+00,2.130631476618000293e-03
-1.355528571428571416e+00,2.131415520709081541e-03
-1.349528571428571633e+00,2.132199564800162355e-03
-1.343530952380952437e+00,2.132966927102071357e-03
-1.337533333333333463e+00,2.133750971193152605e-03
-1.331535714285714267e+00,2.134518333495061173e-03
-1.325538095238095515e+00,2.135285695796970609e-03
-1.319540476190476319e+00,2.136036376309707364e-03
-1.313542857142857123e+00,2.136803738611616800e-03
-1.307545238095238149e+00,2.137537737335181744e-03
-1.301547619047618953e+00,2.138288417847918933e-03
-1.295547619047619170e+00,2.139039098360656123e-03
-1.289549999999999974e+00,2.139773097084221067e-03
-1.283552380952381000e+00,2.140490414018614632e-03
-1.277554761904761804e+00,2.141224412742180009e-03
-1.271557142857143052e+00,2.141941729676573140e-03
-1.265559523809523856e+00,2.142659046610966272e-03
-1.259561904761904882e+00,2.143359681756187591e-03
-1.253564285714285687e+00,2.144060316901408476e-03
-1.247564285714285903e+00,2.144760952046630229e-03
-1.241566666666666707e+00,2.145444905402679302e-03
-1.235569047619047733e+00,2.146128858758728809e-03
-1.229571428571428537e+00,2.146812812114778316e-03
-1.223573809523809786e+00,2.147496765470827823e-03
-1.217576190476190590e+00,2.148147355248532838e-03
-1.211578571428571394e+00,2.148814626815410533e-03
-1.205580952380952420e+00,2.149465216593115981e-03
-1.199580952380952636e+00,2.150115806370821430e-03
-1.193583333333333441e+00,2.150749714359355066e-03
-1.187585714285714245e+00,2.151383622347888703e-03
-1.181588095238095271e+00,2.152017530336422339e-03
-1.175590476190476297e+00,2.152634756535784163e-03
-1.169592857142857323e+00,2.153235300945973308e-03
-1.163595238095238127e+00,2.153852527145335132e-03
-1.157597619047619153e+00,2.154436389766352898e-03
-1.151597619047619148e+00,2.155020252387370664e-03
-1.145600000000000174e+00,2.155604115008388430e-03
-1.139602380952380978e+00,2.156171295840234384e-03
-1.133604761904762004e+00,2.156738476672079904e-03
-1.127607142857142808e+00,2.157288975714753611e-03
-1.121609523809523834e+00,2.157822792968255941e-03
-1.115611904761904860e+00,2.158356610221757836e-03
-1.109614285714285664e+00,2.158890427475259732e-03
-1.103614285714285659e+00,2.159390881150418003e-03
-1.097616666666666685e+00,2.159908016614748086e-03
-1.091619047619047711e+00,2.160391788500734111e-03
-1.085621428571428515e+00,2.160875560386720136e-03
-1.079623809523809541e+00,2.161342650483534349e-03
-1.073626190476190567e+00,2.161809740580348561e-03
-1.067628571428571593e+00,2.162260148887990962e-03
-1.061630952380952397e+00,2.162693875406461116e-03
-1.055630952380952392e+00,2.163110920135759459e-03
-1.049633333333333418e+00,2.163527964865057801e-03
-1.043635714285714444e+00,2.163928327805184331e-03
-1.037638095238095248e+00,2.164312008956139049e-03
-1.031640476190476274e+00,2.164679008317921521e-03
-1.025642857142857078e+00,2.165029325890532614e-03
-1.019645238095238104e+00,2.165379643463142840e-03
-1.013647619047619131e+00,2.165696597457409875e-03
-1.007650000000000157e+00,2.166013551451676476e-03
-1.001649999999999929e+00,2.166313823656771265e-03
-9.956523809523809554e-01,2.166580732283522430e-03
-9.896547619047619815e-01,2.166847640910273161e-03
-9.836571428571428966e-01,2.167097867747852513e-03
-9.776595238095239226e-01,2.167314731007087374e-03
-9.716619047619048377e-01,2.167531594266322668e-03
-9.656642857142857528e-01,2.167715093947213904e-03
-9.596666666666666679e-01,2.167881911838933327e-03
-9.536666666666667735e-01,2.168032047941480505e-03
-9.476690476190476886e-01,2.168165502254856304e-03
-9.416714285714286037e-01,2.168282274779059857e-03
-9.356738095238096298e-01,2.168365683724919786e-03
-9.296761904761904338e-01,2.168432410881607035e-03
-9.236785714285714599e-01,2.168465774459951093e-03
-9.176809523809523750e-01,2.168499138038294718e-03
-9.116833333333334011e-01,2.168482456249122906e-03
-9.056833333333332847e-01,2.168449092670779281e-03
-8.996857142857143108e-01,2.168399047303263411e-03
-8.936880952380952259e-01,2.168315638357403482e-03
-8.876904761904762520e-01,2.168198865833199929e-03
-8.816928571428571670e-01,2.168065411519824563e-03
-8.756952380952381931e-01,2.167898593628105140e-03
-8.696976190476191082e-01,2.167698412158042091e-03
-8.637000000000001343e-01,2.167481548898806797e-03
-8.577000000000000179e-01,2.167214640272056066e-03
-8.517023809523810440e-01,2.166914368066960844e-03
-8.457047619047619591e-01,2.166597414072694242e-03
-8.397071428571429852e-01,2.166230414710911337e-03
-8.337095238095239003e-01,2.165846733559957053e-03
-8.277119047619047043e-01,2.165413007041486898e-03
-8.217142857142857304e-01,2.164945916944672685e-03
-8.157166666666666455e-01,2.164428781480342602e-03
-8.097166666666667512e-01,2.163878282437668894e-03
-8.037190476190475552e-01,2.163294419816650695e-03
-7.977214285714285813e-01,2.162660511828117058e-03
-7.917238095238094964e-01,2.161976558472067985e-03
-7.857261904761905225e-01,2.161259241537674854e-03
-7.797285714285714375e-01,2.160491879235765852e-03
-7.737309523809524636e-01,2.159674471566340546e-03
-7.677333333333333787e-01,2.158807018529400237e-03
-7.617357142857144048e-01,2.157906201914115869e-03
-7.557357142857142884e-01,2.156938658142143386e-03
-7.497380952380953145e-01,2.155921069002655465e-03
-7.437404761904762296e-01,2.154836752706479428e-03
-7.377428571428572557e-01,2.153702391042787954e-03
-7.317452380952381708e-01,2.152517984011580177e-03
-7.257476190476189748e-01,2.151266849823685150e-03
-7.197500000000000009e-01,2.149948988479102006e-03
-7.137523809523809160e-01,2.148564399977831614e-03
-7.077523809523810217e-01,2.147129766109044918e-03
-7.017547619047620477e-01,2.145611723294398726e-03
-6.957571428571428518e-01,2.144026953323064852e-03
-6.897595238095237669e-01,2.142375456195043295e-03
-6.837619047619047929e-01,2.140657231910334055e-03
-6.777642857142857080e-01,2.138855598679764453e-03
-6.717666666666667341e-01,2.136970556503336224e-03
-6.657690476190476492e-01,2.135002105381047632e-03
-6.597690476190476438e-01,2.132950245312899545e-03
-6.537714285714285589e-01,2.130831658088063341e-03
-6.477738095238095850e-01,2.128612980128196264e-03
-6.417761904761905001e-01,2.126310893222468825e-03
-6.357785714285715262e-01,2.123892033792538266e-03
-6.297809523809524412e-01,2.121439810784263649e-03
-6.237833333333334673e-01,2.118804088095097796e-03
-6.177857142857142714e-01,2.116268456140963684e-03
-6.117857142857143771e-01,2.113232370511671301e-03
-6.057880952380952921e-01,2.111013692551803791e-03
-5.997904761904763182e-01,2.108544787754357362e-03
-5.937928571428571223e-01,2.103606978159464069e-03
-5.877976190476190688e-01,2.099303076553104847e-03
-5.818023809523809042e-01,2.095899991562029559e-03
-5.758095238095238821e-01,2.091979771106625054e-03
-5.698166666666667490e-01,2.087792642024468952e-03
-5.638238095238095049e-01,2.083522103996453354e-03
-5.578333333333334032e-01,2.079118111655062391e-03
-5.518452380952381109e-01,2.074580665000295629e-03
-5.458571428571428186e-01,2.069909764032153501e-03
-5.398690476190476373e-01,2.065088726961464196e-03
-5.338857142857142968e-01,2.060117553788227279e-03
-5.279000000000000359e-01,2.054996244512443185e-03
-5.219166666666666954e-01,2.049708117344939233e-03
