xc,cp
-2.025045238095238176e+00,1.552946250452051126e-02
-2.021295238095238034e+00,8.206157058040852020e-03
-2.015297619047619282e+00,3.251665673975836883e-03
-2.009300000000000086e+00,1.516759600094561185e-03
-2.003302380952380890e+00,6.493065631539234441e-04
-1.997304761904761916e+00,1.321710988236214786e-04
-1.991307142857142942e+00,-2.014646846147936151e-04
-1.985307142857142937e+00,-4.350097330220634943e-04
-1.979309523809523963e+00,-6.351912030851125397e-04
-1.973311904761904989e+00,-7.853273056327785776e-04
-1.967314285714285793e+00,-9.354634081800653617e-04
-1.961316666666666597e+00,-1.068917721555810718e-03
-1.955319047619047845e+00,-1.185690245759255922e-03
-1.949321428571428649e+00,-1.302462769962701343e-03
-1.943323809523809675e+00,-1.402553504994225866e-03
-1.937323809523809448e+00,-1.502644240026129643e-03
-1.931326190476190696e+00,-1.602734975057654165e-03
-1.925328571428571500e+00,-1.686143920917258007e-03
-1.919330952380952526e+00,-1.786234655948782529e-03
-1.913333333333333330e+00,-1.869643601808386154e-03
-1.907335714285714356e+00,-1.953052547668369249e-03
-1.901338095238095383e+00,-2.036461493527973090e-03
-1.895340476190476187e+00,-2.103188650215656250e-03
-1.889340476190476181e+00,-2.186597596075259657e-03
-1.883342857142857207e+00,-2.270006541934863498e-03
-1.877345238095238233e+00,-2.336733698622926129e-03
-1.871347619047619260e+00,-2.403460855310608855e-03
-1.865350000000000064e+00,-2.486869801170212696e-03
-1.859352380952380868e+00,-2.553596957857895856e-03
-1.853354761904762116e+00,-2.620324114545578582e-03
-1.847357142857142920e+00,-2.687051271233261741e-03
-1.841357142857142914e+00,-2.753778427921323938e-03
-1.835359523809523719e+00,-2.803823795437086416e-03
-1.829361904761904967e+00,-2.870550952124769576e-03
-1.823364285714285771e+00,-2.937278108812452302e-03
-1.817366666666666797e+00,-3.004005265500135462e-03
-1.811369047619047601e+00,-3.054050633015897506e-03
-1.805371428571428627e+00,-3.120777789703580666e-03
-1.799373809523809653e+00,-3.170823157219722181e-03
-1.793376190476190679e+00,-3.220868524735484659e-03
-1.787376190476190452e+00,-3.287595681423167385e-03
-1.781378571428571478e+00,-3.337641048938929864e-03
-1.775380952380952504e+00,-3.387686416454691908e-03
-1.769383333333333530e+00,-3.437731783970454386e-03
-1.763385714285714334e+00,-3.487777151486216431e-03
-1.757388095238095138e+00,-3.537822519001978909e-03
-1.751390476190476386e+00,-3.587867886518120424e-03
-1.745392857142857190e+00,-3.637913254033882902e-03
-1.739392857142857185e+00,-3.687958621549644947e-03
-1.733395238095237989e+00,-3.738003989065407425e-03
-1.727397619047619237e+00,-3.788049356581169470e-03
-1.721400000000000041e+00,-3.838094724096931948e-03
-1.715402380952381067e+00,-3.871458302440773311e-03
-1.709404761904761871e+00,-3.921503669956535355e-03
-1.703407142857143119e+00,-3.971549037472297400e-03
-1.697409523809523924e+00,-4.004912615816518667e-03
-1.691409523809523918e+00,-4.054957983332280712e-03
-1.685411904761904722e+00,-4.088321561676122075e-03
-1.679414285714285970e+00,-4.138366929191884987e-03
-1.673416666666666774e+00,-4.171730507535726350e-03
-1.667419047619047801e+00,-4.221775875051488394e-03
-1.661421428571428605e+00,-4.255139453395329757e-03
-1.655423809523809409e+00,-4.288503031739171120e-03
-1.649426190476190657e+00,-4.338548399254934032e-03
-1.643426190476190651e+00,-4.371911977598775395e-03
-1.637428571428571455e+00,-4.405275555942995795e-03
-1.631430952380952260e+00,-4.438639134286837158e-03
-1.625433333333333508e+00,-4.488684501802600070e-03
-1.619435714285714312e+00,-4.522048080146441433e-03
-1.613438095238095338e+00,-4.555411658490282796e-03
-1.607440476190476142e+00,-4.588775236834124159e-03
-1.601442857142857390e+00,-4.622138815177965522e-03
-1.595442857142857163e+00,-4.655502393521806885e-03
-1.589445238095238189e+00,-4.688865971865649115e-03
-1.583447619047618993e+00,-4.722229550209490478e-03
-1.577450000000000241e+00,-4.755593128553331841e-03
-1.571452380952381045e+00,-4.788956706897173204e-03
-1.565454761904762071e+00,-4.805638496069093886e-03
-1.559457142857142875e+00,-4.839002074413315153e-03
-1.553459523809523679e+00,-4.872365652757156516e-03
-1.547461904761904927e+00,-4.905729231100997879e-03
-1.541461904761904922e+00,-4.939092809444839242e-03
-1.535464285714285726e+00,-4.955774598616759924e-03
-1.529466666666666530e+00,-4.989138176960601287e-03
-1.523469047619047778e+00,-5.022501755304443517e-03
-1.517471428571428582e+00,-5.039183544476364199e-03
-1.511473809523809608e+00,-5.072547122820205562e-03
-1.505476190476190412e+00,-5.089228911992126243e-03
-1.499478571428571660e+00,-5.122592490335967606e-03
-1.493478571428571433e+00,-5.139274279507888288e-03
-1.487480952380952459e+00,-5.172637857851729651e-03
-1.481483333333333263e+00,-5.189319647023650332e-03
-1.475485714285714511e+00,-5.222683225367492563e-03
-1.469488095238095315e+00,-5.239365014539792281e-03
-1.463490476190476342e+00,-5.256046803711712963e-03
-1.457492857142857146e+00,-5.289410382055554326e-03
-1.451495238095237950e+00,-5.306092171227475007e-03
-1.445495238095238166e+00,-5.322773960399395689e-03
-1.439497619047619192e+00,-5.356137538743237919e-03
-1.433499999999999996e+00,-5.372819327915158601e-03
-1.427502380952380800e+00,-5.389501117087079282e-03
-1.421504761904762049e+00,-5.406182906258999964e-03
-1.415507142857142853e+00,-5.422864695430920645e-03
-1.409509523809523879e+00,-5.456228273774762008e-03
-1.403511904761904683e+00,-5.472910062946682690e-03
-1.397511904761904900e+00,-5.489591852118603371e-03
-1.391514285714285704e+00,-5.506273641290524053e-03
-1.385516666666666730e+00,-5.522955430462444734e-03
-1.379519047619047534e+00,-5.539637219634366283e-03
-1.373521428571428782e+00,-5.556319008806286965e-03
-1.367523809523809586e+00,-5.573000797978207646e-03
-1.361526190476190612e+00,-5.573000797978207646e-03
-1.355528571428571416e+00,-5.589682587150128328e-03
-1.349528571428571633e+00,-5.606364376322049009e-03
-1.343530952380952437e+00,-5.623046165493969691e-03
-1.337533333333333463e+00,-5.639727954665890372e-03
-1.331535714285714267e+00,-5.639727954665890372e-03
-1.325538095238095515e+00,-5.656409743838190091e-03
-1.319540476190476319e+00,-5.673091533010111640e-03
-1.313542857142857123e+00,-5.673091533010111640e-03
-1.307545238095238149e+00,-5.689773322182032321e-03
-1.301547619047618953e+00,-5.689773322182032321e-03
-1.295547619047619170e+00,-5.706455111353953003e-03
-1.289549999999999974e+00,-5.706455111353953003e-03
-1.283552380952381000e+00,-5.723136900525873684e-03
-1.277554761904761804e+00,-5.723136900525873684e-03
-1.271557142857143052e+00,-5.739818689697794366e-03
-1.265559523809523856e+00,-5.739818689697794366e-03
-1.259561904761904882e+00,-5.739818689697794366e-03
-1.253564285714285687e+00,-5.739818689697794366e-03
-1.247564285714285903e+00,-5.756500478869715047e-03
-1.241566666666666707e+00,-5.756500478869715047e-03
-1.235569047619047733e+00,-5.756500478869715047e-03
-1.229571428571428537e+00,-5.756500478869715047e-03
-1.223573809523809786e+00,-5.756500478869715047e-03
-1.217576190476190590e+00,-5.756500478869715047e-03
-1.211578571428571394e+00,-5.756500478869715047e-03
-1.205580952380952420e+00,-5.756500478869715047e-03
-1.199580952380952636e+00,-5.756500478869715047e-03
-1.193583333333333441e+00,-5.739818689697794366e-03
-1.187585714285714245e+00,-5.739818689697794366e-03
-1.181588095238095271e+00,-5.739818689697794366e-03
-1.175590476190476297e+00,-5.723136900525873684e-03
-1.169592857142857323e+00,-5.723136900525873684e-03
-1.163595238095238127e+00,-5.706455111353953003e-03
-1.157597619047619153e+00,-5.706455111353953003e-03
-1.151597619047619148e+00,-5.689773322182032321e-03
-1.145600000000000174e+00,-5.689773322182032321e-03
-1.139602380952380978e+00,-5.673091533010111640e-03
-1.133604761904762004e+00,-5.656409743838190091e-03
-1.127607142857142808e+00,-5.639727954665890372e-03
-1.121609523809523834e+00,-5.623046165493969691e-03
-1.115611904761904860e+00,-5.606364376322049009e-03
-1.109614285714285664e+00,-5.589682587150128328e-03
-1.103614285714285659e+00,-5.573000797978207646e-03
-1.097616666666666685e+00,-5.556319008806286965e-03
-1.091619047619047711e+00,-5.539637219634366283e-03
-1.085621428571428515e+00,-5.506273641290524053e-03
-1.079623809523809541e+00,-5.489591852118603371e-03
-1.073626190476190567e+00,-5.456228273774762008e-03
-1.067628571428571593e+00,-5.439546484602841327e-03
-1.061630952380952397e+00,-5.406182906258999964e-03
-1.055630952380952392e+00,-5.372819327915158601e-03
-1.049633333333333418e+00,-5.339455749571317238e-03
-1.043635714285714444e+00,-5.306092171227475007e-03
-1.037638095238095248e+00,-5.272728592883633644e-03
-1.031640476190476274e+00,-5.239365014539792281e-03
