xc,cf
-2.025045238095238176e+00,2.906484809215568229e-03
-2.021295238095238034e+00,2.844828916436093012e-03
-2.015297619047619282e+00,2.793048642846403945e-03
-2.009300000000000086e+00,2.735296288733161853e-03
-2.003302380952380890e+00,2.688170234322442669e-03
-1.997304761904761916e+00,2.653605567158191358e-03
-1.991307142857142942e+00,2.629717245063979258e-03
-1.985307142857142937e+00,2.613952954296500011e-03
-1.979309523809523963e+00,2.603443427118180657e-03
-1.973311904761904989e+00,2.596236894195903984e-03
-1.967314285714285793e+00,2.591148948498463514e-03
-1.961316666666666597e+00,2.587428909513122058e-03
-1.955319047619047845e+00,2.584593005353892723e-03
-1.949321428571428649e+00,2.582290918448165717e-03
-1.943323809523809675e+00,2.580322467325877125e-03
-1.937323809523809448e+00,2.578537515884479769e-03
-1.931326190476190696e+00,2.576835973388942342e-03
-1.925328571428571500e+00,2.575184476260920785e-03
-1.919330952380952526e+00,2.573549660922071040e-03
-1.913333333333333330e+00,2.571931527372393542e-03
-1.907335714285714356e+00,2.570330075611887422e-03
-1.901338095238095383e+00,2.568745305640553547e-03
-1.895340476190476187e+00,2.567193899247563731e-03
-1.889340476190476181e+00,2.565659174643745728e-03
-1.883342857142857207e+00,2.564141131829099536e-03
-1.877345238095238233e+00,2.562673134381969215e-03
-1.871347619047619260e+00,2.561255182302354331e-03
-1.865350000000000064e+00,2.559853912011912126e-03
-1.859352380952380868e+00,2.558519368878156737e-03
-1.853354761904762116e+00,2.557234871111918086e-03
-1.847357142857142920e+00,2.555983736924022625e-03
-1.841357142857142914e+00,2.554782648103643035e-03
-1.835359523809523719e+00,2.553631604650779749e-03
-1.829361904761904967e+00,2.552513924776259654e-03
-1.823364285714285771e+00,2.551446290269255863e-03
-1.817366666666666797e+00,2.550428701129767942e-03
-1.811369047619047601e+00,2.549444475568624080e-03
-1.805371428571428627e+00,2.548510295374995221e-03
-1.799373809523809653e+00,2.547609478759710853e-03
-1.793376190476190679e+00,2.546742025722770111e-03
-1.787376190476190452e+00,2.545907936264173426e-03
-1.781378571428571478e+00,2.545107210383920366e-03
-1.775380952380952504e+00,2.544323166292839118e-03
-1.769383333333333530e+00,2.543572485780101929e-03
-1.763385714285714334e+00,2.542855168845708797e-03
-1.757388095238095138e+00,2.542154533700487912e-03
-1.751390476190476386e+00,2.541470580344438405e-03
-1.745392857142857190e+00,2.540819990566732956e-03
-1.739392857142857185e+00,2.540169400789027507e-03
-1.733395238095237989e+00,2.539552174589665683e-03
-1.727397619047619237e+00,2.538934948390304293e-03
-1.721400000000000041e+00,2.538334403980114281e-03
-1.715402380952381067e+00,2.537750541359096515e-03
-1.709404761904761871e+00,2.537183360527250561e-03
-1.703407142857143119e+00,2.536616179695405041e-03
-1.697409523809523924e+00,2.536048998863559521e-03
-1.691409523809523918e+00,2.535498499820885380e-03
