xc,cp
-2.025045238095238176e+00,4.939092809444744483e-04
-2.021295238095238034e+00,1.116140017057692339e-03
-2.015297619047619282e+00,2.770460217093149860e-04
-2.009300000000000086e+00,8.353726731485882999e-05
-2.003302380952380890e+00,-3.323525688870497915e-05
-1.997304761904761916e+00,-1.366623497547037286e-04
-1.991307142857142942e+00,-1.766986437673514739e-04
-1.985307142857142937e+00,-1.833713594361103139e-04
-1.979309523809523963e+00,-1.766986437673514739e-04
-1.973311904761904989e+00,-1.633532124297864413e-04
-1.967314285714285793e+00,-1.466714232578656785e-04
-1.961316666666666597e+00,-1.299896340859212258e-04
-1.955319047619047845e+00,-1.149760238311783145e-04
-1.949321428571428649e+00,-9.996241357643541683e-05
-1.943323809523809675e+00,-8.828516115609562895e-05
-1.937323809523809448e+00,-7.827608765293369263e-05
-1.931326190476190696e+00,-6.826701414977175630e-05
-1.925328571428571500e+00,-6.159429848098922644e-05
-1.919330952380952526e+00,-5.492158281220670335e-05
-1.913333333333333330e+00,-4.991704606062573519e-05
-1.907335714285714356e+00,-4.491250930904476703e-05
-1.901338095238095383e+00,-4.157615147466536056e-05
-1.895340476190476187e+00,-3.657161472308439239e-05
-1.889340476190476181e+00,-3.323525688870497915e-05
-1.883342857142857207e+00,-2.823072013712401437e-05
-1.877345238095238233e+00,-2.322618338554304621e-05
-1.871347619047619260e+00,-1.822164663396207805e-05
-1.865350000000000064e+00,-1.154893096517955327e-05
-1.859352380952380868e+00,-4.876215296397028490e-06
-1.853354761904762116e+00,3.464679289563348684e-06
-1.847357142857142920e+00,1.180557387552372586e-05
-1.841357142857142914e+00,2.014646846150780894e-05
-1.835359523809523719e+00,3.182372088184759343e-05
-1.829361904761904967e+00,4.183279438500952976e-05
-1.823364285714285771e+00,5.517822572257458270e-05
-1.817366666666666797e+00,6.852365706011593228e-05
-1.811369047619047601e+00,8.353726731485882999e-05
-1.805371428571428627e+00,9.855087756960172771e-05
-1.799373809523809653e+00,1.152326667415224905e-04
-1.793376190476190679e+00,1.335826348306685116e-04
-1.787376190476190452e+00,1.536007818369923843e-04
-1.781378571428571478e+00,1.736189288433162569e-04
-1.775380952380952504e+00,1.969734336840195225e-04
-1.769383333333333530e+00,2.203279385247228152e-04
-1.763385714285714334e+00,2.453506222826276357e-04
-1.757388095238095138e+00,2.703733060405324562e-04
-1.751390476190476386e+00,2.987323476328404407e-04
-1.745392857142857190e+00,3.270913892251246812e-04
-1.739392857142857185e+00,3.587867886517883418e-04
-1.733395238095237989e+00,3.904821880784756921e-04
-1.727397619047619237e+00,4.238457664223409076e-04
-1.721400000000000041e+00,4.588775236834076779e-04
-1.715402380952381067e+00,4.972456387788775582e-04
-1.709404761904761871e+00,5.356137538743237485e-04
-1.703407142857143119e+00,5.756500478869715481e-04
-1.697409523809523924e+00,6.173545208167971043e-04
-1.691409523809523918e+00,6.607271726638479052e-04
-1.685411904761904722e+00,7.057680034280766797e-04
-1.679414285714285970e+00,7.524770131094832108e-04
-1.673416666666666774e+00,8.025223806252928518e-04
-1.667419047619047801e+00,8.525677481411026012e-04
-1.661421428571428605e+00,9.059494734912916080e-04
-1.655423809523809409e+00,9.593311988414807232e-04
-1.649426190476190657e+00,1.016049282026072840e-03
-1.643426190476190651e+00,1.074435544127842930e-03
-1.637428571428571455e+00,1.134489985146814629e-03
