xc,cp
-2.025045238095238176e+00,3.424944550962922933e-03
-2.021295238095238034e+00,4.760655409959830761e-03
-2.015297619047619282e+00,1.795634202539939193e-03
-2.009300000000000086e+00,1.685033940330004027e-03
-2.003302380952380890e+00,1.858357729826420369e-03
-1.997304761904761916e+00,1.441813454203179096e-03
-1.991307142857142942e+00,9.206743604719002825e-04
-1.985307142857142937e+00,5.478363724791330451e-04
-1.979309523809523963e+00,2.854318288045820380e-04
-1.973311904761904989e+00,7.941173253117050370e-05
-1.967314285714285793e+00,-9.824932214994495873e-05
-1.961316666666666597e+00,-2.600626771177256364e-04
-1.955319047619047845e+00,-4.106992333403056204e-04
-1.949321428571428649e+00,-5.529948949769193005e-04
-1.943323809523809675e+00,-6.864492083524068337e-04
-1.937323809523809448e+00,-8.122298987088040229e-04
-1.931326190476190696e+00,-9.313378733964244828e-04
-1.925328571428571500e+00,-1.045608129224185993e-03
-1.919330952380952526e+00,-1.156375209325840149e-03
-1.913333333333333330e+00,-1.262471388459354346e-03
-1.907335714285714356e+00,-1.363896666624725331e-03
-1.901338095238095383e+00,-1.461485133280548271e-03
-1.895340476190476187e+00,-1.555403606318548010e-03
-1.889340476190476181e+00,-1.646486175197319282e-03
-1.883342857142857207e+00,-1.735066475700300067e-03
-1.877345238095238233e+00,-1.820977689935768338e-03
-1.871347619047619260e+00,-1.903886182120289369e-03
-1.865350000000000064e+00,-1.984292405929022514e-03
-1.859352380952380868e+00,-2.062529997145400550e-03
-1.853354761904762116e+00,-2.138598955769429114e-03
-1.847357142857142920e+00,-2.212666099692823726e-03
-1.841357142857142914e+00,-2.284898246807306847e-03
-1.835359523809523719e+00,-2.355462215004597466e-03
-1.829361904761904967e+00,-2.424524822176411104e-03
-1.823364285714285771e+00,-2.491919250431032240e-03
-1.817366666666666797e+00,-2.557812317660179864e-03
-1.811369047619047601e+00,-2.622370841755569497e-03
-1.805371428571428627e+00,-2.685411323036317275e-03
-1.799373809523809653e+00,-2.747217351918337935e-03
-1.793376190476190679e+00,-2.807855655558326100e-03
-1.787376190476190452e+00,-2.867426324691308738e-03
-1.781378571428571478e+00,-2.925962722895632511e-03
-1.775380952380952504e+00,-2.983464850171296985e-03
-1.769383333333333530e+00,-3.039982751885815428e-03
-1.763385714285714334e+00,-3.095599836985048203e-03
-1.757388095238095138e+00,-3.150316105468997912e-03
-1.751390476190476386e+00,-3.204131557337664988e-03
-1.745392857142857190e+00,-3.257096237958559664e-03
-1.739392857142857185e+00,-3.309260192699204749e-03
-1.733395238095237989e+00,-3.360623421559595040e-03
-1.727397619047619237e+00,-3.411219288118075461e-03
-1.721400000000000041e+00,-3.461081155952991806e-03
