# Wall shear stress
# Time        	patch         	min           	max           
101           	bottom	(-4.909152e+00 -2.182111e-17 -2.026218e+00)	(1.866198e+00 2.372085e-17 6.616547e-01)
201           	bottom	(-4.657417e+00 -2.237020e-17 -2.073725e+00)	(1.732783e+00 2.330179e-17 6.165698e-01)
301           	bottom	(-4.627784e+00 -2.260542e-17 -2.087610e+00)	(1.679923e+00 2.364025e-17 5.573107e-01)
401           	bottom	(-4.622238e+00 -2.267837e-17 -2.071455e+00)	(1.667112e+00 2.367888e-17 5.295106e-01)
501           	bottom	(-4.600063e+00 -2.269223e-17 -2.049729e+00)	(1.666602e+00 2.356902e-17 5.101489e-01)
601           	bottom	(-4.580401e+00 -2.267535e-17 -2.030636e+00)	(1.666735e+00 2.345720e-17 4.999084e-01)
701           	bottom	(-4.563775e+00 -2.264065e-17 -2.015338e+00)	(1.667788e+00 2.335407e-17 4.933283e-01)
801           	bottom	(-4.549406e+00 -2.259286e-17 -2.002653e+00)	(1.671625e+00 2.326966e-17 4.878672e-01)
901           	bottom	(-4.535742e+00 -2.252617e-17 -1.991271e+00)	(1.673476e+00 2.320038e-17 4.832809e-01)
1001          	bottom	(-4.522089e+00 -2.246512e-17 -1.980715e+00)	(1.672003e+00 2.316143e-17 4.795225e-01)
1101          	bottom	(-4.508523e+00 -2.241279e-17 -1.971112e+00)	(1.670942e+00 2.315698e-17 4.762336e-01)
1201          	bottom	(-4.495370e+00 -2.239641e-17 -1.962768e+00)	(1.669609e+00 2.321904e-17 4.733051e-01)
1301          	bottom	(-4.483490e+00 -2.237980e-17 -1.955959e+00)	(1.665187e+00 2.330697e-17 4.706529e-01)
1401          	bottom	(-4.472979e+00 -2.237773e-17 -1.950789e+00)	(1.658386e+00 2.343176e-17 4.683298e-01)
1501          	bottom	(-4.463997e+00 -2.236641e-17 -1.947122e+00)	(1.649270e+00 2.355957e-17 4.662677e-01)
1601          	bottom	(-4.456595e+00 -2.236190e-17 -1.944670e+00)	(1.637552e+00 2.370216e-17 4.644293e-01)
1701          	bottom	(-4.450658e+00 -2.235813e-17 -1.943082e+00)	(1.624823e+00 2.384747e-17 4.628218e-01)
1801          	bottom	(-4.446032e+00 -2.235339e-17 -1.942056e+00)	(1.610771e+00 2.399026e-17 4.614565e-01)
1901          	bottom	(-4.442551e+00 -2.234757e-17 -1.941379e+00)	(1.597628e+00 2.412760e-17 4.603309e-01)
