xc,cp
-2.025045238095238176e+00,2.027928116759155230e+01
-2.021295238095238034e+00,1.280583961856425823e+01
-2.015297619047619282e+00,1.358988370964524606e+01
-2.009300000000000086e+00,1.520801725932303050e+01
-2.003302380952380890e+00,1.198843194913939669e+01
-1.997304761904761916e+00,1.003666261602289467e+01
-1.991307142857142942e+00,1.035361661028967717e+01
-1.985307142857142937e+00,1.285588498608006525e+01
-1.979309523809523963e+00,8.835573795643506756e+00
-1.973311904761904989e+00,9.235936735769969985e+00
-1.967314285714285793e+00,6.433396154884734486e+00
-1.961316666666666597e+00,5.048807653614051816e+00
-1.955319047619047845e+00,1.130447859309002467e+01
-1.949321428571428649e+00,3.030311163809805031e+00
-1.943323809523809675e+00,6.166487528133759000e+00
-1.937323809523809448e+00,4.198036405845320118e+00
-1.931326190476190696e+00,-9.514394293486011733e+00
-1.925328571428571500e+00,-6.828626236804327121e+00
-1.919330952380952526e+00,-1.011493870367570480e+01
-1.913333333333333330e+00,-1.944005885078788864e+01
-1.907335714285714356e+00,-3.458904824073270046e+00
-1.901338095238095383e+00,-1.426870420748775103e+01
-1.895340476190476187e+00,-1.588683775716553548e+01
-1.889340476190476181e+00,-2.734722691828551788e+01
-1.883342857142857207e+00,-1.807215213868914105e+01
-1.877345238095238233e+00,-3.643880201699059285e+01
-1.871347619047619260e+00,-5.255341035708070052e+01
-1.865350000000000064e+00,-3.585493939597284196e+01
-1.859352380952380868e+00,-2.801449848516295305e+01
-1.853354761904762116e+00,-2.551223010937256319e+01
-1.847357142857142920e+00,-3.467053236476538558e+01
-1.841357142857142914e+00,-4.649792088766795928e+01
-1.835359523809523719e+00,-4.714851066537345758e+01
-1.829361904761904967e+00,-6.122794072648738251e+01
-1.823364285714285771e+00,-5.095195859657485471e+01
-1.817366666666666797e+00,-6.940201742073598723e+01
-1.811369047619047601e+00,-8.001163533408723083e+01
-1.805371428571428627e+00,-6.242902954686677219e+01
-1.799373809523809653e+00,-7.308869282773382281e+01
-1.793376190476190679e+00,-6.634925000227171665e+01
-1.787376190476190452e+00,-8.736830435891097579e+01
-1.781378571428571478e+00,-9.110502513342463260e+01
-1.775380952380952504e+00,-7.972804491816432915e+01
-1.769383333333333530e+00,-8.087908837102790471e+01
-1.763385714285714334e+00,-8.766857656400583210e+01
-1.757388095238095138e+00,-9.524210884806473132e+01
-1.751390476190476386e+00,-1.011641440041019848e+02
-1.745392857142857190e+00,-1.120907159117200251e+02
-1.739392857142857185e+00,-9.737737786207253521e+01
-1.733395238095237989e+00,-9.439133760029599785e+01
-1.727397619047619237e+00,-1.173287977117079066e+02
-1.721400000000000041e+00,-1.290894590779227258e+02
-1.715402380952381067e+00,-1.577487728753086458e+02
-1.709404761904761871e+00,-1.273045076365255852e+02
-1.703407142857143119e+00,-1.288892776078594977e+02
-1.697409523809523924e+00,-1.471057913836135356e+02
-1.691409523809523918e+00,-1.114234443448425793e+02
-1.685411904761904722e+00,-1.451873856288409002e+02
-1.679414285714285970e+00,-1.619359019574645799e+02
-1.673416666666666774e+00,-1.569480469950557335e+02
-1.667419047619047801e+00,-1.519768738218188275e+02
-1.661421428571428605e+00,-1.212323363779409107e+02
-1.655423809523809409e+00,-1.322923625989344316e+02
-1.649426190476190657e+00,-1.428185715664259874e+02
-1.643426190476190651e+00,-1.573150463568383088e+02
-1.637428571428571455e+00,-1.479398808422103286e+02
-1.631430952380952260e+00,-1.667235754498101699e+02
-1.625433333333333508e+00,-1.672240291249682684e+02
-1.619435714285714312e+00,-1.527108725453840066e+02
-1.613438095238095338e+00,-1.730126099676300271e+02
-1.607440476190476142e+00,-1.909455333274611348e+02
-1.601442857142857390e+00,-2.023725589102372453e+02
-1.595442857142857163e+00,-1.752980150841852378e+02
-1.589445238095238189e+00,-1.790514176478708350e+02
-1.583447619047618993e+00,-2.158848081395053669e+02
-1.577450000000000241e+00,-1.977683850987829430e+02
-1.571452380952381045e+00,-2.024226042777530665e+02
-1.565454761904762071e+00,-2.072269595592705969e+02
-1.559457142857142875e+00,-2.093121832057626079e+02
-1.553459523809523679e+00,-2.161683985554282685e+02
-1.547461904761904927e+00,-2.228411142242026415e+02
-1.541461904761904922e+00,-2.117310426356933135e+02
-1.535464285714285726e+00,-2.298975110439315301e+02
-1.529466666666666530e+00,-2.461956190649129326e+02
-1.523469047619047778e+00,-2.269281525713269332e+02
-1.517471428571428582e+00,-2.490815685916578559e+02
-1.511473809523809608e+00,-2.607755028011849276e+02
-1.505476190476190412e+00,-2.279123781324711615e+02
-1.499478571428571660e+00,-2.195714835465032024e+02
-1.493478571428571433e+00,-2.595410504024616785e+02
-1.487480952380952459e+00,-2.674649002591312410e+02
-1.481483333333333263e+00,-2.536023334572524845e+02
-1.475485714285714511e+00,-2.521343360101221265e+02
-1.469488095238095315e+00,-2.552371487961022183e+02
-1.463490476190476342e+00,-2.671312644756925465e+02
-1.457492857142857146e+00,-2.645622689432144057e+02
-1.451495238095237950e+00,-2.630275443393962860e+02
-1.445495238095238166e+00,-2.825118740922174538e+02
-1.439497619047619192e+00,-2.572389634967345273e+02
-1.433499999999999996e+00,-2.706177584126271540e+02
-1.427502380952380800e+00,-2.799261967705674010e+02
-1.421504761904762049e+00,-2.660135846011727949e+02
-1.415507142857142853e+00,-2.729865724750420100e+02
-1.409509523809523879e+00,-2.774906555514647266e+02
-1.403511904761904683e+00,-2.887842268208653422e+02
-1.397511904761904900e+00,-2.916368127692663847e+02
-1.391514285714285704e+00,-3.076012850068090643e+02
-1.385516666666666730e+00,-3.167762690513738448e+02
-1.379519047619047534e+00,-3.025133393093686323e+02
-1.373521428571428782e+00,-3.130562300660321284e+02
-1.367523809523809586e+00,-3.207131712959507013e+02
-1.361526190476190612e+00,-3.057662881978961309e+02
-1.355528571428571416e+00,-3.173601316723916170e+02
-1.349528571428571633e+00,-3.311893348959264927e+02
-1.343530952380952437e+00,-3.148411815074292690e+02
-1.337533333333333463e+00,-3.303552454373296996e+02
-1.331535714285714267e+00,-3.321068333003829594e+02
-1.325538095238095515e+00,-3.157920434902296165e+02
-1.319540476190476319e+00,-3.400974103137402835e+02
-1.313542857142857123e+00,-3.274859776997566883e+02
-1.307545238095238149e+00,-3.237826205035869407e+02
-1.301547619047618953e+00,-3.787491158251157799e+02
