# Wall shear stress
# Time        	patch         	min           	max           
1800          	bottom	(-3.703530e+01 -2.716243e-17 -3.325308e+01)	(1.947845e+01 3.225495e-17 3.980406e+00)
2000          	bottom	(-9.909069e+01 -7.730727e-17 -9.527690e+01)	(8.396007e+01 3.674570e-17 2.923944e+01)
2200          	bottom	(-9.257216e+01 -1.975615e-16 -9.320385e+01)	(8.387436e+01 2.331730e-16 2.912298e+01)
2400          	bottom	(-9.333946e+01 -6.363275e-16 -9.311283e+01)	(8.319061e+01 5.824172e-16 2.620419e+01)
2600          	bottom	(-9.383633e+01 -1.300521e-15 -9.268887e+01)	(8.261275e+01 1.099756e-15 3.120327e+01)
2800          	bottom	(-9.463184e+01 -2.101059e-15 -9.250013e+01)	(8.233908e+01 1.779474e-15 3.219542e+01)
3000          	bottom	(-9.509005e+01 -2.694362e-15 -9.308389e+01)	(8.254276e+01 2.320647e-15 3.232556e+01)
3200          	bottom	(-9.615629e+01 -3.344012e-15 -9.408598e+01)	(8.265572e+01 2.824703e-15 3.301603e+01)
3400          	bottom	(-9.596802e+01 -4.042536e-15 -9.482037e+01)	(8.272985e+01 3.354883e-15 3.319291e+01)
3600          	bottom	(-9.603986e+01 -4.648977e-15 -9.452387e+01)	(8.274974e+01 4.039016e-15 4.128730e+01)
3800          	bottom	(-9.642581e+01 -5.327157e-15 -9.534450e+01)	(8.275729e+01 4.662719e-15 4.159763e+01)
