xc,cp
-2.025045238095238176e+00,-1.866365251687933033e-02
-2.021295238095238034e+00,-5.877044434801270180e-03
-2.015297619047619282e+00,-3.438023394477359319e-03
-2.009300000000000086e+00,-2.430561769195549622e-03
-2.003302380952380890e+00,-1.370475771791951434e-03
-1.997304761904761916e+00,-6.828190585464086974e-04
-1.991307142857142942e+00,-1.496023494546488476e-04
-1.985307142857142937e+00,2.947671505073804626e-04
-1.979309523809523963e+00,6.511068490091039430e-04
-1.973311904761904989e+00,9.387509397007948479e-04
-1.967314285714285793e+00,1.172079124848663008e-03
-1.961316666666666597e+00,1.362451702878795298e-03
-1.955319047619047845e+00,1.520545018861232120e-03
-1.949321428571428649e+00,1.653131879199779344e-03
-1.943323809523809675e+00,1.764666321603342285e-03
-1.937323809523809448e+00,1.858684885376373549e-03
-1.931326190476190696e+00,1.938023474678100518e-03
-1.925328571428571500e+00,2.005000858203423528e-03
-1.919330952380952526e+00,2.061518759917942405e-03
-1.913333333333333330e+00,2.109045177268788120e-03
-1.907335714285714356e+00,2.148864608022198891e-03
-1.901338095238095383e+00,2.181977959528491693e-03
-1.895340476190476187e+00,2.209202639457090965e-03
-1.889340476190476181e+00,2.231289328320734330e-03
-1.883342857142857207e+00,2.248805206951266875e-03
-1.877345238095238233e+00,2.262267410813019550e-03
-1.871347619047619260e+00,2.272109666424461643e-03
-1.865350000000000064e+00,2.278698973147376492e-03
-1.859352380952380868e+00,2.282368966765202078e-03
-1.853354761904762116e+00,2.283386555904689998e-03
-1.847357142857142920e+00,2.282018649192591418e-03
-1.841357142857142914e+00,2.278498791677313444e-03
-1.835359523809523719e+00,2.272977119461401952e-03
-1.829361904761904967e+00,2.265670495804094405e-03
-1.823364285714285771e+00,2.256729056807936680e-03
-1.817366666666666797e+00,2.246269574997133197e-03
-1.811369047619047601e+00,2.234442186474230266e-03
-1.805371428571428627e+00,2.221363663763432743e-03
-1.799373809523809653e+00,2.207117415810599254e-03
-1.793376190476190679e+00,2.191820215139933786e-03
-1.787376190476190452e+00,2.175538788908124455e-03
-1.781378571428571478e+00,2.158356546061030758e-03
-1.775380952380952504e+00,2.140356895544511754e-03
-1.769383333333333530e+00,2.121606564515255561e-03
-1.763385714285714334e+00,2.102155598340778482e-03
-1.757388095238095138e+00,2.082070724177767767e-03
-1.751390476190476386e+00,2.061385305604566606e-03
-1.745392857142857190e+00,2.040182751567036230e-03
-1.739392857142857185e+00,2.018479743854348016e-03
-1.733395238095237989e+00,1.996309646044845156e-03
-1.727397619047619237e+00,1.973739185295215765e-03
-1.721400000000000041e+00,1.950801725183803469e-03
-1.715402380952381067e+00,1.927497265710608918e-03
-1.709404761904761871e+00,1.903909215821491824e-03
-1.703407142857143119e+00,1.880020893727279291e-03
-1.697409523809523924e+00,1.855865663006316460e-03
-1.691409523809523918e+00,1.831493569026117684e-03
-1.685411904761904722e+00,1.806904611786684482e-03
-1.679414285714285970e+00,1.782132154866359610e-03
-1.673416666666666774e+00,1.757209561843487127e-03
-1.667419047619047801e+00,1.732120150928895437e-03
-1.661421428571428605e+00,1.706913967490100411e-03
-1.655423809523809409e+00,1.681607693316273860e-03
-1.649426190476190657e+00,1.656201328407415569e-03
-1.643426190476190651e+00,1.630711554552697132e-03
-1.637428571428571455e+00,1.605155053541291446e-03
-1.631430952380952260e+00,1.579565188951541485e-03
-1.625433333333333508e+00,1.553925278994276087e-03
-1.619435714285714312e+00,1.528268687247838660e-03
-1.613438095238095338e+00,1.502595413712229204e-03
-1.607440476190476142e+00,1.476922140176619965e-03
-1.601442857142857390e+00,1.451265548430182538e-03
-1.595442857142857163e+00,1.425625638472917140e-03
-1.589445238095238189e+00,1.400019092093995150e-03
-1.583447619047618993e+00,1.374445909293417435e-03
-1.577450000000000241e+00,1.348922771860355590e-03
-1.571452380952381045e+00,1.323449679794809182e-03
-1.565454761904762071e+00,1.298043314885951108e-03
-1.559457142857142875e+00,1.272720358922952311e-03
-1.553459523809523679e+00,1.247480811905813227e-03
-1.547461904761904927e+00,1.222324673834533420e-03
-1.541461904761904922e+00,1.197251944709113976e-03
-1.535464285714285726e+00,1.172295988107898085e-03
-1.529466666666666530e+00,1.147456804030885747e-03
-1.523469047619047778e+00,1.122734392478076096e-03
-1.517471428571428582e+00,1.098128753449471081e-03
-1.511473809523809608e+00,1.073656568734240781e-03
-1.505476190476190412e+00,1.049317838332386064e-03
-1.499478571428571660e+00,1.025129244033078958e-03
-1.493478571428571433e+00,1.001074104047147651e-03
-1.487480952380952459e+00,9.771857819529351178e-04
-1.481483333333333263e+00,9.534475959612704124e-04
-1.475485714285714511e+00,9.298595460721533184e-04
-1.469488095238095315e+00,9.064549958639272435e-04
-1.463490476190476342e+00,8.832172635474200501e-04
-1.457492857142857146e+00,8.601630309118047431e-04
-1.451495238095237950e+00,8.372922979570803469e-04
-1.445495238095238166e+00,8.146050646832478370e-04
-1.439497619047619192e+00,7.921180128794782669e-04
-1.433499999999999996e+00,7.698311425457718534e-04
