xc,cp
-2.025045238095238176e+00,2.592234548009195172e-02
-2.021295238095238034e+00,3.560407095111839219e-03
-2.015297619047619282e+00,4.110906137785722177e-03
-2.009300000000000086e+00,2.691285879253976342e-03
-2.003302380952380890e+00,8.529527125066306559e-04
-1.997304761904761916e+00,1.456448516165600982e-04
-1.991307142857142942e+00,-3.347906765351890473e-04
-1.985307142857142937e+00,-7.368217955788443655e-04
-1.979309523809523963e+00,-1.032089463922121345e-03
-1.973311904761904989e+00,-1.260629975577644366e-03
-1.967314285714285793e+00,-1.445797835386140222e-03
-1.961316666666666597e+00,-1.595933937933545401e-03
-1.955319047619047845e+00,-1.722715535640271167e-03
-1.949321428571428649e+00,-1.832815344175052399e-03
-1.943323809523809675e+00,-1.927901542455090923e-03
-1.937323809523809448e+00,-2.011310488314765887e-03
-1.931326190476190696e+00,-2.086378539588480078e-03
-1.925328571428571500e+00,-2.154773875193412118e-03
-1.919330952380952526e+00,-2.216496495129561574e-03
-1.913333333333333330e+00,-2.273214578314153907e-03
-1.907335714285714356e+00,-2.326596303664343023e-03
-1.901338095238095383e+00,-2.376641671180152772e-03
-1.895340476190476187e+00,-2.423350680861583156e-03
-1.889340476190476181e+00,-2.468391511625811496e-03
-1.883342857142857207e+00,-2.508427805638459296e-03
-1.877345238095238233e+00,-2.548464099651107095e-03
-1.871347619047619260e+00,-2.586832214746553286e-03
-1.865350000000000064e+00,-2.621863972007620110e-03
-1.859352380952380868e+00,-2.656895729268686935e-03
-1.853354761904762116e+00,-2.688591128695350541e-03
-1.847357142857142920e+00,-2.721954707039239609e-03
-1.841357142857142914e+00,-2.751981927548725459e-03
-1.835359523809523719e+00,-2.782009148058210875e-03
-1.829361904761904967e+00,-2.810368189650495115e-03
-1.823364285714285771e+00,-2.838727231242779356e-03
-1.817366666666666797e+00,-2.865418093917885840e-03
-1.811369047619047601e+00,-2.893777135510170080e-03
-1.805371428571428627e+00,-2.918799819268074955e-03
-1.799373809523809653e+00,-2.943822503025979830e-03
-1.793376190476190679e+00,-2.968845186783884704e-03
-1.787376190476190452e+00,-2.992199691624587970e-03
-1.781378571428571478e+00,-3.015554196465291235e-03
-1.775380952380952504e+00,-3.037240522388816744e-03
-1.769383333333333530e+00,-3.058926848312342253e-03
-1.763385714285714334e+00,-3.080613174235843910e-03
-1.757388095238095138e+00,-3.100631321242167809e-03
-1.751390476190476386e+00,-3.120649468248491709e-03
-1.745392857142857190e+00,-3.140667615254815609e-03
-1.739392857142857185e+00,-3.160685762261139509e-03
-1.733395238095237989e+00,-3.179035730350285218e-03
