# Wall shear stress
# Time        	patch         	min           	max           
1800          	bottom	(-2.753335e+00 -2.970793e-17 -1.282123e+00)	(7.540560e-01 3.236355e-17 1.513405e-01)
2000          	bottom	(-2.701972e+00 -2.830450e-17 -1.139979e+00)	(1.734399e+00 3.032912e-17 2.184566e-01)
2200          	bottom	(-2.724341e+00 -2.687640e-17 -1.156522e+00)	(1.961461e+00 2.867501e-17 1.726128e-01)
2400          	bottom	(-2.726807e+00 -2.629695e-17 -1.159989e+00)	(2.018856e+00 2.737769e-17 1.447663e-01)
2600          	bottom	(-2.726161e+00 -2.584853e-17 -1.159817e+00)	(2.029934e+00 2.665518e-17 1.249752e-01)
2800          	bottom	(-2.725201e+00 -2.492372e-17 -1.159469e+00)	(2.045650e+00 2.574353e-17 1.097268e-01)
3000          	bottom	(-2.719210e+00 -1.623671e-17 -1.157427e+00)	(1.922333e+00 1.415206e-17 1.256618e-01)
3200          	bottom	(-2.701525e+00 -2.174668e-17 -1.150486e+00)	(1.271019e+00 1.093289e-17 1.857394e-01)
3400          	bottom	(-2.701373e+00 -2.174260e-17 -1.150318e+00)	(9.153924e-01 1.091737e-17 1.599475e-01)
3600          	bottom	(-2.709674e+00 -1.766818e-17 -1.153320e+00)	(8.544648e-01 1.143701e-17 1.594764e-01)
3800          	bottom	(-2.714622e+00 -1.625482e-17 -1.155314e+00)	(8.991553e-01 1.544052e-17 1.510906e-01)
