xc,cf
-2.025045238095238176e+00,2.673256714802732352e-03
-2.021295238095238034e+00,2.669069585720576249e-03
-2.015297619047619282e+00,2.448920014018537896e-03
-2.009300000000000086e+00,2.303621630330975837e-03
-2.003302380952380890e+00,2.215274874876403243e-03
-1.997304761904761916e+00,2.157922883703287682e-03
-1.991307142857142942e+00,2.118553861257518878e-03
-1.985307142857142937e+00,2.089977956405992404e-03
-1.979309523809523963e+00,2.068591902687570792e-03
-1.973311904761904989e+00,2.052293794666589215e-03
-1.967314285714285793e+00,2.039715725630949529e-03
-1.961316666666666597e+00,2.029790061073647508e-03
-1.955319047619047845e+00,2.021766120481946396e-03
-1.949321428571428649e+00,2.015160131969859734e-03
-1.943323809523809675e+00,2.009605096175605052e-03
-1.937323809523809448e+00,2.004834104472431617e-03
-1.931326190476190696e+00,2.000663657179447760e-03
-1.925328571428571500e+00,1.996943618194105870e-03
-1.919330952380952526e+00,1.993573896781374640e-03
-1.913333333333333330e+00,1.990437720417050516e-03
-1.907335714285714356e+00,1.987518407311962120e-03
-1.901338095238095383e+00,1.984782593887764526e-03
-1.895340476190476187e+00,1.982230280144458602e-03
-1.889340476190476181e+00,1.979828102503699422e-03
-1.883342857142857207e+00,1.977542697387144228e-03
-1.877345238095238233e+00,1.975390746583964834e-03
-1.871347619047619260e+00,1.973322204726644501e-03
-1.865350000000000064e+00,1.971353753604356343e-03
-1.859352380952380868e+00,1.969452029638755434e-03
-1.853354761904762116e+00,1.967633714619014453e-03
-1.847357142857142920e+00,1.965898808545132968e-03
-1.841357142857142914e+00,1.964247311417111411e-03
-1.835359523809523719e+00,1.962679223234949349e-03
-1.829361904761904967e+00,1.961194543998647215e-03
-1.823364285714285771e+00,1.959759910129860519e-03
-1.817366666666666797e+00,1.958392003417761939e-03
-1.811369047619047601e+00,1.957074142073178796e-03
-1.805371428571428627e+00,1.955823007885283769e-03
-1.799373809523809653e+00,1.954621919064904612e-03
-1.793376190476190679e+00,1.953454193822869080e-03
-1.787376190476190452e+00,1.952336513948348985e-03
-1.781378571428571478e+00,1.951285561230517223e-03
-1.775380952380952504e+00,1.950267972091029086e-03
-1.769383333333333530e+00,1.949300428319056819e-03
-1.763385714285714334e+00,1.948366248125428610e-03
-1.757388095238095138e+00,1.947482113299315839e-03
-1.751390476190476386e+00,1.946631342051547125e-03
-1.745392857142857190e+00,1.945813934382122469e-03
-1.739392857142857185e+00,1.945029890291041438e-03
-1.733395238095237989e+00,1.944279209778304249e-03
-1.727397619047619237e+00,1.943545211054739088e-03
-1.721400000000000041e+00,1.942844575909517552e-03
-1.715402380952381067e+00,1.942160622553468262e-03
-1.709404761904761871e+00,1.941493350986590784e-03
-1.703407142857143119e+00,1.940876124787229177e-03
-1.697409523809523924e+00,1.940258898587867570e-03
-1.691409523809523918e+00,1.939658354177677992e-03
-1.685411904761904722e+00,1.939041127978316167e-03
-1.679414285714285970e+00,1.938407219989782748e-03
-1.673416666666666774e+00,1.937773312001249111e-03
-1.667419047619047801e+00,1.937139404012715475e-03
-1.661421428571428605e+00,1.936505496024181839e-03
-1.655423809523809409e+00,1.935888269824820231e-03
-1.649426190476190657e+00,1.935254361836286595e-03
-1.643426190476190651e+00,1.934620453847753392e-03
-1.637428571428571455e+00,1.934003227648391785e-03
