xc,cf
-2.025421428571428706e+00,1.424077632598488678e-02
-2.024669047619047646e+00,6.448295559044316637e-03
-2.022795238095238091e+00,7.192069811064251070e-03
-2.019797619047619008e+00,7.030773591560803525e-03
-2.016797619047619339e+00,4.274791884254440510e-03
-2.013797619047619225e+00,3.400015541867292511e-03
-2.010797619047619111e+00,3.192477402779237902e-03
-2.007800000000000029e+00,2.910138121044222436e-03
-2.004799999999999915e+00,2.689354641353650446e-03
-2.001802380952380833e+00,2.547109025084552583e-03
-1.998804761904761973e+00,2.444632794201350053e-03
-1.995804761904762081e+00,2.374535916100875381e-03
-1.992807142857142999e+00,2.332330989495877676e-03
-1.989807142857142885e+00,2.307074760689566562e-03
-1.986807142857142772e+00,2.287840657774324344e-03
-1.983809523809523911e+00,2.269991143360352952e-03
-1.980809523809524020e+00,2.251691220638739593e-03
-1.977811904761904938e+00,2.234609068526677202e-03
-1.974811904761904824e+00,2.218761368813337593e-03
-1.971811904761904932e+00,2.204081394342034383e-03
-1.968814285714285850e+00,2.193788730422949890e-03
-1.965816666666666768e+00,2.185664699096217037e-03
-1.962816666666666654e+00,2.179342301000052919e-03
-1.959816666666666762e+00,2.174337764248472377e-03
-1.956816666666666871e+00,2.171034769992429263e-03
-1.953819047619047788e+00,2.168766046665045882e-03
-1.950821428571428706e+00,2.166897686277789031e-03
-1.947821428571428592e+00,2.164795780842125074e-03
-1.944823809523809732e+00,2.161826422369520374e-03
-1.941823809523809619e+00,2.160408470289905923e-03
-1.938823809523809505e+00,2.158606837059336755e-03
-1.935826190476190423e+00,2.155420615327497194e-03
-1.932826190476190531e+00,2.151216804456169279e-03
-1.929828571428571671e+00,2.147880446621782107e-03
-1.926828571428571557e+00,2.144961133516693277e-03
-1.923830952380952475e+00,2.141975093254916765e-03
-1.920830952380952583e+00,2.138355145004606616e-03
-1.917833333333333501e+00,2.134635106019265160e-03
-1.914833333333333387e+00,2.130865021666407400e-03
-1.911833333333333274e+00,2.126894755843486591e-03
-1.908835714285714191e+00,2.124192305997633055e-03
-1.905835714285714522e+00,2.121990309826937791e-03
-1.902838095238095439e+00,2.120155313018024564e-03
-1.899838095238095326e+00,2.118036725793188794e-03
-1.896840476190476243e+00,2.115217503423131706e-03
-1.893840476190476352e+00,2.112631826101481290e-03
-1.890840476190476238e+00,2.109745876574736518e-03
-1.887840476190476124e+00,2.107510516825697195e-03
-1.884842857142857042e+00,2.105592111070924474e-03
-1.881842857142857373e+00,2.103273342376025656e-03
-1.878845238095238290e+00,2.101037982626985899e-03
-1.875847619047619208e+00,2.099002804348009624e-03
-1.872847619047619094e+00,2.097434716165847996e-03
-1.869850000000000012e+00,2.095382856097699475e-03
-1.866850000000000120e+00,2.093664631812990670e-03
-1.863850000000000007e+00,2.091495999220638596e-03
-1.860852380952380924e+00,2.089510866309178191e-03
-1.857852380952381033e+00,2.087242142981794810e-03
-1.854854761904761951e+00,2.085407146172882017e-03
-1.851854761904762059e+00,2.083505422207281108e-03
-1.848857142857142977e+00,2.082170879073526586e-03
-1.845857142857142863e+00,2.080435972999645101e-03
-1.842857142857142971e+00,2.078851203028311227e-03
-1.839857142857142858e+00,2.076932797273538939e-03
-1.836859523809523775e+00,2.075047755097109842e-03
-1.833859523809523884e+00,2.073279485444884732e-03
-1.830861904761904801e+00,2.071627988316862741e-03
-1.827864285714285941e+00,2.069843036875465819e-03
-1.824864285714285828e+00,2.068224903325788320e-03
-1.821866666666666745e+00,2.066373224727702847e-03
-1.818866666666666854e+00,2.064721727599681724e-03
-1.815866666666666740e+00,2.062920094369112122e-03
-1.812869047619047658e+00,2.061318642608606869e-03
-1.809869047619047544e+00,2.059466964010521831e-03
-1.806871428571428462e+00,2.057815466882500274e-03
-1.803871428571428792e+00,2.056047197230274730e-03
-1.800873809523809710e+00,2.054445745469769043e-03
-1.797873809523809596e+00,2.052760884763403428e-03
-1.794876190476190514e+00,2.051042660478694189e-03
-1.791876190476190622e+00,2.049457890507360314e-03
-1.788876190476190509e+00,2.047606211909275276e-03
-1.785876190476190395e+00,2.046021441937941401e-03
-1.782878571428571313e+00,2.044119717972340492e-03
-1.779878571428571643e+00,2.042351448320115382e-03
-1.776880952380952561e+00,2.040516451511202589e-03
-1.773883333333333479e+00,2.038664772913117550e-03
-1.770883333333333365e+00,2.037063321152611864e-03
-1.767883333333333473e+00,2.035228324343698637e-03
-1.764885714285714391e+00,2.033693599739880634e-03
-1.761885714285714277e+00,2.031841921141795595e-03
-1.758888095238095195e+00,2.030090333278742297e-03
-1.755888095238095303e+00,2.028305381837345375e-03
-1.752890476190476443e+00,2.026437021450088524e-03
-1.749890476190476329e+00,2.024785524322066967e-03
-1.746892857142857247e+00,2.022733664253918880e-03
-1.743892857142857133e+00,2.021065485336725510e-03
-1.740892857142857242e+00,2.019063670636092860e-03
-1.737895238095238160e+00,2.017328764562211808e-03
-1.734895238095238046e+00,2.015410358807439087e-03
-1.731897619047618964e+00,2.013558680209354048e-03
-1.728897619047619294e+00,2.011907183081332491e-03
-1.725897619047619180e+00,2.010005459115731582e-03
-1.722900000000000098e+00,2.008504098090257636e-03
-1.719899999999999984e+00,2.006752510227204338e-03
-1.716902380952381124e+00,2.005167740255870464e-03
-1.713902380952381010e+00,2.003766469965427826e-03
-1.710904761904761928e+00,2.002048245680718153e-03
-1.707904761904761815e+00,2.000730384336135009e-03
-1.704907142857142732e+00,1.998845342159706780e-03
-1.701907142857143063e+00,1.997343981134232400e-03
-1.698909523809523980e+00,1.995525666114490986e-03
-1.695909523809523867e+00,1.994057668667360665e-03
-1.692909523809523975e+00,1.992422853328510921e-03
-1.689911904761904893e+00,1.990821401568005668e-03
-1.686911904761904779e+00,1.989386767699218971e-03
-1.683914285714285697e+00,1.987735270571196981e-03
-1.680914285714285583e+00,1.986567545329161882e-03
-1.677916666666666945e+00,1.984999457146999820e-03
-1.674916666666666831e+00,1.983865095483308347e-03
-1.671916666666666718e+00,1.982263643722802227e-03
-1.668919047619047635e+00,1.980712237329811977e-03
-1.665919047619047744e+00,1.979210876304338031e-03
-1.662919047619047630e+00,1.977726197068035464e-03
-1.659921428571428548e+00,1.976224836042561519e-03
-1.656921428571428656e+00,1.974840247541290693e-03
-1.653923809523809796e+00,1.973388931883332184e-03
-1.650926190476190714e+00,1.972004343382061358e-03
-1.647926190476190600e+00,1.970619754880790966e-03
-1.644926190476190486e+00,1.969101712066144774e-03
-1.641928571428571404e+00,1.967683759986530324e-03
-1.638928571428571512e+00,1.966232444328571815e-03
-1.635930952380952430e+00,1.964797810459785552e-03
-1.632930952380952316e+00,1.963479949115202409e-03
-1.629930952380952647e+00,1.962112042403103395e-03
-1.626933333333333564e+00,1.960927635371896051e-03
-1.623933333333333451e+00,1.959593092238141529e-03
-1.620935714285714369e+00,1.958291912682730198e-03
-1.617935714285714477e+00,1.956990733127319301e-03
-1.614938095238095395e+00,1.955539417469361226e-03
-1.611938095238095281e+00,1.954254919703121707e-03
-1.608940476190476199e+00,1.952887012991023344e-03
