xc,cp
-2.025421428571428706e+00,-1.749926966378659299e-01
-2.024669047619047646e+00,3.780938102339329726e-02
-2.022795238095238091e+00,1.257038931735147691e-01
-2.019797619047619008e+00,-1.603693215524008148e-02
-2.016797619047619339e+00,-1.003665940798644657e-02
-2.013797619047619225e+00,3.226363891052927077e-03
-2.010797619047619111e+00,2.132991308178652941e-04
-2.007800000000000029e+00,-8.785239704853449504e-04
-2.004799999999999915e+00,-4.553069791933270563e-04
-2.001802380952380833e+00,-3.098417776140469830e-04
-1.998804761904761973e+00,-2.070819563149241325e-04
-1.995804761904762081e+00,8.067890690097558395e-05
-1.992807142857142999e+00,3.832865624798932722e-04
-1.989807142857142885e+00,6.777201413645577918e-04
-1.986807142857142772e+00,8.306921480712151822e-04
-1.983809523809523911e+00,9.484655796250810117e-04
-1.980809523809524020e+00,9.624782825295101051e-04
-1.977811904761904938e+00,1.001847304975270019e-03
-1.974811904761904824e+00,9.813287042937952204e-04
-1.971811904761904932e+00,1.000679579733243160e-03
-1.968814285714285850e+00,1.039381330612127331e-03
-1.965816666666666768e+00,1.026369535058023995e-03
-1.962816666666666654e+00,1.066072193287233814e-03
-1.959816666666666762e+00,1.076748538357271507e-03
-1.956816666666666871e+00,1.123457548038689965e-03
-1.953819047619047788e+00,1.130130263707460623e-03
-1.950821428571428706e+00,1.152150225414412185e-03
-1.947821428571428592e+00,1.137637068834832085e-03
-1.944823809523809732e+00,1.156821126382555180e-03
-1.941823809523809619e+00,1.146645234987680095e-03
-1.938823809523809505e+00,1.108610755675660175e-03
-1.935826190476190423e+00,1.070743094255364883e-03
-1.932826190476190531e+00,1.040215420070728135e-03
-1.929828571428571671e+00,1.048723132548413321e-03
-1.926828571428571557e+00,1.021364998306443020e-03
-1.923830952380952475e+00,9.961754966568133005e-04
-1.920830952380952583e+00,9.716532665740712504e-04
-1.917833333333333501e+00,9.272797073767184359e-04
-1.914833333333333387e+00,8.995879373513100468e-04
-1.911833333333333274e+00,8.692270810583863257e-04
-1.908835714285714191e+00,8.447048509756442756e-04
-1.905835714285714522e+00,8.135099052241197498e-04
-1.902838095238095439e+00,7.801463268802427166e-04
-1.899838095238095326e+00,7.311018667147587248e-04
-1.896840476190476243e+00,6.975714704791685563e-04
-1.893840476190476352e+00,6.837255854664524898e-04
-1.890840476190476238e+00,6.470256492881960907e-04
-1.887840476190476124e+00,6.488606460971106183e-04
-1.884842857142857042e+00,6.178325182373110456e-04
-1.881842857142857373e+00,5.722912337979194465e-04
-1.878845238095238290e+00,5.457671890145498420e-04
-1.875847619047619208e+00,5.053972592184641710e-04
-1.872847619047619094e+00,4.686973230402076635e-04
-1.869850000000000012e+00,4.516818980848252580e-04
-1.866850000000000120e+00,4.241569459511299500e-04
-1.863850000000000007e+00,3.961315401422836353e-04
-1.860852380952380924e+00,3.677724985499875770e-04
-1.857852380952381033e+00,3.424161790086447765e-04
-1.854854761904761951e+00,3.187280383845035310e-04
-1.851854761904762059e+00,2.972085303527030294e-04
-1.848857142857142977e+00,2.755222044291894467e-04
-1.845857142857142863e+00,2.568386005566173583e-04
-1.842857142857142971e+00,2.366536356585685868e-04
-1.839857142857142858e+00,2.146336739516170513e-04
-1.836859523809523775e+00,1.942818911618552529e-04
-1.833859523809523884e+00,1.699264789708262839e-04
-1.830861904761904801e+00,1.487406067224755529e-04
-1.827864285714285941e+00,1.272210986906750242e-04
-1.824864285714285828e+00,1.065356801174752730e-04
-1.821866666666666745e+00,9.569251715571255922e-05
-1.818866666666666854e+00,7.634164171627050115e-05
-1.815866666666666740e+00,7.634164171627050115e-05
-1.812869047619047658e+00,5.799167362714226096e-05
-1.809869047619047544e+00,6.116121356980862701e-05
-1.806871428571428462e+00,4.381215283099421147e-05
-1.803871428571428792e+00,5.265350109212335350e-05
-1.800873809523809710e+00,3.396989721955124479e-05
-1.797873809523809596e+00,2.996626781829002712e-05
-1.794876190476190514e+00,9.948120811966157850e-06
-1.791876190476190622e+00,-5.399125226214685087e-06
-1.788876190476190509e+00,-2.358227542362395309e-05
-1.785876190476190395e+00,-5.461040328342950579e-05
-1.782878571428571313e+00,-7.379446083115259421e-05
-1.779878571428571643e+00,-1.111616685762908892e-04
-1.776880952380952561e+00,-1.306793619074578326e-04
-1.773883333333333479e+00,-1.652106654933617783e-04
-1.770883333333333365e+00,-1.845615409328097724e-04
-1.767883333333333473e+00,-2.160901224677663150e-04
-1.764885714285714391e+00,-2.356078157989332719e-04
-1.761885714285714277e+00,-2.638000394995044856e-04
-1.758888095238095195e+00,-2.826504612637896008e-04
-1.755888095238095303e+00,-3.048372408624660081e-04
-1.752890476190476443e+00,-3.225199373847184104e-04
-1.749890476190476329e+00,-3.370330939643043653e-04
-1.746892857142857247e+00,-3.543821547031187876e-04
-1.743892857142857133e+00,-3.677275860406660664e-04
-1.740892857142857242e+00,-3.844093752125986741e-04
-1.737895238095238160e+00,-3.905816372062183794e-04
-1.734895238095238046e+00,-4.067629727029940714e-04
-1.731897619047618964e+00,-4.136025062634896281e-04
-1.728897619047619294e+00,-4.322861101360558076e-04
-1.725897619047619180e+00,-4.498019887665891657e-04
-1.722900000000000098e+00,-4.683187747474364094e-04
-1.719899999999999984e+00,-4.831655671104603442e-04
-1.716902380952381124e+00,-5.018491709830265237e-04
-1.713902380952381010e+00,-5.188645959384029661e-04
-1.710904761904761928e+00,-5.357132030020605269e-04
-1.707904761904761815e+00,-5.523949921739931346e-04
-1.704907142857142732e+00,-5.684095097790557456e-04
-1.701907142857143063e+00,-5.939326472121174818e-04
-1.698909523809523980e+00,-6.094467111420172681e-04
-1.695909523809523867e+00,-6.331348517661644767e-04
-1.692909523809523975e+00,-6.488157335877832530e-04
-1.689911904761904893e+00,-6.758402320463216453e-04
-1.686911904761904779e+00,-6.923552033265352630e-04
-1.683914285714285697e+00,-7.145419829252116703e-04
-1.680914285714285583e+00,-7.297224110716735851e-04
-1.677916666666666945e+00,-7.397314845748355350e-04
-1.674916666666666831e+00,-7.549119127212973413e-04
-1.671916666666666718e+00,-7.635864430907016252e-04
-1.668919047619047635e+00,-7.791005070206073746e-04
-1.665919047619047744e+00,-7.901104878740831559e-04
-1.662919047619047630e+00,-8.056245518039829422e-04
-1.659921428571428548e+00,-8.194704368166870825e-04
-1.656921428571428656e+00,-8.348176828548679873e-04
-1.653923809523809796e+00,-8.431585774408402543e-04
-1.650926190476190714e+00,-8.575049161287012561e-04
