xc,cf
-2.025045238095238176e+00,2.918946105727004362e-03
-2.021295238095238034e+00,2.881462125457664222e-03
-2.015297619047619282e+00,2.829998805862242190e-03
-2.009300000000000086e+00,2.759685064502532224e-03
-2.003302380952380890e+00,2.704785296337690846e-03
-1.997304761904761916e+00,2.665366228524406172e-03
-1.991307142857142942e+00,2.636807005462052378e-03
-1.985307142857142937e+00,2.616722131299041229e-03
-1.979309523809523963e+00,2.602876246286334704e-03
-1.973311904761904989e+00,2.593367626458331025e-03
-1.967314285714285793e+00,2.586694910789556680e-03
-1.961316666666666597e+00,2.581790464773007880e-03
-1.955319047619047845e+00,2.577970335052634249e-03
-1.949321428571428649e+00,2.574784113320794255e-03
-1.943323809523809675e+00,2.571981572739908978e-03
-1.937323809523809448e+00,2.569395895418258996e-03
-1.931326190476190696e+00,2.566943672409984379e-03
-1.925328571428571500e+00,2.564591540136741503e-03
-1.919330952380952526e+00,2.562306135020186310e-03
-1.913333333333333330e+00,2.560087457060318799e-03
-1.907335714285714356e+00,2.557952188046310783e-03
-1.901338095238095383e+00,2.555883646188990884e-03
-1.895340476190476187e+00,2.553881831488358668e-03
-1.889340476190476181e+00,2.551963425733585946e-03
-1.883342857142857207e+00,2.550111747135501341e-03
-1.877345238095238233e+00,2.548343477483275797e-03
-1.871347619047619260e+00,2.546658616776910616e-03
-1.865350000000000064e+00,2.545057165016404496e-03
-1.859352380952380868e+00,2.543522440412586492e-03
-1.853354761904762116e+00,2.542087806543800229e-03
-1.847357142857142920e+00,2.540703218042529403e-03
-1.841357142857142914e+00,2.539402038487118072e-03
-1.835359523809523719e+00,2.538167586088394857e-03
-1.829361904761904967e+00,2.536999860846359759e-03
-1.823364285714285771e+00,2.535898862761011476e-03
-1.817366666666666797e+00,2.534847910043179931e-03
-1.811369047619047601e+00,2.533863684482035635e-03
-1.805371428571428627e+00,2.532929504288407210e-03
-1.799373809523809653e+00,2.532045369462294221e-03
-1.793376190476190679e+00,2.531211280003697536e-03
-1.787376190476190452e+00,2.530427235912616722e-03
-1.781378571428571478e+00,2.529676555399879533e-03
-1.775380952380952504e+00,2.528975920254658647e-03
-1.769383333333333530e+00,2.528308648687780952e-03
-1.763385714285714334e+00,2.527674740699247316e-03
-1.757388095238095138e+00,2.527074196289057738e-03
-1.751390476190476386e+00,2.526507015457211784e-03
-1.745392857142857190e+00,2.525973198203709889e-03
-1.739392857142857185e+00,2.525472744528552051e-03
-1.733395238095237989e+00,2.524988972642565593e-03
-1.727397619047619237e+00,2.524538564334923192e-03
-1.721400000000000041e+00,2.524104837816453038e-03
-1.715402380952381067e+00,2.523687793087154695e-03
-1.709404761904761871e+00,2.523287430147028165e-03
-1.703407142857143119e+00,2.522920430785245693e-03
-1.697409523809523924e+00,2.522553431423462788e-03
-1.691409523809523918e+00,2.522219795640024374e-03
-1.685411904761904722e+00,2.521902841645757773e-03
-1.679414285714285970e+00,2.521585887651490738e-03
-1.673416666666666774e+00,2.521285615446395949e-03
-1.667419047619047801e+00,2.521002025030472972e-03
-1.661421428571428605e+00,2.520735116403721807e-03
-1.655423809523809409e+00,2.520468207776971076e-03
-1.649426190476190657e+00,2.520217980939392158e-03
-1.643426190476190651e+00,2.519984435890985051e-03
-1.637428571428571455e+00,2.519750890842577945e-03
-1.631430952380952260e+00,2.519517345794170839e-03
-1.625433333333333508e+00,2.519300482534935545e-03
-1.619435714285714312e+00,2.519100301064872063e-03
-1.613438095238095338e+00,2.518883437805637202e-03
-1.607440476190476142e+00,2.518699938124745533e-03
