xc,cp
-2.025045238095238176e+00,5.360096255635070795e-04
-2.021295238095238034e+00,1.384612240739887786e-03
-2.015297619047619282e+00,4.787744069145955590e-04
-2.009300000000000086e+00,2.106480095540693342e-04
-2.003302380952380890e+00,7.482488211616619114e-05
-1.997304761904761916e+00,-3.562524399122137024e-05
-1.991307142857142942e+00,-9.102546583121977938e-05
-1.985307142857142937e+00,-1.128619278572839821e-04
-1.979309523809523963e+00,-1.176162377712864992e-04
-1.973311904761904989e+00,-1.129119732248008555e-04
-1.967314285714285793e+00,-1.048713508439269283e-04
-1.961316666666666597e+00,-9.739790929489956480e-05
-1.955319047619047845e+00,-9.232664538663189647e-05
-1.949321428571428649e+00,-9.035819426434241002e-05
-1.943323809523809675e+00,-9.160932845223765375e-05
-1.937323809523809448e+00,-9.589654826942586321e-05
-1.931326190476190696e+00,-1.029362632999830180e-04
-1.925328571428571500e+00,-1.123281106037829811e-04
-1.919330952380952526e+00,-1.237718179757304213e-04
-1.913333333333333330e+00,-1.369337496323874399e-04
-1.907335714285714356e+00,-1.515803605253482995e-04
-1.901338095238095383e+00,-1.674614238170301511e-04
-1.895340476190476187e+00,-1.843934398265456619e-04
-1.889340476190476181e+00,-2.021929088730015903e-04
-1.883342857142857207e+00,-2.207764220105384683e-04
-1.877345238095238233e+00,-2.399938431366086032e-04
-1.871347619047619260e+00,-2.597617633053525272e-04
-1.865350000000000064e+00,-2.799967735709107453e-04
-1.859352380952380868e+00,-3.006488285657679021e-04
-1.853354761904762116e+00,-3.216512011332343089e-04
-1.847357142857142920e+00,-3.429538459057960469e-04
-1.841357142857142914e+00,-3.645067175159376793e-04
-1.835359523809523719e+00,-3.862764523853136843e-04
-1.829361904761904967e+00,-4.082463687247542554e-04
-1.823364285714285771e+00,-4.303664211667410284e-04
-1.817366666666666797e+00,-4.526199279221041426e-04
-1.811369047619047601e+00,-4.749902072016693464e-04
-1.805371428571428627e+00,-4.974438954270955088e-04
-1.799373809523809653e+00,-5.199809925983811662e-04
-1.793376190476190679e+00,-5.425681351371822603e-04
-1.787376190476190452e+00,-5.651886412543274127e-04
-1.781378571428571478e+00,-5.878425109498166233e-04
-1.775380952380952504e+00,-6.105130624344771040e-04
-1.769383333333333530e+00,-6.331836139191376932e-04
-1.763385714285714334e+00,-6.558374836146269038e-04
-1.757388095238095138e+00,-6.784913533101161144e-04
-1.751390476190476386e+00,-7.011118594272612668e-04
-1.745392857142857190e+00,-7.236823201768910908e-04
-1.739392857142857185e+00,-7.462360991373480183e-04
-1.733395238095237989e+00,-7.687231509411168295e-04
-1.727397619047619237e+00,-7.911434755881988252e-04
-1.721400000000000041e+00,-8.135137548677656011e-04
-1.715402380952381067e+00,-8.358006252014712556e-04
-1.709404761904761871e+00,-8.580207683784903117e-04
-1.703407142857143119e+00,-8.801575026096498727e-04
-1.697409523809523924e+00,-9.021941461057770423e-04
-1.691409523809523918e+00,-9.241473806560448253e-04
-1.685411904761904722e+00,-9.460172062604532217e-04
-1.679414285714285970e+00,-9.677702593406564387e-04
-1.673416666666666774e+00,-9.894065398966575119e-04
-1.667419047619047801e+00,-1.010942729717626519e-03
-1.661421428571428605e+00,-1.032362147014393274e-03
-1.655423809523809409e+00,-1.053664791786954958e-03
-1.649426190476190657e+00,-1.074833982246141710e-03
-1.643426190476190651e+00,-1.095886400181125125e-03
-1.637428571428571455e+00,-1.116805363802731875e-03
-1.631430952380952260e+00,-1.137574191321792747e-03
-1.625433333333333508e+00,-1.158209564527476953e-03
-1.619435714285714312e+00,-1.178711483419786444e-03
-1.613438095238095338e+00,-1.199046584420376945e-03
-1.607440476190476142e+00,-1.219248231107591214e-03
-1.601442857142857390e+00,-1.239266378113913596e-03
-1.595442857142857163e+00,-1.259134389017689667e-03
-1.589445238095238189e+00,-1.278835582029745448e-03
-1.583447619047618993e+00,-1.298353275360910860e-03
-1.577450000000000241e+00,-1.317687469011184602e-03
-1.571452380952381045e+00,-1.336838162980566675e-03
-1.565454761904762071e+00,-1.355822039058231059e-03
-1.559457142857142875e+00,-1.374605733665829575e-03
-1.553459523809523679e+00,-1.393205928592539241e-03
-1.547461904761904927e+00,-1.411639305627528400e-03
-1.541461904761904922e+00,-1.429905864770797267e-03
-1.535464285714285726e+00,-1.448022287811519824e-03
-1.529466666666666530e+00,-1.465971892960523390e-03
