# Wall shear stress    
# Time                 	patch                  	min                    	max                    
1000                   	bottomWall	(-1.598796233557719e-02 -8.057421279285997e-03 -3.877737200910037e-16)	(3.759163436545654e-03 4.858509181412165e-04 6.331268463012253e-16)
1000                   	topWall	(-3.758322283632235e-03 -4.187203760422948e-06 0.000000000000000e+00)	(-4.532303667787612e-04 2.713729153444790e-06 0.000000000000000e+00)
2000                   	bottomWall	(-1.075348566291615e-02 -4.687043688242922e-03 -4.111084754085747e-16)	(1.780734695968010e-03 2.097863221011063e-04 6.369296566597766e-16)
2000                   	topWall	(-3.835405288877192e-03 -1.682164393770340e-06 0.000000000000000e+00)	(-1.966613503831627e-03 1.049813669434589e-06 0.000000000000000e+00)
3000                   	bottomWall	(-1.087347377598365e-02 -4.782798509329871e-03 -3.891646294154910e-16)	(1.492830357127284e-03 2.278112868806994e-04 6.368085201464809e-16)
3000                   	topWall	(-4.013141366989924e-03 -1.244071089943481e-06 0.000000000000000e+00)	(-2.697399007626218e-03 6.821710565842555e-07 0.000000000000000e+00)
4000                   	bottomWall	(-1.077970730551132e-02 -4.742805851295794e-03 -3.872287054269561e-16)	(1.472341065525548e-03 2.267679576822111e-04 6.367967286601276e-16)
4000                   	topWall	(-4.117258712008863e-03 -1.232979875752874e-06 0.000000000000000e+00)	(-2.822028735002357e-03 6.663699704142904e-07 0.000000000000000e+00)
5000                   	bottomWall	(-1.073345970015937e-02 -4.720773080071313e-03 -3.873272567750114e-16)	(1.466594548020116e-03 2.272334520217606e-04 6.367941121364991e-16)
5000                   	topWall	(-4.162813674787125e-03 -1.231729924439994e-06 0.000000000000000e+00)	(-2.867730741085261e-03 6.628448466368475e-07 0.000000000000000e+00)
6000                   	bottomWall	(-1.072280288288888e-02 -4.715970678515416e-03 -3.873796253425581e-16)	(1.465562770857153e-03 2.274214436413050e-04 6.367930375407256e-16)
6000                   	topWall	(-4.178135832886344e-03 -1.231252882130753e-06 0.000000000000000e+00)	(-2.882933635016848e-03 6.629941360049533e-07 0.000000000000000e+00)
7000                   	bottomWall	(-1.071985452173627e-02 -4.714698549248822e-03 -3.873859635850567e-16)	(1.465254614513259e-03 2.274500468233151e-04 6.367926967962039e-16)
7000                   	topWall	(-4.182534835455903e-03 -1.231058697177882e-06 0.000000000000000e+00)	(-2.887379366047910e-03 6.630261345378860e-07 0.000000000000000e+00)
8000                   	bottomWall	(-1.071879527426256e-02 -4.714221922114003e-03 -3.873863731981705e-16)	(1.465147694524951e-03 2.274597938254481e-04 6.367925716151128e-16)
8000                   	topWall	(-4.183781314002526e-03 -1.230981386647559e-06 0.000000000000000e+00)	(-2.888666710344271e-03 6.630248604717043e-07 0.000000000000000e+00)
9000                   	bottomWall	(-1.071845372513914e-02 -4.714066189573460e-03 -3.873865839493236e-16)	(1.465113096625711e-03 2.274634374966666e-04 6.367925345131817e-16)
9000                   	topWall	(-4.184165282839164e-03 -1.230957517218401e-06 0.000000000000000e+00)	(-2.889063683848382e-03 6.630235021701119e-07 0.000000000000000e+00)
10000                  	bottomWall	(-1.071834844035548e-02 -4.714017963029856e-03 -3.873866217113737e-16)	(1.465102705517355e-03 2.274646558819406e-04 6.367925232621411e-16)
10000                  	topWall	(-4.184282918375601e-03 -1.230949753403305e-06 0.000000000000000e+00)	(-2.889185885963669e-03 6.630230254266165e-07 0.000000000000000e+00)
