REPRO === primal ===
REPRO === primal done t=3.2s OBJ.val=3.279385450974948e-02 ===
REPRO === adjoint done t=14.2s, warper captured 1 rev call(s) ===
REPRO seed=real objective=stock ||w||=5.96728230e+01 nRanks=4 h=1.0e-04 useRotations=off cornerAngle=None
REPRO_ANFINGERPRINT useRotations=off ||dXs||=1.634919241446518e+01 sum(dXs)=-4.307183371648531e-01 max|dXs|=7.232889565848707e+00
REPRO_XVFINGERPRINT useRotations=off ||Xv0||=5.180082220691975e+01
REPRO idx  FD(warp)         AN(warpDeriv)    rel_err    sign   framework_dOBJ/dDV
REPRO 0    1.27749051e-02   1.27749051e-02   0.0000     ok     1.27749051e-02
REPRO 1    -1.39877948e-02  -1.39877948e-02  0.0000     ok     -1.39877948e-02
REPRO 2    -1.04708718e-02  -1.04708718e-02  0.0000     ok     -1.04708718e-02
REPRO 3    3.76745886e-02   3.76745886e-02   0.0000     ok     3.76745886e-02
REPRO 4    -1.66748367e-02  -1.66748367e-02  0.0000     ok     -1.66748367e-02
REPRO 5    -1.59300528e-02  -1.59300528e-02  0.0000     ok     -1.59300528e-02
REPRO 6    1.92040857e-02   1.92040857e-02   0.0000     ok     1.92040857e-02
REPRO 7    7.22159632e-03   7.22159632e-03   0.0000     ok     7.22159632e-03
REPRO 8    1.57713137e-02   1.57713137e-02   0.0000     ok     1.57713137e-02
REPRO 9    8.61655441e-02   8.61655441e-02   0.0000     ok     8.61655441e-02
REPRO 10   5.80556528e-02   5.80556527e-02   0.0000     ok     5.80556527e-02
REPRO 11   7.52976852e-02   7.52976852e-02   0.0000     ok     7.52976852e-02
REPRO 12   -4.79974181e-02  -4.79974181e-02  0.0000     ok     -4.79974181e-02
REPRO 13   -7.17551785e-03  -7.17551784e-03  0.0000     ok     -7.17551784e-03
REPRO 14   3.51892681e-02   3.51892681e-02   0.0000     ok     3.51892681e-02
REPRO 15   -1.56393335e-01  -1.56393335e-01  0.0000     ok     -1.56393335e-01
REPRO 16   -5.00192985e-02  -5.00192984e-02  0.0000     ok     -5.00192984e-02
REPRO 17   1.53530191e-02   1.53530191e-02   0.0000     ok     1.53530191e-02
REPRO 18   -4.08920227e-02  -4.08920227e-02  0.0000     ok     -4.08920227e-02
REPRO 19   -2.08533443e-02  -2.08533443e-02  0.0000     ok     -2.08533443e-02
REPRO 20   2.78170052e-02   2.78170052e-02   0.0000     ok     2.78170052e-02
REPRO 21   -2.60189996e-03  -2.60189995e-03  0.0000     ok     -2.60189995e-03
REPRO 22   -2.20023214e-02  -2.20023214e-02  0.0000     ok     -2.20023214e-02
REPRO 23   -3.62429218e-02  -3.62429218e-02  0.0000     ok     -3.62429218e-02
REPRO 24   -4.38278494e-03  -4.38278493e-03  0.0000     ok     -4.38278493e-03
REPRO 25   4.11694343e-03   4.11694343e-03   0.0000     ok     4.11694343e-03
REPRO 26   -2.78350181e-02  -2.78350181e-02  0.0000     ok     -2.78350181e-02
REPRO_SUMMARY seed=real objective=stock h=1.0e-04 nRanks=4 n=27 sign_flips=0 worst_idx=24 worst_rel_err=0.0000 t=15.1s
REPRO_SUMMARY2 useRotations=off cornerAngle=None evalMode=None reordering=natural
