REPRO === primal ===
REPRO === primal done t=3.3s OBJ.val=5.234521633934580e+01 ===
REPRO === adjoint done t=11.6s, warper captured 1 rev call(s) ===
REPRO seed=real objective=pressure-loss ||w||=5.81218089e+03 nRanks=4 h=1.0e-04 useRotations=on cornerAngle=None
REPRO_ANFINGERPRINT useRotations=on ||dXs||=1.495166062889025e+03 sum(dXs)=-1.242751813546030e+02 max|dXs|=6.321028170336726e+02
REPRO_XVFINGERPRINT useRotations=on ||Xv0||=5.180082220691975e+01
REPRO idx  FD(warp)         AN(warpDeriv)    rel_err    sign   framework_dOBJ/dDV
REPRO 0    1.15824425e-01   2.37116838e-01   1.0472     ok     2.37116838e-01
REPRO 1    -4.60656842e-01  -4.35563554e-01  0.0545     ok     -4.35563554e-01
REPRO 2    -4.06921001e-01  -4.17698538e-01  0.0265     ok     -4.17698538e-01
REPRO 3    7.08632667e-01   1.96885396e+00   1.7784     ok     1.96885396e+00
REPRO 4    -4.28057253e-01  -1.05060486e-01  0.7546     ok     -1.05060486e-01
REPRO 5    -1.20622113e+00  -1.39540780e+00  0.1568     ok     -1.39540780e+00
REPRO 6    1.37213844e+00   1.61077448e+00   0.1739     ok     1.61077448e+00
REPRO 7    1.33296528e+00   9.05749564e-01   0.3205     ok     9.05749564e-01
REPRO 8    7.87869335e-01   -8.43419458e-01  2.0705     FLIP   -8.43419458e-01
REPRO 9    1.15703333e+01   7.81921785e+00   0.3242     ok     7.81921785e+00
REPRO 10   7.27571361e+00   4.80035438e+00   0.3402     ok     4.80035438e+00
REPRO 11   8.17428908e+00   3.90890752e+00   0.5218     ok     3.90890752e+00
REPRO 12   -1.02954283e+01  -4.43509324e+00  0.5692     ok     -4.43509324e+00
REPRO 13   -1.24699642e+00  -9.12074674e-01  0.2686     ok     -9.12074674e-01
REPRO 14   4.69012167e+00   5.56767278e-01   0.8813     ok     5.56767278e-01
REPRO 15   -2.42564087e+01  -1.38603314e+01  0.4286     ok     -1.38603314e+01
REPRO 16   -5.04786637e+00  -3.77482724e+00  0.2522     ok     -3.77482724e+00
REPRO 17   2.91376052e+00   -6.28250275e-01  1.2156     FLIP   -6.28250275e-01
REPRO 18   -8.31939512e+00  -4.33828530e+00  0.4785     ok     -4.33828530e+00
REPRO 19   -3.46280008e-01  -9.48640623e-01  1.7395     ok     -9.48640623e-01
REPRO 20   4.83957697e+00   1.90942445e+00   0.6055     ok     1.90942445e+00
REPRO 21   -3.07163802e+00  -1.78264881e+00  0.4196     ok     -1.78264881e+00
REPRO 22   -9.35170588e-01  -1.17260277e+00  0.2539     ok     -1.17260277e+00
REPRO 23   -1.35722371e+00  -2.25145944e+00  0.6589     ok     -2.25145944e+00
REPRO 24   -1.05637035e+00  -9.69082940e-01  0.0826     ok     -9.69082940e-01
REPRO 25   7.71090170e-01   7.46913476e-01   0.0314     ok     7.46913476e-01
REPRO 26   -1.89917382e+00  -1.95653893e+00  0.0302     ok     -1.95653893e+00
REPRO_SUMMARY seed=real objective=pressure-loss h=1.0e-04 nRanks=4 n=27 sign_flips=2 worst_idx=8 worst_rel_err=2.0705 t=12.6s
REPRO_SUMMARY2 useRotations=on cornerAngle=None evalMode=None reordering=rcm
