[mega-batch] resuming: 24076 indices already in ledger
[mega-batch] #24075 openfoam-cylinder ok 4.352s (session 1)
[mega-batch] #24076 vspaero-wing ok 6.099s (session 2)
[mega-batch] #24078 openfoam-cylinder ok 3.571s (session 3)
[mega-batch] #24080 reduced-order ok 0.134s (session 4)
[mega-batch] #24079 vspaero-wing ok 5.601s (session 5)
[mega-batch] #24081 openfoam-cylinder ok 3.678s (session 6)
[mega-batch] #24083 reduced-order ok 0.0s (session 7)
[mega-batch] #24084 openfoam-cylinder ok 2.335s (session 8)
[mega-batch] #24082 vspaero-wing ok 5.661s (session 9)
[mega-batch] #24086 reduced-order ok 0.001s (session 10)
[mega-batch] #24085 vspaero-wing ok 5.558s (session 11)
[mega-batch] #24087 openfoam-cylinder ok 3.882s (session 12)
[mega-batch] #24089 reduced-order ok 0.0s (session 13)
[mega-batch] #24090 openfoam-cylinder ok 2.375s (session 14)
[mega-batch] #24088 vspaero-wing ok 5.742s (session 15)
[mega-batch] #24092 reduced-order ok 0.001s (session 16)
[mega-batch] #24093 openfoam-cylinder ok 3.849s (session 17)
[mega-batch] #24091 vspaero-wing ok 5.78s (session 18)
[mega-batch] #24095 reduced-order ok 0.0s (session 19)
[mega-batch] #24094 vspaero-wing ok 5.798s (session 20)
[mega-batch] #24096 openfoam-cylinder ok 6.088s (session 21)
[mega-batch] #24098 reduced-order ok 0.0s (session 22)
[mega-batch] #24099 openfoam-cylinder ok 2.817s (session 23)
[mega-batch] #24097 vspaero-wing ok 5.791s (session 24)
[mega-batch] #24101 reduced-order ok 0.001s (session 25)
[mega-batch] #24102 openfoam-cylinder ok 2.047s (session 26)
[mega-batch] #24100 vspaero-wing ok 5.874s (session 27)
[mega-batch] #24104 reduced-order ok 0.001s (session 28)
[mega-batch] #24105 openfoam-cylinder ok 1.943s (session 29)
[mega-batch] #24103 vspaero-wing ok 5.655s (session 30)
[mega-batch] #24107 reduced-order ok 0.001s (session 31)
[mega-batch] #24108 openfoam-cylinder ok 1.861s (session 32)
[mega-batch] #24106 vspaero-wing ok 5.593s (session 33)
[mega-batch] #24110 reduced-order ok 0.001s (session 34)
[mega-batch] #24111 openfoam-cylinder ok 2.291s (session 35)
[mega-batch] #24109 vspaero-wing ok 5.514s (session 36)
[mega-batch] #24113 reduced-order ok 0.0s (session 37)
[mega-batch] #24114 openfoam-cylinder ok 2.947s (session 38)
[mega-batch] #24112 vspaero-wing ok 5.768s (session 39)
[mega-batch] #24116 reduced-order ok 0.0s (session 40)
[mega-batch] #24117 openfoam-cylinder ok 4.274s (session 41)
[mega-batch] #24115 vspaero-wing ok 5.692s (session 42)
[mega-batch] #24119 reduced-order ok 0.001s (session 43)
[mega-batch] #24118 vspaero-wing ok 5.676s (session 44)
[mega-batch] #24120 openfoam-cylinder ok 6.038s (session 45)
[mega-batch] #24122 reduced-order ok 0.0s (session 46)
[mega-batch] #24123 openfoam-cylinder ok 4.817s (session 47)
[mega-batch] #24121 vspaero-wing ok 5.831s (session 48)
[mega-batch] #24125 reduced-order ok 0.0s (session 49)
[mega-batch] #24124 vspaero-wing ok 5.725s (session 50)
[mega-batch] #24126 openfoam-cylinder ok 6.808s (session 51)
[mega-batch] #24128 reduced-order ok 0.001s (session 52)
[mega-batch] #24127 vspaero-wing ok 5.806s (session 53)
[mega-batch] #24129 openfoam-cylinder ok 5.178s (session 54)
[mega-batch] #24131 reduced-order ok 0.0s (session 55)
[mega-batch] #24132 openfoam-cylinder ok 2.735s (session 56)
[mega-batch] #24130 vspaero-wing ok 5.75s (session 57)
[mega-batch] #24134 reduced-order ok 0.0s (session 58)
[mega-batch] #24135 openfoam-cylinder ok 2.191s (session 59)
[mega-batch] #24133 vspaero-wing ok 5.837s (session 60)
[mega-batch] #24137 reduced-order ok 0.0s (session 61)
[mega-batch] #24138 openfoam-cylinder ok 2.086s (session 62)
[mega-batch] #24136 vspaero-wing ok 5.775s (session 63)
[mega-batch] #24140 reduced-order ok 0.001s (session 64)
[mega-batch] #24141 openfoam-cylinder ok 2.261s (session 65)
[mega-batch] #24139 vspaero-wing ok 5.557s (session 66)
[mega-batch] #24143 reduced-order ok 0.0s (session 67)
[mega-batch] #24144 openfoam-cylinder ok 4.684s (session 68)
[mega-batch] #24142 vspaero-wing ok 5.629s (session 69)
[mega-batch] #24146 reduced-order ok 0.0s (session 70)
[mega-batch] #24145 vspaero-wing ok 5.807s (session 71)
[mega-batch] #24147 openfoam-cylinder ok 5.766s (session 72)
[mega-batch] #24149 reduced-order ok 0.001s (session 73)
[mega-batch] #24150 openfoam-cylinder ok 2.08s (session 74)
[mega-batch] #24148 vspaero-wing ok 5.825s (session 75)
[mega-batch] #24152 reduced-order ok 0.0s (session 76)
[mega-batch] #24151 vspaero-wing ok 5.578s (session 77)
[mega-batch] #24153 openfoam-cylinder ok 2.192s (session 78)
[mega-batch] #24155 reduced-order ok 0.001s (session 79)
[mega-batch] #24156 openfoam-cylinder ok 1.721s (session 80)
[mega-batch] #24154 vspaero-wing ok 5.797s (session 81)
[mega-batch] #24158 reduced-order ok 0.0s (session 82)
[mega-batch] #24157 vspaero-wing ok 5.534s (session 83)
[mega-batch] #24159 openfoam-cylinder ok 2.263s (session 84)
[mega-batch] #24161 reduced-order ok 0.001s (session 85)
[mega-batch] #24162 openfoam-cylinder ok 2.18s (session 86)
[mega-batch] #24160 vspaero-wing ok 5.617s (session 87)
[mega-batch] #24164 reduced-order ok 0.001s (session 88)
[mega-batch] #24163 vspaero-wing ok 5.605s (session 89)
[mega-batch] #24165 openfoam-cylinder ok 3.183s (session 90)
[mega-batch] #24167 reduced-order ok 0.0s (session 91)
[mega-batch] #24168 openfoam-cylinder ok 5.069s (session 92)
[mega-batch] #24166 vspaero-wing ok 5.773s (session 93)
[mega-batch] #24170 reduced-order ok 0.001s (session 94)
[mega-batch] #24169 vspaero-wing ok 5.638s (session 95)
[mega-batch] #24171 openfoam-cylinder ok 6.255s (session 96)
[mega-batch] #24173 reduced-order ok 0.001s (session 97)
[mega-batch] #24174 openfoam-cylinder ok 3.894s (session 98)
[mega-batch] #24172 vspaero-wing ok 5.805s (session 99)
[mega-batch] #24176 reduced-order ok 0.002s (session 100)
[mega-batch] #24177 openfoam-cylinder ok 3.393s (session 101)
[mega-batch] #24175 vspaero-wing ok 5.665s (session 102)
[mega-batch] #24179 reduced-order ok 0.0s (session 103)
[mega-batch] #24180 openfoam-cylinder ok 2.612s (session 104)
[mega-batch] #24178 vspaero-wing ok 5.706s (session 105)
[mega-batch] #24182 reduced-order ok 0.0s (session 106)
[mega-batch] #24183 openfoam-cylinder ok 1.693s (session 107)
[mega-batch] #24181 vspaero-wing ok 5.573s (session 108)
[mega-batch] #24185 reduced-order ok 0.0s (session 109)
[mega-batch] #24186 openfoam-cylinder ok 2.007s (session 110)
[mega-batch] #24184 vspaero-wing ok 5.641s (session 111)
[mega-batch] #24188 reduced-order ok 0.0s (session 112)
[mega-batch] #24187 vspaero-wing ok 5.577s (session 113)
[mega-batch] #24189 openfoam-cylinder ok 4.041s (session 114)
[mega-batch] #24191 reduced-order ok 0.001s (session 115)
[mega-batch] #24192 openfoam-cylinder ok 3.972s (session 116)
[mega-batch] #24190 vspaero-wing ok 5.747s (session 117)
[mega-batch] #24194 reduced-order ok 0.0s (session 118)
[mega-batch] #24195 openfoam-cylinder ok 3.485s (session 119)
[mega-batch] #24193 vspaero-wing ok 5.644s (session 120)
[mega-batch] #24197 reduced-order ok 0.001s (session 121)
[mega-batch] #24198 openfoam-cylinder ok 4.3s (session 122)
[mega-batch] #24196 vspaero-wing ok 5.648s (session 123)
[mega-batch] #24200 reduced-order ok 0.001s (session 124)
[mega-batch] #24201 openfoam-cylinder ok 3.04s (session 125)
[mega-batch] #24199 vspaero-wing ok 5.727s (session 126)
[mega-batch] #24203 reduced-order ok 0.001s (session 127)
[mega-batch] #24204 openfoam-cylinder ok 3.421s (session 128)
[mega-batch] #24202 vspaero-wing ok 5.698s (session 129)
[mega-batch] #24206 reduced-order ok 0.0s (session 130)
[mega-batch] #24207 openfoam-cylinder ok 2.657s (session 131)
[mega-batch] #24205 vspaero-wing ok 5.781s (session 132)
[mega-batch] #24209 reduced-order ok 0.001s (session 133)
[mega-batch] #24210 openfoam-cylinder ok 2.682s (session 134)
[mega-batch] #24208 vspaero-wing ok 5.598s (session 135)
[mega-batch] #24212 reduced-order ok 0.0s (session 136)
[mega-batch] #24213 openfoam-cylinder ok 2.921s (session 137)
[mega-batch] #24211 vspaero-wing ok 5.757s (session 138)
[mega-batch] #24215 reduced-order ok 0.0s (session 139)
[mega-batch] #24214 vspaero-wing ok 5.772s (session 140)
[mega-batch] #24216 openfoam-cylinder ok 5.667s (session 141)
[mega-batch] #24218 reduced-order ok 0.0s (session 142)
[mega-batch] #24219 openfoam-cylinder ok 1.951s (session 143)
[mega-batch] #24217 vspaero-wing ok 5.741s (session 144)
[mega-batch] #24221 reduced-order ok 0.0s (session 145)
[mega-batch] #24222 openfoam-cylinder ok 3.335s (session 146)
[mega-batch] #24220 vspaero-wing ok 5.681s (session 147)
[mega-batch] #24224 reduced-order ok 0.0s (session 148)
[mega-batch] #24223 vspaero-wing ok 5.626s (session 149)
[mega-batch] #24225 openfoam-cylinder ok 5.316s (session 150)
[mega-batch] #24227 reduced-order ok 0.001s (session 151)
[mega-batch] #24228 openfoam-cylinder ok 1.99s (session 152)
[mega-batch] #24226 vspaero-wing ok 5.705s (session 153)
[mega-batch] #24230 reduced-order ok 0.0s (session 154)
[mega-batch] #24229 vspaero-wing ok 5.78s (session 155)
[mega-batch] #24232 vspaero-wing ok 7.707s (session 156)
[mega-batch] #24233 reduced-order ok 0.001s (session 157)
[mega-batch] #24231 openfoam-cylinder ok 13.712s (session 158)
[mega-batch] #24235 vspaero-wing ok 6.878s (session 159)
[mega-batch] #24236 reduced-order ok 0.001s (session 160)
[mega-batch] #24234 openfoam-cylinder ok 12.625s (session 161)
[mega-batch] #24237 openfoam-cylinder ok 6.095s (session 162)
[mega-batch] #24239 reduced-order ok 0.001s (session 163)
[mega-batch] #24238 vspaero-wing ok 6.314s (session 164)
