# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# yawAxis         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
0.0024            	-7.7518005311e-02	-3.9053790853e-02	-3.8464214458e-02	5.8957639447e-04	-3.6182807576e-05	6.2575920204e-04	-3.3097100481e-04	-2.9478819724e-04	-3.8759002656e-02	-3.1002507599e-18	-3.8759002656e-02	3.8759002656e-02
0.0052799954      	-7.0120323991e-02	-3.5092754833e-02	-3.5027569158e-02	6.5185675189e-05	-2.9214528670e-05	9.4400203859e-05	-6.1807366264e-05	-3.2592837584e-05	-3.5060161996e-02	-4.2780941975e-18	-3.5060161996e-02	3.5060161996e-02
0.0087359965      	-5.1935276897e-02	-2.5933931865e-02	-2.6001345032e-02	-6.7413166913e-05	1.0809870553e-05	-7.8223037465e-05	4.4516454009e-05	3.3706583456e-05	-2.5967638448e-02	-3.2987714073e-18	-2.5967638448e-02	2.5967638448e-02
0.012883188       	-3.6689517763e-02	-1.8284589277e-02	-1.8404928486e-02	-1.2033920956e-04	1.2737651677e-05	-1.3307686124e-04	7.2907256458e-05	6.0169604782e-05	-1.8344758882e-02	-2.1809756134e-18	-1.8344758882e-02	1.8344758882e-02
0.017859832       	-2.5935125591e-02	-1.3013048036e-02	-1.2922077555e-02	9.0970481385e-05	2.1569764116e-06	8.8813504974e-05	-4.3328264281e-05	-4.5485240680e-05	-1.2967562796e-02	-1.4418221426e-18	-1.2967562796e-02	1.2967562796e-02
0.023831765       	-1.8255126189e-02	-9.0970304934e-03	-9.1580956954e-03	-6.1065201967e-05	1.4912767477e-06	-6.2556478715e-05	3.2023877731e-05	3.0532600982e-05	-9.1275630944e-03	-9.3952026895e-19	-9.1275630944e-03	9.1275630944e-03
0.030998113       	-1.2574922366e-02	-6.3172939479e-03	-6.2576284182e-03	5.9665529693e-05	8.7627248979e-06	5.0902804795e-05	-2.1070039949e-05	-2.9832764847e-05	-6.2874611830e-03	-5.8534285291e-19	-6.2874611830e-03	6.2874611830e-03
0.039597649       	-8.3201536289e-03	-4.2327498168e-03	-4.0874038120e-03	1.4534600477e-04	1.9729559740e-05	1.2561644503e-04	-5.2943442644e-05	-7.2673002383e-05	-4.1600768144e-03	-3.2992619195e-19	-4.1600768144e-03	4.1600768144e-03
0.049916914       	-5.2722366138e-03	-2.6326157107e-03	-2.6396209031e-03	-7.0051923941e-06	-4.1011421492e-06	-2.9040502449e-06	-5.9854595213e-07	3.5025961968e-06	-2.6361183069e-03	-2.1981646736e-19	-2.6361183069e-03	2.6361183069e-03
0.062299777       	-3.2488309094e-03	-1.7573091558e-03	-1.4915217535e-03	2.6578740231e-04	1.6206073482e-05	2.4958132883e-04	-1.1668762767e-04	-1.3289370116e-04	-1.6244154547e-03	-1.6682205246e-19	-1.6244154547e-03	1.6244154547e-03
