# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.5000000000e+00
# Aref            : 1.5000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	2.3583687975e-01	1.4480246932e-01	9.1034410421e-02	-8.0652088355e-02	-1.4121569826e-01	6.0563609909e-02	-1.0088965409e-01	2.6884029452e-02	7.8612293248e-02	-1.8624763526e-20	7.8612293248e-02	-7.8612293248e-02
2                 	1.4169053010e-01	8.6294532540e-02	5.5395997556e-02	-4.6347802477e-02	-1.0927241300e-01	6.2924610522e-02	-8.6098511760e-02	1.5449267492e-02	4.7230176699e-02	-1.2288274900e-20	4.7230176699e-02	-4.7230176699e-02
3                 	3.1871941686e-02	1.9279945513e-03	2.9943947135e-02	4.2023928876e-02	7.1687645742e-03	3.4855164301e-02	-1.3843199864e-02	-1.4007976292e-02	1.0623980562e-02	-1.0240343078e-22	1.0623980562e-02	-1.0623980562e-02
4                 	-2.5373479972e-02	-4.4396648709e-02	1.9023168736e-02	9.5129726167e-02	8.2357091643e-02	1.2772634524e-02	3.4792228560e-02	-3.1709908722e-02	-8.4578266574e-03	6.6386886391e-21	-8.4578266574e-03	8.4578266574e-03
5                 	-2.5980167555e-02	-3.4399013500e-02	8.4188459447e-03	6.4226789167e-02	6.7331196153e-02	-3.1044069860e-03	3.5217801570e-02	-2.1408929722e-02	-8.6600558518e-03	6.7587691617e-21	-8.6600558518e-03	8.6600558518e-03
6                 	6.9673598149e-03	1.6349905319e-04	6.8038607618e-03	9.9605425628e-03	1.9638483502e-03	7.9966942126e-03	-3.0164229312e-03	-3.3201808543e-03	2.3224532716e-03	2.3345491108e-21	2.3224532716e-03	-2.3224532716e-03
7                 	3.6279026626e-02	1.7519650141e-02	1.8759376485e-02	1.8595895152e-03	-4.3552979806e-02	4.5412569321e-02	-4.4482774564e-02	-6.1986317173e-04	1.2093008875e-02	-2.0909407244e-21	1.2093008875e-02	-1.2093008875e-02
8                 	4.6098534755e-02	1.6151819057e-02	2.9946715698e-02	2.0692344963e-02	-4.0583855075e-02	6.1276200037e-02	-5.0930027556e-02	-6.8974483209e-03	1.5366178252e-02	-4.6650159293e-21	1.5366178252e-02	-1.5366178252e-02
9                 	3.3902165827e-02	9.7447954854e-03	2.4157370341e-02	2.1618862284e-02	-8.3474736146e-03	2.9966335898e-02	-1.9156904757e-02	-7.2062874279e-03	1.1300721942e-02	-4.2381652693e-21	1.1300721942e-02	-1.1300721942e-02
10                	1.1715608286e-02	4.3939089634e-03	7.3216993224e-03	4.3916855384e-03	1.8336756575e-02	-1.3945071036e-02	1.6140913806e-02	-1.4638951795e-03	3.9052027619e-03	-1.8368540784e-21	3.9052027619e-03	-3.9052027619e-03
11                	-5.8565269625e-03	-2.8615388657e-03	-2.9949880969e-03	-2.0017384679e-04	2.0889979295e-02	-2.1090153142e-02	2.0990066219e-02	6.6724615595e-05	-1.9521756542e-03	7.7342600932e-22	-1.9521756542e-03	1.9521756542e-03
12                	-9.5995908756e-03	-1.2817208729e-02	3.2176178530e-03	2.4052239872e-02	5.5942528786e-03	1.8457986994e-02	-6.4318670575e-03	-8.0174132908e-03	-3.1998636252e-03	1.9266487374e-21	-3.1998636252e-03	3.1998636252e-03
13                	-1.1741372684e-03	-1.8913254243e-02	1.7739116975e-02	5.4978556827e-02	-9.2492027427e-03	6.4227759570e-02	-3.6738481156e-02	-1.8326185609e-02	-3.9137908946e-04	1.1956037022e-21	-3.9137908946e-04	3.9137908946e-04
14                	1.1083206545e-02	-1.3555461604e-02	2.4638668149e-02	5.7291194629e-02	-1.1920487628e-02	6.9211682258e-02	-4.0566084943e-02	-1.9097064876e-02	3.6944021818e-03	-5.2480836735e-22	3.6944021818e-03	-3.6944021818e-03
15                	1.7344252937e-02	4.1385310680e-04	1.6930399831e-02	2.4774820086e-02	-2.5889434728e-03	2.7363763559e-02	-1.4976353516e-02	-8.2582733619e-03	5.7814176458e-03	-1.8803363153e-21	5.7814176458e-03	-5.7814176458e-03
16                	1.5135382734e-02	1.1629958122e-02	3.5054246117e-03	-1.2186800266e-02	7.2858556400e-03	-1.9472655906e-02	1.3379255773e-02	4.0622667553e-03	5.0451275780e-03	-2.1461043615e-21	5.0451275780e-03	-5.0451275780e-03
17                	7.7336447562e-03	1.0390084924e-02	-2.6564401679e-03	-1.9569787638e-02	7.9363178152e-03	-2.7506105453e-02	1.7721211634e-02	6.5232625461e-03	2.5778815854e-03	-1.3956316276e-21	2.5778815854e-03	-2.5778815854e-03
18                	1.0634610550e-03	-2.5035619714e-03	3.5670230265e-03	9.1058774968e-03	-4.1637797781e-04	9.5222554747e-03	-4.9693167262e-03	-3.0352924989e-03	3.5448701833e-04	-3.1985425596e-22	3.5448701833e-04	-3.5448701833e-04
19                	-1.2434334487e-03	-1.6835547504e-02	1.5592114056e-02	4.8641492340e-02	-9.6750595544e-03	5.8316551894e-02	-3.3995805724e-02	-1.6213830780e-02	-4.1447781622e-04	4.2699880688e-22	-4.1447781622e-04	4.1447781622e-04
20                	5.2028344969e-04	-2.2700409902e-02	2.3220693352e-02	6.8881654880e-02	-1.0406960531e-02	7.9288615411e-02	-4.4847787971e-02	-2.2960551627e-02	1.7342781656e-04	5.6355991230e-22	1.7342781656e-04	-1.7342781656e-04
21                	3.9064772164e-03	-1.5302791637e-02	1.9209268854e-02	5.1768090736e-02	-2.4438076201e-03	5.4211898357e-02	-2.8327852988e-02	-1.7256030245e-02	1.3021590721e-03	1.6569728199e-22	1.3021590721e-03	-1.3021590721e-03
22                	6.1521201541e-03	-2.0275108770e-03	8.1796310311e-03	1.5310712862e-02	7.8318548387e-03	7.4788580234e-03	1.7649840767e-04	-5.1035709540e-03	2.0507067180e-03	-4.2014200172e-22	2.0507067180e-03	-2.0507067180e-03
23                	6.3724365162e-03	8.4528463927e-03	-2.0804098765e-03	-1.5799884404e-02	1.1754883330e-02	-2.7554767733e-02	1.9654825531e-02	5.2666281346e-03	2.1241455054e-03	-9.2002162251e-22	2.1241455054e-03	-2.1241455054e-03
24                	4.8192437452e-03	8.5774559508e-03	-3.7582122056e-03	-1.8503502235e-02	6.3891840472e-03	-2.4892686282e-02	1.5640935165e-02	6.1678340782e-03	1.6064145817e-03	-1.1098829651e-21	1.6064145817e-03	-1.6064145817e-03
25                	2.9954455689e-03	-7.4338163380e-04	3.7388272027e-03	6.7233132548e-03	-3.4686758186e-03	1.0191989073e-02	-6.8303324460e-03	-2.2411044183e-03	9.9848185630e-04	-1.0280660477e-21	9.9848185630e-04	-9.9848185630e-04
26                	1.8933189717e-03	-1.1923448837e-02	1.3816767809e-02	3.8610324969e-02	-1.1230751822e-02	4.9841076791e-02	-3.0535914306e-02	-1.2870108323e-02	6.3110632388e-04	-8.0766039787e-22	6.3110632388e-04	-6.3110632388e-04
27                	1.8354388709e-03	-1.9894288228e-02	2.1729727099e-02	6.2436022990e-02	-1.1385814903e-02	7.3821837894e-02	-4.2603826399e-02	-2.0812007663e-02	6.1181295696e-04	-5.8327168546e-22	6.1181295696e-04	-6.1181295696e-04
28                	2.4544438121e-03	-1.9218876445e-02	2.1673320257e-02	6.1338295052e-02	-4.4676956032e-03	6.5805990655e-02	-3.5136843129e-02	-2.0446098351e-02	8.1814793738e-04	-4.4299091263e-22	8.1814793738e-04	-8.1814793738e-04
29                	2.9480020729e-03	-1.2041728069e-02	1.4989730142e-02	4.0547187316e-02	3.6242899730e-03	3.6922897343e-02	-1.6649303685e-02	-1.3515729105e-02	9.8266735764e-04	-3.9189058083e-22	9.8266735764e-04	-9.8266735764e-04
30                	3.0667490410e-03	-3.3595126577e-03	6.4262616987e-03	1.4678661535e-02	8.8707741176e-03	5.8078874171e-03	1.5314433503e-03	-4.8928871782e-03	1.0222496803e-03	-4.0571542552e-22	1.0222496803e-03	-1.0222496803e-03
31                	2.7665699244e-03	2.9739797383e-03	-2.0740981382e-04	-4.7720843281e-03	8.4163065703e-03	-1.3188390898e-02	1.0802348734e-02	1.5906947760e-03	9.2218997481e-04	-4.4678955898e-22	9.2218997481e-04	-9.2218997481e-04
32                	2.3283314742e-03	4.2815170281e-03	-1.9531855540e-03	-9.3520538731e-03	2.4303410190e-03	-1.1782394892e-02	7.1063679556e-03	3.1173512910e-03	7.7611049138e-04	-4.9699517872e-22	7.7611049138e-04	-7.7611049138e-04
33                	2.1174576995e-03	-5.9635386928e-04	2.7138115688e-03	4.9652481571e-03	-4.1880754296e-03	9.1533235867e-03	-6.6706995081e-03	-1.6550827190e-03	7.0581923317e-04	-5.3983499549e-22	7.0581923317e-04	-7.0581923317e-04
34                	2.1654615255e-03	-7.1617871143e-03	9.3272486398e-03	2.4733553631e-02	-8.2013227945e-03	3.2934876426e-02	-2.0568099610e-02	-8.2445178770e-03	7.2182050851e-04	-5.7344632515e-22	7.2182050851e-04	-7.2182050851e-04
35                	2.3780567449e-03	-1.3954549459e-02	1.6332606204e-02	4.5430733494e-02	-7.9817917400e-03	5.3412525234e-02	-3.0697158487e-02	-1.5143577831e-02	7.9268558162e-04	-5.8945337852e-22	7.9268558162e-04	-7.9268558162e-04
36                	2.4867288363e-03	-1.7114869911e-02	1.9601598747e-02	5.5074702986e-02	-3.5794769694e-03	5.8654179956e-02	-3.1116828463e-02	-1.8358234329e-02	8.2890961210e-04	-5.7744848094e-22	8.2890961210e-04	-8.2890961210e-04
37                	2.3685238951e-03	-1.4923129972e-02	1.7291653867e-02	4.8322175757e-02	1.7043626945e-03	4.6617813063e-02	-2.2456725184e-02	-1.6107391919e-02	7.8950796502e-04	-5.4872538695e-22	7.8950796502e-04	-7.8950796502e-04
38                	2.1387296392e-03	-1.0432227501e-02	1.2570957141e-02	3.4504776963e-02	4.9644063252e-03	2.9540370638e-02	-1.2287982156e-02	-1.1501592321e-02	7.1290987972e-04	-5.1874135837e-22	7.1290987972e-04	-7.1290987972e-04
39                	1.9403661760e-03	-5.2900853057e-03	7.2304514817e-03	1.8780805181e-02	5.0570316984e-03	1.3723773483e-02	-4.3333708921e-03	-6.2602683937e-03	6.4678872533e-04	-5.0388613118e-22	6.4678872533e-04	-6.4678872533e-04
40                	1.9583604318e-03	-1.7818418788e-03	3.7402023106e-03	8.2830662840e-03	1.9976097637e-03	6.2854565203e-03	-2.1439233783e-03	-2.7610220947e-03	6.5278681061e-04	-5.2165568865e-22	6.5278681061e-04	-6.5278681061e-04
41                	2.1853317799e-03	-1.7044347567e-03	3.8897665365e-03	8.3913019398e-03	-2.0693136313e-03	1.0460615571e-02	-6.2649646012e-03	-2.7971006466e-03	7.2844392662e-04	-5.5928205111e-22	7.2844392662e-04	-7.2844392662e-04
42                	2.4602845702e-03	-3.9895053633e-03	6.4497899335e-03	1.5658942945e-02	-4.8958548655e-03	2.0554797811e-02	-1.2725326338e-02	-5.2196476484e-03	8.2009485674e-04	-5.9320512286e-22	8.2009485674e-04	-8.2009485674e-04
43                	2.6445085656e-03	-7.2798324685e-03	9.9243410340e-03	2.5806260254e-02	-5.5007044806e-03	3.1306964734e-02	-1.8403834608e-02	-8.6020867513e-03	8.8150285519e-04	-6.0744833304e-22	8.8150285519e-04	-8.8150285519e-04
44                	2.5910219261e-03	-1.0448288679e-02	1.3039310605e-02	3.5231398927e-02	-3.5620125218e-03	3.8793411448e-02	-2.1177711985e-02	-1.1743799642e-02	8.6367397535e-04	-5.8258087908e-22	8.6367397535e-04	-8.6367397535e-04
45                	2.3542400387e-03	-1.1463773750e-02	1.3818013788e-02	3.7922681307e-02	-4.5196932986e-04	3.8374650637e-02	-1.9413309983e-02	-1.2640893769e-02	7.8474667955e-04	-5.3587408570e-22	7.8474667955e-04	-7.8474667955e-04
46                	2.1289517574e-03	-1.0450246580e-02	1.2579198337e-02	3.4544167375e-02	2.0486102763e-03	3.2495557099e-02	-1.5223473411e-02	-1.1514722458e-02	7.0965058579e-04	-4.9803344516e-22	7.0965058579e-04	-7.0965058579e-04
47                	2.0259300246e-03	-7.9981504053e-03	1.0024080430e-02	2.7033346253e-02	3.2258597783e-03	2.3807486475e-02	-1.0290813348e-02	-9.0111154176e-03	6.7531000819e-04	-4.8342836923e-22	6.7531000819e-04	-6.7531000819e-04
48                	2.2089885096e-03	-5.8029208116e-03	8.0119093212e-03	2.0722245199e-02	2.2185585813e-03	1.8503686618e-02	-8.1425640183e-03	-6.9074150664e-03	7.3632950318e-04	-5.1179805488e-22	7.3632950318e-04	-7.3632950318e-04
49                	2.5601312857e-03	-4.7222674730e-03	7.2823987587e-03	1.8006999348e-02	3.8609389311e-05	1.7968389958e-02	-8.9648902844e-03	-6.0023331158e-03	8.5337709522e-04	-5.6198412805e-22	8.5337709522e-04	-8.5337709522e-04
50                	2.8978074010e-03	-4.9195859498e-03	7.8173933508e-03	1.9105468951e-02	-2.1240875753e-03	2.1229556526e-02	-1.1676822051e-02	-6.3684896503e-03	9.6593580034e-04	-6.0586092373e-22	9.6593580034e-04	-9.6593580034e-04
51                	3.0579561610e-03	-6.0764870310e-03	9.1344431919e-03	2.2816395334e-02	-3.2758199325e-03	2.6092215267e-02	-1.4684017600e-02	-7.6054651114e-03	1.0193187203e-03	-6.1921143762e-22	1.0193187203e-03	-1.0193187203e-03
52                	2.9761578715e-03	-7.4866834727e-03	1.0462841344e-02	2.6924287225e-02	-2.9633998401e-03	2.9887687065e-02	-1.6425543453e-02	-8.9747624084e-03	9.9205262383e-04	-5.9408288451e-22	9.9205262383e-04	-9.9205262383e-04
53                	2.7602934280e-03	-8.2983811915e-03	1.1058674620e-02	2.9035583717e-02	-1.6490217903e-03	3.0684605507e-02	-1.6166813649e-02	-9.6785279055e-03	9.2009780935e-04	-5.4995632136e-22	9.2009780935e-04	-9.2009780935e-04
54                	2.5607156264e-03	-8.3124135119e-03	1.0873129138e-02	2.8778313975e-02	-6.4775039329e-05	2.8843089015e-02	-1.4453932027e-02	-9.5927713251e-03	8.5357187546e-04	-5.1099718003e-22	8.5357187546e-04	-8.5357187546e-04
55                	2.5237445199e-03	-7.5013029386e-03	1.0025047459e-02	2.6289525596e-02	9.6794139659e-04	2.5321584199e-02	-1.2176821401e-02	-8.7631751986e-03	8.4124817330e-04	-5.0059068134e-22	8.4124817330e-04	-8.4124817330e-04
56                	2.6878871958e-03	-6.3936185214e-03	9.0815057172e-03	2.3212686358e-02	1.0334466624e-03	2.2179239695e-02	-1.0572896516e-02	-7.7375621193e-03	8.9596239860e-04	-5.2302232853e-22	8.9596239860e-04	-8.9596239860e-04
57                	2.9730136414e-03	-5.5741908294e-03	8.5472044709e-03	2.1182092951e-02	2.4453720142e-04	2.0937555749e-02	-1.0346509274e-02	-7.0606976502e-03	9.9100454715e-04	-5.6357135703e-22	9.9100454715e-04	-9.9100454715e-04
58                	3.2163983942e-03	-5.4762182858e-03	8.6926166800e-03	2.1253252449e-02	-7.8451264841e-04	2.2037765097e-02	-1.1411138873e-02	-7.0844174829e-03	1.0721327981e-03	-5.9468429775e-22	1.0721327981e-03	-1.0721327981e-03
59                	3.3092965923e-03	-6.0930110989e-03	9.4023076913e-03	2.3242978185e-02	-1.4798948598e-03	2.4722873045e-02	-1.3101383952e-02	-7.7476593951e-03	1.1030988641e-03	-5.9907003749e-22	1.1030988641e-03	-1.1030988641e-03
60                	3.2481808180e-03	-7.0083777166e-03	1.0256558535e-02	2.5897404377e-02	-1.6147066966e-03	2.7512111073e-02	-1.4563408885e-02	-8.6324681256e-03	1.0827269393e-03	-5.7719892983e-22	1.0827269393e-03	-1.0827269393e-03
61                	3.1034077750e-03	-7.6713022137e-03	1.0774709989e-02	2.7669018304e-02	-1.1828932435e-03	2.8851911547e-02	-1.5017402395e-02	-9.2230061012e-03	1.0344692583e-03	-5.4283427445e-22	1.0344692583e-03	-1.0344692583e-03
62                	3.0062841566e-03	-7.7630634189e-03	1.0769347576e-02	2.7798616492e-02	-5.9018868042e-04	2.8388805172e-02	-1.4489496926e-02	-9.2662054972e-03	1.0020947189e-03	-5.1941404684e-22	1.0020947189e-03	-1.0020947189e-03
63                	3.0281172625e-03	-7.3461195094e-03	1.0374236772e-02	2.6580534422e-02	-2.2819226931e-04	2.6808726691e-02	-1.3518459480e-02	-8.8601781407e-03	1.0093724208e-03	-5.1900118453e-22	1.0093724208e-03	-1.0093724208e-03
64                	3.1570390782e-03	-6.6457673809e-03	9.8028064591e-03	2.4672860760e-02	-2.0859820198e-04	2.4881458962e-02	-1.2545028582e-02	-8.2242869200e-03	1.0523463594e-03	-5.3908954588e-22	1.0523463594e-03	-1.0523463594e-03
65                	3.3177626402e-03	-6.1093562168e-03	9.4271188570e-03	2.3304712611e-02	-4.9943495142e-04	2.3804147562e-02	-1.2151791257e-02	-7.7682375369e-03	1.1059208801e-03	-5.6560901875e-22	1.1059208801e-03	-1.1059208801e-03
66                	3.4481560582e-03	-5.8375309662e-03	9.2856870245e-03	2.2684826986e-02	-9.5147264625e-04	2.3636299632e-02	-1.2293886139e-02	-7.5616089953e-03	1.1493853527e-03	-5.8677903981e-22	1.1493853527e-03	-1.1493853527e-03
67                	3.4681884326e-03	-5.9803583221e-03	9.4485467547e-03	2.3143357615e-02	-1.1982760959e-03	2.4341633711e-02	-1.2769954903e-02	-7.7144525384e-03	1.1560628109e-03	-5.8733554628e-22	1.1560628109e-03	-1.1560628109e-03
68                	3.3976646836e-03	-6.3180028916e-03	9.7156675753e-03	2.4050505700e-02	-1.1167214493e-03	2.5167227150e-02	-1.3141974299e-02	-8.0168352334e-03	1.1325548945e-03	-5.7025702844e-22	1.1325548945e-03	-1.1325548945e-03
69                	3.3026023234e-03	-6.6969253038e-03	9.9995276272e-03	2.5044679397e-02	-8.1632331342e-04	2.5861002710e-02	-1.3338663012e-02	-8.3482264655e-03	1.1008674411e-03	-5.4704679052e-22	1.1008674411e-03	-1.1008674411e-03
70                	3.2683539389e-03	-6.8683054845e-03	1.0136659423e-02	2.5507447362e-02	-5.6194504243e-04	2.6069392404e-02	-1.3315668723e-02	-8.5024824540e-03	1.0894513130e-03	-5.3377583132e-22	1.0894513130e-03	-1.0894513130e-03
71                	3.3115680250e-03	-6.8798096189e-03	1.0191377644e-02	2.5606780894e-02	-4.6526035485e-04	2.6072041249e-02	-1.3268650802e-02	-8.5355936314e-03	1.1038560083e-03	-5.3413341703e-22	1.1038560083e-03	-1.1038560083e-03
72                	3.4168796401e-03	-6.7802537879e-03	1.0197133428e-02	2.5466080824e-02	-6.0797960517e-04	2.6074060429e-02	-1.3341020017e-02	-8.4886936079e-03	1.1389598800e-03	-5.4691241369e-22	1.1389598800e-03	-1.1389598800e-03
73                	3.5235418775e-03	-6.6098141378e-03	1.0133356015e-02	2.5114755229e-02	-9.1356727880e-04	2.6028322508e-02	-1.3470944894e-02	-8.3715850765e-03	1.1745139592e-03	-5.6265775038e-22	1.1745139592e-03	-1.1745139592e-03
74                	3.5557518182e-03	-6.4820600300e-03	1.0037811848e-02	2.4779807817e-02	-1.1163103933e-03	2.5896118211e-02	-1.3506214302e-02	-8.2599359391e-03	1.1852506061e-03	-5.6789446115e-22	1.1852506061e-03	-1.1852506061e-03
75                	3.5179535845e-03	-6.4514907032e-03	9.9694442876e-03	2.4631402486e-02	-1.1201710216e-03	2.5751573508e-02	-1.3435872265e-02	-8.2104674954e-03	1.1726511948e-03	-5.6127383821e-22	1.1726511948e-03	-1.1726511948e-03
76                	3.4486570989e-03	-6.4243023117e-03	9.8729594105e-03	2.4445892583e-02	-9.8573746062e-04	2.5431630044e-02	-1.3208683752e-02	-8.1486308611e-03	1.1495523663e-03	-5.4870000183e-22	1.1495523663e-03	-1.1495523663e-03
77                	3.4037987419e-03	-6.4304073337e-03	9.8342060756e-03	2.4396920114e-02	-8.1069454917e-04	2.5207614663e-02	-1.3009154606e-02	-8.1323067047e-03	1.1345995806e-03	-5.3916097849e-22	1.1345995806e-03	-1.1345995806e-03
