# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.5000000000e+00
# Aref            : 1.5000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	9.7975489404e-01	5.8237796230e-01	3.9737693174e-01	-2.7750154585e-01	-5.8658570278e-01	3.0908415693e-01	-4.4783492986e-01	9.2500515283e-02	3.2658496468e-01	4.7315031906e-21	3.2658496468e-01	-3.2658496468e-01
2                 	5.4684861810e-01	3.5305660125e-01	1.9379201685e-01	-2.3889687660e-01	-4.4036838964e-01	2.0147151304e-01	-3.2091995134e-01	7.9632292200e-02	1.8228287270e-01	2.2039038458e-21	1.8228287270e-01	-1.8228287270e-01
3                 	4.8264007562e-02	1.1191259835e-02	3.7072747727e-02	3.8822231839e-02	6.6738823782e-02	-2.7916591943e-02	4.7327707863e-02	-1.2940743946e-02	1.6088002521e-02	-1.4965990539e-21	1.6088002521e-02	-1.6088002521e-02
4                 	-1.4986071051e-01	-1.5565535428e-01	5.7946437752e-03	2.4217499709e-01	3.9478911625e-01	-1.5261411916e-01	2.7370161771e-01	-8.0724999030e-02	-4.9953570170e-02	-2.6809029993e-21	-4.9953570170e-02	4.9953570170e-02
5                 	-1.3329395483e-02	-7.2568046047e-02	5.9238650564e-02	1.9771004492e-01	2.9234977528e-01	-9.4639730365e-02	1.9349475282e-01	-6.5903348306e-02	-4.4431318276e-03	-1.0794029056e-21	-4.4431318276e-03	4.4431318276e-03
6                 	2.0882755513e-01	1.0367048421e-01	1.0515707092e-01	2.2298800737e-03	-5.1381148419e-02	5.3611028492e-02	-5.2496088456e-02	-7.4329335790e-04	6.9609185043e-02	1.0196287766e-21	6.9609185043e-02	-6.9609185043e-02
7                 	2.6733783333e-01	1.6986191443e-01	9.7475918904e-02	-1.0857899329e-01	-2.5930917185e-01	1.5073017856e-01	-2.0501967520e-01	3.6192997762e-02	8.9112611111e-02	1.4831504414e-21	8.9112611111e-02	-8.9112611111e-02
8                 	1.5589030730e-01	1.0403264835e-01	5.1857658943e-02	-7.8262484116e-02	-1.8658367670e-01	1.0832119259e-01	-1.4745243464e-01	2.6087494705e-02	5.1963435766e-02	4.5827007333e-22	5.1963435766e-02	-5.1963435766e-02
9                 	1.6862515270e-02	-9.5823187518e-04	1.7820747145e-02	2.8168468530e-02	3.7777959567e-02	-9.6094910367e-03	2.3693725302e-02	-9.3894895101e-03	5.6208384233e-03	-6.7743949711e-22	5.6208384233e-03	-5.6208384233e-03
10                	-2.3229717344e-02	-3.9381089400e-02	1.6151372056e-02	8.3298692185e-02	1.6638305243e-01	-8.3084360240e-02	1.2473370633e-01	-2.7766230728e-02	-7.7432391147e-03	-8.6763912432e-22	-7.7432391147e-03	7.7432391147e-03
11                	3.2405690147e-02	-8.2225510854e-03	4.0628241232e-02	7.3276188476e-02	1.1521278282e-01	-4.1936594339e-02	7.8574688578e-02	-2.4425396159e-02	1.0801896716e-02	-2.6974151583e-22	1.0801896716e-02	-1.0801896716e-02
12                	1.0153286215e-01	4.0379346566e-02	6.1153515588e-02	3.1161253532e-02	-2.8954198861e-02	6.0115452393e-02	-4.4534825627e-02	-1.0387084511e-02	3.3844287385e-02	3.4124043600e-22	3.3844287385e-02	-3.3844287385e-02
13                	1.1373062784e-01	5.5961004554e-02	5.7769623283e-02	2.7129280937e-03	-1.0503616745e-01	1.0774909554e-01	-1.0639263149e-01	-9.0430936456e-04	3.7910209279e-02	4.1021244618e-22	3.7910209279e-02	-3.7910209279e-02
14                	7.6185967418e-02	4.0799144292e-02	3.5386823126e-02	-8.1184817500e-03	-6.9770571680e-02	6.1652089930e-02	-6.5711330805e-02	2.7061605833e-03	2.5395322473e-02	7.9827260132e-23	2.5395322473e-02	-2.5395322473e-02
15                	3.3835153550e-02	1.8031295599e-02	1.5803857950e-02	-3.3411564729e-03	1.9767845301e-02	-2.3109001774e-02	2.1438423537e-02	1.1137188243e-03	1.1278384517e-02	-2.3761527351e-22	1.1278384517e-02	-1.1278384517e-02
16                	2.3972111416e-02	6.5000996096e-03	1.7472011807e-02	1.6457868296e-02	6.3694225601e-02	-4.7236357305e-02	5.5465291453e-02	-5.4859560986e-03	7.9907038055e-03	-2.6368943433e-22	7.9907038055e-03	-7.9907038055e-03
17                	4.1137801792e-02	7.2235141379e-03	3.3914287654e-02	4.0036160274e-02	4.0043451483e-02	-7.2912086450e-06	2.0025371346e-02	-1.3345386758e-02	1.3712600597e-02	-8.8290858638e-23	1.3712600597e-02	-1.3712600597e-02
18                	6.0056346042e-02	1.2836632887e-02	4.7219713155e-02	5.1574620403e-02	-1.4089007410e-02	6.5663627813e-02	-3.9876317611e-02	-1.7191540134e-02	2.0018782014e-02	6.8368896289e-23	2.0018782014e-02	-2.0018782014e-02
19                	6.0989677603e-02	1.8817645364e-02	4.2172032240e-02	3.5031580314e-02	-3.8562737357e-02	7.3594317671e-02	-5.6078527514e-02	-1.1677193438e-02	2.0329892534e-02	7.0128412937e-23	2.0329892534e-02	-2.0329892534e-02
20                	4.8527970992e-02	2.2030669271e-02	2.6497301721e-02	6.6999486763e-03	-2.3067106490e-02	2.9767055166e-02	-2.6417080828e-02	-2.2333162254e-03	1.6175990331e-02	-2.1168703382e-23	1.6175990331e-02	-1.6175990331e-02
21                	3.6612787389e-02	2.1326010413e-02	1.5286776976e-02	-9.0588501554e-03	8.6594465157e-03	-1.7718296671e-02	1.3188871593e-02	3.0196167185e-03	1.2204262463e-02	-8.9754944221e-23	1.2204262463e-02	-1.2204262463e-02
22                	3.4516767326e-02	1.5564314830e-02	1.8952452496e-02	5.0822064994e-03	2.1980163687e-02	-1.6897957188e-02	1.9439060438e-02	-1.6940688331e-03	1.1505589109e-02	-7.9883303441e-23	1.1505589109e-02	-1.1505589109e-02
23                	3.8949849803e-02	8.7759770648e-03	3.0173872738e-02	3.2096843510e-02	1.2263920268e-02	1.9832923242e-02	-3.7845014866e-03	-1.0698947837e-02	1.2983283268e-02	-3.2732769872e-23	1.2983283268e-02	-1.2983283268e-02
24                	4.2573449976e-02	5.4705910818e-03	3.7102858894e-02	4.7448401718e-02	-5.8948406848e-03	5.3343242403e-02	-2.9619041544e-02	-1.5816133906e-02	1.4191149992e-02	-5.4383234194e-24	1.4191149992e-02	-1.4191149992e-02
25                	4.1100603547e-02	8.2972595862e-03	3.2803343961e-02	3.6759126563e-02	-1.2809574971e-02	4.9568701534e-02	-3.1189138252e-02	-1.2253042188e-02	1.3700201182e-02	-1.8677135708e-23	1.3700201182e-02	-1.3700201182e-02
26                	3.6865535914e-02	1.3829053185e-02	2.3036482729e-02	1.3811144316e-02	-6.8244134931e-03	2.0635557809e-02	-1.3729985651e-02	-4.6037147721e-03	1.2288511971e-02	-4.4994086314e-23	1.2288511971e-02	-1.2288511971e-02
27                	3.3688271765e-02	1.6853188862e-02	1.6835082902e-02	-2.7158939540e-05	3.4339242402e-03	-3.4610831798e-03	3.4475037100e-03	9.0529798467e-06	1.1229423922e-02	-5.5323949666e-23	1.1229423922e-02	-1.1229423922e-02
28                	3.3304634715e-02	1.4129824942e-02	1.9174809773e-02	7.5674772468e-03	6.9206786102e-03	6.4679863664e-04	3.1369399868e-03	-2.5224924156e-03	1.1101544905e-02	-4.4361042078e-23	1.1101544905e-02	-1.1101544905e-02
29                	3.4053390499e-02	8.4734201328e-03	2.5579970367e-02	2.5659825351e-02	3.2453310188e-03	2.2414494332e-02	-9.5845816566e-03	-8.5532751169e-03	1.1351130166e-02	-3.0261679366e-23	1.1351130166e-02	-1.1351130166e-02
30                	3.3973973849e-02	4.4410710765e-03	2.9532902773e-02	3.7637747544e-02	-2.3798595914e-03	4.0017607136e-02	-2.1198733364e-02	-1.2545915848e-02	1.1324657950e-02	-2.7267592782e-23	1.1324657950e-02	-1.1324657950e-02
31                	3.2539982620e-02	5.2650247427e-03	2.7274957878e-02	3.3014899702e-02	-3.9564679453e-03	3.6971367647e-02	-2.0463917796e-02	-1.1004966567e-02	1.0846660873e-02	-3.4672902737e-23	1.0846660873e-02	-1.0846660873e-02
32                	3.0865023574e-02	9.0291288673e-03	2.1835894707e-02	1.9210148760e-02	-1.5590044554e-03	2.0769153215e-02	-1.1164078835e-02	-6.4033829199e-03	1.0288341191e-02	-4.1470965389e-23	1.0288341191e-02	-1.0288341191e-02
33                	2.9925713268e-02	1.1765300593e-02	1.8160412675e-02	9.5926681236e-03	1.5295067636e-03	8.0631613600e-03	-3.2668272982e-03	-3.1975560412e-03	9.9752377559e-03	-4.1395544898e-23	9.9752377559e-03	-9.9752377559e-03
34                	2.9729644250e-02	1.0949889126e-02	1.8779755124e-02	1.1744798996e-02	2.1564203046e-03	9.5883786914e-03	-3.7159791934e-03	-3.9149329987e-03	9.9098814166e-03	-3.7020015259e-23	9.9098814166e-03	-9.9098814166e-03
35                	2.9537509497e-02	7.5938462690e-03	2.1943663228e-02	2.1524725438e-02	5.9719982161e-04	2.0927525617e-02	-1.0165162898e-02	-7.1749084794e-03	9.8458364990e-03	-3.4577370530e-23	9.8458364990e-03	-9.8458364990e-03
36                	2.8866240317e-02	4.5478025166e-03	2.4318437800e-02	2.9655952926e-02	-1.1251946087e-03	3.0781147534e-02	-1.5953171071e-02	-9.8853176418e-03	9.6220801056e-03	-3.6021786139e-23	9.6220801056e-03	-9.6220801056e-03
37                	2.7861772531e-02	4.1429375426e-03	2.3718834988e-02	2.9363846169e-02	-1.2989786055e-03	3.0662824774e-02	-1.5980901690e-02	-9.7879487229e-03	9.2872575104e-03	-3.8240695948e-23	9.2872575104e-03	-9.2872575104e-03
38                	2.6996085249e-02	5.9290110322e-03	2.1067074216e-02	2.2707094776e-02	-1.9730347139e-04	2.2904398248e-02	-1.1550850860e-02	-7.5690315921e-03	8.9986950829e-03	-3.7801429287e-23	8.9986950829e-03	-8.9986950829e-03
39                	2.6522131021e-02	7.8517092441e-03	1.8670421777e-02	1.6228068799e-02	8.3005132770e-04	1.5398017472e-02	-7.2839830720e-03	-5.4093562665e-03	8.8407103404e-03	-3.5000974704e-23	8.8407103404e-03	-8.8407103404e-03
40                	2.6273473011e-02	7.9686325090e-03	1.8304840502e-02	1.5504311990e-02	8.0449048014e-04	1.4699821510e-02	-6.9476655147e-03	-5.1681039966e-03	8.7578243370e-03	-3.3282237083e-23	8.7578243370e-03	-8.7578243370e-03
41                	2.5926556033e-02	6.4776489877e-03	1.9448907045e-02	1.9456887086e-02	2.4725082250e-05	1.9432162004e-02	-9.7037184609e-03	-6.4856290288e-03	8.6421853443e-03	-3.5150782260e-23	8.6421853443e-03	-8.6421853443e-03
42                	2.5348890511e-02	4.4711142215e-03	2.0877776290e-02	2.4609993102e-02	-6.7555458398e-04	2.5285547686e-02	-1.2980551135e-02	-8.2033310341e-03	8.4496301704e-03	-3.9482310846e-23	8.4496301704e-03	-8.4496301704e-03
43                	2.4660546673e-02	3.6011648609e-03	2.1059381812e-02	2.6187325427e-02	-6.3567682302e-04	2.6823002250e-02	-1.3729339537e-02	-8.7291084757e-03	8.2201822244e-03	-4.2656932122e-23	8.2201822244e-03	-8.2201822244e-03
44                	2.4082057602e-02	3.9493952734e-03	2.0132662329e-02	2.4274900583e-02	-9.4581173443e-05	2.4369481757e-02	-1.2232031465e-02	-8.0916335278e-03	8.0273525341e-03	-4.1901994135e-23	8.0273525341e-03	-8.0273525341e-03
45                	2.3692778736e-02	4.9697547703e-03	1.8723023966e-02	2.0629903793e-02	4.1815194575e-04	2.0211751847e-02	-9.8967999508e-03	-6.8766345977e-03	7.8975929120e-03	-3.7702461602e-23	7.8975929120e-03	-7.8975929120e-03
46                	2.3415554202e-02	5.4506421159e-03	1.7964912086e-02	1.8771404956e-02	4.0301236241e-04	1.8368392593e-02	-8.9826901154e-03	-6.2571349852e-03	7.8051847341e-03	-3.3117882632e-23	7.8051847341e-03	-7.8051847341e-03
47                	2.3092056479e-02	5.0903972415e-03	1.8001659237e-02	1.9366892994e-02	2.2525561302e-05	1.9344367433e-02	-9.6609209356e-03	-6.4556309979e-03	7.6973521596e-03	-3.1301710191e-23	7.6973521596e-03	-7.6973521596e-03
48                	2.2666463361e-02	4.1177916110e-03	1.8548671750e-02	2.1646320208e-02	-3.8798703752e-04	2.2034307246e-02	-1.1211147142e-02	-7.2154400695e-03	7.5554877870e-03	-3.3075551604e-23	7.5554877870e-03	-7.5554877870e-03
49                	2.2182491717e-02	3.2371446600e-03	1.8945347057e-02	2.3562303595e-02	-4.7770947586e-04	2.4040013071e-02	-1.2258861274e-02	-7.8541011984e-03	7.3941639056e-03	-3.6945051788e-23	7.3941639056e-03	-7.3941639056e-03
50                	2.1740596961e-02	2.8981023499e-03	1.8842494611e-02	2.3916588391e-02	-2.5527351975e-04	2.4171861911e-02	-1.2213567715e-02	-7.9721961305e-03	7.2468656536e-03	-4.0237533004e-23	7.2468656536e-03	-7.2468656536e-03
51                	2.1384005953e-02	3.0458544842e-03	1.8338151469e-02	2.2938445477e-02	5.0452067296e-05	2.2887993410e-02	-1.1418770671e-02	-7.6461484924e-03	7.1280019844e-03	-4.1287877650e-23	7.1280019844e-03	-7.1280019844e-03
52                	2.1090871507e-02	3.3662045641e-03	1.7724666943e-02	2.1537693568e-02	1.9897426823e-04	2.1338719300e-02	-1.0569872516e-02	-7.1792311893e-03	7.0302905023e-03	-4.0074599298e-23	7.0302905023e-03	-7.0302905023e-03
53                	2.0803413680e-02	3.4694382720e-03	1.7333975408e-02	2.0796805703e-02	9.6047687271e-05	2.0700758016e-02	-1.0302355164e-02	-6.9322685678e-03	6.9344712265e-03	-3.7808900304e-23	6.9344712265e-03	-6.9344712265e-03
