# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.5000000000e+00
# Aref            : 1.5000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	4.7781877032e-01	2.8776431522e-01	1.9005445509e-01	-1.4656479020e-01	-2.8448909969e-01	1.3792430950e-01	-2.1120670460e-01	4.8854930065e-02	1.5927292344e-01	3.7084745184e-21	1.5927292344e-01	-1.5927292344e-01
2                 	2.7088068831e-01	1.6855955280e-01	1.0232113551e-01	-9.9357625927e-02	-2.1633858313e-01	1.1698095720e-01	-1.6665977016e-01	3.3119208642e-02	9.0293562771e-02	2.6668283737e-21	9.0293562771e-02	-9.0293562771e-02
3                 	3.6189680606e-02	-6.8555160642e-03	4.3045196671e-02	7.4851069102e-02	2.5291684428e-02	4.9559384674e-02	-1.2133850123e-02	-2.4950356367e-02	1.2063226869e-02	-1.3112240990e-21	1.2063226869e-02	-1.2063226869e-02
4                 	-6.7876266053e-02	-8.4651325388e-02	1.6775059334e-02	1.5213957708e-01	1.8651791140e-01	-3.4378334314e-02	1.1044812286e-01	-5.0713192361e-02	-2.2625422018e-02	-3.0956888834e-21	-2.2625422018e-02	2.2625422018e-02
5                 	-2.2759137740e-02	-3.7048678857e-02	1.4289541117e-02	7.7007329961e-02	1.4623082520e-01	-6.9223495241e-02	1.0772716022e-01	-2.5669109987e-02	-7.5863792466e-03	-1.6951011583e-21	-7.5863792466e-03	7.5863792466e-03
6                 	7.7899174984e-02	5.4612760841e-02	2.3286414143e-02	-4.6989520047e-02	-1.4077439601e-02	-3.2912080446e-02	9.4173204223e-03	1.5663173349e-02	2.5966391661e-02	8.3776487412e-22	2.5966391661e-02	-2.5966391661e-02
7                 	1.2154391667e-01	7.9768843536e-02	4.1775073133e-02	-5.6990655604e-02	-1.1856474292e-01	6.1574087314e-02	-9.0069415115e-02	1.8996885201e-02	4.0514638890e-02	1.7540363506e-21	4.0514638890e-02	-4.0514638890e-02
8                 	9.0048254862e-02	4.0736054692e-02	4.9312200170e-02	1.2864218217e-02	-9.6974929539e-02	1.0983914776e-01	-1.0340703865e-01	-4.2880727391e-03	3.0016084954e-02	8.5527039958e-22	3.0016084954e-02	-3.0016084954e-02
9                 	2.5528737062e-02	-1.4893782913e-02	4.0422519974e-02	8.2974454331e-02	2.3195084496e-03	8.0654945881e-02	-3.9167718716e-02	-2.7658151444e-02	8.5095790205e-03	-6.9927866074e-22	8.5095790205e-03	-8.5095790205e-03
10                	-1.2723397727e-02	-2.8826899578e-02	1.6103501851e-02	6.7395602143e-02	7.0267296939e-02	-2.8716947961e-03	3.6569495868e-02	-2.2465200714e-02	-4.2411325757e-03	-1.4001353277e-21	-4.2411325757e-03	4.2411325757e-03
11                	-5.9949213134e-03	-7.1173625615e-03	1.1224412481e-03	1.2359705715e-02	6.0888512905e-02	-4.8528807190e-02	5.4708660048e-02	-4.1199019048e-03	-1.9983071045e-03	-9.3350277091e-22	-1.9983071045e-03	1.9983071045e-03
12                	2.6102373192e-02	2.2220823299e-02	3.8815498928e-03	-2.7508910109e-02	2.4918129612e-03	-3.0000723071e-02	1.6246268016e-02	9.1696367031e-03	8.7007910639e-03	5.2828500938e-23	8.7007910639e-03	-8.7007910639e-03
13                	4.8948732579e-02	2.5267610037e-02	2.3681122542e-02	-2.3797312434e-03	-4.1392710838e-02	3.9012979595e-02	-4.0202845216e-02	7.9324374778e-04	1.6316244193e-02	6.1266936556e-22	1.6316244193e-02	-1.6316244193e-02
14                	4.6171571842e-02	9.9232712232e-03	3.6248300619e-02	3.9487544094e-02	-3.9702682844e-02	7.9190226937e-02	-5.9446454890e-02	-1.3162514698e-02	1.5390523947e-02	4.6870154514e-22	1.5390523947e-02	-1.5390523947e-02
15                	2.5424370189e-02	-6.3050582060e-03	3.1729428395e-02	5.7051729901e-02	-6.0727126690e-03	6.3124442570e-02	-3.4598577619e-02	-1.9017243300e-02	8.4747900629e-03	-8.2073854213e-23	8.4747900629e-03	-8.4747900629e-03
16                	7.0262948629e-03	-7.6996959294e-03	1.4725990792e-02	3.3638530083e-02	2.2901411468e-02	1.0737118615e-02	6.0821464265e-03	-1.1212843361e-02	2.3420982876e-03	-5.0709883811e-22	2.3420982876e-03	-2.3420982876e-03
17                	4.1564833012e-03	7.6055776626e-04	3.3959255350e-03	3.9530516531e-03	2.5085744098e-02	-2.1132692445e-02	2.3109218272e-02	-1.3176838844e-03	1.3854944337e-03	-5.3461876481e-22	1.3854944337e-03	-1.3854944337e-03
18                	1.4196221711e-02	8.4521536574e-03	5.7440680533e-03	-4.0621284062e-03	6.2777314321e-03	-1.0339859838e-02	8.3087956352e-03	1.3540428021e-03	4.7320739036e-03	-2.8097967788e-22	4.7320739036e-03	-4.7320739036e-03
19                	2.5138339629e-02	6.8417093180e-03	1.8296630311e-02	1.7182381489e-02	-1.3104787279e-02	3.0287168768e-02	-2.1695978023e-02	-5.7274604963e-03	8.3794465429e-03	-3.6852115771e-23	8.3794465429e-03	-8.3794465429e-03
20                	2.6903151046e-02	7.8602681124e-04	2.6117124235e-02	3.7996646135e-02	-1.6672334977e-02	5.4668981113e-02	-3.5670658045e-02	-1.2665548712e-02	8.9677170154e-03	2.1048980700e-23	8.9677170154e-03	-8.9677170154e-03
