# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 2.0000000000e+00
# Aref            : 2.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	7.6764100354e-02	3.8394987344e-02	3.8369113010e-02	-5.1748668928e-05	-1.9363030091e-05	-3.2385638837e-05	6.5113043733e-06	1.2937167232e-05	1.9191025088e-02	0.0000000000e+00	1.9191025088e-02	-1.9191025088e-02
2                 	3.9852886651e-02	1.9953609159e-02	1.9899277493e-02	-1.0866333237e-04	-3.9692021677e-05	-6.8971310695e-05	1.4639644509e-05	2.7165833093e-05	9.9632216628e-03	0.0000000000e+00	9.9632216628e-03	-9.9632216628e-03
3                 	2.3917281833e-02	1.1990751184e-02	1.1926530649e-02	-1.2844106907e-04	-4.5299087004e-05	-8.3141982063e-05	1.8921447530e-05	3.2110267267e-05	5.9793204582e-03	0.0000000000e+00	5.9793204582e-03	-5.9793204582e-03
4                 	1.6002109583e-02	8.0307089907e-03	7.9714005925e-03	-1.1861679643e-04	-3.9424908283e-05	-7.9191888142e-05	1.9883489930e-05	2.9654199106e-05	4.0005273958e-03	0.0000000000e+00	4.0005273958e-03	-4.0005273958e-03
5                 	1.1545864616e-02	5.8008240968e-03	5.7450405190e-03	-1.1156715570e-04	-3.4550262228e-05	-7.7016893470e-05	2.1233315621e-05	2.7891788925e-05	2.8864661539e-03	0.0000000000e+00	2.8864661539e-03	-2.8864661539e-03
6                 	8.7703205912e-03	4.4161856033e-03	4.3541349880e-03	-1.2410123061e-04	-3.7595262610e-05	-8.6505967999e-05	2.4455352695e-05	3.1025307652e-05	2.1925801478e-03	0.0000000000e+00	2.1925801478e-03	-2.1925801478e-03
7                 	6.9048251065e-03	3.4878595840e-03	3.4169655225e-03	-1.4178812304e-04	-4.4408410837e-05	-9.7379712200e-05	2.6485650681e-05	3.5447030759e-05	1.7262062766e-03	0.0000000000e+00	1.7262062766e-03	-1.7262062766e-03
8                 	5.5791351764e-03	2.8258230182e-03	2.7533121582e-03	-1.4502171985e-04	-4.7553460531e-05	-9.7468259321e-05	2.4957399395e-05	3.6255429963e-05	1.3947837941e-03	0.0000000000e+00	1.3947837941e-03	-1.3947837941e-03
9                 	4.5978335839e-03	2.3312906017e-03	2.2665429821e-03	-1.2949523915e-04	-4.3524798378e-05	-8.5970440770e-05	2.1222821196e-05	3.2373809787e-05	1.1494583960e-03	0.0000000000e+00	1.1494583960e-03	-1.1494583960e-03
10                	3.8490804755e-03	1.9516837521e-03	1.8973967234e-03	-1.0857405742e-04	-3.5425876239e-05	-7.3148181180e-05	1.8861152470e-05	2.7143514355e-05	9.6227011887e-04	0.0000000000e+00	9.6227011887e-04	-9.6227011887e-04
11                	3.2644222588e-03	1.6563980815e-03	1.6080241773e-03	-9.6747808444e-05	-2.8920760936e-05	-6.7827047508e-05	1.9453143286e-05	2.4186952111e-05	8.1610556471e-04	0.0000000000e+00	8.1610556471e-04	-8.1610556471e-04
12                	2.7974487057e-03	1.4222625659e-03	1.3751861398e-03	-9.4152852315e-05	-2.6683118925e-05	-6.7469733390e-05	2.0393307233e-05	2.3538213079e-05	6.9936217642e-04	0.0000000000e+00	6.9936217642e-04	-6.9936217642e-04
13                	2.4209508197e-03	1.2335971790e-03	1.1873536408e-03	-9.2487076385e-05	-2.7871826862e-05	-6.4615249523e-05	1.8371711330e-05	2.3121769096e-05	6.0523770493e-04	0.0000000000e+00	6.0523770493e-04	-6.0523770493e-04
14                	2.1139519755e-03	1.0776417401e-03	1.0363102354e-03	-8.2663009512e-05	-2.9256005168e-05	-5.3407004344e-05	1.2075499588e-05	2.0665752378e-05	5.2848799388e-04	0.0000000000e+00	5.2848799388e-04	-5.2848799388e-04
15                	1.8612673032e-03	9.4720088258e-04	9.1406642066e-04	-6.6268923823e-05	-2.8371137913e-05	-3.7897785911e-05	4.7633239990e-06	1.6567230956e-05	4.6531682581e-04	0.0000000000e+00	4.6531682581e-04	-4.6531682581e-04
16                	1.6516601300e-03	8.3818871532e-04	8.1347141465e-04	-4.9434601348e-05	-2.4566399564e-05	-2.4868201784e-05	1.5090110961e-07	1.2358650337e-05	4.1291503249e-04	0.0000000000e+00	4.1291503249e-04	-4.1291503249e-04
17                	1.4766679202e-03	7.4809068910e-04	7.2857723108e-04	-3.9026916044e-05	-1.9097536505e-05	-1.9929379539e-05	4.1592151710e-07	9.7567290111e-06	3.6916698005e-04	0.0000000000e+00	3.6916698005e-04	-3.6916698005e-04
18                	1.3306067779e-03	6.7526189622e-04	6.5534488165e-04	-3.9834029137e-05	-1.5512412672e-05	-2.4321616465e-05	4.4046018967e-06	9.9585072843e-06	3.3265169447e-04	0.0000000000e+00	3.3265169447e-04	-3.3265169447e-04
19                	1.2075980873e-03	6.1616786705e-04	5.9143022023e-04	-4.9475293643e-05	-1.5167951668e-05	-3.4307341975e-05	9.5696951533e-06	1.2368823411e-05	3.0189952182e-04	0.0000000000e+00	3.0189952182e-04	-3.0189952182e-04
20                	1.1038604090e-03	5.6835527872e-04	5.3550513025e-04	-6.5700296936e-05	-1.9169343947e-05	-4.6530952990e-05	1.3680804522e-05	1.6425074234e-05	2.7596510224e-04	0.0000000000e+00	2.7596510224e-04	-2.7596510224e-04
21                	1.0166106497e-03	5.3018156236e-04	4.8642908734e-04	-8.7504950037e-05	-2.6244596678e-05	-6.1260353359e-05	1.7507878341e-05	2.1876237509e-05	2.5415266243e-04	0.0000000000e+00	2.5415266243e-04	-2.5415266243e-04
22                	9.4393942524e-04	5.0179354823e-04	4.4214587700e-04	-1.1929534246e-04	-3.4619574073e-05	-8.4675768384e-05	2.5028097156e-05	2.9823835614e-05	2.3598485631e-04	0.0000000000e+00	2.3598485631e-04	-2.3598485631e-04
23                	8.8475837275e-04	4.8490708028e-04	3.9985129247e-04	-1.7011157564e-04	-4.4616279387e-05	-1.2549529625e-04	4.0439508432e-05	4.2527893909e-05	2.2118959319e-04	0.0000000000e+00	2.2118959319e-04	-2.2118959319e-04
24                	8.3874705994e-04	4.7885784700e-04	3.5988921294e-04	-2.3793726811e-04	-5.7505484913e-05	-1.8043178320e-04	6.1463149145e-05	5.9484317029e-05	2.0968676498e-04	0.0000000000e+00	2.0968676498e-04	-2.0968676498e-04
25                	8.0615589264e-04	4.8082466020e-04	3.2533123244e-04	-3.1098685553e-04	-7.3560584791e-05	-2.3742627074e-04	8.1932842973e-05	7.7746713882e-05	2.0153897316e-04	0.0000000000e+00	2.0153897316e-04	-2.0153897316e-04
26                	7.8752927502e-04	4.8853071645e-04	2.9899855857e-04	-3.7906431575e-04	-9.1943834869e-05	-2.8712048088e-04	9.7588323008e-05	9.4766078938e-05	1.9688231876e-04	0.0000000000e+00	1.9688231876e-04	-1.9688231876e-04
27                	7.8325280035e-04	5.0091596077e-04	2.8233683958e-04	-4.3715824237e-04	-1.1052300115e-04	-3.2663524122e-04	1.0805612004e-04	1.0928956059e-04	1.9581320009e-04	0.0000000000e+00	1.9581320009e-04	-1.9581320009e-04
28                	7.9347646377e-04	5.1853254216e-04	2.7494392162e-04	-4.8717724108e-04	-1.2853248625e-04	-3.5864475483e-04	1.1505613429e-04	1.2179431027e-04	1.9836911594e-04	0.0000000000e+00	1.9836911594e-04	-1.9836911594e-04
29                	8.1801405095e-04	5.4297320930e-04	2.7504084165e-04	-5.3586473532e-04	-1.4540012225e-04	-3.9046461307e-04	1.2253224541e-04	1.3396618383e-04	2.0450351274e-04	0.0000000000e+00	2.0450351274e-04	-2.0450351274e-04
30                	8.5591979148e-04	5.7419866151e-04	2.8172112997e-04	-5.8495506308e-04	-1.6065958343e-04	-4.2429547965e-04	1.3181794811e-04	1.4623876577e-04	2.1397994787e-04	0.0000000000e+00	2.1397994787e-04	-2.1397994787e-04
