# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 2.0000000000e+00
# Aref            : 2.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	2.8644692156e-01	1.4322926233e-01	1.4321765924e-01	-2.3206181183e-05	-9.0577190584e-06	-1.4148462125e-05	2.5453715331e-06	5.8015452958e-06	7.1611730390e-02	0.0000000000e+00	7.1611730390e-02	-7.1611730390e-02
2                 	1.6612403024e-01	8.3070206695e-02	8.3053823544e-02	-3.2766301944e-05	-1.2642770762e-05	-2.0123531181e-05	3.7403802096e-06	8.1915754859e-06	4.1531007560e-02	0.0000000000e+00	4.1531007560e-02	-4.1531007560e-02
3                 	1.1354763617e-01	5.6778430584e-02	5.6769205586e-02	-1.8449994881e-05	-6.7404081890e-06	-1.1709586692e-05	2.4845892514e-06	4.6124987202e-06	2.8386909043e-02	0.0000000000e+00	2.8386909043e-02	-2.8386909043e-02
4                 	8.6722378624e-02	4.3360821939e-02	4.3361556684e-02	1.4694893098e-06	1.3795476577e-06	8.9941652123e-08	6.4480300280e-07	-3.6737232746e-07	2.1680594656e-02	0.0000000000e+00	2.1680594656e-02	-2.1680594656e-02
5                 	7.1026530448e-02	3.5511549785e-02	3.5514980663e-02	6.8617553410e-06	3.6622478836e-06	3.1995074574e-06	2.3137021313e-07	-1.7154388352e-06	1.7756632612e-02	0.0000000000e+00	1.7756632612e-02	-1.7756632612e-02
6                 	6.0759746695e-02	3.0380352970e-02	3.0379393725e-02	-1.9184913384e-06	2.3994549322e-07	-2.1584368316e-06	1.1991911624e-06	4.7962283459e-07	1.5189936674e-02	0.0000000000e+00	1.5189936674e-02	-1.5189936674e-02
7                 	5.3462117403e-02	2.6733745570e-02	2.6728371834e-02	-1.0747471566e-05	-3.2905543514e-06	-7.4569172141e-06	2.0831814313e-06	2.6868678914e-06	1.3365529351e-02	0.0000000000e+00	1.3365529351e-02	-1.3365529351e-02
8                 	4.7954011775e-02	2.3979361697e-02	2.3974650078e-02	-9.4232385405e-06	-2.7883641644e-06	-6.6348743761e-06	1.9232551058e-06	2.3558096351e-06	1.1988502944e-02	0.0000000000e+00	1.1988502944e-02	-1.1988502944e-02
9                 	4.3611933705e-02	2.1806162665e-02	2.1805771040e-02	-7.8325005365e-07	6.5449023595e-07	-1.4377402896e-06	1.0461152628e-06	1.9581251341e-07	1.0902983426e-02	0.0000000000e+00	1.0902983426e-02	-1.0902983426e-02
10                	4.0077252334e-02	2.0037213924e-02	2.0040038409e-02	5.6489706919e-06	3.3401610411e-06	2.3088096508e-06	5.1567569514e-07	-1.4122426730e-06	1.0019313083e-02	0.0000000000e+00	1.0019313083e-02	-1.0019313083e-02
11                	3.7128625683e-02	1.8562979547e-02	1.8565646136e-02	5.3331774032e-06	3.4229718941e-06	1.9102055091e-06	7.5638319254e-07	-1.3332943508e-06	9.2821564208e-03	0.0000000000e+00	9.2821564208e-03	-9.2821564208e-03
12                	3.4621376467e-02	1.7310318736e-02	1.7311057731e-02	1.4779899754e-06	2.0000335547e-06	-5.2204357936e-07	1.2610385670e-06	-3.6949749384e-07	8.6553441167e-03	0.0000000000e+00	8.6553441167e-03	-8.6553441167e-03
13                	3.2456444592e-02	1.6228203502e-02	1.6228241090e-02	7.5175604343e-08	1.4165750550e-06	-1.3413994506e-06	1.3789872528e-06	-1.8793901086e-08	8.1141111481e-03	0.0000000000e+00	8.1141111481e-03	-8.1141111481e-03
14                	3.0563395766e-02	1.5281006996e-02	1.5282388770e-02	2.7635480083e-06	2.4394545643e-06	3.2409344397e-07	1.0576805602e-06	-6.9088700208e-07	7.6408489416e-03	0.0000000000e+00	7.6408489416e-03	-7.6408489416e-03
15                	2.8890572545e-02	1.4443534014e-02	1.4447038530e-02	7.0090324341e-06	4.1595023445e-06	2.8495300896e-06	6.5498612744e-07	-1.7522581085e-06	7.2226431362e-03	0.0000000000e+00	7.2226431362e-03	-7.2226431362e-03
16                	2.7399098130e-02	1.3697243669e-02	1.3701854461e-02	9.2215833092e-06	5.1929994527e-06	4.0285838565e-06	5.8220779809e-07	-2.3053958273e-06	6.8497745325e-03	0.0000000000e+00	6.8497745325e-03	-6.8497745325e-03
17                	2.6059070004e-02	1.3027263242e-02	1.3031806762e-02	9.0870415986e-06	5.2802087571e-06	3.8068328415e-06	7.3668795776e-07	-2.2717603997e-06	6.5147675010e-03	0.0000000000e+00	6.5147675010e-03	-6.5147675010e-03
18                	2.4847056072e-02	1.2421468889e-02	1.2425587183e-02	8.2365882993e-06	5.0462287836e-06	3.1903595157e-06	9.2793463397e-07	-2.0591470748e-06	6.2117640180e-03	0.0000000000e+00	6.2117640180e-03	-6.2117640180e-03
19                	2.3744396537e-02	1.1869997815e-02	1.1874398723e-02	8.8018159459e-06	5.2766410944e-06	3.5251748515e-06	8.7573312143e-07	-2.2004539865e-06	5.9360991343e-03	0.0000000000e+00	5.9360991343e-03	-5.9360991343e-03
20                	2.2736021501e-02	1.1365305035e-02	1.1370716466e-02	1.0822861678e-05	6.0806317772e-06	4.7422299009e-06	6.6920093811e-07	-2.7057154195e-06	5.6840053753e-03	0.0000000000e+00	5.6840053753e-03	-5.6840053753e-03
21                	2.1809608556e-02	1.0901551975e-02	1.0908056581e-02	1.3009211068e-05	7.0276282656e-06	5.9815828028e-06	5.2302273140e-07	-3.2523027671e-06	5.4524021390e-03	0.0000000000e+00	5.4524021390e-03	-5.4524021390e-03
22                	2.0954970368e-02	1.0473892966e-02	1.0481077401e-02	1.4368869897e-05	7.6641013959e-06	6.7047685007e-06	4.7966644763e-07	-3.5922174742e-06	5.2387425920e-03	0.0000000000e+00	5.2387425920e-03	-5.2387425920e-03
23                	2.0163601422e-02	1.0078097864e-02	1.0085503559e-02	1.4811389905e-05	7.9521396047e-06	6.8592503007e-06	5.4644465203e-07	-3.7028474763e-06	5.0409003556e-03	0.0000000000e+00	5.0409003556e-03	-5.0409003556e-03
24                	1.9428337184e-02	9.7103924826e-03	9.7179447011e-03	1.5104437002e-05	8.1738026422e-06	6.9306343598e-06	6.2158414119e-07	-3.7761092505e-06	4.8570842959e-03	0.0000000000e+00	4.8570842959e-03	-4.8570842959e-03
25                	1.8743094093e-02	9.3675341294e-03	9.3755599637e-03	1.6051668563e-05	8.6068324481e-06	7.4448361145e-06	5.8099816679e-07	-4.0129171406e-06	4.6857735233e-03	0.0000000000e+00	4.6857735233e-03	-4.6857735233e-03
26                	1.8102668668e-02	9.0469130011e-03	9.0557556670e-03	1.7685331896e-05	9.2700650147e-06	8.4152668812e-06	4.2739906677e-07	-4.4213329740e-06	4.5256671670e-03	0.0000000000e+00	4.5256671670e-03	-4.5256671670e-03
27                	1.7502580449e-02	8.7464693376e-03	8.7561111115e-03	1.9283547786e-05	9.9527245772e-06	9.3308232086e-06	3.1095068429e-07	-4.8208869465e-06	4.3756451123e-03	0.0000000000e+00	4.3756451123e-03	-4.3756451123e-03
