# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# liftDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 0.0000000000e+00 -1.0000000000e+00)
# yawAxis         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 2.0000000000e+00
# Aref            : 2.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	1.4670442070e-01	7.3359101820e-02	7.3345318882e-02	-2.7565874297e-05	-1.0673407521e-05	-1.6892466776e-05	3.1095296279e-06	6.8914685743e-06	3.6676105176e-02	0.0000000000e+00	3.6676105176e-02	-3.6676105176e-02
2                 	8.2105337270e-02	4.1063349145e-02	4.1041988125e-02	-4.2722040286e-05	-1.6361832225e-05	-2.6360208061e-05	4.9991879178e-06	1.0680510072e-05	2.0526334317e-02	0.0000000000e+00	2.0526334317e-02	-2.0526334317e-02
3                 	5.3871429575e-02	2.6943322798e-02	2.6928106778e-02	-3.0432040958e-05	-1.1118536150e-05	-1.9313504809e-05	4.0974843297e-06	7.6080102396e-06	1.3467857394e-02	0.0000000000e+00	1.3467857394e-02	-1.3467857394e-02
4                 	3.9527553882e-02	1.9766163313e-02	1.9761390569e-02	-9.5454879367e-06	-2.4177011602e-06	-7.1277867765e-06	2.3550428081e-06	2.3863719842e-06	9.8818884705e-03	0.0000000000e+00	9.8818884705e-03	-9.8818884705e-03
5                 	3.1158785702e-02	1.5580497480e-02	1.5578288222e-02	-4.4185156510e-06	2.4754317601e-07	-4.6660588270e-06	2.4568010015e-06	1.1046289128e-06	7.7896964255e-03	0.0000000000e+00	7.7896964255e-03	-7.7896964255e-03
6                 	2.5727310088e-02	1.2867643885e-02	1.2859666203e-02	-1.5955363977e-05	-3.8660325681e-06	-1.2089331409e-05	4.1116494204e-06	3.9888409942e-06	6.4318275219e-03	0.0000000000e+00	6.4318275219e-03	-6.4318275219e-03
7                 	2.1904147280e-02	1.0959112988e-02	1.0945034292e-02	-2.8157391195e-05	-8.6229149991e-06	-1.9534476196e-05	5.4557805986e-06	7.0393477989e-06	5.4760368201e-03	0.0000000000e+00	5.4760368201e-03	-5.4760368201e-03
8                 	1.9050028070e-02	9.5321596637e-03	9.5178684064e-03	-2.8582514597e-05	-8.8894441625e-06	-1.9693070435e-05	5.4018131362e-06	7.1456286494e-06	4.7625070175e-03	0.0000000000e+00	4.7625070175e-03	-4.7625070175e-03
9                 	1.6826278802e-02	8.4181472534e-03	8.4081315484e-03	-2.0031410042e-05	-5.4256834142e-06	-1.4605726627e-05	4.5900216066e-06	5.0078525104e-06	4.2065697005e-03	0.0000000000e+00	4.2065697005e-03	-4.2065697005e-03
10                	1.5037833533e-02	7.5224545427e-03	7.5153789901e-03	-1.4151105366e-05	-2.5238733733e-06	-1.1627231993e-05	4.5516793098e-06	3.5377763416e-06	3.7594583832e-03	0.0000000000e+00	3.7594583832e-03	-3.7594583832e-03
11                	1.3564253153e-02	6.7862620429e-03	6.7779911099e-03	-1.6541866022e-05	-2.7317068003e-06	-1.3810159222e-05	5.5392262108e-06	4.1354665056e-06	3.3910632882e-03	0.0000000000e+00	3.3910632882e-03	-3.3910632882e-03
