# Force and moment coefficients
# dragDir         : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# sideDir         : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# liftDir         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# rollAxis        : (1.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
# pitchAxis       : (0.0000000000e+00 1.0000000000e+00 0.0000000000e+00)
# yawAxis         : (0.0000000000e+00 0.0000000000e+00 1.0000000000e+00)
# magUInf         : 1.0000000000e+00
# lRef            : 1.0000000000e+00
# Aref            : 1.0000000000e+00
# CofR            : (0.0000000000e+00 0.0000000000e+00 0.0000000000e+00)
#
# Time            	Cd                	Cd(f)             	Cd(r)             	Cl                	Cl(f)             	Cl(r)             	CmPitch           	CmRoll            	CmYaw             	Cs                	Cs(f)             	Cs(r)             
1                 	1.7558971721e-02	8.6460217724e-03	8.9129499488e-03	2.6692817639e-04	-3.4650736845e-05	3.0157891324e-04	-1.6811482504e-04	-1.3346408820e-04	8.7794858606e-03	-9.4165088482e-22	8.7794858606e-03	-8.7794858606e-03
2                 	1.5956535740e-02	7.6767585499e-03	8.2797771905e-03	6.0301864065e-04	4.1670007218e-05	5.6134863343e-04	-2.5983931311e-04	-3.0150932032e-04	7.9782678702e-03	-2.6814735339e-21	7.9782678702e-03	-7.9782678702e-03
3                 	1.5699544302e-02	7.4733951895e-03	8.2261491126e-03	7.5275392309e-04	1.2228412505e-04	6.3046979804e-04	-2.5409283650e-04	-3.7637696155e-04	7.8497721511e-03	-4.0418686378e-21	7.8497721511e-03	-7.8497721511e-03
4                 	1.3836624093e-02	6.5891935441e-03	7.2474305493e-03	6.5823700528e-04	1.0938232575e-04	5.4885467954e-04	-2.1973617690e-04	-3.2911850264e-04	6.9183120467e-03	-4.4487031493e-21	6.9183120467e-03	-6.9183120467e-03
5                 	1.2325983395e-02	5.7673984973e-03	6.5585848973e-03	7.9118640000e-04	1.2171837705e-04	6.6946802295e-04	-2.7387482295e-04	-3.9559320000e-04	6.1629916973e-03	-5.2144955859e-21	6.1629916973e-03	-6.1629916973e-03
6                 	1.0607439406e-02	4.8088224588e-03	5.7986169468e-03	9.8979448803e-04	1.3473629350e-04	8.5505819453e-04	-3.6016095051e-04	-4.9489724401e-04	5.3037197028e-03	-5.6245181321e-21	5.3037197028e-03	-5.3037197028e-03
7                 	1.1439739484e-02	5.1457451904e-03	6.2939942939e-03	1.1482491035e-03	1.6784175123e-04	9.8040735227e-04	-4.0628280052e-04	-5.7412455175e-04	5.7198697421e-03	-6.8939859753e-21	5.7198697421e-03	-5.7198697421e-03
8                 	1.2995487209e-02	5.6970604746e-03	7.2984267342e-03	1.6013662596e-03	1.7718601049e-04	1.4241802491e-03	-6.2349711932e-04	-8.0068312981e-04	6.4977436044e-03	-7.7562839201e-21	6.4977436044e-03	-6.4977436044e-03
9                 	1.4946573491e-02	6.4471614836e-03	8.4994120078e-03	2.0522505243e-03	2.3420677362e-04	1.8180437506e-03	-7.9191848851e-04	-1.0261252621e-03	7.4732867457e-03	-8.4071943492e-21	7.4732867457e-03	-7.4732867457e-03
10                	1.5615342401e-02	5.2037911353e-03	1.0411551266e-02	5.2077601307e-03	5.8242249257e-04	4.6253376381e-03	-2.0214575728e-03	-2.6038800653e-03	7.8076712007e-03	-8.1283167257e-21	7.8076712007e-03	-7.8076712007e-03
11                	1.5174445588e-02	2.8606054763e-03	1.2313840112e-02	9.4532346356e-03	1.1236601386e-03	8.3295744970e-03	-3.6029571792e-03	-4.7266173178e-03	7.5872227941e-03	-6.8445544751e-21	7.5872227941e-03	-7.5872227941e-03
12                	1.4131822754e-02	9.2620620538e-04	1.3205616548e-02	1.2279410343e-02	1.5988348983e-03	1.0680575444e-02	-4.5408702731e-03	-6.1397051714e-03	7.0659113768e-03	-8.2011606562e-21	7.0659113768e-03	-7.0659113768e-03
13                	1.3418071856e-02	3.8192142559e-04	1.3036150431e-02	1.2654229005e-02	1.9040528963e-03	1.0750176109e-02	-4.4230616062e-03	-6.3271145025e-03	6.7090359281e-03	-1.2307288340e-20	6.7090359281e-03	-6.7090359281e-03
14                	1.3362087428e-02	1.0611027690e-03	1.2300984659e-02	1.1239881890e-02	2.0103195400e-03	9.2295623498e-03	-3.6096214049e-03	-5.6199409449e-03	6.6810437139e-03	-2.4850585736e-21	6.6810437139e-03	-6.6810437139e-03
15                	1.3794198590e-02	2.0432436046e-03	1.1750954985e-02	9.7077113804e-03	2.0627187305e-03	7.6449926499e-03	-2.7911369597e-03	-4.8538556902e-03	6.8970992948e-03	-4.8253037111e-21	6.8970992948e-03	-6.8970992948e-03
16                	1.4309004032e-02	2.6418346761e-03	1.1667169356e-02	9.0253346801e-03	2.1095427646e-03	6.9157919154e-03	-2.4031245754e-03	-4.5126673400e-03	7.1545020161e-03	-6.2706729601e-21	7.1545020161e-03	-7.1545020161e-03
17                	1.4487341670e-02	2.4658801392e-03	1.2021461531e-02	9.5555813918e-03	2.2229778312e-03	7.3326035606e-03	-2.5548128647e-03	-4.7777906959e-03	7.2436708352e-03	-5.3558340269e-21	7.2436708352e-03	-7.2436708352e-03
18                	1.4117689195e-02	1.6423517563e-03	1.2475337438e-02	1.0832985682e-02	2.4556850993e-03	8.3773005827e-03	-2.9608077417e-03	-5.4164928410e-03	7.0588445973e-03	-2.4475381067e-22	7.0588445973e-03	-7.0588445973e-03
19                	1.3487640729e-02	6.9433748567e-04	1.2793303244e-02	1.2098965758e-02	2.6816447674e-03	9.4173209907e-03	-3.3678381116e-03	-6.0494828790e-03	6.7438203647e-03	-1.1165292182e-20	6.7438203647e-03	-6.7438203647e-03
20                	1.3032153867e-02	-1.1932961114e-05	1.3044086829e-02	1.3056019790e-02	2.8945675239e-03	1.0161452266e-02	-3.6334423709e-03	-6.5280098948e-03	6.5160769337e-03	-4.2711314941e-21	6.5160769337e-03	-6.5160769337e-03
21                	1.3053191457e-02	-1.8114688973e-04	1.3234338346e-02	1.3415485236e-02	3.1588650389e-03	1.0256620197e-02	-3.5488775791e-03	-6.7077426181e-03	6.5265957284e-03	-3.7053610912e-21	6.5265957284e-03	-6.5265957284e-03
22                	1.3284213254e-02	4.0196547556e-05	1.3244016706e-02	1.3203820159e-02	3.3733212774e-03	9.8304988815e-03	-3.2285888020e-03	-6.6019100794e-03	6.6421066270e-03	-3.1803677653e-21	6.6421066270e-03	-6.6421066270e-03
23                	1.3341233449e-02	4.1539965681e-04	1.2925833792e-02	1.2510434136e-02	3.4765702801e-03	9.0338638556e-03	-2.7786467877e-03	-6.2552170678e-03	6.6706167247e-03	-2.6360850623e-21	6.6706167247e-03	-6.6706167247e-03
24                	1.3135952239e-02	9.4709887760e-04	1.2188853361e-02	1.1241754484e-02	3.5392888966e-03	7.7024655871e-03	-2.0815883453e-03	-5.6208772419e-03	6.5679761195e-03	-1.7193372098e-21	6.5679761195e-03	-6.5679761195e-03
25                	1.2849302476e-02	2.4261540587e-03	1.0423148418e-02	7.9969943591e-03	3.2819134602e-03	4.7150808989e-03	-7.1658371934e-04	-3.9984971795e-03	6.4246512382e-03	-8.9282218512e-22	6.4246512382e-03	-6.4246512382e-03
26                	1.2665582424e-02	3.9253873520e-03	8.7401950721e-03	4.8148077201e-03	2.9265606744e-03	1.8882470457e-03	5.1915681432e-04	-2.4074038600e-03	6.3327912120e-03	-2.8099063823e-22	6.3327912120e-03	-6.3327912120e-03
